tweet,dates
Our nation’s students are facing a devastated job market because of #COVID19. Student debt cancellation must be included in the next package to provide them with much-needed relief. Higher education should open doors for students—not weigh them down. https://t.co/dXkB50NZfm,2020-05-08 21:15:17
"Trump wants to spend $500 million just to PAINT his border wall black—which will do nothing to stop illegal immigration—because he thinks it looks better. 
 
Imagine the PPE we could purchase for healthcare providers &amp; frontline workers with $500 million.

https://t.co/8zZPuwh2UW",2020-05-08 17:31:10
Trump's appointment of one of his cronies to head @USPS is a disaster for our democracy. Millions vote by mail. One of Trump’s most loyal fundraisers will run the agency that will oversee the delivery and collection of ballots. We cannot let the Postal Service be politicized. https://t.co/whXayfHPg8,2020-05-07 19:53:06
"Nurses are on the front lines of the #COVID19 pandemic, fighting to keep us safe. I will continue to fight to ensure they have proper PPE, testing, and adequate workplace protections. They are heroes and deserve to be treated as such. #NationalNursesDay https://t.co/GcdAgWHzde",2020-05-06 23:00:34
"It's outrageous that in a crisis, when everyone is being asked to do what they can to maintain proper social distancing, @flyfrontier sees an opportunity to make a buck. I'm urging Frontier's executives to reconsider this callous decision. https://t.co/aXC1PagS3o",2020-05-06 19:25:49
"For decades, the GOP has tried to destroy @usps. Millions of Americans rely on this vital public service—we cannot let it go bankrupt.

My bill would save the postal service more than $5 billion a year and put them on track towards financial solvency. 
https://t.co/LK1u7mWlRx",2020-05-05 23:02:05
UPDATE: The Oregon Legislature has approved $12 million in emergency housing assistance funding: https://t.co/m8PwLzk2Mk,2020-05-05 22:18:22
"My dad was a teacher. I saw firsthand how hard he worked &amp; how he dedicated himself to his students. 

This #TeacherAppreciationDay, I’m grateful for the millions of educators like my dad who devote themselves to helping kids succeed, especially in these challenging times.",2020-05-05 18:20:04
Millions are out of work and struggling to pay rent because of the economic impacts of #COVID19. @RepMaxineWaters and I are fighting to provide $100 billion in Emergency Rental Assistance so Oregonians can stay housed through this crisis and beyond. We need #RentReliefNow!,2020-05-04 18:43:37
"We all have a role to play to stop the spread of #COVID19. The federal government shouldn't shirk its responsibility to require face coverings for security, crewmembers &amp; passengers during the pandemic, including before passing  through security screening. https://t.co/29OYphMxbA",2020-05-01 19:45:15
"Today, @ORemployment launched the Pandemic Unemployment Assistance (PUA) program today to provide unemployment benefits to eligible self-employed, independent contractor, and gig workers. To apply, for FAQs, and more resources, visit: https://t.co/VQwO09Wvb4",2020-04-28 21:16:08
"Trump just called @USPS ""a joke.""

Does he consider delivering prescription drugs to seniors &amp; veterans, mail-in-ballots, and 600,000 jobs ""a joke""? 

The Postal Service is a lifeline for Oregon's rural communities--not a laughing matter. https://t.co/mdfSPpdCXI",2020-04-24 19:51:18
"Today the House passed new #COVID19 relief legislation that will provide the Paycheck Protection Program with critically-needed funding, direct more funding to hospitals &amp; healthcare providers on the front lines, expand testing, &amp; finally develop a national testing strategy. https://t.co/8QcYypusp1",2020-04-23 22:29:56
"When you wear a mask in public, you aren't only protecting yourself—you're protecting others from any germs you may be carrying. A new study shows that the most effective materials to use when making a DIY mask:

https://t.co/4kncv1gCqM",2020-04-23 22:28:02
"If you have questions about #COVID19 Economic Impact Payments, the IRS will be hosting a LIVE Q&amp;A session on Thursday, April 23 at 11AM PST. Details, including how to register, are below: https://t.co/d6gWqrNnfR",2020-04-22 20:29:58
"In the midst of the #COVID19 crisis, Trump is blatantly continuing his toxic anti-environmental agenda. On the 50th anniversary of #EarthDay, I am committed to fighting his radical climate-denier policies for a greener, healthier future. 
 
https://t.co/29Hwx9kCvY",2020-04-22 17:24:09
"Trump's cronies were just awarded half a BILLION taxpayer dollars—not for testing, ventilators, or PPE to fight #COVID19, but to build more of the useless border wall.

Our resources need to go towards the fight against COVID-19, not an ineffective wall.
https://t.co/Y2nl9Fmjxe",2020-04-21 21:59:36
"While millions of small biz owners are fighting to get PPP funds, billion-dollar chains have received millions of taxpayer dollars. I am committed to adding more funding to the PPP and to ensuring any new relief funding goes to truly small businesses—not rich corporations. https://t.co/psPdU6FiJc",2020-04-20 23:23:04
".@IRSgov has launched a new tool, Get My Payment, to track the status of Economic Impact Payments &amp; upload direct deposit info if the IRS doesn’t have it. For info on eligibility, accessing your payment, and how to use the tool, visit their FAQ page: https://t.co/4z3ZLkTlV0",2020-04-17 19:46:01
"Do you have questions about COVID-19 Economic Impact Payments? @IRSnews has a new FAQ answering questions about eligibility, receiving your payment, and more:
https://t.co/RBV85hG9qE",2020-04-17 19:44:53
"To keep yourself &amp; others safe while food shopping during the #COVID19 pandemic:

• Wear a face covering or mask while shopping;
• Wash your reusable bags before each use; 
• Practice social distancing while shopping.

Check out @USDA's useful guide: https://t.co/E54dBOQg5D",2020-04-17 13:38:31
"Washington said, “No punishment...is too great for the man who can build his greatness upon his country’s ruin.” 200 years later, Big Pharma is trying to profit off of #COVID19. We must ensure any #COVID19 drug/vaccine is affordable and accessible to all.
https://t.co/owSXGjCkA2",2020-04-15 21:25:02
".@speakerpelosi speaks the truth: Even though Donald Trump was warned in advance of this pandemic, he ignored it. His recklessness and narcissism caused unnecessary deaths, economic uncertainty, and a crisis that will take our nation years to recover from. https://t.co/JZZKrSxXgy",2020-04-15 21:19:18
"Cutting off funding to the World Health Organization in the midst of a pandemic isn't just petty--it's downright dangerous. How many people will die while Trump tries to pin the blame for his disastrous response to #COVID19 on anybody but himself?
https://t.co/OUYrl5thMG",2020-04-15 19:07:27
"Millions of Oregonians rely on @usps every day. However, the economic impact of #covid19 has further crippled the agency, putting it at risk of closure by JUNE. So how can we #SaveThePostalService?",2020-04-14 16:37:07
"After the Great Depression, it took transformative programs like the WPA to get Americans back to work. It will take a similarly bold plan, like massive investment in and modernization of our nation's infrastructure, to recover from the impact of COVID-19.
https://t.co/k2BORW1Nvc",2020-04-13 20:21:55
"With 19 Small Business Development Centers (SBDC) across Oregon, SBDCs are here to help small businesses respond to COVID-19. They’re offering 1-1 virtual advising, online webinars, and access to financing experts:
https://t.co/jN58E2Sj8u",2020-04-13 15:09:00
"Treasury &amp; IRS have launched a free tool for registration for economic impact payments for those who don’t file tax returns.

For more info, including who should use, check out:
https://t.co/zu7v2sU80o",2020-04-10 20:20:54
"While schools are closed, @librarycongress and @smithsonian are digitally opening their doors for students nationwide. Check out the free tools being offered by the Smithsonian at https://t.co/91MXe979Ma or the Library of Congress at https://t.co/1968kF4qpZ.",2020-04-09 21:27:26
"Oregon's schools are closed for the rest of the school year, but many students aren’t able to e-learn because they lack internet access. I'm pushing for increased funding for broadband infrastructure in the next #COVID19 recovery package to help ALL students distance learn. https://t.co/ofjHHx72aA",2020-04-09 14:52:08
"The #CARESAct included $100B to help healthcare providers fight #COVID19 and keep their doors open, but Oregon's hospitals still haven't received this critical funding. I've joined w/the OR delegation to demand the Administration release these funds ASAP. https://t.co/ivYLNCs3Tt",2020-04-09 02:44:43
"Good news from @HHSGov today: They've awarded more than $23 million in #COVID19 relief funding to 30 community health centers across Oregon--A good start, but more is needed. I’m fighting to ensure any new legislation includes more support for critical community health centers.",2020-04-09 02:41:08
"My telephone town hall meeting is starting in just a few minutes, at 3pm PST. Listen to the livestream at https://t.co/Pbcvi2bDQq.",2020-04-08 21:47:28
"I will be hosting a telephone Town Hall meeting on TODAY (Wednesday, April 8) at 3 pm PST to hear your concerns about the COVID-19 crisis and answer your questions. 

To sign up for the call or to listen to a livestream of the event, visit https://t.co/lg1t9zFdui.",2020-04-08 16:36:42
"I will be hosting a telephone Town Hall meeting on WEDNESDAY, April 8, at 3 pm PST to hear your concerns about the COVID-19 crisis and answer your questions. 

To sign up for the call or to listen to a livestream of the event, visit https://t.co/lg1t9zFdui",2020-04-07 22:30:55
Southwest Oregon’s smaller cities and rural communities need direct #COVID19 relief funds for emergency response and economic recovery. I’ve cosponsored legislation that will bring $250 billion directly to these communities and localities across the country.,2020-04-07 21:31:12
"I will be hosting a telephone Town Hall meeting on WEDNESDAY, April 8, at 3 pm PST to hear your concerns about the COVID-19 crisis and answer your questions. 

To sign up for the call or to listen to a livestream of the event, visit https://t.co/m7gzEuabOg",2020-04-06 19:12:14
"In the wake of disasters like #COVID19, scammers may solicit money or financial info by phone or email. The IRS will NEVER call to verify your financial info for relief payments. Be on the lookout for schemes, and learn more by visiting https://t.co/MPQFMyenby",2020-04-03 23:31:20
"After the 2008 crisis, 3.5 million Social Security beneficiaries and veterans did not receive their stimulus payments because of bureaucratic red tape. Today, I urged the Trump administration to not make this same mistake during the #COVID-19 crisis. https://t.co/hQN34oPu2F",2020-04-03 21:15:16
"The Paycheck Protection Program, which will give small businesses $$ for payroll &amp; biz expenses, is slated to launch tomorrow.

Our small businesses are depending on programs like these to stay afloat. I will be monitoring closely to ensure our businesses get much-needed relief.",2020-04-03 02:13:43
"The government's emergency stockpile of personal protective equipment is nearly depleted. We need President Trump to immediately use the Defense Production Act to its full capacity.
Any further delay puts thousands of lives at risk. 

https://t.co/Z39iYDetej",2020-04-02 23:01:00
"Any future economic stimulus bill must include ways to create JOBS. The best way to do that will be to rebuild our crumbling infrastructure in a way that is green, resilient, and built to last. https://t.co/n7NvmzxEeK",2020-04-02 21:46:15
"While today is NOT the deadline, #CensusDay is a reminder that we should all fill out the Census ASAP. The Census plays a critical role in allocating vital resources to our communities. 

You can complete it:

💻Online: https://t.co/tDDZO3Jz6j
☎️By Phone: 844-330-2020
✉️By Mail",2020-04-01 18:58:25
"Today @SBAgov took critical steps to initiate the Paycheck Protection Program, a $350 billion fund created by the #COVID19 relief bill to aid small businesses. For more, including terms, conditions, applying, and potential loan forgiveness, visit: https://t.co/dfQPMeT3dt",2020-03-31 23:10:06
"Oregon’s vote-by-mail system avoids the risks of in-person voting during COVID-19 &amp; is a model for the entire nation.

I'm co-sponsoring a bill to mandate nat'l vote-by-mail for the 2020 elections. We can't risk having Election Day threatened by #COVID19.
https://t.co/icGvrpZeER",2020-03-31 19:11:25
"Our nation is in crisis. Trump's singular focus ought to be stopping the spread of #COVID19 &amp; our economic recovery.Instead, he's rolling back fuel efficiency standards, adding billions of tons of CO2 emissions and putting public health further at-risk. https://t.co/4H0jVJ4iUZ",2020-03-31 17:24:33
"For updates on #COVID19 and resources from @CDCgov, including current information on social distancing, symptoms, and testing, visit https://t.co/Ro5Md8zSZH.",2020-03-30 19:01:06
"Trump is *finally* beginning to use the Defense Production Act, something he should have done weeks ago. Delay has meant health care workers have gone without critical protective equipment. We need to use the DPA to its full extent. Anything less is unacceptable. #DPANow",2020-03-27 21:08:15
Proud to stand (at a safe distance) with my colleagues on *both* sides of the aisle to get urgently-needed relief to US workers and families today. Today's legislation will help millions of Americans and puts #FamiliesFirst ahead of corporations. https://t.co/luUuvJw8V9,2020-03-27 20:49:08
"The House just passed the CARES Act, a $2.2 trillion economic relief package for workers and families. It includes:
✔️Extended &amp; Expanded Unemployment Insurance
✔️Funding for Families Impacted by the Crisis
✔️Essential funding &amp; equipment for hospitals and healthcare providers https://t.co/iXllZNCL95",2020-03-27 19:17:14
"After 9/11 and the 2008 financial crisis, big corporations--not working families--benefited from govt bailouts.

I came back to DC to vote on the#coronavirus recovery bill to ensure that doesn't happen again.

Workers first--period. https://t.co/a3EMUg0fRH",2020-03-27 16:34:36
"Thank you to the flight attendants, pilots, and ground crew for the incredible work you're doing! https://t.co/qmouymU8UK",2020-03-26 16:59:23
"🚨Update: Oregon has delayed its state tax filing deadline until July 15, now matching the new federal deadline.",2020-03-25 23:05:34
"OR's small businesses are eligible for @SBAGov economic disaster assistance loans. 

If your small business is struggling with the economic impacts of the #COVID19 outbreak, you can contact SBA disaster assistance at 1-800-659-2955 or e-mail disastercustomerservice@sba.gov.",2020-03-25 19:50:23
"If you have *new* personal protective equipment -- masks, medical gowns, and medical-grade gloves--to donate, you can drop them off at the Lane County Warehouse at 3050 N. Delta Highway in Eugene, Monday-Friday from 2-4pm.",2020-03-25 19:49:10
"OR businesses want to manufacture personal protective equipment to help protect health care workers, but red tape is getting in the way. I joined w/the OR delegation urging the Trump administration to expedite the process so we can get frontline workers the equipment they need. https://t.co/EbHZ1MRQ3o",2020-03-25 17:59:06
"Experts agree, ending social distancing and shelter-in-place too soon would lead to more loss of life and would have grave consequences for our economy. We MUST listen to science and follow evidence-based information in order to slow the spread of disease! https://t.co/QS7AHxFkms",2020-03-24 21:31:47
"The GOP #COVID19 relief package echoes the Wall Street bailout of 2008, including a $500B #slushfund with no accountability and no oversight. I opposed the bailout in 2008 and will oppose anything that resembles it today. We need to put working families first.",2020-03-23 22:07:37
".@oregongovbrown, you're making the right call.

#SocialDistancing is difficult, but it's what will help to end this epidemic.

We need to do all that we can to #flattenthecurve and keep our hospitals from becoming overwhelmed.

#StayHome. https://t.co/IvXsFgNCdy",2020-03-23 18:39:32
"We can only stop the spread of #COVID19 if we all do our part. That includes ensuring hospitals and healthcare workers have the equipment they need, securing enough tests for everyone who needs one, and practicing social distancing. 
 
https://t.co/QwlsuV1Eia",2020-03-23 16:59:47
"As colleges across Oregon shut down due to #COVID19, hundreds of students are suddenly facing financial hardship. I've urged Education Secretary DeVos to ensure these students are protected from the economic impact of this crisis and that they do not face undue financial burdens.",2020-03-22 19:57:34
"The coronavirus is driving an unprecedented crisis that will have a lasting impact on our country. But by working together to put #FamiliesFirst, we can get through this crisis and put ourselves on track for a strong and speedy recovery. https://t.co/DEkaH5T76E",2020-03-21 13:30:05
"The people who have been hit the hardest by the economic impacts of #COVID19 have been working families--not CEOs. I'm leading a group of 100 of my colleagues in demanding any economic relief package puts them, and not giant corporations, first. https://t.co/vV62zSy7N9",2020-03-20 23:00:35
"BREAKING NEWS: Deadline to File Taxes Moved to July 15, 2020 https://t.co/mEiZASzBaF",2020-03-20 15:39:52
"Oregon's small businesses are being decimated by this crisis. Today, our state’s entire congressional delegation urged @SBAgov to approve @OregonGovBrown's request for immediate emergency assistance for these businesses in order to give them access to urgently-needed capital. https://t.co/z9UZMjMjHC",2020-03-19 21:49:40
"UPDATE: The IRS has extended their PAYMENT deadline to July 15, 2020. Individuals must still FILE their tax returns by April 15, 2020--However, if you owe the government money, you have until July to pay: https://t.co/WiOIu2irXF",2020-03-19 20:16:01
"This site, developed by @OregonState @OHSUNews  scientists, dispels rumors and false information about #COVID19: https://t.co/B83uB3GIvk.

Help #FlattenTheCurve:
 
✔️Work From Home If Possible
✔️Wash Your Hands
✔️Sanitize Frequently-Touched Surfaces",2020-03-19 19:31:14
Trump has invoked the Defense Production Act but says he doesn’t yet want to order domestic production of urgently-needed medical and protective equipment. Hospitals and front-line workers need these critical tools NOW. What is he waiting for? https://t.co/yZiyx2BHVx,2020-03-19 17:12:31
.@HUDgov will end foreclosures until next month--a good 1st step but not nearly enough time for families impacted by this crisis. I've urged the administration to suspend foreclosures on federally-assisted housing until the crisis abates entirely. https://t.co/NXXP6cbEjn,2020-03-18 20:33:02
"While social distancing is critical to stop the spread of #COVID19, it has a tremendous impact on Oregon's many small &amp; medium-sized farms that provide foods directly to the consumer. I'm pushing Congress to ensure these farms get the economic assistance they need to recover.",2020-03-18 19:25:01
The nation is facing unprecedented circumstances. That's why I'm pushing for credit agencies to stop adverse reporting &amp; mortgage lenders to halt foreclosures during this crisis. No one should have to worry about losing the roof over their head during a national emergency.,2020-03-18 16:59:26
"The longer it takes for Oregon to get equipment like masks or ventilators, the more medical personnel go unprotected &amp; patients put at risk. That's unacceptable. I'm pushing Trump to invoke the Defense Production Act to ramp up domestic production of critical medical supplies. https://t.co/vB9VNFVY2q",2020-03-17 22:24:25
"We're in this together. Congress is working hard to provide resources and aid to our communities to fight the spread of COVID-19, and I'm staying in touch with those on the ground who are fighting on the front lines.",2020-03-17 15:33:16
"Local and state health departments are the authorities with the most up-to-date information on the ongoing #COVID19 public health threat. For direct support, I urge you to contact your county health department, @OHAOregon, or @CDCgov: https://t.co/YRCnj6yLRe https://t.co/H77GqjlQZb",2020-03-16 16:57:33
Statement from Rep. DeFazio on the Ongoing COVID-19 Public Health Threat: https://t.co/mOEG10teiR https://t.co/3SUz03lZ0n,2020-03-16 15:35:07
"I just voted in support of critical #covid19 legislation that ensures we are putting the needs of #FamiliesFirst:

*securing free #covid19 testing for all;
* ensuring paid leave for employees;
* increasing federal funds for Medicaid; and
*strengthening meal assistance programs.",2020-03-14 04:50:05
We need a coordinated effort between all levels of government to mitigate the impact of #Covid19. I've joined w/@SenJeffMerkley @RonWyden @repblumenauer @RepBonamici to urge @VP to fulfill @OregonGovBrown's requests for essential protective equipment and testing kits. https://t.co/nCq231hoLJ,2020-03-13 15:27:26
Congress is working on #Covid_19 legislation to bolster prevention &amp; preparedness to keep Americans safe. I am working to ensure it includes vital aid for Oregonians whose lives may be disrupted. We need a coordinated response at all levels tackle this public health threat.,2020-03-12 18:30:28
"Tragically, there are stories like this across the country. Now, hourly &amp; tipped workers will face more financial uncertainty as the economy is impacted by COVID-19. The minimum wage should be a living wage. It's time to #RaiseTheWage! https://t.co/gjoMuSdThu",2020-03-11 14:31:07
"It's been a year since the House passed #HR1, a democracy reform &amp; anti-corruption bill that would end big money's dominance in our elections &amp; protect voting rights. Thanks to @senatemajldr, it's languished in the Senate ever since. Mitch, it's time to do your job. #ForThePeople",2020-03-10 20:54:51
"Oregon cannot fight the spread of #COVID19 without proper funding and equipment. Last week, I joined my Oregon colleagues in sending a letter to VP Pence urging federal assistance to expand our testing capabilities and acquire more protective equipment. https://t.co/GiiIjVh3J4",2020-03-09 20:54:02
"Happy #InternationalWomensDay! Today and every day, I'm proud to work alongside so many incredible women—both in Congress and at home in Oregon—to fight for real equality for all.",2020-03-08 19:46:35
"55 years ago today, nonviolent civil rights activists—including my friend @repjohnlewis— were violently attacked as they marched against segregation and voter suppression.
 
Today and every day we are grateful for the sacrifices they made in the fight for equality.
 
 #Selma55",2020-03-07 15:46:59
"In 2016, Trump promised to never touch Social Security &amp; Medicare.
 
Four years later? ""We'll be cutting"" these critical earned benefits.
 
His priorities are clear: his latest budget cuts hundreds of billions from Medicaid, Medicare, and Social Security. https://t.co/m3Q9acyAqF",2020-03-06 17:06:07
"Oregon will need significant funding from the federal govt in order to combat #COVID19. I worked w/@SenJeffMerkley @RonWyden @RepBonamici &amp; @repblumenauer to secure $500,000 from @CDCgov to ensure OR has the tools we need to treat &amp; fight this disease. https://t.co/kW7uYSCwVj",2020-03-05 16:43:17
"It's imperative that Oregon has the resources it needs for a comprehensive response to #COVID19. Today, I voted for legislation that will give Oregon and the federal government sufficient funding to develop a treatment and prevent the spread of this disease.",2020-03-04 21:55:49
"Flash boys are a threat to our economy. My Wall Street Tax Act would impose a modest tax on financial trades to rein in their abusive practices and generate hundreds of billions to invest in an economy that works for everyone, not just the wealthiest. https://t.co/fuwPLWdyho",2020-03-04 14:37:27
"I met with @hungerfreeor today to discuss ways to bolster Oregon’s food assistance programs, protect SNAP benefits, and #endhungernow. https://t.co/NC1lRQaSMz",2020-03-03 20:27:25
"In 2018, over 5 million older Americans lived in poverty. That’s unacceptable. 

The Older Americans Bill of Rights will help #ProtectOlderAmericans while ensuring access to high-quality health care, housing, and financial and retirement security. https://t.co/6GhRCiuzFE",2020-03-02 20:09:06
"I’m monitoring the #coronavirus developments closely. The @CDCgov has preventive steps you can take to reduce risks for you and your family, including:
 
✅ Frequent hand-washing with soap &amp; water
✅Staying home if you are unwell
✅Avoiding close contact with others who are sick https://t.co/EKZBLSEI6E",2020-02-28 21:16:34
"It’s been one year since the House passed the commonsense #HR8, the Bipartisan Background Checks Act – the first major gun violence prevention reform bill in more than a decade. It’s beyond time for the GOP stonewalling to end. #BackgroundChecksSaveLives #EndGunViolence",2020-02-27 20:26:23
"Trump’s #PublicCharge rule puts thousands—especially U.S.-citizen children—at risk, &amp; creates unprecedented wealth &amp; age tests. Immigration officers can label someone a public charge if they think they will access benefits in the future. This is wrong. https://t.co/pbapskcvzQ",2020-02-24 19:46:37
"The Arctic National Wildlife Refuge is the largest area of designated Wilderness in the US, but the Trump Administration is dead-set on destructive oil and gas exploration in the region. That's why I am pushing major US banks to refuse to finance any oil development in the ANWR. https://t.co/x2RVYPXau2",2020-02-21 15:53:37
Any drug treatment developed with taxpayer dollars—including one for the #Coronavirus—must be affordable. That won't happen if prices are set by #BigPharma. My bill would end price gouging and ensure fair pricing for all drugs developed with taxpayer money.,2020-02-21 02:25:26
"Today is the day millionaires stop paying into Social Security for the rest of the year. My bill would #ScrapTheCap on Social Security taxes, leveling the playing field for working families and making the program solvent for future generations. https://t.co/ZcGTlDThmG",2020-02-19 20:57:50
