tweet,dates
"Any time any of us see an act of intolerance for whatever reason, it could be religious, race, sex, we have got to put our foot down and say “No more."" https://t.co/eiHMpKh9MN",2020-01-31 15:14:19
"Thank you to everyone who attended one of my 2020 Town Forums! I will continue to work as hard as I can throughout this year to grow the Northwest Indiana economy, create more good-paying job opportunities, and improve our quality of place. https://t.co/vDaMt9V4Az",2020-01-27 14:35:56
"Honored to attend the Gary Frontiers #MLKDay celebration this weekend. We must all be part of the discussion to promote equality and speak out when we perceive acts of intolerance. As Dr. King stated, “Our lives begin to end the day we become silent about things that matter.” https://t.co/UahlOcUkDp",2020-01-20 14:01:37
Reminder - Town Forums are occurring this Friday and Saturday. Click below to find a Town Forum near you: https://t.co/m5wM4aEJyj,2020-01-14 15:08:50
I am looking forward to the 2020 Town Forums and hearing directly from residents about their issues of concern and how I can best serve and represent their interests this coming year. Click below for the complete schedule. https://t.co/QRB4HZNW4N,2020-01-03 14:42:06
"I oppose the United States-Mexico-Canada Agreement (USMCA). Throughout my entire career, I have heard the promises of free trade agreements, yet have seen the subsequent challenges faced by steelworkers and the American manufacturing industry. 1/2",2019-12-19 17:29:50
I support the two articles of impeachment – one regarding abuse of power and one regarding obstruction of Congress – against President Trump. 1/4,2019-12-18 20:16:27
"Mayor Richard Hatcher was a historic and exemplary leader for civil rights and racial equality in our nation, and he was always a true public servant for the City of Gary and the Northwest Indiana region. https://t.co/gG9vHZL64b",2019-12-15 13:32:19
"On November 6th, 35 years ago today, I was elected to serve as Indiana’s First District U.S. Representative. Today, I announce that I will not seek re-election in 2020. 1/2",2019-11-06 15:37:44
"Today, I supported the House Resolution that directs the six House Committees to continue their ongoing investigations as part of the existing inquiry into whether sufficient grounds exist for the House of Representatives to impeach the President.  1/4",2019-10-31 17:25:56
Open Enrollment in the Health Insurance Marketplace starts November 1. For additional information on health insurance for 2020 please click on the link below: https://t.co/AVnTWsDc8Z,2019-10-29 15:34:42
"Today, the U.S. Capitol is recognizing the irreplaceable contributions of Rep. Cummings to the strength of our democracy and our fight for decency and the dignity of all people. My thoughts and prayers are with his family and loved ones during this difficult time. https://t.co/BBp7MpNXMc",2019-10-24 14:58:09
I regret that these circumstances are but one more example of American corporations turning their backs on workers and manufacturing communities in our nation. I will continue to fight for the dignity of all workers. https://t.co/Gmy9Oh5Qcb,2019-10-23 14:09:03
Enjoyed meeting with Mr. Daryl Jones recently in my Merrillville office to discuss the important issues impacting musicians and the music recording industry. https://t.co/b1kfL6pkfs,2019-10-21 14:26:46
