tweet,dates
"Tomorrow, May 11th I’ll be having another Tele Town Hall at 7:30pmCT. As before, many of you will get a reminder call along with a robocall btwn 7:20 &amp; 7:30pm prompting you to join. You can also join by dialing 833-380-0623. I look forward to addressing your questions &amp; concerns! https://t.co/wlqgCVEVmO",2020-05-10 17:00:58
"Today and every day, we honor the mothers who guide us, inspire us and push us forward. Happy #MothersDay! https://t.co/kDPAJQpKDI",2020-05-10 14:56:56
"The deadline for the #CongressionalArtCompetition is fast approaching! Entries should be submitted *digitally* by 5pm on Friday, May 15th. For details visit https://t.co/m0Fmzif44U and send a photo of your art to IL08ArtCompetition@gmail.com. Call (847) 413-1959 with questions",2020-05-09 19:00:51
"#OnThisDay in 1916 the American Federation of Teachers was created by 8 local unions in Chicago and granted a charter by the AFL. @AFTunion has been supporting the work of teachers, school-related personnel, &amp; higher ed faculty ever since. https://t.co/mmKlFwIdWr",2020-05-09 17:01:03
"On Mon May 11th I’ll be having another Tele Town Hall at 7:30pm CT. As before, many of you will get a reminder call along with a robocall btwn 7:20 &amp; 7:30pm prompting you to join. You can also join by dialing 833-380-0623. I look forward to addressing your questions &amp; concerns! https://t.co/V3nnP05W2a",2020-05-09 15:01:05
"Today, I introduced a bill to help state service commissions like @ServeIllinois respond quickly to changing needs resulting from COVID19. These commissions have been helping with blood drives, food banks, PPE, etc and they need all the help they can get!

https://t.co/nj8eyrVo4j",2020-05-08 21:24:14
"Today may be the last day of #TeacherAppreciationWeek but my appreciation for our teachers never ends. As a father of three, I am continually impressed by the work &amp; dedication that goes into educating our young people, especially during these difficult times. #ThankYouTeachers! https://t.co/Qz8A3nmHHX",2020-05-08 19:00:55
"My investigation found that as the Administration endangered passengers at O'Hare by failing to ensure social distancing, it also failed to ensure that people entering the US from countries with outbreaks, except for China, were screened for coronavirus.
https://t.co/qokvVhwjFZ",2020-05-08 17:01:37
"My investigation found that as the Administration instituted its travel ban, Americans fleeing coronavirus outbreaks in Asian and Europe were not rigorously screened on their return, limiting our ability to contain the disease or treat those who had it. https://t.co/CWIXB3ZYVt",2020-05-08 15:16:45
"Yesterday, I released information from my investigation into how this Admin failed to effectively screen travelers from Italy or South Korea, even after imposing a travel ban from China, &amp; did little else to stop the inflow of COVID through our airports. https://t.co/PEeb3ooewn",2020-05-08 13:01:58
"It is imperative that we listen to the scientists and experts, even if we don’t like what they have to say. https://t.co/KKwW1S5lJa",2020-05-08 11:01:17
"In an age of bonkers ideas, this is high on the list of ones that don’t involve bleach, on top of being a bizarre insult to Nelson Mandela. https://t.co/7eQlfmr7sL",2020-05-08 02:39:43
"The deadline for the #CongressionalArtCompetition is fast approaching! Entries should be submitted *digitally* by 5pm on Friday, May 15th. For details visit https://t.co/m0FmziwEWs and send a photo of your art to IL08ArtCompetition@gmail.com. Call (847) 413-1959 with questions https://t.co/lvVUx3Itkm",2020-05-07 23:00:38
"Our investigation also found that U.S. officials relied on their foreign counterparts to conduct coronavirus screenings and depended on airport visits and verbal commitments to ensure that they were done. 
https://t.co/d450HtiFvu",2020-05-07 20:15:04
"Our investigation found just 13 passengers were prevented from boarding flights to the US in Italy in the first two weeks in March. Just 56 passengers were stopped in South Korea, including 25 by Korean Air from Feb. 28 through March 10.
https://t.co/PKHrHwGZJi",2020-05-07 20:07:01
"🚨#BREAKING: Today, as an @OversightDems Subcmte Chair, I released information from my investigation into how this Administration failed for weeks to effectively screen travelers from Italy or South Korea &amp; disregarded opportunities to slow the spread of #COVID until mid-March https://t.co/pnjBrN4XOI",2020-05-07 19:15:05
I am disappointed by the Trump Administration’s continued effort to attack American’s healthcare coverage especially in the midst of a global pandemic. https://t.co/A3pb5RHnK5,2020-05-07 18:01:41
This is deeply concerning especially since #Covid_19 case counts are trending upward in more than half of the states easing restrictions. https://t.co/Y8I9d3u1A0,2020-05-07 16:01:53
"The first giveaway yesterday was for seniors over the age of 65. Today, between 9am and 3pm, the Village of Schaumburg will be giving away free masks to residents with last names beginning with the letters A-L. 
https://t.co/74ajJok6jl",2020-05-07 14:00:18
"""Paint It Black"" is a Stones song, not a justifiable use of half a billion dollars during a pandemic. I'd remind the President instead of his favorite Jagger/Richards classic for rallies, ""You Can't Always Get What You Want.""
https://t.co/yZLbWdh5LK",2020-05-07 13:48:51
I’m disappointed by the Administration’s continual resistance to oversight and providing answers to Congress https://t.co/qrgd0csvTG,2020-05-07 13:01:26
It is absolutely imperative that we ensure vote-by-mail options will be available to every American in the next election. The sanctity of our democracy depends on it! https://t.co/TGqH7llCT7,2020-05-07 11:01:10
"As the husband of a physician, I know the burden borne by frontline healthcare workers. That's why I led 90 members of Congress on a bipartisan letter calling for the inclusion of mental health resources for healthcare workers in the next aid package. https://t.co/R5FN300Tji",2020-05-06 22:00:32
"We have yet to see how these new antibody treatments can best be used, but I’d like to say #thankyou to Winter the llama for her hard work during this crisis. https://t.co/pUUZvbBrBa",2020-05-06 21:00:59
Yesterday there were 2673 lives lost to COVID-19 in Illinois alone. That’s 170 more deaths than the day before. Why the President thinks it’s time to phase out the Coronavirus Task Force is beyond me. https://t.co/4N0dKfn95G,2020-05-06 19:01:13
On this #NationalNursesDay I especially want to thank the nurses &amp; healthcare professionals who are putting their lives on the line in my district. And thank you to all the nurses &amp; healthcare professionals who submitted their #FacesOfHope at FacesOfHopePhotoProject@gmail.com! https://t.co/dYQr6VxKso,2020-05-06 17:00:00
"Life in a pandemic may be the new normal, but it’s anything but normal. We can’t afford to become numb to the pain and suffering this pandemic has caused. https://t.co/9VY4DgiDYc",2020-05-06 15:01:41
FYI for Schaumburg residents: the Village of Schaumburg will be giving away free masks to all residents on a first come first serve basis this week! https://t.co/GxrmXUV8X2,2020-05-06 13:01:17
"In response to my subcommittee’s investigation exposing failure and fraud in the serology test market, #FDA admitted its mistakes and made critically needed changes to its policy to require FDA review of all antibody tests on the market. https://t.co/kycdMBUCzA",2020-05-06 11:01:13
"Happy #TeacherAppreciationDay and #NationalTeachersDay to all our teachers! Even in these challenging times you all have stepped up and worked hard to ensure our kids keep learning and growing, not just as students but as the next generation of leaders. https://t.co/XPJf8Gbdkq",2020-05-05 19:01:32
Americans largely recognize that reopening too soon could put countless American lives at risk. https://t.co/zMWKqjsva2,2020-05-05 17:01:19
"Yesterday, in response to my @OversightDems subcmte's investigation, @US_FDA ordered companies to submit antibody test data. The Administration's original policy allowed tests to be sold without FDA review, causing a flood of junk tests on the market. https://t.co/UyICfJ8pf5",2020-05-05 15:01:13
"The deadline for the #CongressionalArtCompetition is fast approaching! Entries should be submitted *digitally* by 5pm on Friday, May 15th. For details visit https://t.co/m0Fmzif44U and send a photo of your art to IL08ArtCompetition@gmail.com. Call (847) 413-1959 with questions https://t.co/L7Bb8H2CGL",2020-05-05 13:01:43
Some gaggles have that feeling even under normal circumstances. https://t.co/PHcN8Fa4AE,2020-05-05 00:40:01
We should all stand with Nala and the millions of small businesses that depend on the USPS to serve their customers. https://t.co/we7E5BPEki,2020-05-04 23:14:09
A welcome respite for all you animal lovers: https://t.co/7QeTbmE8pA,2020-05-04 23:00:39
"Reopening states too soon would endanger lives and devastate our economy all over again. Saving lives isn’t just the right thing to do, it’s the right thing to do for our economy https://t.co/hoCmwvtL3P",2020-05-04 21:00:51
"Everyone should have access to the care they need, especially during this crisis. Today I joined @davidcicilline and 115 of my colleagues in Congress on a letter urging this Administration not to rewrite the Affordable Care Act to allow for discrimination against LGBTQ+ people. https://t.co/8f73jQTlhH",2020-05-04 20:39:33
#MayThe4thBeWithYou https://t.co/vv0gOEXuCG,2020-05-04 19:01:22
I wrote an op-ed in the @chitribopinions about the need for more federal coronavirus aid for small towns and suburbs. Give it a read here: https://t.co/d1ekqlFskg,2020-05-04 17:01:20
"BREAKING NEWS: In response to my @OversightDems subcommittee's investigation, @US_FDA will now require all manufacturers to receive FDA approval to sell COVID-19 antibody tests. FDA also admitted there are “falsely” advertised tests on the market. https://t.co/cJYzuKLUMj",2020-05-04 15:21:15
This weekend I joined @AliVelshi on @MSNBC to discuss my investigation into unreliable antibody tests https://t.co/Pxc9HA8vRC,2020-05-04 15:00:00
"The deadline for the #CongressionalArtCompetition is fast approaching! Entries should be submitted *digitally* by 5pm on Friday, May 15th. For details visit https://t.co/m0Fmzif44U and send a photo of your art to IL08ArtCompetition@gmail.com. Call (847) 413-1959 with questions https://t.co/K9lSG7Wc3k",2020-05-04 13:01:41
"Whether out of ignorance, or self-importance alone, what an embarrassing thing to think, let alone say. https://t.co/ZcuNgmkNk2",2020-05-04 01:20:13
"Nobody enjoys staying cooped up at home, but efforts to #flattenthecurve work and reopening states too soon could have deadly consequences. https://t.co/vERzSJq9VX",2020-05-03 19:00:33
"Today is the United Nation’s #worldpressfreedom day, a day to raise awareness of the importance of freedom of the press around the world.  Now more than ever we must support the fact-finding and fact-checking of a free unencumbered  press. https://t.co/3zfhv3Ja0P",2020-05-03 17:00:46
Wearing a mask is essential to #flattenthecurve! Here's some information on IL's revised stay-at-home order for residents: https://t.co/RpAtZZI3B5,2020-05-03 15:01:56
"Congratulations, @RepMaxRose! 
https://t.co/WiMc4MBedn",2020-05-03 01:02:46
"The deadline for the #CongressionalArtCompetition is fast approaching! Entries should be submitted *digitally* by 5pm on Friday, May 15th. For details visit https://t.co/m0Fmzif44U and send a photo of your art to IL08ArtCompetition@gmail.com. Call (847) 413-1959 with questions https://t.co/TqePpHyuEt",2020-05-02 19:00:45
"If you're curious about our state’s careful re-opening process in Illinois, you can read about it here: https://t.co/jC3kF64GGq",2020-05-02 18:00:46
"If you're looking to continue exercising while #socialdistancing, here's an article on how to safely run outside during the pandemic: https://t.co/21vOPiakEP",2020-05-02 16:31:40
Tune in tonight! https://t.co/gR7TmUECmO,2020-05-02 00:45:53
"This new charity @masks4chi is working to donate and distribute hundreds of thousands of reusable masks throughout the Chicago area. 
https://t.co/e1AFEdDQ1n",2020-05-01 19:35:07
"I want to get back to normal life as much as anyone, but rushing to reopen the country too soon would carry a terrible human cost. https://t.co/QeDuFY2lul",2020-05-01 19:00:22
Here’s the latest on plans for gradually reopening our state: https://t.co/poLaIfWvMN,2020-05-01 17:20:47
"Schools might be closed, but education hasn't stopped, and neither have our nation's teachers. Today, I'm #SendingTeachersLove to let teachers across the country know their work is appreciated! @Ed4Excellence https://t.co/qV4eQ3mhig",2020-05-01 16:01:43
A truely heartwarming story about a #COVID19 survivor! https://t.co/Rf4ro9XdV1,2020-05-01 15:01:30
"If you're a high school artist in my district remember that entries for my #CongressionalArtCompetition should be submitted *digitally* this year by 5pm on Friday, May 15th. For details visit https://t.co/m0Fmzif44U and send a photo of your art to IL08ArtCompetition@gmail.com https://t.co/t7UDp7v0n9",2020-05-01 13:02:17
An encouraging omen from our national bird: https://t.co/FPrETWjixO,2020-05-01 11:01:09
"This is a welcome wildlife distraction for my family, and yours. https://t.co/rTdy0OWWKh",2020-04-30 22:00:45
"Yesterday, I wrote an op-ed for The Hill about the dangers of #vaping in the time of #COVID19. You can read it here: https://t.co/jz52xqBd2g",2020-04-30 21:00:54
"Yesterday, I joined @GregandDanWMBD to talk about what we’re doing in Congress to help #smallbusinesses. As a former #smallbusiness owner I know how challenging this pandemic can be. https://t.co/WBMs8sHpZN",2020-04-30 20:01:10
#Thankyou to everyone who submitted photos for my #FacesOfHope social media project! We compiled them into this slideshow below which I hope will serve as a reminder that we are all in this together and will pull through with positivity and hope in the weeks and months to come. https://t.co/9UjDhDjr8u,2020-04-30 19:00:00
"Thank you to everyone who participated in my Tele-Town Hall last night! It was my pleasure to address your questions and concerns about this pandemic. If I didn’t have a chance to get to your question last night, please don’t hesitate to contact my office at (847) 413-1959. https://t.co/iCgoAIAm4G",2020-04-30 18:01:22
"Yesterday, I spoke with @tvbrad on @cbschicago about fraudulent antibody tests and how the #FDA has allowed hundreds of unreliable and potentially fraudulent tests to flood the market. https://t.co/cLqUbDCyFu",2020-04-30 17:01:33
"If you're a high school artist in my district remember that entries for my #CongressionalArtCompetition should be submitted *digitally* this year by 5pm on Friday, May 15th. For details visit https://t.co/m0Fmzif44U and send a photo of your art to IL08ArtCompetition@gmail.com https://t.co/yuRxCl0aHb",2020-04-30 16:01:47
"The questions around the accuracy of antibody serology tests for #coronavirus are substantial and must be answered, but there is no question that the FDA must regulate the market to get rid of junk tests. https://t.co/28bRqqbyNN",2020-04-30 15:01:20
"The states need help from the federal government in this time of crisis, and it's grossly irresponsible to deny them that help because they have different political views. https://t.co/CM7rRK5iAS",2020-04-30 14:09:14
"If you're going a bit stir-crazy in coronavirus quarantine, here's a great article on how you can manage your mental health: https://t.co/wz0ULOgrtq",2020-04-30 13:01:53
The marketplace for COVID19 tests must be more closely regulated by the FDA to ensure their quality and usefulness. Many of the antibody tests on the market are inaccurate and fraudulent and the FDA must remove them from circulation. https://t.co/wTWvZ177Ju,2020-04-30 11:01:04
"I am having a Tele-Town-Hall NOW to address your questions and concerns about the coronavirus pandemic. If you did not receive a call prompting you to join, or if you would like to use another phone, please call in at 833-380-0623. To listen only go to: https://t.co/uPEtQkOmfZ https://t.co/Tbbl5uq00H",2020-04-30 00:00:30
"In 5 minutes I’ll be having a Tele-Town-Hall to address your questions and concerns about this pandemic. If you do not receive a call prompting you to join, or if you would like to use another phone, please call in at 833-380-0623. To listen only go to: https://t.co/uPEtQkOmfZ https://t.co/vg2gzQMANx",2020-04-29 23:55:07
"In 30 minutes I’ll be having a Tele-Town-Hall to address your questions and concerns about this pandemic. If you do not receive a call prompting you to join, or if you would like to use another phone, please call in at 833-380-0623. To listen only go to: https://t.co/uPEtQkOmfZ https://t.co/rzNI94Sn3P",2020-04-29 23:30:07
"Clearly, they should try to go their own way https://t.co/hzM7UQkPQL",2020-04-29 23:05:24
"In one hour I’ll be having a Tele-Town-Hall at 7:00pm CT to address your questions and concerns about the coronavirus pandemic. If you do not receive a call prompting you to join, or if you would like to use another phone, please call in at 833-380-0623. https://t.co/jUpgADGS0m",2020-04-29 23:00:39
"In two hours I’ll be having a Tele-Town-Hall at 7:00pm CT to address your questions and concerns about the coronavirus pandemic. If you do not receive a call prompting you to join, or if you would like to use another phone, please call in at 833-380-0623. https://t.co/VyY7BohsIM",2020-04-29 22:00:51
"Though they may be key in our efforts to re-open the country, antibody tests do NOT double as #coronavirus testing kits. Even when they’re used for their intended purposes, it is imperative that the FDA properly regulates serology tests. https://t.co/zD4xBytgm3",2020-04-29 20:00:52
