tweet,dates
"Please remember to thank a teacher for their hard work and dedication to our nation’s youth, especially during this difficult time. #TeacherAppreciationWeek https://t.co/C7zm7EiiYZ",2020-05-05 23:13:19
We mourn the loss of life in Rapides Parish as tornadoes ripped through the area overnight causing significant damage to the @LSUAgCenter. I stand ready to support a speedy recovery and ask that we all keep the families of those lost in our prayers. https://t.co/bciff1gWAe,2020-04-23 14:46:52
"I can tell you who doesn’t love to see negative oil prices: the millions of Americans whose livelihoods depend on the exploration, extraction, refinement, transportation, marketing, sale, and use of petroleum products.",2020-04-21 17:12:22
Warden Sandy McCain of Raymond Laborde Correctional Center in Avoyelles Parish died of complications due to COVID-19 after serving his community with distinction for 30 years. We appreciate his service &amp; that of so many others during this difficult time. https://t.co/yNAOSUWeNp,2020-04-21 14:27:47
"COVID-19 Progress Report:

Testing for those in need ✅

Help for the uninsured ✅ 

Hospital ships deployed ✅ 

Ventilators supplied ✅  

Infection curve flattened ✅ 

Vaccine underway ✅

Democrat help ❌                     

@realDonaldTrump’s leadership: exemplary.",2020-04-18 18:37:25
".@realDonaldTrump &amp; @SecretarySonny understand groceries don't just magically appear on store shelves, but involve months of advanced planning &amp; diverse supply chains. Our farmers need support to avoid bankruptcy &amp; imminent collapse of these supply chains. https://t.co/nSwa81wz4M",2020-04-18 15:14:04
Great to hear @SteveScalise will serve on @realDonaldTrump’s bipartisan Task Force on Reopening the Economy. Steve will ensure Louisiana’s needs are known as we strike a balance between limiting COVID-19 spread &amp; preventing long-term damage to our economy. https://t.co/kn6xdYNe5T,2020-04-16 17:10:12
"Only Pelosi &amp; Schumer would take a bipartisan program that is working &amp; try to kill it in favor of their own selfish ambitions. They prefer Americans be jobless &amp; reliant on the government dole, rather than employed with benefits &amp; ready to go back to work https://t.co/ZVEpr95Kzb",2020-04-16 15:59:06
Yesterday's salute to our first responders and front line personnel was a heartfelt display of our deep appreciation for our hometown heroes. Thanks to the Aeroshell Aerobatic Team for volunteering their time and resources to brighten our day. https://t.co/MvNn8wH1Bn,2020-04-16 15:03:48
Today I sent a letter to DOJ requesting that funds provided to Louisiana District Attorneys through the CARES Act be made available to cover operating losses due to COVID-19. Our District Attorneys must be able to continue their vital mission in support of the justice system. https://t.co/q2cJD0Aga4,2020-04-15 23:01:19
Thanks to @MyArkLaMiss for coming out to @flymonroemlu today for the Aeroshell Aerobatic Team flyover honoring our first responders and front line heroes. https://t.co/yISJrWHhBD,2020-04-15 22:28:08
"Thank you, Hannah! https://t.co/Syjq2ewTEH",2020-04-15 22:13:54
Many thanks to the Aeroshell Aerobatic Team for taking the time to say thank you to our first responders and front line personnel in such a wonderful way! https://t.co/F4xakf7LUT,2020-04-15 18:50:02
Thank you to our first responders! https://t.co/delXPetfXP,2020-04-15 18:24:23
