tweet,dates
"You’d think a **decline** in the number of calls to South Carolina DSS from people suspecting child abuse would be a good thing, right?

Actually, fewer calls could be the result of fewer ""eyes on children"" during this pandemic, according to Michael Leach, the Director of SC DSS. https://t.co/lBR7mRwQAv",2020-05-06 21:18:49
"New York, the epicenter of our coronavirus crisis with more than one-third of all cases nationally, is actually TAXING out-of-state healthcare workers who came to help the Empire State during its time of need.

This is wrong.

https://t.co/vO0xwKZ9or",2020-05-06 16:32:20
"Let's say you're married with two kids. $36,000 is your family's share of what the federal government will BORROW this quarter alone.

That's on top of your family's share of our existing #NationalDebt, which is north of $290,000.

(thread)",2020-05-05 14:22:19
"My fifth live forum on COVID-19 starts in just a few minutes. This week:

1. Mental health during this pandemic.

2. Update from DSS on the welfare of our children.

3. What's it like to be tested for COVID-19?

Simulcast on several outlets. Details: https://t.co/41DolBZmrQ https://t.co/fOKmiMEXnx",2020-05-01 14:46:00
"I'll be covering 3 big topics related to COVID-19 live this morning at 11 AM:

1. Mental health during this pandemic

2. Update from DSS on the welfare of our children

3. What's it like to be tested for COVID-19?

Simulcast on several outlets. Details: https://t.co/41DolBZmrQ",2020-05-01 12:06:00
"Sally told you wrong, @ChadPergram.

I'll be voting in favor of replenishing the Paycheck Protection Program later today. (And I'm from SC, not GA.)  But yes, we do have to figure out a way to pay for all this:

https://t.co/krFgGMidN1 https://t.co/xgbIQLmR3c",2020-04-23 17:12:21
".@SpeakerPelosi:

Put down the ice cream

             ⬇️

Pick up the gavel 

#OpenCongress https://t.co/9jMNedOa2x",2020-04-16 15:18:10
"Well into the night my staff and I were still answering calls from businesses facing closure and families struggling to put food on the table when the Speaker was showing off her ice cream collection on Late Night TV. 

Pelosi is the most tone-deaf leader since Marie Antoniette. https://t.co/0wwRO4jcJT",2020-04-16 14:56:03
"The Democratic Senator From Arizona is right: The PPP is running out of funds and needs support YESTERDAY to help workers and businesses around the country. 

People can’t afford to wait, it’s time for Speaker Pelosi to #OpenCongress so we can get to work for the American people. https://t.co/384CaWngNN",2020-04-16 14:52:00
"Mary and the folks at Community Cafe have been helping those in need long before COVID-19. Thank you, @PuckerButt, for this generous gift to help their work continue.

(I'm still too scared to eat your peppers, but appreciate what you all do for our community!) https://t.co/MUXJXjcraX",2020-04-14 22:34:26
"This is truly scary. We knew #china owned state media, but it turns out they can also control the United States’ media. 

Comrade #bloomberg is not alone, this goes for every outlet mindlessly repeating CCP talking points and “official” #covid figures. https://t.co/ndoiAO8TSI",2020-04-14 14:23:36
