tweet,dates
Nothing justifies the shooting of #AhmaudArbery in Georgia. My heart goes out to his family and I hope justice is done. Our criminal justice system needs to do better.,2020-05-09 23:01:05
"6th Circuit unanimously rules DWP (drunk-with-power) Beshear ban on church services unconstitutional!

Kentucky coronavirus: Judge rules churches can hold in-person services https://t.co/WBpCFV73hW",2020-05-09 22:00:09
"I agree with Jared, time to safely reopen and start rebuilding the economy! America is resilient, let’s make it great agin! 🇺🇸 Kushner sees a comeback from coronavirus lockdown crisis | Fox Business https://t.co/lKirjAKg3p",2020-05-09 18:14:51
Coronavirus elective surgery bans are too sweeping. Let doctors decide. https://t.co/cfUS9CnfQd,2020-05-08 22:20:30
"With a grain of salt, please

The fallen state of experts | Roger Koppl | The Critic Magazine https://t.co/nMFVWBlUvd",2020-05-08 15:43:05
"On Hayek’s birthday, today’s government planners &amp; pandemic modelers might do well to remember Hayek’s admonition: It is a “pretense of knowledge"" to believe that any AI model or group of busybodies knows enough to engineer our economy, particularly during a crisis. https://t.co/YJANSPOBIf",2020-05-08 14:37:36
"It’s an important debate to have, and I will encourage the president to veto it if it still allows Americans to be abused in FISA court. https://t.co/qv7mP8E1k1",2020-05-07 15:59:01
Economic damage of shutdowns far outweighs COVID-19 health concerns in flyover country https://t.co/sM8nPbn5lc via @washtimes,2020-05-07 15:49:32
"My office has been in touch with prison officials and public health officials in Lexington and across the state this week, connecting them for information and resources. We must work together to stop the spread through our prisons. https://t.co/r7RcDhTQMR",2020-05-07 13:23:14
Hospitals and doctors need to be allowed to open fully and practice. Our economy needs to open.  We are in danger of losing health care system capacity due to government rules.  A good rundown by a leading voice running a large hospital system.   https://t.co/nptj2pgg8r,2020-05-07 13:06:17
Today I introduced fellow Kentuckian Judge Justin Walker to the U.S. Senate Judiciary Committee before its hearing on his nomination to serve on the U.S. Court of Appeals for the D.C. Circuit. Read more here: https://t.co/QtFhFcCMBu https://t.co/Bp2gtN6pvP,2020-05-06 17:12:24
Fauci said he's 'willing to bet anything' that people who recover from the new coronavirus are 'really protected from reinfection' https://t.co/JJt11Lr95R,2020-05-06 16:32:23
I agree! Release all transcripts @RichardGrenell https://t.co/Gv2Ll486YS,2020-05-06 14:28:35
The fake news can’t stand that some people might not need to submit to the new authoritarianism of the left because they are immune to coronavirus. Modern science disagrees.,2020-05-05 23:03:49
It’s important that @realDonaldTrump veto any fake FISA reform that doesn’t prevent this secret court from investigating political campaigns. No presidential candidate of either party should be investigated by this unconstitutional court.,2020-05-05 19:40:42
Amen. https://t.co/AvxjcK2e0B,2020-05-05 16:09:25
"Now is the time to focus all of our efforts on home front.  Ending foreign nation building, stopping proxy wars and cutting foreign aid would bring back approx $80 BILLION every year to be used here for extended Unemployment insurance and needed medical supplies.",2020-05-02 12:56:41
"America’s war in Somalia makes us weaker not stronger.  Time to come home.

U.S. Airstrikes Hit All-Time High as Coronavirus Spreads in Somalia https://t.co/4GytSiT84K",2020-05-01 23:21:09
"Beware the self-righteous and the growing pandemic of busybody/wannabe authoritarians.

A Kentucky Family of 7 Didn’t Practice Social Distancing. Now Child Services Is Investigating the Parents for Abuse. – https://t.co/1OcLJizCrt https://t.co/j3XYBQZ4Gj",2020-04-30 15:48:31
"This is egregious and unacceptable behavior. I believe ⁦@realDonaldTrump should pardon Gen. Flynn. ⁩ FBI official discussed trying to get Flynn to lie in interview, 'get him fired,' notes show | TheHill https://t.co/Cqd3F5GUIM",2020-04-30 15:40:47
"I look forward to helping get our country back to work, back to school and ready to reopen soon. https://t.co/J8FyXqrDGk",2020-04-24 16:19:38
"America should not tolerate abhorrent human rights abusers or use your tax dollars to support them. 

“Washington should end both civilian and military aid and press the regime to reform its people’s rights and liberties. It is bad enough to tolerate...” https://t.co/FEsgtoKU1r",2020-04-23 19:30:36
Congress must immediately return to work! Or allow remote voting during emergencies. https://t.co/TeDbz0zwVy,2020-04-21 21:30:00
"I just offered an amendment to allow remote voting if necessary. I strongly believe Congress should at once return into session, if not remote voting should be available during emergencies.",2020-04-21 21:26:33
I believe there exists too much danger for nearly half-a-trillion-dollar  spending bills being passed without Congress being in session. A handful of individuals in leadership shouldn’t have this much power. All of Congress should weigh in. They should return at once.,2020-04-21 21:15:36
