tweet,dates
"Prematurely reopening Arizona not only risks losing more of our loved ones, but also further crippling our local communities by deepening the spread of a virus that has already taken far too great of a toll. 

My full statement on the reopening here: https://t.co/IrbCDf3Huu https://t.co/npB0wlf1TN",2020-05-08 21:40:05
"Proud to join this effort. 

Any future relief packages must include student loan debt cancellation and long-term relief for all struggling borrowers shouldering record levels of student loan debt. https://t.co/AH2P2BgWqr",2020-05-08 20:46:12
"Trump is using a pandemic to weaken our environmental laws without public oversight, and he isn’t sparing the Grand Canyon. I have a bill to permanently protect this iconic site from uranium mining. 

It's time for the Senate to pass it. https://t.co/LDEIsyH6n0",2020-05-08 16:25:07
"Is Trump capable of appointing anyone who's not a typical crony to positions of power? USPS is going through a major crisis and need real leadership AND funding, not typical Trump posturing. https://t.co/ANkcrpq3j0",2020-05-07 23:55:07
"Perhaps it's the lack of workplace protections &amp; access to testing that is responsible for the outbreaks in meatpacking plants--not the workers themselves. The excuses the Trump Admin makes for their lack in any coherent #COVID19 strategy are ridiculous.
 https://t.co/Br8UCx0pLR",2020-05-07 21:40:03
"Even in the midst of a pandemic, Trump can't help but waste money on his useless wall. While hospitals need PPE and small businesses need funds to survive, Trump is trying to spend over $500 million to paint his vanity wall black.  https://t.co/KGhcMeqfUx",2020-05-07 18:55:10
"Trump's proposed payroll tax cut would harm Social Security and benefit corporations &amp; the wealthy. 

I joined @RepJohnLarson on the Emergency Social Security Benefits Improvement Act to ensure we help our seniors through #COVID19. #ExpandSocialSecurity https://t.co/ZKSGhGRkLi",2020-05-07 17:10:17
"Throughout the #COVID19 pandemic, nurses have served on the frontlines of caring for our family members, friends, &amp; neighbors--putting their own safety at risk

Take some time this week to join me in saluting our nurses who make our communities great. Happy National Nurse Week! https://t.co/O8N4ZbLHvU",2020-05-07 16:59:00
"Good news! @uarizona was recognized by @EdExcelencia w/ the #SealOfExcelencia. 

UArizona serves the needs of 40K+ students in the #Tucson region and is an important part of our community.  

Learn why #UArizona was recognized here: https://t.co/OAsLuIZlaB #LatinoStudentSuccess https://t.co/snXk7rvOpV",2020-05-07 01:25:04
"Instead of actually working to help schools, students, and teachers recover from the #COVID19 pandemic, Secretary DeVos is more concerned with silencing victims of sexual assault on college campuses. 

This is shameful. https://t.co/FmtUpuzGD5",2020-05-06 23:20:03
This is why we need strong accountability measures for companies receiving taxpayer dollars to stay afloat. Relief should be aimed at helping the workers who are the true backbone of their companies--not the shareholders. https://t.co/ZCwgi4AGRR,2020-05-06 21:20:06
"#SCOTUS is hearing cases on the ACA's birth control benefit. 

Under Trump-Pence rules, a woman could lose birth control coverage otherwise required by law because her boss has a personal religious objection to it. 

Your boss’s beliefs shouldn’t dictate the care you get. https://t.co/wZX3YeuQQU",2020-05-06 19:40:06
"IMPORTANT: The Small Business Administration Economic Injury Disaster Loan Program is now open to agricultural businesses. 

The EIDL portal is not open for you to apply if you are an agricultural business with fewer than 500 employees. https://t.co/8sxdWxjvDH",2020-05-06 17:30:29
"From learning how to conduct virtual classes to participating in car parades to lift spirits, our teachers have gone above and beyond during this pandemic to continue serving our students. 

Happy #TeacherAppreciationWeek! https://t.co/4t8UQq0pQT",2020-05-06 15:30:00
Thank you Pima Community College for recognizing the mental health impacts that the pandemic has had on our students and for taking the steps to help them cope through this difficult time. https://t.co/8RKaFVqJC3,2020-05-05 20:30:24
"Trump’s #CultureOfCorruption is even worse during the pandemic.
He should be focused on public health. Instead he’s focused on handing over our #PublicLands.
We’re investigating his fossil fuel giveaway agenda at our online roundtable. Watch LIVE ➡️ https://t.co/c8G9Qh4ybj https://t.co/u72z9PEhU3",2020-05-05 17:10:12
"With rates of violence against women that are 10 times the national average, we cannot sit idly by and do nothing with Native women continue to disappear. I support the #NotInvisible Act because I believe it is time to address this #SilentCrisis. https://t.co/y8ZjKRN6D2",2020-05-05 16:55:08
"The epidemic of missing and murdered Indigenous women in Indian Country is a national tragedy. I proud to work alongside colleagues like @RepDebHaaland to help tribes get the resources they need to save their mothers, daughters, and children. https://t.co/CSZmmeti2X",2020-05-05 16:10:10
