tweet,dates
"To all the moms in CT &amp; across the country—Happy #MothersDay! Today we celebrate your strength, support, &amp; love. Thank you for all you do.",2020-05-10 16:06:26
The results of this investigation reaffirm Congressional intent &amp; vindicate the thousands of small business owners left out in the cold by SBA’s mismanagement of the Paycheck Protection Program. https://t.co/H9KtLMFSd0,2020-05-08 23:51:55
"A heartfelt thank you to educators across CT &amp; the country for your deep dedication to our kids &amp; communities. Your hard work, leadership, &amp; compassion shine bright during these difficult times. #TeacherAppreciationWeek https://t.co/FNXg71YRu1",2020-05-08 22:30:37
"On #NationalMilitarySpouseAppreciationDay, we recognize the unyielding support spouses &amp; partners provide men &amp; women in uniform. Their strength is the backbone of our military.",2020-05-08 21:06:17
"The facts are clear, Flynn was convicted—twice. I’m asking for an immediate IG investigation into DOJ dropping the case &amp; unprecedented politicization of federal law enforcement—further decimating its integrity. https://t.co/KBatfCX3BT",2020-05-08 19:07:33
Proud to join @ChrisCoons in introducing legislation to expand national service programs. Thousands of Americans are ready to roll up their sleeves &amp; get to work to help our communities respond &amp; recover from this crisis. #Stand4Service https://t.co/LjIyIH5AU8,2020-05-08 17:26:03
Amazon’s response when workers raised concerns about warehouse safety &amp; COVID-19—fire them. My colleagues &amp; I will not stand for this treatment of whistleblowers. Amazon must answer for their actions. https://t.co/6nKhE6NXlW,2020-05-08 00:02:18
A war against an insidious global pandemic is now unavoidable but Americans should be spared an unnecessary military conflict that harms our national interests without protecting our national security. The Constitution is clear: the power to declare war lies with Congress. https://t.co/tsKrYYf0Cw,2020-05-07 23:09:26
"Never mind that Flynn pleaded guilty to lying to investigators, AG Barr’s DOJ will drop the case. Democracies become autocratic when officials in power use crises to cover up their flagrant disrespect for the rule of law. https://t.co/LcGN1MVucT",2020-05-07 21:41:45
"Having just reviewed the classified documents on COVID-19 origins, my strong feeling is there is no reason why they cannot be made public immediately—with few redactions. Americans deserve the facts, as best known to our intelligence community.",2020-05-07 20:44:43
"Thank you, Louis—a teacher in Lebanon, CT—for bringing your community together to help those struggling to put food on the table. Many families are hurting right now &amp; teachers across CT are providing pivotal support. #TeacherAppreciationWeek https://t.co/KIsuW9k3Lr",2020-05-07 16:33:36
"Unsafe on any seas. Cruise lines need far reaching health care upgrades &amp; reforms before they set sail again—with passenger lives at stake. They also fail fundamental environmental, labor &amp; other regulations. Great column by @gailcollins. https://t.co/SvUXVYKg2g",2020-05-07 14:15:51
"This destructive proposal to gut existing Title IX guidance seems designed to protect universities from responsibility, rather than students from sexual assault. DeVos should be making schools safe for everyone, but instead she is fueling an environment that silences survivors. https://t.co/l5XlZSrGn7",2020-05-07 00:05:34
"Teachers around our state are going above &amp; beyond in these deeply difficult times. Thank you to Luciana in Stamford, CT for being there for your students &amp; their families. Just one example of an exceptional educator this #TeacherAppreciationWeek. https://t.co/RgwjKvOmrJ",2020-05-06 22:51:04
"For what seems like the millionth time, the Trump/Pence admin is trying to get between a person’s body &amp; their reproductive rights. Today’s SCOTUS case has the potential to let bosses block access to birth control &amp; dismantle a critical ACA protection.  
https://t.co/a7TrxGXi3k",2020-05-06 21:48:02
"Despite the tireless efforts of essential frontline health workers, nearly 58% of COVID-19-related deaths in CT have occurred in nursing homes. I’m introducing legislation that would set new standards to ensure residents' safety, protect workers&amp;guarantee reporting transparency. https://t.co/dVmBVbeYPP",2020-05-06 20:09:54
