tweet,dates
"On Tuesday @ 9:30 AM, Senate Intel will hold its nomination hearing for the Director of National Intelligence.
 
While attendance will be limited due to current public health guidelines, the hearing will be livestreamed here: https://t.co/VR7Uboyvcw",2020-05-01 21:34:52
I want to wish a blessed Ramadan to all who will be observing a month of fasting and prayer. https://t.co/6VJLtaeT3P,2020-04-23 23:57:17
"Today, the Senate Intel Committee released the fourth and penultimate volume in our bipartisan Russia investigation, which examines the 2017 Intelligence Community Assessment that identified Russian election interference: https://t.co/qFa0yKEfZU",2020-04-21 16:26:24
"If you did not file a 2018 or 2019 tax return but do have dependents, register with the IRS by *Wednesday, 4/22 @ 12PM ET* to make sure you automatically receive an additional $500 per eligible child when you receive your $1,200 Economic Impact Payment. https://t.co/A8cpki1gyH",2020-04-21 00:22:33
"#NationalParksWeek is a chance for us to celebrate the beauty of our country and the benefits of smart conservation. While some of our national parks are sadly closed today, they’ll all be waiting for us when the time is right to go out and enjoy the great outdoors. 1/2",2020-04-20 19:11:06
"“He is not here; he has risen, just as he said. Come and see the place where he lay.”

Matthew 28:6

Wishing everyone a beautiful #EasterSunday, as even in difficult times we celebrate the hope we have through Christ’s resurrection. https://t.co/FPPCJzSpjl",2020-04-12 16:03:21
I hope everyone has a happy and blessed #GoodFriday. https://t.co/Uczb7TkRKo,2020-04-10 16:09:58
"This is exactly how the #PaycheckProtectionProgram is supposed to work.
 
Small businesses like @bittyandbeaus and their employees are part of the glue that hold our communities together. https://t.co/kcvKuEgjMc",2020-04-09 00:07:34
"While families and friends may not be able to physically gather this year, faith will always be an important part of how we come together.  

Brooke and I wish everyone celebrating a Happy Passover. https://t.co/Qr8shtzJ79",2020-04-08 21:00:12
"You can apply for a #PaycheckProtectionProgram loan for your small business at your local SBA-approved bank.
 
For more information and the latest guidance on approved lenders, visit https://t.co/xFnMrXzVxU. https://t.co/YRUa2tapyh",2020-04-07 14:12:14
"The #PaycheckProtectionProgram is an inclusive program for more than just traditional small businesses. Non-profits, veterans groups, the self-employed, and independent contractors may all be eligible if they meet @SBAgov requirements. Check out more here: https://t.co/K2knJ7YVdP https://t.co/67bcUeJnhn",2020-04-06 20:25:21
"REMINDER: Right now, small businesses can apply for new loans through the #PaycheckProtectionProgram.
 
These @SBAgov forgivable loans will help #smallbiz keep employees on payroll and provide vital cash-flow assistance as we combat #coronavirus. https://t.co/KvviU13oJA",2020-04-06 18:09:32
"America’s more than 30 million small businesses are the backbone of our economy, but right now they are facing unprecedented pressure and uncertainty. The #PaycheckProtectionProgram is a tool created to help small businesses stay afloat and keep their employees on payroll. 1/3",2020-04-06 14:25:13
"Tom Coburn was among my closest and dearest friends and I will greatly miss him. Everyone who knew Tom knew he juggled many roles – physician, public servant, husband, and father – but was, above all, a devoted Christian. 1/2",2020-03-28 17:23:11
"Doctors, nurses, small businesses, &amp; families are facing unprecedented strain &amp; need immediate resources to weather the current storm. Tonight, the Senate passed a historic emergency relief bill to help Americans as we continue to combat coronavirus. 1/3 https://t.co/puufRh1QAp",2020-03-26 04:04:10
My statement in response to reports about recent financial disclosures: https://t.co/J4kye5a4ok,2020-03-20 14:28:58
"In a tabloid-style hit piece today, NPR knowingly and irresponsibly misrepresented a speech I gave last month about the coronavirus threat. 

Let me set the record straight. 1/",2020-03-19 22:27:46
"As #COVID19 continues to develop, we have 2 critical goals: slow the virus’ spread &amp; provide immediate, targeted relief to those impacted. Today, I voted for the 2nd relief package to help families &amp; small businesses during this unprecedented challenge. https://t.co/4hIuKMLCZQ",2020-03-18 22:02:00
"NC officials are working day and night to keep our communities safe.
 
Yesterday, the @CDCgov awarded NC $13.8 million to help #StopTheSpread of #COVID19. This funding will help increase our ability to test, identify, and track coronavirus cases throughout the state. https://t.co/Ij1qJnrPlR",2020-03-17 19:49:33
"The @WhiteHouse Coronavirus Task Force has issued new guidelines to help slow the spread of #COVID19.
 
The next 15 days are absolutely critical for us to #flattenthecurve.
 
This only works if we all do our part. https://t.co/TXXi6c1EiT",2020-03-16 22:03:46
Here is a great visual that explains why social distancing is such an important and effective tool to help us #flattenthecurve and slow the spread of COVID-19: https://t.co/0R7b224kBW,2020-03-15 19:45:23
"The US is a leader in medical innovation, but we must improve drug affordability. That's why Sen. @MikeCrapo and I introduced the Lower Costs, More Cures Act, which brings together strong solutions to tackle high costs without imposing price controls. https://t.co/J2ALRHsuQi https://t.co/gwZx0ePhmZ",2020-03-11 18:05:38
"With today's announcement, make sure you’re staying up-to-date on #COVID19 recommendations from the @CDCgov  and @ncdhhs. I will continue to work with @NC_Governor and state and local public health officials to ensure they have the resources they need to keep NC communities safe. https://t.co/QsrByPf5DK",2020-03-10 19:56:31
"As the number and complexity of diagnostic tests grow in the U.S., it’s essential we have a regulatory framework that supports innovation and prepares us for the next generation of products.
 
That’s why today I am introducing the VALID Act with @SenatorBennet. https://t.co/P70yYH6WFB",2020-03-05 19:17:26
My statement on the first reported case of coronavirus in North Carolina: https://t.co/v1zZ8SlG26,2020-03-03 23:47:30
https://t.co/V8zBVWoP7x,2020-02-29 00:10:26
"Thanks to @NOAAFisheries for working with us to allocate over $7.7 million in disaster relief for North Carolina fisheries. 

Read more ⬇ https://t.co/sy80a8afzo",2020-02-28 17:54:13
"Proud to have supported 2 bills to bring the U.S. more in line with public opinion &amp; international norms when it comes to protecting life.
 
It’s unfortunate Senate Dems chose to block medical care for babies born alive &amp; a 20-week limit that’s standard in the rest of the world.",2020-02-25 22:23:57
"IP theft, corporate sabotage, and market manipulation are part of Huawei's core ethos and reflected in every aspect of how it conducts business. Today's announcement by the @EDNYnews is important in combatting Huawei's state-directed, criminal enterprise. https://t.co/2rMGFYwnIY",2020-02-13 19:13:12
Walter Jones had a lasting impact on NC and this country. He was a dedicated public servant who practiced a steadfast commitment to his principles. I can think of no better way to recognize his legacy than by dedicating the Walter B. Jones Jr. Post Office in his hometown. https://t.co/8cMdYKHdv6,2020-02-10 21:58:31
"Congress built a strong emergency response framework, designed to be flexible and innovative, so we are not only ready to face the coronavirus today, but new public health threats in the future.
 
Read more: https://t.co/eH344TuPUQ",2020-02-07 20:29:59
"After discovering the existence, if not the full scope, of Russia’s election interference efforts, the Obama Administration struggled to determine an appropriate response.
 
NEW -&gt; Read the 3rd chapter in Senate Intel’s bipartisan Russia investigation: https://t.co/JWKKjDKb1f",2020-02-06 14:40:13
"Today I voted to acquit President Trump on both articles of impeachment.
 
Here is my full statement: https://t.co/GSNMPn5lUy",2020-02-05 21:50:38
"President Trump's address tonight underscored his commitment to delivering commonsense reforms that energize our economy, empower American workers, shape our judiciary, and more. https://t.co/BacTMtR53n",2020-02-05 03:32:23
"I’m deeply troubled by the U.K.'s decision to allow Huawei to build components of its 5G network.

The risks Huawei poses are well-documented and impossible to ignore. Once the door is opened, they may also prove impossible to contain. 1/2",2020-01-28 22:13:32
"The #2019nCoV outbreak is just one example of why we need to stay vigilant against public health threats.

The Pandemic and All-Hazards Preparedness and Advancing Innovation Act, signed into law last year, will keep America prepared to respond with innovative countermeasures. https://t.co/9GD1zdSjIJ",2020-01-27 21:48:32
"We will #NeverForget the horrific atrocities committed during the Holocaust.

On #HolocaustRemembranceDay, we remember those who were liberated from Auschwitz on this day, and we honor the memory of the millions more who were brutally killed. https://t.co/rz9LPnzM1D",2020-01-27 16:42:16
"Glad @USDOT is doing something about this. Too many people are fraudulently claiming disability needs to bring any variety of animals on a flight. It’s not fair to those who do need trained service dogs, other passengers, or the airlines. https://t.co/jay0u8LGmW",2020-01-23 22:59:26
New profile pic. https://t.co/mvArg4RNar,2020-01-22 14:25:54
