tweet,dates
May is National #MilitaryAppreciationMonth. I commend all members of the U.S. military – both former and present – for their service and dedication to our nation. We are forever indebted to these brave heroes. https://t.co/LMPUCaHjxS,2020-05-08 19:15:04
"This week is #NursesWeek! I want to thank all of the dedicated nurses throughout #AL &amp; across the nation – not only for their selfless efforts during the #COVID19 crisis, but also for their hard work &amp; devotion to protecting &amp; saving lives all the time.",2020-05-08 17:40:04
Today @NOAA announced their plan to provide $300 million to assist the U.S. fishing industry in mitigating impacts caused by #COVID19. This includes $3.3M for #Alabama! I am proud to have fought to include this funding in the #CARESAct.,2020-05-07 20:12:20
"While it’s not a normal day in the Senate, I am still hosting my Republican colleagues for a social distancing lunch. My gift to them includes @JimnNicksBBQ cheese biscuit mix and some #Alabama pottery from @AlabamaGoods. #MadeinAlabama https://t.co/sVyZvCFUvN",2020-05-07 16:55:37
Today the Senate @BankingGOP Committee held a hearing to consider the nomination of Dana Wade to be @FHAgov commissioner. Her prior public service &amp; extensive knowledge of housing issues make her well-suited for this position.,2020-05-05 19:56:57
"Today the @AlabamaNG will conduct a flyover to honor healthcare workers, first responders, and other essential employees for their efforts during the #COVID19 crisis. Proud these hardworking Alabamians are being recognized and commended! https://t.co/L54JDfwmQp",2020-05-05 16:28:15
Happy #TeacherAppreciationWeek to all of AL's hardworking teachers. Proud of their efforts to invest in the lives &amp; education of students – and especially grateful for their willingness to go above and beyond during #COVID19. Let’s take time this week to celebrate our #teachers.,2020-05-04 20:15:49
Great news for Alabama’s #agriculture industry! https://t.co/K8pIkvGljk,2020-05-04 17:32:15
"Glad the Acting Secretary of @DHSGov Chad Wolf took the time to speak to @AuburnU students virtually today, addressing the department’s response to the #COVID19 crisis &amp; other current issues. Proud of the partnership that exists between #DHS &amp; our state. https://t.co/LarG4FPRxC",2020-04-30 20:22:11
"Proud that #Alabama's own Vaneeza Rupani named @NASA’s Mars helicopter. Her grasp on the importance of exploration is extraordinary, &amp; I am confident that she has a bright future ahead. Congratulations to Ms. Rupani of #Northport on being selected for this prestigious honor! https://t.co/SM1KeRcIYu",2020-04-29 15:48:03
Excellent news for 25 local #AL airports! @USDOT has awarded $61 million in @FAANews grants to support aviation #infrastructure improvements and allow operations to continue as they work to minimize the negative effects of #COVID19. https://t.co/dvemu1ER9d,2020-04-29 15:40:24
"Vestavia Hills High School won their division at @CivicEducations’s We the People National Finals Challenge, which was held virtually this year. Proud of this accomplishment, highlighting the students’ understanding of our government. #WTPFinals https://t.co/w7l7lalcka",2020-04-28 22:31:10
Here’s a great opportunity for #AL students interested in #aviation: @FlightWorksAL is providing online education activities during the #COVID19 crisis. Visit https://t.co/LzRBFCvyn8 to be a part of it!,2020-04-28 21:35:06
