tweet,dates
"As someone who was raised by a grandmother and an aunt, I know that mothers come in all forms. To everyone who bears that title, thank you for all you do. Enjoy your day! Happy #MothersDay https://t.co/kwj9evYnGE",2020-05-10 13:49:31
"Today marks the 75 year anniversary of #VEDay – the end of #WWII in Europe.

The country is thankful for the service members – and the allies who fought alongside them – for their bravery and sacrifice. #VEDay75 https://t.co/nyVuWqQs13",2020-05-08 18:27:00
"""Neither❄️snow🌧nor rain☀️ nor heat🌙 nor gloom of night (nor 😷 a pandemic) stays these couriers from the swift completion of their appointed rounds,"" - @USPS. 

We must support them vigorously. 

https://t.co/JdA0JFwCD4",2020-05-08 16:25:15
Thank you to @104fighterwing for bringing smiles to the faces of so many in Massachusetts today - including my neighbors at @Baystate_Health #MassSalutes #AirForceSalutes #AFFlyover https://t.co/PnIO2MbeBI,2020-05-06 18:03:35
"On #NationalNursesDay, we thank those who are on the front lines, caring for our loved ones, and keeping us safe. Your compassion and selflessness deserve recognition today and every day. #ThankYouNurses https://t.co/jUrRESOPNZ",2020-05-06 13:28:14
As a former HS teacher at Cathedral (@PopeFrancisHigh) &amp; current lecturer at @UMassAmherst I know how hard teachers work to provide the best education possible. On  #TeacherAppreciationDay #ThankaTeacher for going above &amp; beyond in your life. https://t.co/IpLvi0JEZd,2020-05-05 18:59:39
"At a time when the US is grappling with #COVID19 and access to health care services is so critical, we are disappointed that this Administration is once again taking steps to limit access to health care and embolden discrimination against some of the most vulnerable among us. https://t.co/1PtA76MbI9",2020-05-01 14:57:12
I can't imagine @CityofHolyoke w/o #NicksNest or @delaneylogcabin. Thanks to @SBAgov #PPP these small businesses are able to keep their lights on &amp; their employees working. I'll continue to fight for them in DC as they are the backbone of our communities. https://t.co/RVCojlXyRA,2020-04-30 19:54:38
"As a former mayor, I know the dire situations cities and towns find themselves in during this pandemic. As Congress works on the next response legislation, we want to be sure we can help them shore up the economic health of all communities.  https://t.co/iGOg3roOaT",2020-04-30 17:32:22
I'm LIVE with @usmayors. Tune in below ⤵️ https://t.co/DxOLNGrtky,2020-04-29 15:40:47
"This is @SBAgov #PPP loans in action. Thanks to @GreylockFederal, RSI Signs in #Pittsfield (a second-generation, veteran-owned business) was able to secure a loan to bring back 3 employees and continue to serve the needs of their community. https://t.co/qnCakrEmPg",2020-04-28 16:11:11
"ICYMI: On Friday, I spoke with @CarrieSaldo on @wgby. Check out the full interview HERE: https://t.co/1SJ5SZoj1D https://t.co/wEATPj2yEu",2020-04-27 14:01:22
Live at @Hasbro in East Longmeadow with @MassGovernor. https://t.co/Ie58em8bho,2020-04-25 17:44:07
"The motorcoach industry is not only an important part of the nation’s transportation network (and some folks' only mode of transportation in parts of our country), it is also an important part of the economy, providing over 88,000 good-paying full-time equivalent jobs. https://t.co/N1xvURfNW6",2020-04-24 18:05:03
My sincere condolences are with @ewarren and her family during this difficult time mourning the loss of her brother to the #coronavirus. A stark reminder that this affects all of us and we all must be part of the solution. https://t.co/riFm5THWfu,2020-04-24 17:16:44
"We know that restarting our economy can only happen when Americans are healthy and national testing strategy is a necessity to do that. Through bold action, we will help hospitals and health care workers on the frontlines weather this unprecedented crisis. https://t.co/M1Vd1kdOEl",2020-04-24 13:55:33
"I supported this bill, even though it does not come close to fully addressing the staggering needs of the American people. @WaysMeansCmte is already looking ahead to the next response package that will give more comprehensive relief to the least, the last, and the lost. https://t.co/Q9NtcJNNm4",2020-04-23 22:23:46
"This #Ramadan, let us be reminded of the power of faith and community.
 
#RamadanMubarak to all who observe. https://t.co/BDRDdfOBef",2020-04-23 20:07:08
"We are all painfully aware that the American people are worried about their health, jobs, the economy, &amp; what life will look like after this emergency ends. It is our responsibility to give our communities the confidence that we will get through this crisis. https://t.co/gclsrR2AAh",2020-04-23 16:11:41
"This round of $ will be available to providers who serve vulnerable patients, children w serious illnesses, cancer patients &amp; Medicaid patients. It'll be critical to hospitals in my district that are on the front lines fighting #COVID19 &amp; those that serve at-risk populations. https://t.co/dsyrVwHvhx",2020-04-22 19:37:28
"If you have questions on the Economic Impact Payments, be sure to register for this webinar tomorrow. https://t.co/AMrqe1T5sT",2020-04-22 19:06:48
"Proud to have participated in the first #EarthDay 50 yrs ago &amp; to have facilitated the building of the Springfield Materials Recycling Facility - which processes recyclables for 74 wmass towns - when I was Mayor. 

A reminder from them today: masks &amp; gloves are not recyclable! 🚮 https://t.co/4REeU0mSkJ",2020-04-22 15:16:28
"This is great news. Taiwan's donation of 100,000 face masks arrived earlier this week and were donated to @MassEMA warehouse for use around the state. https://t.co/CviSd3eV63",2020-04-22 13:21:21
