tweet,dates
"“The Mission of this Allied Force was fulfilled.” - General Eisenhower 
 
On the 75th anniversary of #VEDay, let us honor all the men and women of the Greatest Generation who served and sacrificed for the cause of freedom. #NeverForget https://t.co/V484mEsnAg",2020-05-08 15:12:27
"Today we honor and celebrate America’s military spouses. You sacrifice, serve and are a critical part of keeping our country safe. You are appreciated today and every day! #MilitarySpouseAppreciationDay #MilitarySpouseAppreciationMonth",2020-05-08 13:05:16
"Unfortunately, bad actors have tried to use the #CoronavirusOutbreak to prey on innocent people. That's why I joined @RepBuddyCarter &amp; @RepLBR to introduced legislation to ensure the public is aware of scams to better protect themselves &amp; their loved ones. https://t.co/8EprQvaZQA https://t.co/wnyYH346Sl",2020-05-07 18:10:21
"Keep your eyes on the skies today! The @NCAirGuard will be flying over various cities, hospitals, and food banks to honor #FrontLineHeroes across the state. #AmericanResolve #ncpol https://t.co/7rAsFpY1ME",2020-05-07 13:46:18
"Today, let us pray for our doctors, nurses, grocery store employees, postal employees, delivery drivers, and many more who are on the frontline, night and day. Thank you for leading America’s response to this pandemic. #NationalDayofPrayer https://t.co/bRrg26dTXE",2020-05-07 12:18:35
Today I spoke w @NikkiHaley to discuss #COVID19 and #China. I value her perspective as an Amb &amp; Gov &amp; look forward to working w my @HouseCommerce colleagues on legislation to protect cyber security &amp; America's manufacturing sector. Thx you @cathymcmorris for setting up the call.,2020-05-06 21:57:41
Thank you to all the nurses across the country who are courageously serving on the frontlines in our fight against #COVID19. #NationalNursesDay #NursesDay https://t.co/IFlAXRZaK1,2020-05-06 15:17:37
"🚨Veterans and seniors with dependents: If you do not normally file a tax return, today is the LAST DAY to register to receive your full #COVIDー19 economic impact payment. Learn more from @IRSnews ⬇️ 
https://t.co/Wbbe8cG9Vz https://t.co/djMR0nlzaX",2020-05-05 16:08:42
"The #CARESAct authorized @HHS to directly cover costs of hospitals, health systems and other providers related to #COVID19. Since April 19th, over $37 million has been paid out to providers on the front lines of the response in North Carolina’s 8th District. #InItTogether",2020-05-04 18:56:14
"Last week, I called on Speaker Pelosi to reconvene the House and get Congress back to work. I appreciate @GOPLeader for developing a commonsense plan so we can do just that. My District’s interests are #essential, it’s time the House get back to work.

https://t.co/LdEizROit9",2020-05-04 15:36:00
"The #PaycheckProtectionProgram is providing critical support to millions of #SmallBusinesses and tens of millions of hardworking Americans. In just the last 7 days, nearly 57,000 loans totaling over $4.2 billion have been made to small businesses in North Carolina. #InItTogether",2020-05-04 13:08:40
"Thank you to all of the educators who help America’s children reach their full potential, especially now during this time of remote teaching and digital learning. I’m grateful for all of the incredible teachers who shaped my life – especially my mom! #TeacherAppreciationWeek https://t.co/O0OyOl9pMy",2020-05-04 12:17:49
Welcome home! @Strike_Hold @82ndCAB https://t.co/VqeCNld7ow,2020-05-02 20:13:14
"Renee and I offer our condolences and prayers to the family following the passing of former Sen. Tony Rand of Fayetteville. He will long be remembered for his commitment to our community and lifetime of public service to our state. #ncpol

Full statement: https://t.co/SXmhNdg7rW",2020-05-01 17:34:32
The restaurant industry has suffered significant sales &amp; job losses since the #COVID19 outbreak began. Thank you @SteveScalise for hosting a call today with Chef @Emeril to discuss the unprecedented challenges facing the industry &amp; need to provide relief to workers. #InItTogether https://t.co/ypOPXt9Q14,2020-05-01 16:52:35
"The deadline for the Eighth District Congressional Art Competition is Thursday, May 28, 2020.. For more details on how to submit artwork virtually this year: https://t.co/mYePghrjNK https://t.co/0wD5f6maXY",2020-04-30 21:41:57
"Thank you @ArchbishopFoley and 12-time Grammy winner @cecewinans for joining our weekly faith conference call today and reminding us to keep our eyes on God, especially when we feel powerless, for His love is the answer to all the problems we are facing. #InItTogether #NCValues",2020-04-30 19:52:21
#CharlotteStrong https://t.co/Ajm2Dxp0BN,2020-04-30 16:38:29
"President @realDonaldTrump has worked tirelessly to get lifesaving resources to Americans on the frontlines of #COVID19. So far North Carolina has received:  

✅516,312 N95 Masks
✅2,305,150 Surgical Masks
✅1,027,000 Medical Gowns
✅146,027 Face Shields
✅48,020,353 Gloves https://t.co/uGlxWOTRn0",2020-04-29 21:37:51
Happening Today at 4pm: The @SBAgov will only accept #PPPLoan applications from lenders with less than $1 billion in assets until 11:59pm tonight. This is a reserved time for just those lenders &amp; loans but does not limit their access past this time. #PaycheckProtectionProgram,2020-04-29 18:26:50
"Happy birthday to @NASCAR legend &amp; my all-time favorite driver, Dale Earnhardt Sr.🏁

#TheIntimidator #RememberThe3 #Nascar #nc08 @dalejr @rcrracing @richardchildress @CLTMotorSpdwy https://t.co/IiLkJrUQJc",2020-04-29 16:01:29
"Im glad the @USTreasury has announced any loan over $2 million will be reviewed to ensure the #PaycheckProtectionProgram helps workers and small businesses who need it most. #InItTogether

https://t.co/QbpB76TUX9",2020-04-29 14:51:27
"I agree with President @realDonaldTrump - it's time for Nancy Pelosi and the House to come back to work.
 
I've been here every day &amp; in constant contact with my district, working to help you keep your job. It's time for Nancy Pelosi to bring the House back so we can do our job. https://t.co/meFAHIRKmZ",2020-04-28 21:58:40
"I just spoke with @SecBrouillette about energy jobs, the oil markets and the need for Russia and Saudi Arabia to make production cuts. I’ll continue to work with President @realDonaldTrump and my colleagues on @HouseCommerce to protect American jobs. #AmericaWorksTogether https://t.co/ywYXjpuZxC",2020-04-28 20:47:32
"Congratulations to @unccharlotte Chancellor-elect Dr. Sharon Gaber. I look forward to working with you and welcome to #NinerNation! 

#goldstandard #49eralumni

https://t.co/bKU5FBfagO",2020-04-28 15:49:36
"Check out this video from @GOPLeader highlighting the #PaycheckPrtoectionProgram and other relief President @realDonaldTrump has made available for small business owners, employees, and the recently unemployed during the #COVID19 pandemic. #InItTogether 

https://t.co/PT8eKbiKHP",2020-04-27 16:36:35
"Happening Today: The @SBAgov will resume accepting #PaycheckProtectionProgram loan applications at 10:30AM. 

Learn more about the program here: https://t.co/LQbOXh3tch",2020-04-27 14:24:46
"The #PaycheckProtectionProgram has already been a lifeline for workers impacted by #COVID19. The funding we passed yesterday will save an additional 28.7 million jobs across the country, including 765,000 in North Carolina. https://t.co/UbqUQA6K9V",2020-04-24 17:32:54
"“The group is producing an average of 10,000-12,000 face shields per day, with a goal to mass manufacture 100,000 face shields by the end of April” 

Good work @CLT_MEDI x @unccharlotte! #InItTogether #GoldStandard

https://t.co/cCFNyoeJN7",2020-04-24 13:42:32
Welcome to the Queen City @DerrickBrownAU5 @Panthers! #PantherNation #KeepPounding https://t.co/gSOwKWiIH3,2020-04-24 01:16:03
"North Carolina independent contractors and self-employed workers out of work because of #COVID19 can apply for federal Pandemic Unemployment Assistance beginning this Friday, April 24. Find out more information on my website https://t.co/X1dleWAP1M",2020-04-23 19:23:32
This morning I participated in @oscepa’s webinar discussing the long-term socio-economic effects of #COVID19. I appreciate hearing directly from my colleagues abroad and look forward to continuing our work together during this global pandemic. #InItTogether https://t.co/jnzZChXTxH https://t.co/BjCBJKqUxc,2020-04-22 18:01:19
I spoke to @SecBrouillette today with my House Energy Action Team colleagues to discuss ways to bring the US #Oil market back. I agree with the Secretary &amp; President @realDonaldTrump that we need to continue to use the Strategic Petroleum Reserve and promote stability.,2020-04-21 22:49:55
"As @FtBraggNC's Congressman, caring for our servicemember's families has always been of the utmost importance to me. I'm proud to join my @HASCRepublicans colleagues, @RepTrentKelly and @MacTXPress, in addressing Military Family Readiness. 

https://t.co/5rUAIWg3iL",2020-04-21 20:16:44
