tweet,dates
Proud to work with @SenDuckworth &amp; @GovPritzker to help IL SNAP recipients buy groceries online. This will help millions of Illinoisans safely put food on the table &amp; I will continue to look for ways to expand access to SNAP benefits &amp; food programs as we respond to #COVID19. https://t.co/KcNrNtmfZJ,2020-05-20 19:18:52
"When will Senator McConnell feel the ‘urgency’ to act on #COVID19 legislation? 90,000+ Americans have died &amp; the Senate Majority Leader’s focus is on protecting corporations from accountability.
 
The human cost of Senator McConnell’s inaction grows with each day he delays. https://t.co/7VaRuFAfxH",2020-05-20 17:33:19
"Our next @USNavy Secretary must prioritize the well-being of our sailors, including those at @navstaglakes, &amp; take steps toward mitigating health risks brought on by #COVID19. Spoke with Amb. Kenneth Braithwaite, @USNavy Secretary nominee, about his thoughts on these issues.",2020-05-20 15:15:39
"Going to the Senate floor this morning to call on my colleagues to support the #HeroesAct. With 92,000+ Americans dead, more than 1.5M sick w/#COVID19, &amp; 36.5M more unemployed, it's hard to imagine how Senate Republicans don’t feel any urgency to act. https://t.co/B0T9RuMcaP",2020-05-20 14:17:15
"Sen McConnell should pay attention to what’s happening in his own state per his own Gov.

The #HeroesAct provides necessary funds for struggling state &amp; local govts &amp; hospitals, like in KY, to prevent layoffs for first responders, doctors, nurses &amp; teachers.
 
Seems urgent to me. https://t.co/HOaRPPApfn",2020-05-20 13:21:47
Spoke w/@toendhunger today about the spike in SNAP applications &amp; food bank lines &amp; ways we can work together to feed families. Helping hungry Americans &amp; the world's most vulnerable isn't just the right thing to do – it will be necessity for us to fully recover from this crisis.,2020-05-19 21:00:45
"The network @chefjoseandres has created both nationwide &amp; globally to bring cooks back to work and to feed those in need during numerous global emergencies is nothing short of amazing. Thank you for your work on the ground in Engelwood &amp; across Chicago, Chef. https://t.co/2PuvK50n2U",2020-05-19 20:11:25
"Last week, I joined @RepCheri, @ChuckGrassley, @SenDuckworth, &amp; @RepMcKinley in urging the Federal Bureau Of Prisons to test all new inmates for #COVID19 before transferring them to BOP quarantine sites – including USP Thomson in Illinois. BOP has agreed to our request. https://t.co/wN8i2nOree",2020-05-19 19:08:13
Going to the Senate floor this morning to ask for immediate passage of my resolution calling on the U.S. to re-join global efforts to find a #COVID19 vaccine. We cannot afford to petulantly isolate ourselves from this effort. Watch live here: https://t.co/McUut61xtJ,2020-05-19 14:45:38
"Across the US, state unemployment agencies are overwhelmed by the unprecedented number of claims filed by working families trying to make ends meet. These state agencies must be equipped to process &amp; deliver unemployment benefits to Americans as quickly as possible.",2020-05-19 13:16:57
I recommended Normal Mayor Chris Koos to serve on the @Amtrak Board of Directors because he understands the importance of passenger rail. He'll be an essential voice for IL &amp; Midwest in support of growing @Amtrak's network. I urge my colleagues to support his nomination.,2020-05-18 23:14:22
"As #COVID19 spreads across the United States, @ChuckGrassley &amp; I asked the DOJ Inspector General to assess how the Bureau of Prisons was handling the situation. Last week, DOJ IG Horowitz sent us his response. https://t.co/ByWMZnMWbk",2020-05-18 21:37:00
"PART TWO of my conversation with Dr. Manuel Bernal -  a #DACA recipient and emergency room resident at Advocate Christ Medical Center in Chicago, and one of the many #ImmigrantHealthHeroes helping our nation in the fight against #COVID19.
 
Watch here: https://t.co/EPcezz1zPn",2020-05-18 19:40:04
"PART ONE of my conversation with Dr. Manuel Bernal -  a #DACA recipient and emergency room resident at Advocate Christ Medical Center in Chicago, and one of the many #ImmigrantHealthHeroes helping our nation in the fight against #COVID19.
 
Watch here: https://t.co/y7NRegkSDZ",2020-05-18 19:39:31
"Wonderful to see how these essential workers in Chicago – already under strain from #COVID19 - went out of their way to make a little boy’s birthday special. This crisis is affecting us all, but by coming together, we’ll make it through this difficult time.https://t.co/RnqLQS0yv8",2020-05-18 17:59:44
"For families who are struggling to pay rent or put food on the table during the #COVID19 crisis, Unemployment Insurance disbursements are a lifeline. It's vital that Unemployment Insurance programs are up &amp; running and equipped to handle the unprecedented number of claims.",2020-05-18 15:26:29
"The President needs to stop blaming others for his failed response to #COVID19. If he was really interested in helping our hospitals &amp; health providers, he would fully invoke the Defense Production Act to get them the PPE &amp; testing supplies they need.",2020-05-18 13:36:40
Fans within earshot of Mike McCaskey at a @ChicagoBears game could count on him to belt out every word of “Bear Down Chicago Bears” when his grandfather’s team scored. The Halas bloodline was strong with Mike and I was happy to count him as a friend. https://t.co/DXhUxcu7aU,2020-05-18 01:10:15
Great to be in Springfield today at the kick off for the 21st summer season of the Old Capitol Farmers Market. https://t.co/yrB9wZz0qt,2020-05-16 19:44:19
"Feeding a community in need is a team effort. Encouraging to see the Harvey community come together to serve more than 1,000 local families through their food drive.
 
https://t.co/9p6KavXIxp",2020-05-16 13:05:52
Spoke with @ILVetsAffairs Dir. Chapa LaVia today about protecting veterans &amp; State Veterans Home staff in IL from #COVID19. I appreciate IDVA efforts to prevent &amp; mitigate the spread of the virus at our State Veterans Homes &amp; will continue pushing for federal support for IL vets.,2020-05-15 21:56:01
"Proud to have been a part of this effort condemning Beijing’s gross human rights abuses and treatment of Uyghur Muslims. China must stop unjustly jailing and harassing its own people for expressions of free speech, thought, and faith. https://t.co/l51m2g91Ge",2020-05-15 20:03:36
"There are more than 80,000 COVID cases in Illinois, with alarming &amp; unacceptable disparities among communities of color. We must focus efforts on expanding our testing capacity so we can start to safely reopen the economy.",2020-05-15 19:16:07
"By fighting in court to cut access to SNAP benefits while tens of millions of Americans are filing for unemployment, the Trump Admin. is working to take food off the table for hungry American families during a time of unprecedented need. #HandsOffSNAP https://t.co/uWsRW7ewdX",2020-05-15 18:38:59
This morning I visited @CookCtyHealth outdoor #COVID19 testing facility with @ToniPreckwinkle. I want to thank all of the hospital staff for the heroic work they’ve put into helping our community stay safe and healthy. https://t.co/lwPGTqjAWo,2020-05-15 18:01:17
"Thousands of immigrant doctors who are risking their lives to treat #COVID19 patients are stuck in the green card backlog. Congress should pass the Healthcare Workforce Resilience Act, my bill with @sendavidperdue to help these #ImmigrantHealthHeroes.  
https://t.co/rZqP0RkQIP",2020-05-15 13:38:59
"I was dismayed when the US sat out of a recent virtual conference to collaborate &amp; raise funds to research, manufacture, &amp; distribute possible treatments &amp; a vaccine for #COVID19. It was yet another short sighted &amp; critically missed opportunity by this Administration.",2020-05-14 22:31:15
"Grateful for Illinoisans like Blair Bookland, Mattoon firefighter &amp; master sergeant in the U.S. Air Force Reserve, who answered the call to serve #COVID19 patients in overwhelmed ICU units in New York. 
  
https://t.co/lpEdYSdfbI",2020-05-14 20:51:20
We cannot forget about the health &amp; safety of the domestic workers who are continuing to care for our loved ones throughout this pandemic. Spoke with @domesticworkers today about fighting for economic security for domestic workers &amp; their families.,2020-05-14 19:40:52
"36.5M Americans filed for unemployment in the last two months. Tens of millions have also lost their health insurance in the middle of a pandemic that has already killed 83,000+ Americans and sickened 1.4M.
 
Hard to understand how Sen. McConnell doesn’t see any “urgency” here. https://t.co/WObZidgn2c",2020-05-14 18:00:28
"Last week saw a chaotic initial federal allocation of remdesivir to hospitals. As we move forward, it's essential that @HHSGov puts a transparent plan in place for the distribution of this &amp; future #COVID19 drugs or vaccines.",2020-05-14 14:51:25
"Despite the risks to their own safety, a group of veteran ICU nurses stayed on to care for #COVID19 patients &amp; offer their mentorship to fellow nurses in the unit. Thank you to the “Old Dolls” for their years of leadership at Northwestern Memorial.  https://t.co/PQr9X3hYfY",2020-05-14 13:52:09
"ICMYI: Last night, I went to the Senate floor to share the story of Dr. Ram Alur - an immigrant physician at the Veterans Affairs Medical Center in Marion, IL, and one of the many #ImmigrantHealthHeroes helping our nation battle #COVID19. https://t.co/uEz2ghYrK9",2020-05-14 00:47:49
"Sen. McConnell’s “red line” on liability immunity will allow irresponsible corporations to cut corners, putting workers &amp; customers at risk.
 
Our #1 priority in reopening must be protecting the American people from #COVID19. It's the only way we will ever get back to normal. https://t.co/bIhBmgfdBJ",2020-05-14 00:07:46
"Attention veterans in Illinois: @IAVA has launched a free, consolidated-care program to help veterans &amp; their families during this pandemic. The Quick Reaction Force connects vets to immediate support for any challenge they may be facing. More here: https://t.co/72qZhmbPnc",2020-05-13 22:51:39
"192 Illinoisans died from #COVID19 yesterday, the most for a single day in our state so far. This virus is far from beaten. 
 
Illinoisans – please continue to wear masks, practice social distancing, &amp; #StayHome whenever possible. It is the best way to help our state re-open. https://t.co/uxGUWL7nxa",2020-05-13 22:03:23
"More than 83,000 Americans have died from #COVID19 so far. 1.4M have been sickened.
 
But the Trump Administration is still pushing forward with its efforts to undo the ACA, ripping health coverage away from millions. 
 
Proud to join @SenateDems in pushing back. #DropTheLawsuit https://t.co/H2Ca2X8VoZ",2020-05-13 20:29:32
"May is Mental Health Month &amp; with the health, economic, &amp; isolation strains from #COVID19 pandemic, there has never been a better time for Congress to fund critical mental health services. #FundMentalHealth #Time2Act https://t.co/RSgQmU8Jn1",2020-05-13 19:19:24
"Ensuring the health and safety of every federal prisoner &amp; guard is the moral responsibility of the federal government. Unfortunately, the Trump Administration has failed to meet this challenge.",2020-05-13 18:29:36
"With the end of #Ramadan near &amp; the #COVID19 pandemic ongoing, I urge the Kingdom of Saudi Arabia to release political prisoners Raif Badawi, Waleed Abu al-Khair, Loujain al-Hathloul, Samar Badawi, and others on humanitarian grounds.",2020-05-13 17:42:41
"No more excuses. It’s time for @BetsyDeVosED to comply with the law and stop garnishing wages of student loan borrowers.
 
https://t.co/WKHDRy2pfe",2020-05-13 17:00:20
"Nice to answer thoughtful questions from high school students attending @SEGL yesterday about the #COVID19, the importance of civics, and the work of the Senate. These students have bright futures ahead of them!",2020-05-13 15:51:34
Speaking on the Senate floor now. https://t.co/fvmPWAt3QO,2020-05-13 14:52:21
"As hospitals face an influx of patients due to #COVID19, it's imperative that we keep hospitals &amp; care providers on financially stable grounds to sustain their heroic work. That's why I'm calling for adjustments to Medicare's Accelerated &amp; Advance Payments Program.",2020-05-13 14:01:45
.@SenateDems are ready to roll up our sleeves &amp; get to work on the next desperately-needed coronavirus stimulus package. My statement on the House introduction of the #HeroesAct: https://t.co/OP0KuRDyKV,2020-05-13 00:29:57
"This is an important &amp; timely series looking at the contributions &amp; challenges of our nation’s Asian-American community. I was proud to play a small part in tonight’s episode.
 
Make sure you tune in to see part 2 of “Asian Americans” tonight at 8pm ET/7pm CT. https://t.co/a5mIxQ7uJ9",2020-05-12 23:12:34
"One-sixth of our nation’s health care workforce are immigrants. I’m going to the Senate floor tonight to share the story of one of these #ImmigrantHealthHeroes from Illinois – Dr. Ram Alur, a physician at the Veterans Affairs Medical Center in Marion, IL.  https://t.co/wgQTtcx0Ry",2020-05-12 22:00:41
"#COVID19 has forced business owners to adapt to the new ""normal."" For Sports Awards in Jefferson Park, that meant transitioning from manufacturing trophies to producing equipment to keep their neighbors safe and stop the spread of #COVID19.
 
https://t.co/G3bt4PUDJx",2020-05-12 19:19:19
"Good news for Southern IL: After they told me on call about shortages, Pinckneyville Community Hospital received additional test kits today thanks to hard work of my staff. Unfortunately we still do not have enough supplies of test kits nationwide – this must be our #1 priority.",2020-05-12 18:17:26
Speaking on the Senate floor now. https://t.co/ip07qtvthL,2020-05-12 15:17:18
"Community Health Centers are a critical resource for millions of Americans – particularly in racially diverse &amp; medically underserved communities. Proud to join @SenDuckworth in fighting for, &amp; announcing, $25M in federal funding for CHCs across IL. https://t.co/AT8QROH0wb",2020-05-11 23:34:48
".@SenatorLeahy, @SenatorCardin, @ChrisVanHollen, @RepKarenBass, &amp; I are calling for the immediate release of 3 Cameroonian journalists – Amadou Vamoulké, Tsi Conrad, &amp; Thomas Awah Junior – from jail on politically-motivated charges.

Pres. Biya must respect freedom of speech. https://t.co/lAmBNUJO41",2020-05-11 22:43:12
"Even Superman understands that wearing a mask is a small, but important effort we can all make to help protect the essential workers who are risking their health &amp; safety every day to keep our nation running. https://t.co/Z7rSYlyshj",2020-05-11 21:26:40
"Illinois pork producers are facing major financial pressures due to #COVID19, which now includes the depopulation of their herds. I'm joining a bipartisan letter calling for additional federal funding for programs to assist farmers with the market's decline in demand. https://t.co/25ZbxXrTks",2020-05-11 20:42:20
"We need our best and brightest minds working toward a vaccine for #COVID19, and @TheWistar is lucky to have an Illinois native on their team as a Post Doctoral Fellow as part of their efforts to develop a vaccine.
 
https://t.co/ek1yyg303m",2020-05-11 19:23:15
"Wearing masks has shifted the way that those with hearing challenges communicate, but Marion teen Sabryna found a way to help the deaf and hard of hearing community. Thanks to Sabryna for donating your time to make these masks.
https://t.co/Nx8x8VtnxG",2020-05-11 14:02:05
"Wishing a happy #MothersDay to all the hardworking, loving, and caring mothers &amp; grandmothers in Illinois and across the United States. https://t.co/v9rNXmOcOe",2020-05-10 19:08:56
"As a part of their Renewing Illinois Summit for incoming students, the @PSimonInstitute asked me to provide the five books I would assign if I were teaching an Illinois 101 class. 
 
Though it was hard stick with the 5-book limit, here are some my personal favorites:",2020-05-10 18:25:11
"As Congress debates further legislation in response to #COVID19, we must keep in mind that our highest priority must be protecting the health and safety of our fellow Americans – and that means protecting workers from being exposed to #COVID19 on the job. https://t.co/PeKuHmM1zW",2020-05-09 23:05:39
Ida B. Wells is an American hero whose writing exposed deep truths about this nation that we are still struggling to grapple with. This recognition of her work is long overdue. https://t.co/riNFHzbQeE,2020-05-09 14:33:34
"Students, professors, &amp; universities are trying to make the most of their online classes despite the financial &amp; academic uncertainties brought on by the #COVID19 pandemic. Spoke w/ @NorthwesternU President yesterday to discuss Higher Ed’s response during this crisis.",2020-05-08 22:03:30
"Pleased to announce $700M in new federal funds for IL hospitals treating highest number of #COVID19 patients. This is in addition to billions more for IL health providers in rural areas, children’s hospitals, &amp; clinics that we’ve already received. I will continue to fight for IL.",2020-05-08 21:24:39
"For kids, a sudden shift in their daily routines can be unsettling. Great to see the Carbondale Public Library start a reading program to help kids learn about essential workers and understand the importance of kindness during this pandemic.
https://t.co/mBYMmEciLl",2020-05-08 20:25:32
"Today I visited Roseland Community Hospital’s drive-thru testing service to see how COVID-19 is impacting operations and patients. As a safety-net hospital on Chicago’s south side, Roseland is vital for a community that’s been disproportionately devastated by this pandemic.",2020-05-08 20:10:56
"The United States cannot afford to step away from the world effort to find a #COVID19 vaccine. And yet, in refusing to join with other world leaders this week, that is exactly what this Administration has done.
 
Pres. Trump has left America missing in action on the world stage. https://t.co/NLLdrnjd1x",2020-05-08 19:45:34
"Proud to join @SenDuckworth in this effort. The #AWIA makes important &amp; much-needed investments in Illinois’ waterway infrastructure.
 
I look forward to the Senate considering this bill for final passage soon so Illinois can begin putting these investments to work. https://t.co/UIgz00WD7X",2020-05-08 18:41:39
"Wrote @USDAFoodSafety to express my concern for the health and safety of workers in our nation’s meat processing plants.
 
Now, in the middle of pandemic, is not the time to allow plants to increase line speeds. https://t.co/DmHxxfdKEf",2020-05-08 17:50:00
"Our National Service organizations are a valuable untapped resource that could go a long way in the fight against #COVID19
 
Proud to join @ChrisCoons &amp; @SenateDems colleagues to introduce a plan to expand @AmeriCorps in response to this pandemic. #Stand4Service https://t.co/QGTpUiga5H",2020-05-08 17:00:54
".@ChuckGrassley &amp; I spoke this week with Attorney General Barr about efforts to combat #COVID19 in federal prisons, which are particularly susceptible to this pandemic. @TheJusticeDept &amp; @OfficialFBOP must do more to ensure health &amp; safety of prison staff &amp; incarcerated persons. https://t.co/HShpvydkdr",2020-05-08 16:30:47
The Paycheck Protection Program offers a lifeline to struggling small businesses. Payday lenders profit off driving working families into debt &amp; shouldn't have access to federal relief programs. Joined my colleagues in urging @SBAgov &amp; Treasury to exclude payday lenders from PPP. https://t.co/fLhmk2g0MO,2020-05-08 15:50:38
"The Postal Service is a critical lifeline for many Americans, especially during this pandemic. It’s time for the Trump Administration to stop playing games with @USPS. https://t.co/E3E2T9Vhuu",2020-05-08 14:18:49
"Harassing &amp; closing the press amid a pandemic is not only anti-democratic, it undermines efforts to stem #COVID19. https://t.co/6NMYuLovs9",2020-05-08 00:22:42
"1.2 million Americans have already been infected with #COVID19. More than 70,000 have died. 

How can Republicans think that this is the right moment in history to abolish the ACA, coverage for 20 million Americans, &amp; pre-existing condition protections that millions more rely on? https://t.co/UuV5b3pMOS",2020-05-07 21:59:09
"This is what President Trump is focused on right now? 70,000+ Americans have died from #COVID19, &amp; more are getting sick every day.  

Let’s work on stopping this virus &amp; saving lives. Painting the President’s vanity wall can wait.  
https://t.co/jfTTTQTFyY",2020-05-07 20:21:30
"#COVID19 is hitting Illinois hard &amp; my office is doing everything we can to make sure we are available to help Illinoisans in need. 
 
But in order to comply with social distancing guidelines, we've had to make some updates to our office &amp; constituent services operations. https://t.co/hAQNhf6rrA",2020-05-07 19:48:52
"The Constitution is clear - the power to declare war lies with Congress.

Disappointed in my Republican colleagues for voting to uphold the President’s veto of the War Powers Act I intro'd w/@timkaine, handing this all-important Congressional power over to the executive branch.",2020-05-07 18:39:07
We must ensure that small businesses participating in the Paycheck Protection Program can both pay their employees &amp; keep the lights on. I stand with my colleagues in calling for SBA and Treasury to raise the PPP cap for non-payroll expenses to help small businesses stay afloat. https://t.co/Nwf1a30ZiV,2020-05-07 17:42:32
