tweet,dates
.@librarycongress for you musicians out there https://t.co/5yNZdlTf80,2020-05-09 15:45:42
.@OversightDems announce first action from new House Select Subcommittee on the #coronavirus crisis: publicly held companies with market cap of more than $25m and a loan of more than $10m should return the money. #oversight counts. https://t.co/vgZJBcYvvU,2020-05-08 19:20:45
Briefing today from Maritime Administration @DOTMARAD about the MSP fleet and its needs. I support emergency relief stipends for MSP to maintain this national security asset @Maritime_Trades @TTDAFLCIO @TheStandWA @WAAFLCIO,2020-05-08 19:09:13
"This afternoon, I volunteered with the #Bellingham Food Bank to help distribute food boxes to individuals &amp; families here in Whatcom County. https://t.co/mXKb2Rg6To",2020-05-08 02:22:15
"Yesterday, I joined @komonews @KellyKOMO4 to discuss the #COVID19 pandemic &amp; how the federal government can support state, tribal &amp; local response &amp; recovery efforts.

Check out the full interview ⬇️⬇️⬇️ https://t.co/9UzALFYO4J",2020-05-07 22:47:38
"ICYMI: This week, I helped @WANationalGuard troops pack food boxes at @FoodLifeline for distribution to food banks across WA.

I will continue to fight for robust federal funding for nutrition programs to help feed hungry Washingtonians during the #COVID19 outbreak &amp; year-round. https://t.co/eqf6vyPI0y",2020-05-07 18:50:51
Violence rates against Native women &amp; girls are 10X higher than the national average. I am working w/@RepDebHaaland &amp; @RepDavids to address the national epidemic of missing &amp; murdered indigenous women. #MMIW #NotInvisible #SilentCrisis https://t.co/BtEASj4KKw,2020-05-06 03:43:44
"Governor Inslee recently announced the state will allow day use of some state parks, state lands &amp; state Fish &amp; Wildlife areas beginning today, Tuesday, May 5.

To help slow the spread of #COVID19 &amp; #RecreateResponsibly, please follow these tips from @waDNR 🥾🏔️⬇️ https://t.co/hEKzFjWPl2",2020-05-05 15:41:44
"According to @FoodLifeline, the need for food in WA has nearly doubled since the #COVID19 outbreak began while food donations have dropped 70%. 

Today, I helped pack food boxes w/the women &amp; men of @WANationalGuard @ Food Lifeline in #Seattle for distribution to WA’s food banks. https://t.co/aJBmB2Su4W",2020-05-05 01:00:55
"Last week, I virtually met w/future leaders from @SqualicumHS &amp; Options High School to hear students’ ideas for improving NW WA &amp; how #COVID19 has affected them. TY for your great questions about checks &amp; balances, the relationship between state &amp; fed govts, tech &amp; more! @BhamSD https://t.co/ADC1DP7LIH",2020-05-04 21:37:20
"As of this afternoon, 62.9% of #WA02 residents have responded to the #2020Census by ✉️, by 📞 &amp; 💻 at https://t.co/E6Q4ASbi8E.

Have you filled out your Census yet? If not, what are you waiting for?! 🔊⬆️to 👂why the Census is so important to you, your community &amp; NW WA. https://t.co/AFHVFfxSAK",2020-05-04 20:22:35
