tweet,dates
"Happy #MothersDay to my amazing wife Ann, our two daughters and all of the wonderful moms in Florida and across the country.

Today and everyday we are thankful for your love, your strength and your commitment to your families. https://t.co/rKRbT3svmL",2020-05-10 14:04:40
"Americans agree we shouldn’t be using their hard earned tax dollars to help bailout fiscally irresponsible states. 

It’s time these poorly-managed states learn to live within their means like Florida does. https://t.co/CxSIwCg7Br",2020-05-09 20:11:07
"#Taiwan has been a leader in the #Coronavirus pandemic and was the first to raise concerns of an impending risk.

If the @WHO is truly an organization focused on public health there is no reason why Taiwan shouldn’t be granted observer status. https://t.co/l0uypziQys",2020-05-09 17:36:34
"The United States and freedom-loving nations around the world are committed to freedom and democracy for Venezuela.

We will continue to impose sanctions and crack down on @NicolasMaduro’s cronies. I stand with the people of VZ! https://t.co/PQ1mRRUitV",2020-05-09 01:03:33
Here are today’s updated #Coronavirus numbers by state and Florida county: https://t.co/HMLULAjfms,2020-05-09 00:05:37
Looking forward to joining @ConcordiaSummit and @NancyGBrinker this coming Monday to discuss steps we can take to get our economy up and running and our lives back to normal. https://t.co/vg2R7y4SMZ,2020-05-08 18:41:05
"Today on #MilitarySpouseAppreciationDay we recognize the incredible spouses that support and stand beside our men and women in uniform as they serve our nation.
 
Thank you for your constant support! 🇺🇸",2020-05-08 16:23:22
"Thank you to @POTUS and the administration for authorizing funds to help battle the wildfires in Florida’s Panhandle.
 
Together we will get through this. #850strong https://t.co/Ynjok68Ta0",2020-05-08 14:41:07
"🚨LIVE TV ALERT!

Tune in to @AmericaNewsroom today at 9:40AM. I’ll be joining @edhenry to discuss the latest on the Michael Flynn case.",2020-05-08 13:15:41
"Taiwan is a trusted partner that tried to warn the @WHO of the coronavirus when Communist China was silencing Chinese doctors and suppressing information. 

Lines have been drawn between supporting freedom or authoritarian regimes. We will be watching where the world comes down. https://t.co/tpYdLZaL6E",2020-05-08 01:10:41
Here are today’s updated #Coronavirus numbers by state and Florida county: https://t.co/KhKp5f1Nq8,2020-05-08 00:12:38
It was great talking with @GregHands today. Looking forward to working together to create a strong trade relationship between our two nations. https://t.co/rm0WDzUQTM,2020-05-07 21:54:28
"I spoke on the Senate Floor today on why we need to make sure taxpayer $$ from the CARES Act is only used for Coronavirus-related expenses. 

Hardworking American taxpayers should not be on the hook to bailout poorly run states. https://t.co/4xffFXybUY",2020-05-07 19:45:35
"Today on #NationalDayofPrayer let us join as one nation in prayer for our health care workers, our communities, our country and all of those on the front lines of this pandemic. 

The power of prayer is remarkable and together we can overcome this tough time. https://t.co/LUosVUV4Kd",2020-05-07 17:52:44
"Spoke to officials from Walton, Santa Rosa and Escambia County this morning about the current state of the wildfires in the Panhandle. 

I will continue to stay in contact with officials and have assured them that the federal government is here to help in any way possible.",2020-05-07 16:43:37
"Outrageous.

Brave health care workers are putting their lives at risk to care for New Yorkers and @NYGovCuomo sees it as just another opportunity to raise tax revenue. These individuals shouldn’t be burdened by NY’s absurd taxes. https://t.co/5DSIQjsS6V",2020-05-07 16:16:41
"We must hold Communist China accountable. China steals our jobs, our technology &amp; is responsible for this pandemic that’s killed hundreds of thousands around the world. 

The most important thing we can do is stop buying Chinese products and #BuyAmerican. https://t.co/88XvNbDHh5",2020-05-07 14:12:47
