tweet,dates
"Happy Mother's Day to all the Moms here in #GA07! Over the past few months, you have gone above and beyond to meet the incredible challenges posed by the pandemic. You deserve to be celebrated today and everyday.",2020-05-10 17:15:58
"The deadline to vote for this year’s Constituents’ Choice Award is Wednesday, May 13 by 6 p.m. Click below to select your favorite Seventh District artwork:https://t.co/c2Qjb6CR9a",2020-05-10 16:44:44
"Thank you to all the students who submitted artwork for this year’s Congressional Art Competition. While our judges are now hard at work selecting the winner, I am asking you all to participate in judging the Constituents’ Choice Award:
https://t.co/c2Qjb6CR9a",2020-05-08 15:46:45
"I have known @RepRatcliffe to not only be a man of strong integrity, but also a passionate defender of the rule of law.
 
@realDonaldTrump has truly made a great decision nominating him to serve as the Director of National Intelligence.",2020-05-06 21:48:11
"When he’s not working at Northside Hospital, Ryan Hepworth spends his time supporting homeless veterans throughout metro Atlanta.
 
Ryan is a great example of what makes our part of the world so special, and I thank him for his service to our neighbors. https://t.co/0F7zVva5ZQ",2020-05-06 17:40:41
"I am encouraging you all to #SendTeachersLove for #TeachersAppreciationMonth. Our Seventh District schools may be closed, but our teachers are still hard at work, instructing their students from afar and finding new, innovative ways to deliver a top notch education. https://t.co/ZFEq7HmdD8",2020-05-04 16:18:39
"In response to the COVID-19 outbreak, the three big national credit reporting agencies are now offering free weekly credit reports to all Americans for the next year. Click the link below to get started:
https://t.co/3jVdesfMfQ",2020-04-27 21:34:23
"The Paycheck Protection Program will restart today at 10:30 am. You can find updated information on the program below:
https://t.co/Q07R7eV0Nz",2020-04-27 14:10:16
"In response to the COVID-19 outbreak, the three big national credit reporting agencies are now offering free weekly credit reports to all Americans for the next year. Click the link below to get started:
https://t.co/3jVdesfMfQ",2020-04-23 22:47:39
"Proud of Governor Kemp’s leadership and excited to see that some Georgia businesses can begin reopening over the next several days. To see what’s available to reopen now and in the near future, click below:
https://t.co/C6q4vrcXUr",2020-04-22 22:14:15
"Social Security and Veteran benefits recipients with dependent children under the age of 17 and who did not file taxes in 2018 or 2019 need to use the IRS non-filer tool today to receive the $500 payment for each child:
https://t.co/G4wNIwCAAD",2020-04-22 15:50:48
"United Way of Greater Atlanta and Community Foundation for Greater Atlanta have committed $1.5 million to support those most vulnerable to the economic and health-related impacts of the COVID-19 pandemic. Click below to learn more:
https://t.co/eLus4carwi",2020-04-17 21:19:33
"Digital submissions for this year’s Congressional Art Competition are due by next week, April 24, at 5pm. The winner will receive a $3,000 scholarship and have his or her artwork displayed for one year in the U.S. Capitol. Click below to learn more: https://t.co/ITZq8CQv8V",2020-04-17 18:53:32
"Looking for your Economic Impact Payment? You can now use the “Get My Payment” web application to submit your direct deposit information and track the status of your check. Click the link below to get started:
https://t.co/KaFtNFfbMA",2020-04-16 19:51:37
"You can now play “bingo” to help support local Forsyth restaurants that have been struggling through the current pandemic. 
 
Click the link below for more information on how to get started:
https://t.co/1RbygtTgqT",2020-04-15 21:28:45
"This year’s high school Congressional Art Competition is still accepting submissions! The deadline is April 24 by 5 pm.
 
Visit my website below for more information:
https://t.co/i1b8ioRdUs",2020-04-15 18:07:20
"Thank you to the Boys and Girls Club of Metro Atlanta for arranging a comprehensive resource page for anyone in need of assistance during the COVID-19 pandemic.  Click below to find the organizations that can help you best:
https://t.co/K4v5TzTY7A",2020-04-15 15:04:40
"National Guard members in Cumming have begun disinfecting long-term care facilities to help protect vulnerable Georgians.
 
Thank you to all these men and women who are risking their health to keep our community safe and stopping the spread of COVID-19.
https://t.co/f8CuPVhNGM",2020-04-13 16:07:18
Happy Easter and Passover to you and your loved ones! I believe this holy season can serve to remind us that there is more that unites us than divides us and that we're all in this together.,2020-04-12 15:32:32
"I would like to thank the ⁦@GwinnettChamber⁩ for hosting yesterday’s webinar on the local, state, and federal response to the COVID-19 outbreak.
 
If you were unable to join us, you can view our informative discussion below: https://t.co/6I6GJnwnVm",2020-04-09 20:07:13
"If you’re looking to get tested for COVID-19, CVS has a new test site near GA Tech that will provide same day results.
 
To get started, you will need to pre-register on the website. Click below for more information:
https://t.co/vXV6c9qob4",2020-04-08 22:12:27
"ICYMI: For the past few weeks, I have discussed many of the concerns that have been raised about COVID-19 in my weekly e-newsletters. I hope you will take a moment to read about some of the most recent efforts to address this threat and lessen its impact: https://t.co/L0Fi7aPPem",2020-04-08 20:50:33
