tweet,dates
"It's All Aboard for National Train Day. Thanks to the @NatlParkService, families can explore America's first intercontinental railroad from the comfort of your own home. Click the link for more information. 
https://t.co/pNf9c1YJu2",2020-05-09 16:05:06
Wallace State President Dr. Vicki Karolewics awards diploma via FaceTime during drive-thru graduation celebration https://t.co/UlUtYDHVio via @CullmanTribune,2020-05-08 13:47:12
"Looks like Democratic leadership is at it again, creating some big government spending bill behind closed doors. This type of political game is not what the country needs right now. https://t.co/vo1BUlMOh2",2020-05-07 19:11:28
"While the national media narrative seems to constantly highlight that the United States has the most COVID-19 cases, it’s even more important to put things in perspective.  We have conducted the most testing and our per capita death rate is lower than many other countries. https://t.co/RvSErlimWY",2020-05-06 14:56:18
Thank you @AlabamaNG for the flyover in Birmingham.  Your gesture and your service is greatly appreciated. https://t.co/NeIR0qMS3H,2020-05-05 18:21:05
"Today is #TeacherAppreciationDay and here in Alabama we have a whole lot of truly wonderful teachers. Your selfless and tireless work to educate kids in our state is incredible. Let’s all make sure to #SendTeachersLove today. Thank you, Teachers! https://t.co/EAEOlVc85h",2020-05-05 16:47:49
"An asteroid only 66 feet wide exploded in the air over Chelyabinsk, Russia in 2013, causing 1500 injuries. https://t.co/EDDZ0gWbug",2020-05-05 13:59:39
Last week @SpeakerPelosi was on CNBC to call for expanding broadband into rural America. I was fighting for rural broadband when fighting for rural broadband wasn’t cool.  But I welcome all the support I can get for these efforts.  Let’s get rural broadband done! #ruralbroadband https://t.co/49fOdtzipu,2020-05-04 17:22:00
"Important news from the IRS: for VA &amp; SSI recipients with eligible children, tomorrow is the deadline to act and quickly receive your full Economic Impact Payment. Please click the link for more information.  https://t.co/Xmf9gP1g5B",2020-05-04 14:10:16
"Rural broadband has been an issue for years, and I have been working on it for a long time. But it looks like some Dems just realized that. It’s time for bipartisan legislation that benefits rural Americans. Let’s get broadband done. https://t.co/QpMrOJefWS",2020-05-02 19:59:14
Very sorry to hear this news. https://t.co/Y0qNSafj7d,2020-05-01 13:30:42
"Rural broadband has always been an essential need, and the COVID-19 crisis has put a spotlight on that. We must address this issue in the Phase 4 stimulus, and that’s why I sent a letter to House and Senate leadership today, urging them to take action and fund rural broadband. https://t.co/PC2I03eYrw",2020-04-29 21:20:06
"NASA’s Mars Helicopter now has a name: Ingenuity. This came from Northport’s very own Vaneeza Rupani, who was selected from a crowd of 28,000 to name the historic aircraft. We are very proud of her wonderful accomplishment. Congratulations, Vaneeza! https://t.co/b8Jfjui2sw",2020-04-29 14:50:04
I appreciate the Federal Reserve of Atlanta highlighting my efforts to expand broadband to rural America  https://t.co/wldQnNZLqy via @AtlantaFed,2020-04-29 13:43:24
"The new Safer at Home order is a solid step in the right direction for Alabama. I am happy that @GovernorKayIvey loosened some restrictions on recreation, business, and health care services. I am hopeful that this new order will bring positive results for our state. https://t.co/VHFH0qekzL",2020-04-28 16:29:46
Albertville custodian named Cintas Custodian of the Year https://t.co/SaF2gN50ee,2020-04-27 17:31:39
We will never forget that day nine-years-ago. 2011 Tornado Anniversary Memorial https://t.co/LHX3V8jp9N via @YouTube,2020-04-27 13:23:36
"Launched in 1990 from the Space Shuttle Discovery, the Hubble Telescope has gone further than anything in history, inspiring us all along the way. Today marks 30 years that @NASAHubble has been on its mission, and we certainly hope that continues for 30 more. https://t.co/jMNEDQ3yzQ",2020-04-24 20:01:53
Great news for Alabama! Funding from @HUDgov is headed our way. This allocation will make a positive and sizable impact for our communities that are struggling because of COVID-19. Thank you @SecretaryCarson https://t.co/uYvkIomKsn,2020-04-24 18:30:46
"For 220 years the Library of Congress has educated and inspired people around the world. As a co-chair of the LOC Caucus, I’d like to wish the @librarycongress a very happy birthday! https://t.co/fL5NOeQ1tK",2020-04-24 15:22:23
"One week from today, we will announce the winners of the 2020 4th District Art Competition. The 50 high school students who entered worked very hard, so even though we will announce the winners online, we will still try to make it special for them. https://t.co/gXabUuqqra",2020-04-24 14:21:48
"The NFL Draft starts later today, and I have a feeling our Alabama and Auburn guys are in for a big night!

Good luck to all of the @AlabamaFTBL &amp; @AuburnFootball players in this years draft!",2020-04-23 22:10:42
The Alabama Farmers Federation has created a website where National Guard members and Veterans who have been laid off from their jobs can look for work on Alabama's many farms. @AlfaFarmers   https://t.co/pcJs26fDe5,2020-04-22 17:47:25
On the @jeff_poor show while Mary Elliott does school work. https://t.co/TcpZWDhP48,2020-04-21 20:49:45
Interesting numbers from Huntsville Hospital CEO David Spillers. Huntsville Hospital currently has one patient on a ventilator because of COVID-19.   They have 55 patients on ventilators for other conditions not related to COVID-19.,2020-04-20 17:22:19
"The Chinese Communist Party has been working for years to become a global pharmacy. And after blatantly lying and withholding information about COVID-19, I think it’s time we implement Buy America policies in the medical supply and pharmaceutical industry. https://t.co/aSCrA7SrZ7",2020-04-17 15:29:49
