tweet,dates
"75 years ago, Allied forces accepted Nazi Germany's unconditional surrender – ending #WWII in Europe.

Thankful for the service and sacrifices of all the brave women and men who fought during this conflict. #VEDay75 https://t.co/q8kW8PN1Ck",2020-05-08 20:15:56
"As students and families are struggling to afford basic essentials, we must provide temporary flexibility to ensure communities do not go hungry. The End Pandemic Hunger for College Students Act ensures college students can still access the nutrition assistance they need. https://t.co/UPsPgsEveJ",2020-05-08 16:41:24
"There are number of things we must do before we reopen our economy. 
https://t.co/YOISRDZNDN",2020-05-07 20:34:53
I will be on @WHRO with @BarbaraHammLee at 12pm today. Listen at https://t.co/QjNrNmjYDb https://t.co/QqzJCbBJSj,2020-05-07 16:00:31
"It is alarming that instead of focusing on helping students, educators, and institutions cope with the COVID-19 pandemic, @usedgov wasted valuable time finalizing a rule that will erode protections for students’ safety. My full statement with @RepJerryNadler below. https://t.co/bfDQGK1e9j",2020-05-06 18:37:46
".@rolandsmartin and I discussed why Congress must pass the #COVID19 Every Worker Protection Act, which would force @OSHA_DOL to take meaningful action to protect workers. ⤵️
https://t.co/lyOt5IQOzw",2020-05-06 17:07:08
Congratulations to @NNMayorPriceDDS for being sworn in as the 8th president of @OurMayors!,2020-05-06 01:01:14
"These challenging times have reminded us of the incredible value of our nation’s teachers. This #TeacherAppreciationDay, we say thank you to the teachers who continue to shape students’ lives. #ThankATeacher https://t.co/DNCtToITTU",2020-05-05 16:10:43
"If you receive Supplemental Security Income (SSI) or VA benefits and are not required to file taxes, but have a dependent under 17, you must take action TODAY to receive the additional $500 Economic Impact Payment per child. Please fill out the form here:
https://t.co/ngfC3i9kVM",2020-05-04 17:53:20
"As a proud member of @CAPAC, I’m pleased to join my colleagues in celebrating Asian Pacific American Heritage Month. Our nation has always been strengthened by its diversity, including the immeasurable contributions of the #AAPI community. #APAHM",2020-05-01 19:40:11
"Providing resources to the nation’s workforce system is a critical step in relaunching America’s economy as we begin to recover from #Covid_19. The Relaunching America’s Workforce Act is a desperately needed investment in workers, employers, &amp; our economy.
https://t.co/2mgvagh0DB",2020-05-01 16:14:27
"Join me at 7pm tonight! 
https://t.co/p00f9LagzO",2020-04-30 20:13:18
"Very excited to see @GovernorVA's administration launch Virtual Virginia. This will be a place where all students can continue their education during this pandemic. 
https://t.co/6Pdu1dkNRQ",2020-04-30 19:53:13
"I will be hosting a Telephone Town Hall tomorrow night at 7pm to discuss the continued spread of #COVID19, as well as supports available to individuals, families, students, workers, and small business owners. Sign up to join the call below. 
https://t.co/objry2DtgP",2020-04-29 18:33:56
Reminder - @GovernorVA postponed the local elections from May 5th to May 19th. Absentee ballots must be requested by May 12th. Voted ballots must be received no later than May 19th at 7pm. Voters can request that an absentee ballot be mailed to them below. https://t.co/xxnWZo0fck,2020-04-29 14:30:45
"It is profoundly disturbing that President Trump is using his authority to force workers into dangerous conditions without providing enforceable safety standards to protect them from #COVID19.
https://t.co/5WtBTrLaaf",2020-04-28 21:04:45
Today is #WorkersMemorialDay. We are in the middle of a global pandemic. Workers are falling ill and dying from #COVID19. But President Trump's @OSHA_DOL has failed to issue an emergency standard to keep our workers safe.,2020-04-28 15:15:26
"While the U.S. faces the worst crisis in modern history, the Trump Administration is planning to end important protections in the Affordable Care Act. 
https://t.co/ymm55R4JoT",2020-04-27 22:08:08
The #CARESAct provided immediate relief to federal student loan borrowers. Get answers to some of your questions below. https://t.co/1G6u1qaV8H,2020-04-27 14:32:22
"My office is hosting the Annual Congressional Art Competition. Due to the spread of #COVID19, we will be conducting the contest virtually this year. More information and guidelines can be found below. 
https://t.co/NzcX7xhxel",2020-04-24 21:18:14
"I participated in a @JointCenter briefing to discuss the disparities faced by Black communities in the #COVID19 crisis and the need for a stimulus package that advances equity for Black workers, businesses, and student success.
https://t.co/R1cLgbiJ2V",2020-04-24 19:19:56
"⚠️WARNING: Ingesting disinfectants is dangerous. 
https://t.co/HGRAVziRii",2020-04-24 17:27:18
"Thank you to my niece Jocie for making me a mask to use while I am working in Washington today to help pass aid for small businesses, hospitals and testing for #COVID19. https://t.co/uPBNeo3Mpd",2020-04-23 20:01:39
Look at what the Republicans are saying about #MitchAntoinette during a time when states and local governments are suffering severe revenue shortfalls. https://t.co/EUPlxJeiVY,2020-04-23 19:18:50
"This #Ramadan, let us be reminded of the power of faith and community.
 
Ramadan Mubarak to all who observe. https://t.co/dIIBUqubCk",2020-04-23 17:40:55
I'll be joining @NAACP and @BET TONIGHT @ 7pm ET for an important virtual town hall on how we address the impact of the coronavirus pandemic. Register here to join the discussion: https://t.co/klXtuHoblj https://t.co/eLQXAlxteS,2020-04-22 21:35:30
"Pollution in black, Latino, and low-income communities have made COVID-19 even more deadly. @EPAAWheeler must address this grave injustice and protect the air we all depend on, regardless of where we live. This #EarthDay, I was pleased to join @RepBobbyRush, in demanding action. https://t.co/JDyxQJUaEJ",2020-04-22 21:25:15
"We are confronting the most devastating pandemic in our lifetime with #COVID19. Thousands of workers are suffering preventable illness and death.
But President Trump's @OSHA_DOL is nowhere to be found.
 
https://t.co/4UkF2NF0yo",2020-04-22 18:48:43
The future's looking “bleak” without urgent climate action. On this #EarthDay we must recommit to #ActOnClimate and recognize that good clean energy jobs can help us achieve our goals. https://t.co/nO8CyskxdD,2020-04-22 13:31:58
https://t.co/kR0dmX9drk https://t.co/LdJBXho7sO,2020-04-21 16:57:45
"If you receive Social Security and are not required to file taxes, but have a dependent under the age of 17, you qualify for an additional $500 Economic Impact Payment per child. You must take action TODAY to make sure you get your economic impact payment. https://t.co/ngfC3i9kVM",2020-04-21 15:27:57
Be sure to sign up for my e-newsletter to receive information on #COVIDー19 and other important updates from my office. https://t.co/XjlgixRxdu,2020-04-21 14:52:51
"The #CARESAct provided emergency funding to help Virginia’s students, families, educators, &amp; schools cope with the impact of the #COVIDー19. I am pleased that we were able to secure this $67 million in financial support for education in the Commonwealth. https://t.co/C2BsbdBhiB",2020-04-20 18:59:05
"Virginia will receive over $70 million in emergency child care funding from the #CARESAct.  This funding will help child care providers to help pay employees, maintain/resume operations &amp; provide child care assistance for essential workers. #COVID19
https://t.co/kuf32CCcCn",2020-04-17 19:21:53
"Today, 13 years later, we remember and honor the lives lost at Virginia Tech. We must continue to work to prevent gun violence on campuses and in our communities. #VTWeRemember",2020-04-17 00:25:22
"Don't miss your chance to help Virginia access resources for hospitals, schools, and infrastructure.

Respond to the #Census2020 online at https://t.co/mkJ7n6SvF8, by phone or by mail. Paper forms were mailed out this week.",2020-04-16 18:25:00
"The Constitution mandates that every person living in the U.S. must be counted through the census every ten years, not just citizens. Fill yours out today at https://t.co/mkJ7n6AUNA. #WhyCensusMatters #Census2020",2020-04-16 18:15:00
"Yesterday @EPAAWheeler, against the @EPA's own scientists recommendations, announced plans to maintain the status quo on deadly soot pollution. This disproportionately harms poor and minority communities and makes them more vulnerable to #coronavirus. https://t.co/d1IQpe4HSS",2020-04-15 22:41:09
"-More disaster loans
-Support for rural and underserved communities
-Access to @SBAgov programs for farmers
Any #COVID19 relief bill must include these fixes if we want to help small businesses weather this crisis. https://t.co/txaumhB6mh",2020-04-15 20:36:50
The @IRSnews has started sending out economic impact payments from the #CARESAct. You can track the status of your payment here: https://t.co/LpBEuKdIEh,2020-04-15 15:54:44
Today is #TaxDay - a reminder that due to #COVID19 you now have until July 15th to file federal taxes and Virginia state taxes are now due June 1st. If you owe state taxes interest may accrue after May 1st.,2020-04-15 15:36:50
"During the #COVID19 crisis, it is critical that workers maintain access health care. The Worker Health Coverage Protection Act would provide relief to workers and families by making sure they do not lose their health insurance in the middle of a pandemic.
https://t.co/HMWykYmedT",2020-04-14 18:02:46
The @CDCgov recommends wearing a mask while in public to help stop the spread of #COVID19. @RepMarkTakano shows us how to make a mask at home. https://t.co/b0Mn0HDmsW,2020-04-14 14:15:54
"The #COVID19 public health emergency is putting an enormous strain on our higher education system. I am very pleased to see colleges/universities in Virginia’s Third Congressional District will receive $46 million in emergency funding from the #CARESAct. 
https://t.co/RpSvWO9Z02",2020-04-13 15:11:39
"During difficult times, it is important to remember the values of hope, compassion and community.
 
Happy #Easter to all who celebrate. https://t.co/HapQdbOg0Q",2020-04-12 15:02:03
"Today, the IRS launched a tool to help ensure that individuals who don’t normally file tax returns will still be able to get their economic impact payment provided for by the CARES Act. Find out more here: https://t.co/ngfC3i9kVM",2020-04-10 18:09:05
"Gig workers, independent contractors, and other self-employed individuals are now eligible for unemployment benefits due to the #CARESAct. More information is available below. https://t.co/7yGB9bLvjS",2020-04-10 16:00:02
"Unsure of when you will get your direct cash payment from the CARES Act? @IRSnews plans to open a new, online portal the week of April 13 to find out the status of your economic impact payments. More info here: https://t.co/cgjHTOffqY",2020-04-09 18:57:17
"Thank you to our nation’s health care professionals, first responders, grocery store workers, caretakers, janitorial staff, postal workers, truck drivers and all the brave Americans who keep working tirelessly to get us through the #COVID19 crisis. https://t.co/cs5BhMuoRd",2020-04-09 15:52:44
"Chag sameach to all celebrating #Passover.
 
In times of crisis, we must remember the importance of family and community. https://t.co/0QYCRhlEwg",2020-04-08 23:38:52
"Rushing regulations through during COVID-19 would hinder the @EPA's mission to protect human health &amp; the environment. For that reason, I led 75+ of my colleagues in sending  a letter to @EPAAWheeler urging him to extend comment periods on pending regs. https://t.co/j2CGfYSLg1",2020-04-08 17:32:42
I was pleased to see community health centers in Hampton Roads receive critical funds from @HRSAgov. These two health centers will be able to use these additional funds to respond to the #COVID19 crisis. https://t.co/TCeR627ktm,2020-04-08 16:55:55
"The National Domestic Violence Hotline is 1-800-799-7233 and https://t.co/SoCGq8zjvx. #COVID19 
https://t.co/4VzX79Dagy",2020-04-08 15:16:34
👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏#WorldHealthDay https://t.co/j43ZGXOj23,2020-04-07 17:25:42
"I am holding a telephone town hall tonight on #COVID19. The call will focus on relief for small businesses and unemployment insurance. Sign up to join the call below.  
https://t.co/objry2DtgP",2020-04-07 16:19:52
We must protect our frontline health care workers. That is why I am continuing to push for an emergency federal safety standard from @OSHA_DOL that requires hospitals and health facilities to keep their workers safe. https://t.co/eIbCt6l76m,2020-04-06 18:42:56
Make sure you are subscribed to my e-newsletter updates. We are sending out important information on #COVID19 that you may find helpful. https://t.co/XjlgixRxdu,2020-04-06 18:01:01
Food insecurity is a reality for too many people in Virginia as we fight the spread of #COVID19. Learn more about the resources available to you and your loved ones here: https://t.co/R7dg0Vzcaa,2020-04-05 01:00:23
We must put #FamiliesFirst as we confront the #COVID19 pandemic. Learn more about the resources available to you and your family in this toolkit: https://t.co/uVvFvOh5kf,2020-04-03 19:53:23
"Today’s grim jobs report captures only a fraction of the economic hardship that workers, families, and businesses will face in the months ahead due to #COVID19. https://t.co/zTEtpPBY6x",2020-04-03 16:22:20
Thanks to @WaysMeansCmte for pushing this issue with the Trump Administration. Now Social Security recipients will automatically receive their cash payments from the CARES Act. https://t.co/ZxD1YTAIxn,2020-04-02 19:33:47
