tweet,dates
#HappyMothersDay to all Moms everywhere. I greatly appreciate all you do every day of the year for our families. https://t.co/1p4w93uFMp,2020-05-10 12:10:38
"I’m proud this grant awarded to the Defiance County Land Reutilization Corporation will clean up &amp; redevelop an abandoned manufacturing site, facilitate job creation, boost our local economy, support community outreach activities, &amp; improve the quality of our environment in #OH5. https://t.co/21NrWHelCA",2020-05-08 19:49:19
"#OnThisDay in 1945, the course of World War II changed when the Allied forces accepted Nazi Germany’s surrender and claimed Victory in Europe. Today, we remember the service and sacrifice of all who helped secure #VEDay. #VEDay75 https://t.co/cuu4I61Y69",2020-05-08 16:28:43
Thank you for supporting all of those who are on the front lines combating #COVID19! https://t.co/V2TclM0USX,2020-05-07 23:10:22
"Need a new recipe? Marcia &amp; I made soup with the turkey I harvested last weekend. If I may say so myself, it is delicious! 

Recipe ⤵️
@OhioDivWildlife #OhioDepartmentofNaturalResources @NWTF_official https://t.co/gQ4UC96oYi",2020-05-07 20:59:24
It’s #TeacherAppreciationWeek. Our teachers dedicate their lives to caring for &amp; helping our children learn. #ThankYou to all of our teachers who teach us new things each day. Looking for additional educational resources? Check out the @librarycongress ➡️ https://t.co/ufQv5C6gTy https://t.co/ZsFz8yY5Fj,2020-05-07 13:44:14
Thanks for having me! https://t.co/kHakMLl9tR,2020-05-07 13:01:34
"Our teachers motivate &amp; inspire us through learning &amp; are an essential part of our communities. They’ve gone above &amp; beyond to help their students during the #COVID19 pandemic. Today on #TeacherAppreciationDay, we celebrate our teachers’ dedication to students &amp; their families.",2020-05-05 21:10:50
"Each week, I've participated on #bipartisan calls with administration officials to discuss efforts to respond to #COVID19. 

As we navigate holding official business remotely, we must also discover ways to best protect members &amp; staff so we are ready to return to the office ASAP. https://t.co/IQrdPUuOkv",2020-05-05 20:23:02
Yehia - “John” - was the patriarch of the Islamic community in Toledo and he will be missed dearly by so many. Marcia and I are sending our condolences and prayers to his family. https://t.co/RJ59oe0A3o,2020-05-03 17:49:33
"The reality is, many Ohioans in #OH5 who live in rural areas don’t have reliable internet connectivity. The Broadband DATA Act, which I led in Congress, is now law &amp; will spur an invisible transformation for rural communities so they aren't left behind &gt;&gt; https://t.co/dcU858YRg6",2020-04-28 21:18:00
"Earlier this year, Chairman @AjitPaiFCC joined me to visit @mercy_health in Perrysburg to see some of the possibilities for life-saving #telehealth applications.

Congress is supporting critical telehealth capabilities to help patients during #COVID19 ⤵️
https://t.co/dcU858YRg6",2020-04-28 19:59:08
#MustRead from @GOPLeader: “It is clear that what was happening inside China did not match the story it was telling the rest of the world...” We need to bring our medical supply chain back home and out of China ⤵️ https://t.co/roNs1kpBFL,2020-04-28 19:15:08
