tweet,dates
"Happy Mother’s Day! Even during these difficult times, it is important to stay connected, especially to someone as important as your mom. Sending many blessings to mothers today as we come through these difficult times together. https://t.co/RF92mMv5mj",2020-05-10 13:58:00
"Today, @GovernorVA outlined what Phase I of reopening the Commonwealth will look like in the coming weeks. Watch his remarks in full: https://t.co/DfSdJdKXUb",2020-05-08 20:00:04
ICYMI: My office is still accepting submissions for this year’s Congressional Art Competition through May 15. This is a great chance for your student to create a lasting piece to hang in the US Capitol. More info here: https://t.co/fmaAWYrysa,2020-05-08 18:47:00
"I was honored to support the Counting All Military Votes Act to support service members and their spouses. On this #MilitarySpouseAppreciationDay, I want to say thank you to all current and former military spouses who support our warfighters in their service to our nation. https://t.co/LZpIZAdPQv",2020-05-08 17:04:00
"This week is #PSRW, and no time could be more fitting to thank public servants as they fight against the COVID19. Public servants have gone above and beyond in their work to keep our communities safe, healthy, and operational during these difficult times, and for that, thank you. https://t.co/elWVSq3fqX",2020-05-08 15:31:46
"(1/2) BREAKING: My latest in @defense_news on the primitive threats that still face our nation’s warfighters, namely the threat of sea mines. We must ensure that the Navy remains ready to undertake countermeasures against these hidden threats. https://t.co/G2wr0d6q7x",2020-05-08 13:47:24
"As this is #TeacherAppreciationWeek2020, I wanted to highlight this opportunity from @CoxComm. They are accepting nominations for the Heroes of Distance Learning Program to provide 10 K-12 teachers with a virtual classroom makeover. More info here: https://t.co/A24T9GfoZy",2020-05-07 17:44:00
"Today is the #nationaldayofprayer2020, a day set aside for peoples of all faiths to come together to pray for our nation. It is my sincere hope that today you will set aside a moment to pray for our nation, for our people. https://t.co/4kq4tNWehQ",2020-05-07 13:14:31
Thank you to Homeland Security Investigations – who has continued to protect us from fraud as we fight the #COVID19 pandemic. They have partnered with the private sector to stop fraud schemes and counterfeit materials from entering the US supply chain. https://t.co/kh8Y572WJO,2020-05-06 18:29:05
"Today, our nation says #ThankYouNurses on this #NationalNursesDay. Now more than ever we have seen the remarkable work of the men and women who every day serve our communities on the front lines in the fight against COVID-19. We can never say thank you enough for the work you do. https://t.co/1Jpprbm90i",2020-05-06 15:56:34
ATTN King George Residents: Are you looking for an alternative for dinner tonight? How about a way to help area businesses? Why not take part in #CarryOutKingGeorge. Some of your favorite restaurants are offering curbside pickup. Click here for more info: https://t.co/eVSrTMWULP,2020-05-05 22:14:00
ALERT: My office is still accepting applications to this year’s Congressional Art Competition through May 15! Now is the perfect time for your student to create a piece of artwork to enter this year’s running. More information here: https://t.co/fmaAWYJ9jI,2020-05-05 20:29:00
"On Friday, I participated in the Dar Al-Noor Islamic Center food distribution, a program they are hosting each night during the month of Ramadan. The free, hot food distribution is open to all in the PWC community, and is done drive-through style, lasting from 6:30pm to 7:30pm. https://t.co/wZU5iAf3eq",2020-05-05 17:57:22
"This is #TeacherAppreciation Month, and now more than ever our nation wants to thank teachers. As the husband of a teacher, I know firsthand the challenges and rewards teachers face, especially now. Thank a teacher who has impacted your life and wherever you are #SendTeachersLove https://t.co/XZ3FXwYTPv",2020-05-05 15:35:58
"ALERT: @GovernorVA extended the state’s business shutdown until 5/14 but expects to begin rolling back restrictions after that, shifting to the next phase in the fight against COVID-19 in Va. More here: https://t.co/gnKmXSsMJg",2020-05-04 18:55:40
"(1/5) I introduced, with my colleague Rep. @GerryConnolly, a bipartisan resolution designating this week as Public Service Recognition Week #PSRW. It celebrates the millions of innovative, highly-skilled men and women who have chosen lives of service to others. https://t.co/TrGuv2Ycpl",2020-05-04 18:09:06
"(1/2) During these difficult times, we have seen the upmost importance of access to broadband in our daily lives. For many, this necessity remains distant, but I am working to change that. As we move forward, we must get high-quality broadband to the underserved in our nation. https://t.co/X5Lo3kMDjC",2020-05-04 15:38:20
"May the words of President George W. Bush stay with you as we fight this pandemic: ""We rise or fall together. And we are determined to rise."" https://t.co/w8EyHh9v9R",2020-05-04 14:41:28
"(1/3) During these trying times, I want to highlight work of area businesses who are going above and beyond in service to our community. La Tienda, under owner Chef Greg Mincher, in Wmbg has joined forces with World Central Kitchen to help feed locals affected by COVID-19 crisis.",2020-05-01 13:25:33
"TODAY at 12:30, I will be hosting a live telephone #townhall which will be streamed on my Facebook page. Call in info available on the live stream for you to ask your most pressing questions. https://t.co/tuAu3P4N5p",2020-04-30 14:23:15
"(1/2) As @DeptofDefense moves forward with a deeper review of events surrounding the #COVID19 outbreak aboard USS Theodore Roosevelt, we cannot lose sight of the current health of our sailors and what they continue to need as we respond to this pandemic.",2020-04-30 03:20:07
(1/2) The federal government has acted to provide emergency relief for all Americans affected by the Coronavirus pandemic. I was proud to support legislation getting help to folks who need it most in this unprecedented chapter of our nation’s history. https://t.co/MKEmSd4X7p,2020-04-28 13:16:48
"(1/4) This weekend, I was honored to participate in the Gloucester area food distribution to local churches. Over 15 churches came together to pack and deliver bags of non-perishables to those that are home-bound during these difficult times. https://t.co/0dn7HwatEH",2020-04-27 17:20:09
ALERT: The Small Business Administration has now resumed taking Paycheck Protection Program loans via its E-Trans platform. Contact your local lender and click here for more information on this vital program to help small businesses: https://t.co/5yQNpYamKz,2020-04-27 15:01:23
"ICYMI: On Thursday, I supported the PPP/HCE Act because it is critical to our continued recovery as a nation to the COVID-19 pandemic.",2020-04-26 20:41:36
"I am so proud to have supported this important measure to help folks in our region. It is my hope that for the next phase, we can come together early and in a bipartisan manner to assist the people affected most by #COVID19. https://t.co/HY9Qq4yxo9",2020-04-24 21:08:48
"I am so proud to have supported the vital legislation that has helped folks in our area like Sherri and Jeff, Larry, and so many more. This is our nation coming through these times stronger than ever, and I will continue to work for the people of #VA01.
https://t.co/8XYgDs9cmz",2020-04-24 21:04:18
"For those struggling through these difficult economic times, from individuals to small businesses, my site has all the information you need to navigate this time. Please contact me through my webpage and I will get you the assistance you need. More here:
https://t.co/4Y1P2gtuik",2020-04-24 18:26:04
"Today, I supported the Paycheck Protection Program and Health Care Enhancement Act because it is critical to our continued recovery as a nation to the COVID-19 pandemic.",2020-04-23 22:36:36
"ALERT: @GovernorVA today extended the current ban on elective surgeries by one week, until May 1, and the closure of Department of Motor Vehicles (DMV) public-facing offices by two weeks, until May 11. More info here: https://t.co/byP00Dfw4V",2020-04-23 19:42:23
"Today, I will be voting on key measures to help our nation's small businesses, hospitals, and testing capabilities. These provisions will help our communities come through these difficult times stronger than ever. https://t.co/S2I0dp78nB",2020-04-23 15:27:53
"(1/2) Throughout my time in Congress, I've made it a top priority to ensure the health of our environment so that it can be enjoyed by future generations. I’m working across the aisle to make sure we preserve our nation’s environment and public lands. https://t.co/tlFd2Q8aFy",2020-04-22 18:32:29
"Even during these difficult times, the incredible folks at #HSI continue to work to combat COVID-19 related fraud and other criminal activity. Thank you for what you do! https://t.co/LY8PihYos2",2020-04-22 17:47:24
"(1/3) Today is #EarthDay, and this week, I challenge you to take part in what I am calling the First District Stewardship Week. #VA01 https://t.co/ObQ2U3dNIy",2020-04-22 14:16:45
"ALERT: @SocialSecurity announced that SS and SSI recipients with qualifying dependents under 17 yo, who did not file ‘18 or ‘19 taxes, must provide IRS info on their dependents by Wed 4/22, at noon. You can find this portal on the IRS’ webpage here: https://t.co/H1nkbyyta0",2020-04-21 19:33:32
We must replenish funding for the Paycheck Protection Program NOW. Small businesses need this relief and we can't afford to wait. I look forward to voting in favor of these funds this week. https://t.co/gyVkr9rlqu,2020-04-21 17:48:16
"Reminder to @SECNAV: we have a statutory requirement for 11 aircraft carriers. 
https://t.co/PTupeV1PVv",2020-04-21 14:29:03
ALERT: The VA Employment Council Pandemic Unemployment Application is now LIVE. The CARES Act includes temp benefits for individuals who are ineligible for traditional unemployment. More info here: https://t.co/tQqpZVzSfO,2020-04-20 21:30:44
"(1/2) Today, the Virginia delegation sent a letter to Assistant Secretary of the Navy James Guerts expressing strong support for the shipbuilding and ship maintenance industrial base. Click here to read our statement: https://t.co/lPKQMJRYVv",2020-04-17 21:07:38
As a part of the CARES Act @USDA is opening up a 2nd Application Window for Distance Learning &amp; Telemedicine Grant Program Funding. The DLT program helps rural communities overcome the impacts of remoteness by providing telecommunication capabilities. https://t.co/RPdnyG4Pus,2020-04-17 19:44:28
Here we are 1 wk later – and we have not yet passed the funding we need to replenish the #PaycheckProtectionProgram. We cannot delay when it comes to getting support to small biz affected by #COVID19. America cannot afford to wait any longer. I am working to get this done now. https://t.co/CH0L6fTrNY,2020-04-16 15:38:00
"Today, I ask you to take a moment to remember those we lost on this tragic day in 2007. #HokieStrong #NeverForget https://t.co/J6eoLdpoaU",2020-04-16 14:32:39
"ALERT: @GovernorVA extended his EO closing non-essential businesses for another two weeks. Until May 8, recreational and entertainment businesses must remain closed. Non-essential retail can remain open with the 10 people or fewer rule. More here: https://t.co/OgrhVkWTBh",2020-04-15 19:57:40
"(1/3) I know that throughout these difficult times, folks are looking for innovative ways to volunteer and give back to their communities. I want to continue to help connect you with those opportunities. Today, I want to highlight Virginia’s Medical Reserve Corps (MRC).",2020-04-15 14:24:26
Last week DOT interpreted a CARES Act provision to mean that airlines serving Hampton Roads need to fly out of only 1 of our 2 commercial airports–possibly harming our region. I sent a letter to Sec Chao w/ my VA colleagues to establish Newport News as a specific point of service,2020-04-14 20:02:29
"ALERT: @FCC’s #COVID19 Telehealth Program application portal is now OPEN. This program will provide $200M to support healthcare providers responding to the pandemic by fully funding their telecomms services, IT services, and devices. More here: https://t.co/4igp8HSYW1",2020-04-13 18:29:57
"He is risen! Alleluia, Alleluia! During these dark and trying times, it's important to remember that light will come again. Just when times seemed darkest during the first Easter, Jesus arose. To all celebrating today, I wish you God’s love and peace this unique Easter Sunday. https://t.co/hW07u7TvsJ",2020-04-12 12:24:00
"Today we celebrate #GoodFriday, and I hope that through these dark times you remember that light will come again in the morning. I firmly believe our nation will come through this time stronger than ever. https://t.co/iUdYCW2Fdv",2020-04-10 16:44:22
Over $71B has been disbursed from the $350B #PaycheckProtectionProgram in less than 1 wk. Applications continue to pour in from small biz across the US. We need to replenish the account. I will continue to work to pass a measure getting resources to those affected by COVID-19.,2020-04-09 17:13:52
"JUST IN: @AllPointsBB, @DominionEnergy, @NorthernNeckEC &amp; 4 VA counties announced a Regional Broadband Initiative for the Northern Neck! I applaud this move to bring much-needed broadband connectivity to the NN. Bridging the #digitaldivide has been one of my top priorities.",2020-04-09 16:35:08
"MY LATEST in the Richmond Times Dispatch today: The current COVID-19 crisis that our nation is facing has highlighted the great digital divide that impacts folks in rural areas. 
https://t.co/N1zboRoa1y",2020-04-09 15:31:15
"(1/6) Since the beginning of the #COVID19 outbreak, I have heard from countless constituents asking how they can give back to their community during this time of need for our nation. One way you can get involved is, if you are eligible, donating blood to @RedCross.",2020-04-08 19:46:11
"(1/2) UPDATE: For those applying for Economic Injury Disaster Loans (EIDL), the SBA has informed us that applications are being processed on a first-in, first-out basis and it is estimated that it will take 2-3 weeks to approve an application.",2020-04-08 19:17:22
ICYMI: @CDCgov has issued new guidance on the use of face coverings to combat the spread of #COVID19. “CDC is advising the use of face coverings to #slowthespread.” More here: https://t.co/TEIUrA5By4,2020-04-08 17:48:22
