tweet,dates
Great news for the over 1.86 million Pennsylvanians who receive federal food assistance and the millions more across the Nation who can now use their SNAP benefits online. I wrote to @USDA to support PA's participation in the online pilot and look forward to its implementation. https://t.co/UuJARMPMJD,2020-05-20 15:56:37
"When did “Give me your tired, your poor, your huddled masses yearning to breathe free” become “put kids alone on the first plane out?"" https://t.co/UjgWOT8707",2020-05-20 15:17:02
President Trump and Congressional Republicans would rather dole out money to big corporations than help the average working person who lost their job during the pandemic. Democrats in Congress will put workers and families first. https://t.co/xxTcq82d4e,2020-05-19 22:41:01
"Great news from @GovernorsOffice. This is critical support for both PA farmers and families, and a step in supporting agriculture and addressing food insecurity in Pennsylvania. Still, additional support is needed, and I will continue to advocate for the Commonwealth's farmers. https://t.co/pHJIJaiQvr",2020-05-19 21:50:33
"UPDATE: On Wednesday I voted to pass a bipartisan bill that will make the National Suicide Prevention Lifeline a three-digit number, making it even easier for individuals to seek help. I urge the House to swiftly take up this bill so we can sign it into law. #MentalHealthMatters https://t.co/Rjpsii4dUc",2020-05-19 19:46:49
Thank you to Pennsylvania’s EMS personnel! #EMSstrong https://t.co/tnO225yocs,2020-05-19 19:43:59
"Everyone wants life to return to normal, but we must listen to the public health experts who are best prepared to guide us through the #COVID19 health crisis before we can fully &amp; safely reopen our communities. Bottom line: we cannot have a healthy economy without healthy people.",2020-05-19 15:31:46
"Small businesses are closing. Parents are skipping meals so their kids don't go hungry. Yet McConnell says Senate R's have “yet to feel the urgency"" of #COVID19 &amp; this week's Senate agenda is...more judicial confirmations. What alternate reality are Republican Senators living in?",2020-05-19 15:31:36
"#OTD in 1965, President Johnson created @HeadStartgov—a lifeline for millions of kids from low-income families. 55 years later, Head Start has served over 37 million children and families and continues to make a big difference in the lives of Pennsylvania's children. https://t.co/y4SCdGQI8P",2020-05-18 23:38:00
"The freedom to vote is a fundamental pillar of our democracy. By exercising your right to vote, you're standing up for the needs of your family, your community and your country.
 
Pennsylvanians: TODAY is the last day to register to vote at https://t.co/hYxJnRZ4jk #ReadyToVotePA https://t.co/JHDF09ig82",2020-05-18 22:33:07
"Protecting whistleblowers is a core American value. Undermining the Whistleblower Protection Program by painting them as ‘causing great injustice and harm’ is just another of the President's attempts to systematically dismantle all checks on his power.
https://t.co/NCmPiTMf47",2020-05-18 21:08:06
"""Now faced with a viral pandemic [that's taken over 90k American lives]... Republicans find themselves heading into an election season still lacking any health plan.""

Oh, and they're still in the courts trying to rip away affordable health care.
https://t.co/BB0hqJJacj",2020-05-18 17:47:22
"Yesterday marked the 66th anniversary of Brown v. Board of Education, a landmark case which stripped away constitutional sanctions for segregation by race. As #COVID19 highlights racial disparities that still plague our Nation, may we recommit to the fight for true equality. https://t.co/tuVHISUO7A",2020-05-18 15:28:58
"Late Friday night, President Trump fired the State Department IG.
 
Disposing of independent government watchdogs in the middle of the night when they refuse to act as your political cronies is the exact opposite of “draining the swamp,” Mr. President.",2020-05-17 21:08:58
"NEW: As we come together during these challenging times, I'm inspired by everyday Pennsylvanians whose incredible acts of kindness and service have been bright lights in their communities. Each week I'll be highlighting some of the folks I've spoken with.

#ThankYouPennsylvanians",2020-05-16 16:44:17
"This pandemic disproportionately impacts women &amp; girls, deepening pre-existing inequalities and exposing vulnerabilities in social, political &amp; economic systems. This #NationalWomensHealthWeek reminds us that #COVID19 recovery efforts must account for these gender discrepancies.",2020-05-16 16:20:14
"Now more than ever, we must make our health a priority. As we close out National Women's Health Week, remember to practice compassion toward yourself and take time for your physical, mental and emotional health. For tips on how to do so: @womenshealth #nwhw",2020-05-16 16:19:49
"Staying home may be a safe place for many during #COVID19, but for those experiencing domestic violence, spending more time at home may threaten their safety.
 
They need shelter now—not a month or a year from now. The bill I and @SenMurkowski introduced will help with that. https://t.co/LvbRkJh2tn",2020-05-15 23:30:25
I’ll say it again: President Trump is trying to rip away health care in the middle of a deadly pandemic. https://t.co/3A6mmCk7wo,2020-05-15 18:17:01
"It is outrageous that scammers are trying to take advantage of seniors during this pandemic, pretending to be the IRS or selling a product that claims to treat #COVID19. In honor of National Senior Fraud Awareness Day, consider sharing these tips with older adults in your life: https://t.co/96X0GPUD8a",2020-05-15 14:17:41
Sigh... https://t.co/HnbhZ9rrbj,2020-05-14 23:33:38
"From efforts to decimate affordable health care to letting families go hungry, Republicans in Washington continue to pile unnecessary hardships on top of Americans already struggling because of #COVID19. If the Admin valued decency or compassion, they would abandon this appeal. https://t.co/gQ1e2tD2kP",2020-05-14 21:53:32
"Welcome to Pennsylvania, Mr. President. I hope you wore a mask while you were here. https://t.co/DOroffu0fx",2020-05-14 21:07:45
"At the end of the day, facts are facts: if Dr. Bright's whistleblower allegations are confirmed, we're dealing with the worst kind of cronyism—that which puts human life in jeopardy.

The Senate needs to hear from Dr. Bright. #LetBrightTestify https://t.co/3mt6hvaAns",2020-05-14 16:27:40
"The American people should never have to worry that their President will sabotage their health care, especially in the middle of a pandemic. That’s why @SenateDems are calling on #SCOTUS to reject this partisan lawsuit and #ProtectOurCare. #DropTheLawsuit
https://t.co/RozG8nK98n",2020-05-14 13:46:38
"REPORT: President Trump and Congressional Republicans’ efforts to destroy, dismantle and defund the ACA and Medicaid expansion WILL lead to more illness and higher costs associated with the coronavirus.

Mr. President, #DropTheLawsuit and #ProtectOurCare https://t.co/ihP36GKi4S",2020-05-13 23:35:14
"That’s right, Chef. It is a moral imperative that we expand SNAP benefits to meet the needs #COVID19 created so struggling families don't go hungry. https://t.co/XlSwsyIRrm",2020-05-13 23:31:18
"17 million Americans have gained coverage through Medicaid expansion

If the #TrumpLawsuit is successful, millions of low-income Americans lose access to health care during a national pandemic.

You're ripping care from vulnerable Americans, Mr. President. #DropTheLawsuit",2020-05-13 21:44:58
"My colleague brings up an important point: the President’s efforts to decimate Medicaid WILL cause rural hospital closures. This will leave thousands without access to health care services &amp; emergency care, and will cause hardworking Americans to lose their jobs. #DropTheLawsuit https://t.co/mKrOGAb2zX",2020-05-13 21:34:43
"This #MentalHealthMonth I'm thinking of the millions of young Americans whose lives were dramatically altered by this crisis, which is why I'm pushing for funding for behavioral health care and suicide prevention for children and teens in the next #COVID19 bill. #FundMentalHealth https://t.co/uNLT2eF9JG",2020-05-13 18:43:23
"NEW: The entire @SenateDems caucus has filed an amicus brief in President Trump’s lawsuit to overturn the ACA.

Today we’re sending a clear message to the Administration and to this country: Democrats will fight like hell to protect affordable health care.",2020-05-13 15:21:43
"Aimee Stephens was a hero to the LGBTQ+ community, someone who refused to be silenced in the face of injustice. Her legacy will not be forgotten as we march forward in our fight for equality. Sending my condolences to Aimee's wife Donna &amp; their loved ones. https://t.co/VO9YG9ahKg",2020-05-13 15:06:37
"Not true. The former Administration literally left a 69-page pandemic guidebook with instructions for how to address many of the same roadblocks the Trump Administration now faces, including lack of testing and shortages of equipment: https://t.co/bXAVehQhcN https://t.co/jSzwpPqA6W",2020-05-12 22:45:04
"WATCH: In today's Senate HELP Committee hearing, I asked Dr. Fauci if he had concerns about states reopening too soon.

Dr. Fauci: ""There is a real risk that you will trigger an outbreak you may not be able to control"" leading to ""suffering and death that could be avoided."" https://t.co/oczGzHNt5j",2020-05-12 18:54:12
"Fact: for many Americans, it's not safe to leave home during #COVID19, forcing SNAP participants to choose between risking their health or going hungry. I'm calling on the USDA to immediately work to ensure SNAP participants can receive home food delivery and curbside pickup. https://t.co/xk0Q3VrdeB",2020-05-12 17:01:19
"Parents skipping meals so their kids can eat. Lines at food banks stretching for miles. Farmers left without critical markets.

It is a moral imperative that we expand SNAP benefits to meet the needs #COVID19 created so struggling families don't go hungry. https://t.co/Z3XkFxdavf",2020-05-11 21:03:57
"Mr. President, we all want Pennsylvania to reopen, but those decisions must rely on the best advice of public health experts. Your response throughout this pandemic has been a case study of misinformation, misplaced blame &amp; an inexcusable failure in leadership. Let’s take a look: https://t.co/jNZTAiSpxN",2020-05-11 19:20:59
President Trump failed to adequately prepare the country for this pandemic and has mismanaged the response to COVID-19. We can’t effectively tackle the economic crisis until we get the public health crisis under control. https://t.co/M38kyDM1o3,2020-05-11 14:50:04
President Trump was handed a solution to our dismal stockpile of medical equipment on a silver platter and turned it down. This is tantamount to criminal negligence. https://t.co/Byv3rAQCJz,2020-05-11 13:57:57
"While this is a day of family and celebration for many, it is a difficult time for others. To all of the bereaved mothers out there, or anyone else who is struggling with the day, may you find peace.",2020-05-10 16:35:31
"This year, because of COVID-19, moms across the Commonwealth are being asked to do even more for their children, and others will spend today separated from the ones they love. It’s more important than ever that we express our gratitude. To all who celebrate: Happy Mother's Day!",2020-05-10 16:34:48
Today Ahmaud Arbery should be celebrating his 26th birthday. His family deserves full accountability and justice for a life lost too soon.,2020-05-08 18:55:02
The same President who wants to “drain the swamp” is turning Washington into his cesspool of corruption. https://t.co/XqUXdImMhY,2020-05-07 21:49:49
This #NationalNursesWeek it’s not enough to simply thank our nurses. We've got to provide them a tangible benefit—which is why I’m proposing a GI bill for our nurses and health care workers on the front lines of #COVID19. https://t.co/bkIqnyVUb9,2020-05-07 19:01:42
Reminder that the President and Republicans in Congress are STILL trying to dismantle the Affordable Care Act and rip away pre-existing condition protections – in the middle of a public health emergency. #DropTheLawsuit #ProtectOurCare https://t.co/GmCRdDG3ag,2020-05-07 16:48:27
"Pennsylvanians: in response to the COVID-19 economic crisis, Congress increased funding for food assistance programs, and we are working to provide even more support. To find out about food assistance services being offered in your county: https://t.co/bXtm50oPJP",2020-05-06 20:49:32
May 6—we still need a federally-directed testing strategy. https://t.co/8a4eZHPKCM,2020-05-06 13:06:51
"The complaint raises serious concerns that the Trump Administration is playing political games with the health of the American people. If confirmed, these allegations involve the worst kind of cronyism—that which puts human life in jeopardy. https://t.co/N5DhF8q2DN",2020-05-05 23:06:05
"The President has been trying to gut key provisions of the #ACA since assuming office. Denying millions of women access to vital care like contraception is an outrageous assault on women’s health. I'm standing with you through this fight, @PAAttorneyGen. https://t.co/vHj7kPkJAY",2020-05-05 20:44:05
"The Coronavirus Task Force, including Drs. Birx &amp; Fauci, will ""take a back seat to the forward-looking, 'what's next' message""

RT if you think the President should prioritize hearing from scientists and public health experts to determine 'what's next.'
https://t.co/V87jcPJCpM",2020-05-05 19:47:40
"Teachers have stepped up in extraordinary ways to support our students during this difficult time—but if we really want to show our appreciation, we need to pay them as the highly-educated, highly-trained professionals they are. #TeacherAppreciationWeek #ThankATeacher",2020-05-05 17:07:54
"""Trump — whose decision-making has been guided largely by his reelection prospects... provided justification to pivot to where he preferred to be: cheering an economic revival rather than managing a catastrophic health crisis."" https://t.co/BU1cQD2aMA",2020-05-05 14:15:56
