tweet,dates
To all the great moms out there - Happy #MothersDay! To all the sons and daughters - take a moment to make sure you let your mom know how appreciated she is. https://t.co/sBMLPzhXej,2020-05-10 13:30:00
"The #PPP is working. Illinois is #4 in the nation with 160,000+ forgivable loans approved worth more than $23 billion. https://t.co/hFpUd5czQq",2020-05-09 21:00:00
"Yesterday I announced that @HHSGov has awarded $2,053,494 to six health centers in IL-13 to expand #Covid19 testing capacity. The funding comes from the most recent coronavirus relief legislation that I voted for and @POTUS signed into law.

https://t.co/p5Cg1QiU12",2020-05-08 19:00:00
"The @IRSnews has announced that 130 million Economic Impact Payments have now been issued. Illinois has seen 4,844,140 payments worth $8,169,566,380. If you haven't gotten yours yet there is still more coming. Most people can track their payment at https://t.co/g6NyKLmhEj.",2020-05-08 16:39:04
Today marks the 75th anniversary of #VEDay75 (Victory in Europe). On this day we salute our WWII veterans who fought for freedom and remember the sacrifices they made. V-E Day is a reminder that America overcomes the greatest of challenges. https://t.co/LoXTQsMcKr,2020-05-08 14:00:00
"Today is the #NationalDayOfPrayer. Pray for those fighting this virus, serving on the front lines, and the countless others struggling with its impacts. https://t.co/RHrXFeNYcL",2020-05-07 21:48:25
"Last week and this week I was glad to team up with @ilcorn and @ILSoybean to deliver 20 gallons of much needed ethanol-based hand sanitizer to local first responders and public health departments in Christian, Macoupin, and Montgomery counties. Learn more: https://t.co/sgHyhmXxAB https://t.co/dxrcTlk3gr",2020-05-07 16:42:25
As the husband of a nurse I have a special appreciation for the care they provide day in and day out. Today is #NationalNursesDay launching #NationalNursesWeek  where we say THANK YOU. Our combined gratitude is especially timely as they combat the coronavirus. #ThankANurse https://t.co/nntapuWrff,2020-05-06 22:30:00
"The @IllinoisIDES has announced that self-employed individuals will be able to access the new federally-funded unemployment benefit portal starting May 11th. Read the full release below for details on what action you need to take now.

https://t.co/flDQTZ4lql https://t.co/iXV5UbHotC",2020-05-05 19:15:12
Ensuring our food supply is secure is one of my top priorities. The @USDA is delivering to farmers &amp; food banks and @POTUS has stepped in using the Defense Production Act to make our processing plants essential. https://t.co/fKdgcajOAT,2020-05-04 19:44:54
Proud to represent Lincoln's tomb in Springfield. You can take a virtual tour here: https://t.co/cXBBCucoGU https://t.co/UhHRvs4Vpj,2020-05-04 18:01:04
"Republicans have laid out a plan to get Congress safely back to work on essential bills like the NDAA, WRDA to maintain our waterways, and others. Speaker Pelosi needs to work with us to implement it. https://t.co/ShPU3kiAvq",2020-05-04 17:20:43
"Thank you to these Taylorville High School seniors for making a great case for a safe graduation. Governor, what is your response? https://t.co/GGymgFVIQQ",2020-05-01 17:37:29
Appreciate @realDonaldTrump addressing recs I made as part of the task force to reopen our country: providing new CDC guidelines to allow more testing &amp; using the Defense Production Act to protect our food supply. Thankful for his leadership on this! https://t.co/rWaOigKLGb,2020-04-30 21:58:30
Great to have you on Rich! Look forward to working with you and @ILFarmBureau members as we navigate the impacts of #COVID19. https://t.co/9FOy7NB2tQ,2020-04-30 14:29:40
Great discussion - thank you for assisting small businesses throughout IL-13 with the #PPP. https://t.co/hhddDojG2K,2020-04-30 14:12:17
"Yesterday I was joined by over 7,000 constituents on my #COVID19 Tele-Town Hall with @repdanbrady. Thanks for all of the questions on unemployment, small business relief, testing, reopening our economy, and more. For more coronavirus-related resources: https://t.co/IRjIXtjZcl https://t.co/F4Tr13K1X7",2020-04-29 16:26:10
"Tune in to this Facebook Live tomorrow at 12:00pm CST w/ @chefjoseandres, @RepSwalwell on Restaurants and Food Insecurity during #COVID19. https://t.co/XwvQ2b00fF",2020-04-29 14:30:00
The @IRSnews has announced a deadline of 5/5 for SSI and VA beneficiaries to act if they didn’t file a tax return in 2018 or 2019 AND have dependents so they can quickly receive the full amount of their Economic Impact Payment. Enter dependent info here: https://t.co/A0dytrHUMs,2020-04-29 14:00:00
"I teamed up with @AnheuserBusch and @skeffdist to deliver hand sanitizer to @CentralILFoodbk, @eifoodbank, and IEMA @ReadyIllinois. Thanks to all involved for working together to fill this important need. All told these organizations received 13,860 8oz bottles of hand sanitizer. https://t.co/npKBUOIXfw",2020-04-28 22:24:55
The @IRSnews has upgraded the Where's My Payment tool for tax filers to track and update their information. You can check it out here: https://t.co/esPAI4N5BX,2020-04-28 13:30:00
"I’m working to ensure that workers, like those @GoIUPAT, don’t lose access to their health insurance during the #COVID19 pandemic at no fault of their own. Layoffs and uncertainty abound during this crisis and health care access shouldn’t be another worry of my constituents.",2020-04-27 23:30:00
"The @IRSnews has announced that Social Security retirement, survivors, and disability beneficiaries will begin receiving their Economic Impact Payments this week.

To date the IRS has issued more than 88.1 million payments out of 150 million total payments that will be issued.",2020-04-27 18:00:00
Good news for small businesses. The @SBAgov has now resumed accepting Paycheck Protection Program applications from participating lenders. Find a #PPP lender here: https://t.co/nEJKe4Lpaq https://t.co/Jvgro6MxIY,2020-04-27 14:30:52
Last week I was asked to serve on the @WhiteHouse Opening Up America Again Congressional Group. Look forward to serving in this capacity to safely re-open the economy and get Americans back to work. Read more here: https://t.co/E5uan4i9ki,2020-04-25 23:00:00
"ICYMI: Davis Statement on USDA Aid to Food Banks and Farmers
https://t.co/eovMVrgh5p",2020-04-25 19:00:00
ICYMI check out this story from @WJBC about universities and colleges receiving #CARESAct funds to assist students in need: https://t.co/hXlJf85Rd8,2020-04-25 15:00:01
The #PPP is working. Now that Congress has voted for more funding millions more jobs at small businesses can be saved. Illinois has seen almost 70k businesses approved with total loans nearing $16 billion. https://t.co/gtEEdsdQUS,2020-04-24 20:00:00
Let's pass this bill for all the small businesses in my district who are still waiting for these loans to help them stay in business and ensure their employees get a paycheck. #PaycheckProtectionProgram https://t.co/aqShNp7ZoP,2020-04-23 18:39:09
The Democratic leadership in Illinois wants to use #COVID19 pandemic as an excuse to seek a $10 billion federal bailout of Illinois’ already troubled pension funds. This defies common sense. You can read more here from the @Suntimes: https://t.co/EYxxx3wPbH,2020-04-23 14:00:01
ICYMI 🔊 https://t.co/SOqbMQlLiM,2020-04-23 13:17:34
"I've been fighting for Congress to replenish the Paycheck Protection Program and it's because of small business owners like Lindy in Champaign. Hopefully the House will get another opportunity tomorrow to support this program, small business owners, like Lindy, &amp; their employees. https://t.co/koqTXOHCaQ",2020-04-22 23:00:00
"April is #CCMonth and I want to salute the 5 outstanding community colleges in my district. They provide quality, affordable education for 30k+ students seeking a technical or transfer-path degree.

@parklandcollege 
@Heartland_CC 
@RCCDecaturIL 
@LincolnLand 
@lewisandclarkcc https://t.co/rspyczIWEN",2020-04-22 20:00:01
I'm advocating for the expeditious renewal of the Violence Against Women Act (VAWA). Our domestic violence service providers need help assisting victims - especially now with the stay-at-home order in place. Read more here: https://t.co/jR3frUU8Fa,2020-04-22 16:34:11
