tweet,dates
Congratulations to Meridian’s @todd_tilghman on winning @NBCTheVoice! #MississippiProud,2020-05-20 03:02:31
Mississippi will be receiving $91M to expand #Covid_19 testing massively. This new funding from @HHSGov will enable more people to go back to work and resume their social lives safely. https://t.co/yzHIh4vUJq,2020-05-19 21:53:25
"Today @SenHydeSmith, @CongPalazzo and I wrote to @USDA @SecretarySonny  to encourage purchases of Mississippi seafood. USDA programs could provide this fresh, healthy food to families in need during the #Covid_19  pandemic. https://t.co/nKuLfQ9Exw",2020-05-19 19:48:39
"The world has lost a great American. Ben Williams was more than an athlete, he was an Ole Miss trailblazer. He was courageous and strong, but still known by everyone as “Gentle” Ben. https://t.co/mpHLtFIs2i",2020-05-19 19:17:02
Stunning performance from Meridian's own @todd_tilghman on last night's @NBCTheVoice. Looking forward to seeing tonight's finale. He's made Mississippi proud. https://t.co/OjZLZtol4L,2020-05-19 17:55:02
Today @CongPalazzo and I announced the news that Mississippi would be receiving $21.3M in response to a prolonged period of freshwater inundation into the Gulf of Mexico that devastated Gulf Coast fisheries last year.  https://t.co/qwyzDjCN89,2020-05-18 18:19:34
Check out these replicas of Elvis Presley’s guitar in downtown Tupelo. They were painted by local elementary school students to mark the Elvis Presley birthplace. They remain a popular place for tourists and locals alike to take photos. #MississippiMonday https://t.co/fpyjoBK5jx,2020-05-18 16:00:41
"When the first cases of COVID-19 emerged in the Chinese city of Wuhan last December, local doctors were silenced by Chinese government officials who were more interested in saving face than taking responsibility for the outbreak. #WickerReport https://t.co/5q0QGDVV9N",2020-05-18 15:25:29
"The strength of our military has shown through the darkness of the coronavirus pandemic – with many of our service members going to extraordinary lengths to keep us safe.

This month, I encourage all Americans to take time and thank a service member. 

#MilitaryAppreciationMonth https://t.co/pxzBA6Cxd0",2020-05-16 14:33:00
Appreciate @USTreasury for updating their guidance to allow rural power cooperatives to access the Paycheck Protection Program. This decision will help keep the lights on in rural America. https://t.co/R9oyJ7WcRu,2020-05-15 20:32:55
Congratulations to the first graduates of @81trwKeeslerAFB’s Basic Military Training! You are joining our nation’s @usairforce at an important time. I commend you for a job well done. I know you will serve our country well.,2020-05-15 19:15:59
"At a time of increasing threats to our nation, giving our security services the tools they need to keep us safe is of paramount importance. I am glad the Senate has acted in a bipartisan fashion to extend the FISA program and make important reforms to protect civil liberties.",2020-05-14 20:43:00
Great news for Mississippi’s rural electric co-ops! Today @USTreasury issued updated guidance allowing power cooperatives to access the Paycheck Protection Program.,2020-05-14 19:42:16
Congratulations to Meridian’s Todd Tilghman for making it to the finals on @NBCTheVoice! You’re making Mississippi proud. https://t.co/ieOYvNquQL,2020-05-13 16:15:12
The Chinese Communist Party’s continued suppression of the truth amid the #coronavirus outbreak cannot go unchecked. Today I joined @LindseyGrahamSC to introduce legislation that would authorize @realDonaldTrump to take action against China's government. https://t.co/evd7TvfMfp,2020-05-12 23:05:11
"Good to see the @realDonaldTrump administration is taking action to protect our seafood industry. Supporting aquaculture, combating illegal fishing, &amp; promoting fair trade helps our fishermen continue to put fresh, healthy food on American dinner tables. https://t.co/psZMHjtSSq",2020-05-12 22:04:03
Guardsmen stationed at Camp Shelby arrived early last week at Forrest General Hospital to salute workers. Small acts like these mean a lot for health-care professionals who are on the front lines of the #coronavirus pandemic. #MississippiMonday https://t.co/9Mc98GB5ar,2020-05-11 16:03:29
"After several weeks spent working from home, the Senate has returned to Washington to continue our legislative &amp; committee responsibilities. Managing our nation’s response to COVID-19 remains a top priority, but there is other work yet to do. #WickerReport https://t.co/a2a3qLM0Oz",2020-05-11 15:05:54
Happy Mother’s Day! https://t.co/YpwDR1Fvin,2020-05-10 14:27:27
"Appreciate @EPA for their commitment to this program in Mississippi. Brownfield grants are an important resource for communities to protect the health &amp; safety of their residents, while making potentially contaminated property suitable for re-use. https://t.co/vrXJbBZk36",2020-05-09 19:41:00
Today marks 75 years since Allied troops declared victory in Europe near the end of World War II. Proud to have a father who played a part in this triumph over tyranny. #VEDay75 https://t.co/z6fMcgFM0K,2020-05-08 21:29:23
"The early award of defense contracts is welcome news for suppliers experiencing disruptions because of #COVID19, but our current budget still comes up short in terms of our long-term priorities. We will need to invest more to stay on the path to #355ships. https://t.co/jocGlk0c1w",2020-05-08 18:56:56
"Today @HHSGov announced the award of $6.72M to expand #COVID19 testing at 20 community health centers in Mississippi. 

Expanded testing will be necessary for our state to recover from this unprecedented public health challenge.

See where here ⤵️
https://t.co/iLj5aYm08w",2020-05-07 23:33:41
"During this pandemic, protecting basic human rights should remain a priority of the United States as we work to mitigate the effects of #coronavirus. Nations that fail to uphold fundamental freedoms should be held accountable. https://t.co/dWDm8RKL7N",2020-05-07 22:52:58
"President @realDonaldTrump's nominee for @SECNAV will be the ""chief advocate"" for a 355-ship fleet. Block buys and additional appropriations will help us get back on track to meet the @USNavy's need for a larger, more capable fleet. https://t.co/jocGlkhMT4",2020-05-07 22:33:25
"Today, we mark the #NationalDayofPrayer. It’s a day for reflection and repentance, hope and aspiration.",2020-05-07 14:59:03
"I want to congratulate each and every nurse for all they have done to help our nation during the #coronavirus outbreak. Thank you, and God bless you. #ThankYouNurses https://t.co/cS0Bbcd1WP",2020-05-07 00:56:28
