tweet,dates
Wishing all of the mothers in #TX25 and across our nation a very happy #MothersDay! Thank you for all that you do. https://t.co/HkqNWLecZE,2020-05-10 13:44:00
.@HEB’s service to their customers and investment in TX health care workers during COVID-19 is keeping our community moving forward. Thank you for today’s tour and for your commitment to #TX25! https://t.co/lFSPLRohsm,2020-05-08 19:58:56
"Grateful to receive an update this morning on the COVID-19 response in Burleson from Fire Chief KT Freeman, Police Chief Billy Cordell, Emergency Management Director Will Allen, and Public Health Director Dr. Steve Martin. 

Thank you for all you do for #TX25! https://t.co/2ITFYBnWcR",2020-05-08 16:14:24
It was an honor to deliver breakfast this morning to some of our front line health care workers at the Texas Health Huguley drive-thru testing site. We owe each one of them an immense debt of gratitude. #TX25 https://t.co/iuvYMS1XOH,2020-05-08 15:12:10
Wonderful to visit Busy B’s Bakery this morning in Burleson! Karen has made the bakery a staple in the #TX25 community for over 30 years and I’m grateful they are able to keep their doors open to serve Texans. https://t.co/Ln1BL6JEr8,2020-05-08 13:55:44
"🚨GREAT NEWS: this week, rural hospitals in Texas received $2-4 million each thanks to the CARES Act. 

These facilities play a vital and irreplaceable role in our communities, and I’m proud to fight for them and ensure they can keep serving Texans. https://t.co/mytJ226he8",2020-05-07 20:21:12
"On this #NationalDayofPrayer, we lift up everyone touched by COVID-19 and pray for protection over our frontline health care workers. May the Lord continue to bless our nation, heal our world, and give us peace during this time of uncertainty. https://t.co/7RtU0YNYOV",2020-05-07 15:59:11
#TX25 FARMERS: @SBAgov is now accepting applications for the EIDL program to provide relief for our dairy and ag industries. Click below for more information. https://t.co/QY7uTrabeq,2020-05-06 20:07:02
THANK YOU to all of our nurses in #TX25 and across Texas working around the clock to save lives and protect our families. #NationalNursesDay https://t.co/VohNRBe9M6,2020-05-06 14:57:48
"VETERANS: today is the last day to claim dependents or submit your Non-Filer form so you can receive your full Economic Impact Payment. To submit your information, please visit: https://t.co/nxLzUMnxzV.

If you are unsure if you need to take action, please see below ⬇️ https://t.co/MvZ0Sc9DYK",2020-05-05 14:28:50
"During #MilitaryAppreciationMonth, we honor all of the service men and women who have faithfully answered the call to serve so that we may live in freedom. May God bless you and may God continue to bless America 🇺🇸 https://t.co/8PwCnFXHAQ",2020-05-05 13:57:25
FARMERS: the @SBAgov is now accepting applications for Economic Injury Disaster Loans (EIDL) in order to provide aid and relief to our Texas agriculture industry. Click below to apply: https://t.co/m1hSOZmQGi,2020-05-04 17:04:37
