tweet,dates
"Today, we honor the women in our lives who have loved and inspired us. #MothersDay can also be a time of grieving for those who have lost a special someone, but my hope is that you find peace in your memories and joy as you make new memories with loved ones who remain. https://t.co/JmugtIdF73",2020-05-10 15:31:05
"In the face of so many new challenges, Kansans prove to be creative and innovative. Rick McNary found a way to match those needing fresh food with Kansas farmers – using social media. #AmericaWorksTogether

https://t.co/k6iXe6FG8c",2020-05-08 22:05:24
"Now more than ever, we rely on high-speed internet to connect with our family, neighbors, schools, jobs, and places of worship. I’m glad that @USDA is investing in broadband projects in rural areas like parts of Chautauqua County.
https://t.co/cMNQS0ah6B",2020-05-08 19:43:29
"Today we celebrate the 75th anniversary of V-E Day. While this was also going to be the grand opening of the @IStillLikeIke memorial, we are still grateful for Kansas' favorite son, his contributions during WWII, and the many soldiers who fought against tyranny and oppression. https://t.co/wjYmhns1Sy",2020-05-08 15:52:48
TODAY: Kansas military veterans are encouraged to join a telephone town hall with @VAVetBenefits for an update on veterans benefits programs at 4 p.m. https://t.co/vOZcSzgOMF,2020-05-07 20:10:38
"In the midst of crisis, it is apropos that we pause to recognize #NationalDayOfPrayer. Americans have sought wisdom and guidance from their Creator for generations, and I hope you'll join me in praying for our nation and her people today. https://t.co/MUauTUuSU9",2020-05-07 16:39:47
"The 4th District Congressional Art Competition is now online. Winners will be announced later this month. All entries can be viewed now, and you can fave your top picks for people's choice (voting ends at 1 p.m. May 12 and requires a Flickr account). https://t.co/1LTTwLsSLu https://t.co/FP7IMr9Nsz",2020-05-06 22:20:24
"The Paycheck Protection Program is a lifeline intended for small businesses impacted by COVID-19. Intentionally fraudulent applications, not mistakes, are unacceptable and take away from Kansans who really need it.",2020-05-06 20:23:59
"Today we thank the nurses who care for Kansans each day. Nurses like Emily, who is in the mobile COVID-19 testing unit in Sedgwick County, and countless others on the front lines of this pandemic. #NationalNursesDay https://t.co/26NDhWaW0k",2020-05-06 18:49:10
IMPORTANT: Today is the last day for Supplemental Security Income &amp; Veterans Affairs beneficiaries to report dependent children younger than 17 to receive the additional $500/eligible child Economic Impact Payment. https://t.co/PygfKI4wgO,2020-05-05 21:45:56
"Kansans always rise to new challenges. Wichita’s skilled aerospace manufacturing workers will be producing ventilators to meet the needs of their fellow Americans as we fight COVID-19. #AmericaWorksTogether
https://t.co/YaHvEIgt7M",2020-05-05 19:43:13
"Each May we recognize teachers during #TeacherAppreciationDay, but this year, classrooms have been replaced with distance learning. Yet our gratitude is even greater for our Kansas educators, and we thank those who inspire, inform and transform the minds of young people. https://t.co/oZTpXANyyE",2020-05-05 16:04:49
"Kansans have always shown gratitude and respect for those on the front lines like our military personnel, veterans and health care professionals.",2020-05-04 22:37:04
"Kansans always help their neighbors, even if they’re apart. One incredible example is the Barber family, who started the Burger Cow Project to provide more nutritious meals to food pantries in Cowley County. #AmericaWorksTogether

https://t.co/0DeYxck4sW",2020-05-04 19:00:30
"This Wednesday, the Supreme Court will hear the case of the Little Sisters of the Poor. I hope the court continues to uphold the standards for religious freedoms instituted by our nation’s founders. #LetThemServe https://t.co/mxGZFpQznc",2020-05-03 16:15:00
"The Paycheck Protection Program is intended to help small businesses and their employees through this health crisis. The Trump administration is right to clarify that Planned Parenthood is not eligible to receive this taxpayer funding.

https://t.co/1W5JgdXztF",2020-05-01 20:06:41
"Good news for Kansans: With 36 counties reporting, there have been 773 full recoveries of patients with COVID-19. While we will continue to see new cases, Kansas has flattened the curve – a major step toward reopening our state.
https://t.co/D4RhDOzOMm",2020-05-01 19:26:46
"REMINDER: For Supplemental Security Income &amp; Veterans Affairs beneficiaries, the deadline for reporting eligible dependent children is coming up on Tuesday, May 5. https://t.co/VG9PbCGHSn",2020-05-01 17:23:26
"COVID-19 Testing is essential to making informed decisions as we reopen America. Thank you to Walmart and eTrueNorth for bringing more testing to communities across Kansas. #AmericaWorksTogether

https://t.co/7evbvA3iH2",2020-04-30 20:12:09
"The safety of our doctors and nurses on the front lines in Kansas is critical to beating this virus. Kansas will be receiving $23 million for PPE from @FEMA due to the major disaster declaration for Kansas.

https://t.co/JlTooTAisg",2020-04-30 16:33:52
"Last night I joined @OANN to discuss state bailouts &amp; reopening America. Before we look at another relief bill, we need to ensure the almost $3 trillion we’ve already appropriated is used efficiently.

WATCH: https://t.co/82MDsrHY0L",2020-04-29 21:27:42
"As we implement coronavirus relief, guidance on recent legislation needs to be clear. That’s why @RepLindaSanchez and I asked @USTreasury to ensure all credit unions, like Kansas’ @HeartlandCUA, are treated equally under Families First and CARES Act payroll tax credit provisions. https://t.co/P0VEJcM7u5",2020-04-29 17:55:22
"Don Hall is a Wichita icon and his recognizable voice, whether at a Shocker game or on the radio, will be greatly missed in our community. Our prayers are with his family, friends and co-workers in this difficult time. https://t.co/8VJ6F0L0xU",2020-04-29 16:17:22
"While my colleagues and I have been busy in our districts, our country is in a crisis, and lawmakers should be in our nation's capital legislating. 

Read my full statement: https://t.co/HAQdU5qMBz",2020-04-28 20:14:53
Health care workers continue to put themselves at risk to serve their community. This week @KSGirlScouts delivered cookies to thank doctors and nurses at Ascension Via Christi Hospital.🍪 #AmericaWorksTogether https://t.co/fYctxS1P8I,2020-04-28 19:09:59
Wichita-based Envision donated 400 cloth masks to a Wichita hospital with more on the way locally and in the 11 states the nonprofit is located. This is another reminder of how #AmericaWorksTogether. https://t.co/Y7yKtagEti,2020-04-28 13:43:00
DEADLINE: Supplemental Security Income &amp; Veterans Affairs beneficiaries who don't file a tax return but have dependent children 17 or younger must use the IRS' Non-Filers tool by May 5 to receive the additional $500/eligible child Economic Impact Payment. https://t.co/mxRpxrNjKA,2020-04-27 13:26:00
ICYMI: Watch the interview with a Kansas farmer who exemplifies the best of our nation. https://t.co/2eNrylo4hM,2020-04-27 01:03:49
"As the former state treasurer of Kansas, I understand how difficult it is to balance state budgets. However, previous coronavirus bills will relieve state budgets with emergency support funding. Read my new op-ed:
https://t.co/4IWuGZL6kt",2020-04-25 17:41:02
"Earlier this month I signed a letter urging Secretary Mnuchin to allow hospitals partially funded by local governments to apply for PPP. I’m pleased that @USTreasury established new guidelines regarding hospitals ↓ 
https://t.co/J8OIoe2aGc",2020-04-24 21:54:16
"This morning I spoke with @knssradio Steve &amp; Ted about the vote on additional funding for PPP and coronavirus testing. This bill is a step toward reopening Kansas safely by expanding testing &amp; supporting small businesses. Let’s get America going again.
 
https://t.co/JuCAFHh7xN",2020-04-24 20:39:44
"Tonight, football fans are experiencing the annual tradition of the @NFL draft. I’m already pleased with Kansan Isaiah Simmons from Olathe on his number 8 overall pick by the Arizona Cardinals &amp; am excited to watch the Super Bowl Champion KC @Chiefs pick! #ChiefsKingdom #NFLDraft",2020-04-24 02:42:33
