tweet,dates
A sincere thank you to all mothers for your hard work and love.  Happy Mother’s Day!!! #MothersDay https://t.co/cFgg4O2qJc,2020-05-10 14:16:58
"Many thanks to @MOFA_Taiwan for donating 100,000 surgical masks to Wisconsin's first responders. We appreciate Taiwan's humanitarian efforts in the fight against #Covid_19 and their help in shoring up supplies of #PPE.
 https://t.co/3uJPOpEBhT",2020-05-07 22:37:43
We are holding a remote #HSGAC roundtable today to discuss how new #COVID19 information should drive policy with @DrDavidKatz @Avik and doctors from @stanford @UWMadison @JohnsHopkins. Livestream at 2 pm ET https://t.co/KhEmpRQJhP,2020-05-06 15:36:51
On this #NationalNursesDay we recognize and thank all nurses for their skill and compassion. We are especially thankful for nurses on the frontline of the #COVID19 pandemic for their courage. #ThankYouNurses,2020-05-06 15:35:27
"Insightful piece from @brian_blase in the @WSJopinion 
https://t.co/nYlBVV4ZFN",2020-05-06 01:51:28
Wisconsin innovation on display! Great work by Milwaukee manufacturers working together to quickly develop a new reusable face mask. https://t.co/xVu8w5yuXG,2020-05-05 00:37:12
"May is #MilitaryAppreciationMonth. Thanks @milwaukeeva @DeptVetAffairs for introducing us to this #WWII nurse who is turning 99 today! She says family and education made her life rich. Happy Birthday, Alice! https://t.co/eR35I7JZFV",2020-05-04 20:36:33
"We will have to be innovative and figure out new ways to practice social distancing, but there are smart ways to reopen more Wisconsin businesses. @fox11news
https://t.co/OgegY8OX5o",2020-05-04 16:26:29
"Small businesses impacted by the #coronavirus crisis, like this Kimberly daycare, are who #PPP is supposed to help. I continue to push to make sure PPP is helping these businesses and is not used up by others who aren’t hurt by the crisis. https://t.co/DHm4bZFNPb",2020-04-29 23:49:50
"Totally agree @Avik: ""We have to completely change our mind-set. Instead of thinking up creative ways to force people to stay home, we should think hard every day about how to bring more people back to work."" https://t.co/D54J2PXu6F",2020-04-29 20:20:17
If a business makes more money in 2020 than 2019...they may still have a #PPPloan fully forgiven. That is one example of a problem we need to fix in the Paycheck Protection Program. https://t.co/7GWkh4PsQj,2020-04-24 00:39:00
"Let's identify the non-essential businesses that really do pose a risk to the spread of #Covid_19 and keep them closed but financially supported. Everyone else, we should work to safely reopen. https://t.co/Cq7AutglUl",2020-04-23 21:00:11
"The #CARESAct had the best of intentions, but as we become aware of problems, I hope the administration and my congressional colleagues will work in good faith to remedy them. Case in point: forgiveness of #PPPloan  https://t.co/ajehWJEilk",2020-04-23 14:49:10
"It may be too late to limit access to #PPPLoans to those truly in need, but it isn’t too late to limit forgiveness. In @WSJopinion, I outline my proposal to add forgiveness limitations based on ability to repay, including those granted under the #CaresAct. https://t.co/ajehWJVTJU",2020-04-22 20:57:34
More help will soon be on the way for Wisconsin businesses wanting loans to keep their workers on the payroll. The Senate passed a deal for an additional $310 billion for the Paycheck Protection Program #PPP https://t.co/EvyE1f7XQ6,2020-04-22 00:36:11
"$8.3 billion is headed to Wisconsin businesses in #PPP loans so far. That's the 14th highest amount in the nation. Still, we are working on more funds to help Wisconsin businesses survive. Here's the @SBAgov report https://t.co/QUsKsNK3e9",2020-04-20 23:48:00
