tweet,dates
"|-----------|
| VOTE        |
| BY             |
| MAIL         |
|-----------|
(\__/)  ||
(•ㅅ•) ||
/ 　 づ",2020-05-09 15:30:12
Over 33 MILLION Americans are jobless and the White House's “plan” is: give up. https://t.co/8rleP8f00q,2020-05-08 16:40:41
Low-income Americans are at a greater risk than ever of having to go without basic necessities. My new plan will provide cash assistance and other resources to help our most vulnerable families get through this crisis. https://t.co/NhTRRfz2BV,2020-05-08 15:42:27
These unemployment numbers pack a hellaciously powerful one-two economic punch: gigantic in size and taking place almost overnight. This crisis is ongoing and our top priority in Congress must be getting relief to workers as soon as possible to help them weather this storm. https://t.co/Bv53yfzxZs,2020-05-08 12:51:34
AG William Barr has destroyed the credibility of the Justice Department to help someone who was working on behalf of a foreign government while serving as the National Security Advisor.,2020-05-07 22:05:49
"This week we’re raising awareness about Missing and Murdered Indigenous Women. It’s long past time to reduce the staggering rates of violence that indigenous women face. To everybody who has experienced violence: know that I hear you, and am in your corner. #MMIW #MMIWpdx https://t.co/KurVFVK1hm",2020-05-07 21:41:09
"Thousands of postal workers are putting their lives on the line every day to help Americans stay safe during this crisis. Meanwhile, instead of helping American families, Trump is busy using a critical government agency as a pawn in his political games. https://t.co/3PxjVQgcws",2020-05-07 19:07:41
"Donald Trump has been waging a war on whistleblowers. Yesterday, the Senate voted to give a promotion to a Trump nominee who, for the last 6 years, was bound by law to write rules to protect whistleblowers but failed to do so at every turn. https://t.co/ngpYQmNivQ",2020-05-07 17:42:59
"Despite Trump's efforts to act like this crisis isn't happening, the numbers tell a very different story: this crisis is ongoing. I'm fighting for bold solutions and additional benefits to help American workers weather this storm in the weeks and months to come. https://t.co/6LULToQXU7",2020-05-07 13:51:56
"For too long Congress has ignored the growing problem of online child abuse. I introduced comprehensive legislation to protect vulnerable children from exploitation. My bill includes sweeping, mandatory resources to find and prosecute child predators and keep kids safe. https://t.co/f1rLElVfqb",2020-05-06 21:01:10
Trump has declared open season on whistleblowers. His nominee to head the Counterintelligence Center was just confirmed by the Senate. William Evanina was bound by law for 6 years to write rules to protect whistleblowers &amp; failed to do so at every turn. I opposed his nomination.,2020-05-06 20:05:47
Reminder that we're in the middle of a global pandemic and the Trump administration is still suing to repeal the ACA and kick millions of Americans off of their health insurance. #ProtectOurCare https://t.co/x5AZ80K2AZ,2020-05-06 18:50:41
Small businesses like @1188BrewingCo in John Day are the backbone of the rural Oregon economy. Here in the @MyEagleNews is my proposal to help the smallest businesses throughout Oregon &amp; nationwide during #COVID19: https://t.co/OryJIOS86i,2020-05-06 16:53:33
I'll be joining @FSFP tonight at 8:00 PM EST to discuss the urgent need to secure America's elections. Free and fair elections are too important to leave in the hands of shady voting companies. We hope you’ll join us. Click the link below to register: https://t.co/dyCeBkGqFg,2020-05-06 14:47:14
"Vote by mail. That's it, that’s the tweet.",2020-05-06 13:43:29
Never thought I'd see the day when Republicans would use a global pandemic as an excuse to cut taxes for the mega-rich but here we are https://t.co/VDLKmIz1lY,2020-05-05 23:16:03
