tweet,dates
Wishing all the incredible moms a very happy #MothersDay https://t.co/KEWEPuHvaM,2020-05-10 14:24:25
"David F. Jameson, Jr dedicated his 23-year career to protecting the people of Independence &amp; served with bravery and distinction. My thoughts are with his children, family, and the Independence Fire Department.",2020-05-09 18:11:39
"On #MilitarySpouseAppreciationDay, I want to recognize #milspouses who are the backbone of our military &amp; support our country by supporting those who serve. Thank you for the sacrifices you make for us. https://t.co/ggKdMHR9n4",2020-05-08 20:02:00
Happening today ➡️ Missouri Air National Guard’s 131st Bomb Wing will salute health care &amp; essential workers with a B-2 flyover https://t.co/zmsFUQVbwV,2020-05-08 19:23:31
"Missouri’s health centers play a critical role in our efforts to defeat this virus and get our economy back on track. Today, I announced that 29 health centers in our state are receiving nearly $12 million in coronavirus response grant funding.",2020-05-08 19:20:45
Joined @Fox2Now’s @JohnBrownTV &amp; the entire MO delegation last night to talk about the latest developments on COVID-19. I’m continuing to focus on rapidly increasing our testing capacity and protecting the U.S. medical supply chain https://t.co/N5DuDaSlLQ,2020-05-08 17:46:27
Glad to see @RepBlaine named to the #Coronavirus Oversight Committee. I know he’ll work diligently to ensure the committee keeps the focus where it should be in this pandemic: making sure families are getting the help they need and holding China accountable.,2020-05-08 17:22:01
"75 years ago today, Nazi Germany surrendered to Allied Forces, marking WWII's end in Europe.",2020-05-08 17:09:58
Testing available for #KCMO area ⬇️⬇️⬇️ https://t.co/OgSNLuoSEo,2020-05-07 21:17:21
Important information on #covid19 testing sites in Joplin ⬇️ https://t.co/VZavR4ACbs,2020-05-07 21:16:57
"Children in foster care are at increased risk for mental or behavioral health issues, like depression, anxiety, and PTSD, which could affect them well into adulthood.",2020-05-07 20:46:05
"When it comes to the fight for the economy and against the #coronavirus, we have to develop and get tests into the hands of health care providers faster than ever before. Let’s break some records here. https://t.co/40b5IGJt8F",2020-05-07 19:59:18
"Exciting news from @NIHDirector ➡️ 1,000 innovators have applied to @NIH’s Shark Tank-style competition to fast track #coronavirus testing solutions https://t.co/st2DQc9jUq",2020-05-07 18:28:44
Attn #MOag business owners ⬇️⬇️⬇️ https://t.co/AKht2y8rCK,2020-05-06 21:17:37
1 in 5 adults in our country experience a mental illness. Times like these can be especially challenging for mental health. That’s why it’s important to treat mental health just like physical health. https://t.co/er0wWkwB61,2020-05-06 20:01:00
