tweet,dates
Sovereignty means the power to protect your people on your land. The Oglala Sioux and the Cheyenne River Sioux Tribes are saving lives and I stand with them. https://t.co/sawOM7cRoP,2020-05-09 17:26:13
Calling all #AZ07 high school artists for my Virtual Art Competition! Submit pic of your work by May 31st. Sign up &amp; get more info here: https://t.co/R6uX3SXl7A https://t.co/ciAkshKn0p,2020-05-08 22:29:53
"Glad to see HHS will require nursing homes to disclose the number of #COVID19 cases &amp; deaths, especially after my productive conversation with HHS Deputy Secretary Hargan on the issue several days ago.",2020-05-08 16:15:16
It seems the Ducey administration is responding to overwhelming public pressure &amp; calls for continued data-driven modeling to help us better understand the effects #COVID19 is likely to have here in AZ. I hope future decisions also rely on science &amp; the work of health experts. https://t.co/evAPYqs4ra,2020-05-07 21:01:31
Happy to announce that the City of Phoenix is receiving $198 million from the CARES Act to ensure @valleymetro can continue to provide public transportation services as it adapts and responds to the #COVID19 crisis.,2020-05-07 16:26:01
"Glad to hear that ASU will continue its modeling, with or without the contributions of AZ DHS. That’s what real leadership looks like. Ducey should take note and release the “special data” publicly. https://t.co/kCjX1V2Sc1",2020-05-07 00:19:00
"Nurses are heroes on the front lines of this crisis, showing the same passion and compassion they have always had as they fight to save lives.

Now let's celebrate #NursesDay2020 by getting them the resources they need to save lives. https://t.co/sTuuQmyQKV",2020-05-06 20:49:37
"In our fight against #COVID19, knowledge is power. I’m asking @asu &amp; @uarizona to ignore Gov. Ducey’s politically-motivated order to stop coronavirus modeling work &amp; demand continued access to data. Public health experts need that info to make informed decisions &amp; save lives. https://t.co/Q4Ti6HFeMR",2020-05-06 18:23:45
"Thanks to the Nick Lowery Foundation, free COVID-19 Rapid Antibody Tests will be available for Veterans at the Glendale Civic Center parking lot from 10am - 1pm tomorrow! Call 480-669-6452 or 480-550-6640 to schedule an appointment.",2020-05-06 17:44:54
"Fact check on Trump here:

1. If it were up to @realDonaldTrump &amp; Sen McConnell, Tribes would have been shut out of this relief. The Senate’s initial CARES Act proposal for Tribes was $0. Tribes &amp; I asked for $20B. Ultimately Tribes got $8B, which still isn’t enough. (thread 👇) https://t.co/oG6Q4DPgGj",2020-05-06 00:00:07
Today is National Day of Awareness for Missing &amp; Murdered Indigenous Women and Girls. Today we remember #MMIW and the communities &amp; families that have suffered. Today we renew our commitment to action to end this crisis.,2020-05-05 18:54:57
Glad that @USTreasury has answered @RepDebHaaland’s and my call to release some of this funding immediately. It is unacceptable and shameful that it took over 30 days – past the statutory deadline Congress set – to do so. This administration MUST do better. https://t.co/M5BmbeYftk,2020-05-05 15:03:56
"The Navajo Nation is experiencing one of the worst COVID-19 outbreaks per cap in the country, and have lost over 70 beloved community members.

Mayor Tappan of Page, AZ should offer his help to the Nation instead of making racist comments on Facebook. https://t.co/5Yyk5na4yf",2020-05-04 18:53:29
"59 years ago today, 13 brave Americans started a dangerous journey through the segregated south.

Today, as we face a global crisis, we honor the #FreedomRiders with a renewed commitment to the fight for justice and equality for all. https://t.co/vNo3aFTAK7",2020-05-04 15:30:14
Is the Paycheck Protection Program helping the people who need it most? This UChicago study says the first round of PPP funding might not have gone to the businesses and areas hit hardest by the COVID crisis. (thread 👇) https://t.co/p7QFiEEz2q,2020-05-01 20:27:48
Congrats to the students and researchers at @ASU and @uarizona! https://t.co/iwRbGoPFS6,2020-05-01 19:02:38
"Census Day was one month ago today and so far 44.6% of #AZ07 has responded to the #2020Census. There’s still time to complete the Census by mail, phone, or at https://t.co/liFT152Szn and help our community get the resources that it needs for hospitals and schools.",2020-05-01 18:43:43
"Tribes still have to wait longer &amp; jump through more hoops for COVID aid than other communities, even though Indian Country has been hit harder. We must do better &amp; make sure aid Congress passes actually gets into Tribes’ hands in a timely manner. https://t.co/jcd3RvHj3J",2020-05-01 16:54:06
"Treasury previously planned to begin releasing these funds on Tuesday, but plans seemed to change when a Court ruling didn’t go their way.

It is cruel to make Tribes wait even longer than the month they already have for economic relief. 

@stevenmnuchin1: Release this aid NOW! https://t.co/GGW9K6Pxcg",2020-04-29 21:38:07
