tweet,dates
"Great to see companies like Battelle in Idaho Falls decontaminating N95 masks to ensure our state rebounds safely. Around 80,000 respirators can be decontaminated each day allowing them to be reused multiple times. Thank you @Battelle and the @INL site!",2020-05-08 17:51:35
"Today, during #NationalDayofPrayer, we pray to seek the Lord’s care and guidance for our country, states, and communities. We must keep our faith.

""And it shall come to pass that everyone who calls upon the name of the Lord shall be saved."" Acts 2:21 https://t.co/BLeAXyhTR1",2020-05-07 15:06:19
"This week’s announcement by @SecretarySonny is great news for our farmers and ranchers. The COVID-19 pandemic has caused many of Idaho’s markets to dry up, but our crops continue to grow and our cows continue to produce milk. I look forward to working with the Secretary as we",2020-05-06 19:01:24
"Cash grants will be available for eligible small businesses through @GovernorLittle Idaho Rebound program. 
Application periods:
1-19 employees: noon on May 11 to noon on May 15. 
1-50 employees: noon on May 18 to noon on May 22. 

More info: https://t.co/9UAjLeAO4g",2020-05-06 18:50:59
Nice to see our longtime business partner Taiwan donating 100k masks to Idaho. Taiwan is one of the top 5 export markets for Idaho’s products and this is a great boost to our ongoing and ramped up production in the United States. https://t.co/br4ahvbHb0,2020-05-05 22:13:39
"The VA has confirmed non-filing VA Compensation and Pension beneficiaries will receive their stimulus checks mid-May. However, those with dependents must enter information in the Non-Filers tool by May 5 to ensure eligible additions. Visit the tool here: https://t.co/qJs2D4Zs4D",2020-05-04 18:45:24
"To help with the mask shortage, @Battelle is offering mask decontamination services using their Critical Care Decontamination System™. This is being offered at no charge to Idaho hospitals, first responders, &amp; other front-line workers for next 6mos. Info: https://t.co/tnQCwpLBNk",2020-05-01 17:20:13
"Shoutout to the @CF3DPrinting team, who worked alongside healthcare professionals at @kootenaihealth to design a 3D printed, reusable N95 mask. Learn more about how these First District Idahoans are stepping up: https://t.co/FgIodCMRD5",2020-04-30 19:58:46
Idaho Sewing for Sports has stepped up to the plate producing masks and gowns. Thankful for private industries like this company and leaders like CEO Gunther Williams who are committed to helping our communities during this pandemic.,2020-04-27 19:44:17
"Hats off to Amalgamated Sugar in Idaho! They've been working on making and donating facemasks, as well as donating to our local food banks. 

https://t.co/wViWngqkgG",2020-04-27 18:16:58
