tweet,dates
"To all the moms out there, thank you and happy Mother's Day! https://t.co/YcaAIOiDaU",2020-05-10 14:27:30
"75 years ago today, America and our allies secured a lasting victory. With the unconditional surrender of Nazi Germany, the war in Europe was finally brought to an end. https://t.co/JCTnluNWPr",2020-05-08 17:48:08
"The funding, authorized by the CARES Act, will help families in need with childcare costs and help them put food on the table during this pandemic. https://t.co/M1MeMg648A",2020-05-07 18:00:01
"Today we pray for the health of our families, the safety of our communities, the well-being of our healthcare workers, and the future of our great nation. https://t.co/XHvGVog99e",2020-05-07 16:05:58
"We need fast, fair, and effective relief to help farm families make ends meet. If we don’t, our food supply will suffer, and even fewer Americans will understand just what it takes to feed America.
https://t.co/YxeSy5Jobn",2020-05-06 20:00:01
"On this #NationalNursesDay, we pause to say thank you. Thank you to all our nurses who work to keep us healthy, sacrifice to keep our communities safe, and serve to help America through this pandemic.",2020-05-06 15:28:30
"On Wednesday, two C-130 Hercules cargo aircraft from the @139AW in St. Joseph will fly over local hospitals in a show of support for our healthcare workers fighting COVID-19. You can get more details here: https://t.co/qqYhIHL3iw https://t.co/sfqth2MCAv",2020-05-04 17:51:32
"30 million Americans live on the wrong side of the digital divide with no access to internet for telecommuting, distance learning, or telemedicine. This problem needs to be fixed, and it’s even more pressing now during this pandemic. https://t.co/rIEVxBIvVm",2020-05-04 15:54:53
"We often take the food we eat for granted, but millions of Americans work every day to get that food from the field to the dinner table. To the farmers, truckers, grocers, and all who make this miracle possible, thank you. https://t.co/r38KHK788R",2020-05-01 18:07:19
"North Missouri Together: Scotland County R-1 Elementary Student Council decided to donate all their funds—$1,000—to the Scotland County Memorial Hospital Foundation to help the hospital meet health challenges in the community during the COVID-19 pandemic. https://t.co/D7RrbApf8t",2020-05-01 16:20:45
"Farmers in North Missouri have taken a devastating one-two punch. Last year, we endured record-setting floods. This year, COVID-19 has turned markets on their head. That's why I'm urging the USDA to make assistance to farmers effective, fair, and fast. https://t.co/kudxruCYAL",2020-04-30 20:00:01
"North Missouri Together: McDonald's in Hannibal donated 14,000 pounds—7 TONS— of food to help the Hannibal school lunch program and Douglass Community Services feed folks in need. https://t.co/pzlWYBklXV",2020-04-30 18:04:46
"North Missouri Together: Triumph Foods donated nearly 5,000 pounds of pork products to Second Harvest Community Food Bank to help feed families during this pandemic.",2020-04-30 16:13:25
President Trump has invoked the Defense Production Act to order meatpacking plants to stay open during this pandemic. This ensures consumers can still buy meat and it will help stabilize the market for farmers who have been struggling with plummeting livestock prices.,2020-04-29 21:00:01
"Kansas City International Airport is important for the entire region, and getting this project done on time will help us emerge from this pandemic stronger than before. https://t.co/ecUXvttM8G",2020-04-29 18:00:00
Big news for Kansas City and the entire region! https://t.co/yddHnkx7dd,2020-04-29 15:57:43
"The oldest distillery west of the Mississippi—Holladay Distillery in Weston, MO—has produced 10,000 gallons of hand sanitizer, much of which they donated to local hospitals and first responders. https://t.co/DwS2IPyDaT",2020-04-28 20:00:00
"Four T-38 Talons, Two A-10 Thunderbolts &amp; a B-2 Spirit Stealth Bomber from @WhitemanAR flew over hospitals in the KC area today to salute our healthcare workers, first responders, military personnel, essential workers &amp; volunteers on the frontlines in the fight against COVID-19. https://t.co/xVXtPaN6pk",2020-04-28 18:00:01
"I’m proud to announce that Kansas City International Airport will be receiving an Airport Improvement grant to reconstruct runway lighting—and because of the CARES act, it will be fully federally funded. https://t.co/9K2Wy1aRns",2020-04-28 16:24:08
"More help is on the way for our small businesses and rural hospitals. More here⬇️
https://t.co/50ss0pE4NM",2020-04-24 21:56:21
"More than 46,000 Missouri small businesses have been approved for funding through the Paycheck Protection Program—helping them keep the lights on and their employees on the payroll. https://t.co/fDnrVN0Be3",2020-04-24 18:00:00
The legislation will provide critical resources for our healthcare workers—and get both the Paycheck Protection Program and Economic Injury Disaster Loan Programs back up and running to help small businesses. https://t.co/DVt1PS6Bqh,2020-04-24 16:00:00
I just voted to get both the Paycheck Protection and the Economic Injury Disaster Loan Program back up and running and provide critical resources to our hospitals fighting this pandemic. My statement: https://t.co/nvPDtO22Mq,2020-04-23 23:05:40
