tweet,dates
"Every May, we recognize our incredible mothers. We are indebted to their sacrifice, inspired by their wisdom, and emboldened by their love.
 
This #MothersDay, let us remember to hold our loved ones extra close during this difficult time. https://t.co/RwIucNngve",2020-05-10 13:58:46
"Sending my sincerest condolences to the loved ones &amp; fans/admirers of the Architect of Rock ‘n’ Roll, #LittleRichard. The Macon, GA native will forever be remembered for his bold presence, chart-topping hits, &amp; colossal influence in the music industry. May he #RestInPower! https://t.co/X7TQ1MUl9W",2020-05-09 16:11:33
"With many Georgians yet to receive their stimulus check, I have joined my colleagues in requesting the IRS to provide us with timely information as to when the checks will be released. https://t.co/0LzsxBZtUm",2020-05-08 20:53:53
"Congratulations to all of the GA-02 graduates! I am pleased that you have completed this important milestone in your life, and I am confident that we will continue to see great things from you. #ClassOf2020 https://t.co/zV4yD1Oz5P",2020-05-08 19:27:38
"Please visit my website and sign up for my congressional e-newsletter to stay current on issues affecting you and your families and to read about some of the latest news taking place in Georgia’s Second Congressional District and in Washington, DC. https://t.co/tKhWG7KDXE",2020-05-08 18:48:21
"Today marks the 75 year anniversary of #VEDay – the end of #WWII in Europe.

The country is thankful for the servicemembers – and the allies who fought alongside them – for their bravery and sacrifice. #VEDay75",2020-05-08 18:03:15
"With the current circumstances facing our communities, nation, &amp; the world, it's important now, more than ever, for us to come together for a #NationalDayOfPrayer. It's my hope that our spiritual foundations &amp; prayers will give us strength &amp; guide us through this difficult time.",2020-05-07 18:37:28
"These challenging times have reminded us of the incredible value of our nation’s teachers. This #TeacherAppreciationWeek, we say thank you to the teachers who continue to shape students’ lives. 🍎 https://t.co/Hc3Rcu1Vwe",2020-05-06 15:24:04
"Our nation’s nurses have shown us time and time again what true dedication, compassion, and hard work really mean. 
 
This #NationalNursesWeek, we must honor our health care professionals by making sure they have the resources they need to save lives. 🏥 https://t.co/WGz3K5jb8Y",2020-05-06 14:21:43
"After phone meetings with local mayors last week and our county commissioners last night, I want to reiterate my strong support for state &amp; local government funding in the next relief bill. They are on the frontlines of this crisis and letting them go bankrupt is not an option.",2020-05-05 18:40:21
"While the shelter-in-place has been lifted for most Georgians, I strongly encourage you all to resist the temptation and continue social distancing as much as possible.",2020-05-01 19:18:37
"We all count, &amp; we all get to shape our future by participating in the 2020 Census.

For more info about how to respond, visit https://t.co/UnDvtnZOm5 or call 844-330-2020 to complete the questionnaire by phone. https://t.co/d67Sdp6qMG",2020-05-01 18:36:50
"FEMA is accepting applications to participate in its FY 2019 Fire Prevention &amp; Safety Grant Program. The deadline to apply is Friday, May 29. https://t.co/hjoTJ7GPa6",2020-04-28 17:15:18
Widespread testing is the key to making our way through this crisis. Everyone is encouraged to go to the new free drive-through testing site behind the Albany Civic Center. Details about how to do so are in the article. https://t.co/wqJFO1t7nW,2020-04-27 20:33:24
"As the pandemic continues, funding is needed for small businesses, hospitals, health care workers, &amp; testing to get our lives back on track. H.R. 266 is another bipartisan measure to support our nation as we fight to defeat this virus.   https://t.co/DKPfQQrrbf",2020-04-24 13:14:57
"I’m deeply concerned about the Governor’s decision to reopen GA. We’ve seen a decrease in hospitalizations due to sheltering-in-place &amp; social distancing. W/o testing &amp; tracing, I fear reopening too soon will only lead to more grief. https://t.co/opkN98CSM3",2020-04-21 22:00:31
"Attention all #GA02 high school students! My office is still accepting entries for this year’s #CongressionalArtCompetition. All entries must be submitted via email by Monday, May 4, 2020! For more information, contact Mrs. Toni Pickel in my Albany office at 229-886-8470. https://t.co/vSWBWwj6Hu",2020-04-17 19:29:54
"Those looking to receive financial relief in the form of an Economic Impact Payment (EIP) should refer to @IRSnews for guidance.

Check the status of your EIP at https://t.co/fou5oVyD9O 

For additional questions regarding your EIP, visit https://t.co/tCMc1R7aPP",2020-04-17 16:47:30
Practicing social distancing &amp; proper sanitation methods while grocery shopping is vital to stopping the spread of COVID-19 &amp; food-borne illnesses. Follow these important tips from @US_FDA to learn more about how to protect yourself &amp; others. https://t.co/wXblVhTlvD,2020-04-16 16:12:46
"OTD in 1947, baseball legend &amp; Cairo, GA native Jackie Roosevelt Robinson became the 1st African-American to break the color barrier in the MLB! Today we honor this brave hero who changed the world through his contributions to the game of baseball &amp; the fight for civil rights. https://t.co/VFbZHL6WYI",2020-04-15 15:08:40
"Not able to complete your Census online or by mail?

Visit https://t.co/xuPPLULOpr to view ways to respond by phone.

Make sure you are counted and participate in the #Census2020

#ShapeYourFuture",2020-04-15 13:47:42
Small businesses are the lifeblood of our communities and deserve clarity about the assistance they’ll receive during this crisis. I’m proud to join 48 of my colleagues in calling on the @USTreasury &amp; @sbagov to transparently work to prevent further losses. https://t.co/qeU0ZzJiMR,2020-04-14 14:11:50
