tweet,dates
"For Speaker Pelosi, COVID-19 mitigation and recovery efforts are no longer about stabilizing the economy, helping small businesses, providing healthcare workers with essential equipment, or assisting out-of-work Americans make ends meet. https://t.co/tcFn4AdG8O",2020-05-08 20:56:51
"On this #NationalDayofPrayer, I continue to pray for a quick recovery to anyone physically suffering from COVID-19, facing economic hardships, or otherwise coping with mental health struggles. May God keep you and your families healthy and safe in these difficult times. https://t.co/71Evv3pMjJ",2020-05-07 19:53:20
"A public health crisis should NEVER be used as an opportunity to satisfy a ""policy wishlist."" 

https://t.co/voQg4wpbG0 https://t.co/f8Ogb7b1iv",2020-05-07 18:44:55
"The COVID-19 pandemic is again reinforcing the importance of responsible, U.S. mineral development. During trade negotiations in June 2019, China threatened to cut-off our access to rare earth minerals. Now, the COVID-19 shines a bright light on China’s dominance...",2020-05-07 17:12:49
This is an incredible effort by two Pueblo families stepping up to help their communities. I continue to be amazed by the generosity shown by so many around the Third District! Thank you @Rockies for highlighting this! https://t.co/tdZOGfBuGU,2020-05-06 13:42:50
"The last thing families need to worry about is a food shortage. In addition to my letter requesting the USDA take action on this issue, I am proud to co-sponsor this common-sense bill. Unnecessary federal red tape should not stall ranchers' ability to get meat to grocery stores. https://t.co/8RqtJGyMCc",2020-05-05 16:56:10
"It is clear our health care supply chain was not fully ready for this crisis. Ending #CCP’s dominance of supply chains and manufacturing will better serve all of us.

My latest in the Denver Post 👇

https://t.co/GgDUFp9HoP",2020-05-01 18:13:27
"Ranchers should have greater flexibility to access national commercial markets, especially during this pandemic. I urge the USDA provide immediate relief for ranchers as @RepKenBuck, @SenCoryGardner, @SenatorBennet &amp; I have outlined in this letter: https://t.co/Yxgqhdn05O https://t.co/aPCsVnm5Xh",2020-05-01 15:45:41
"Earlier this month, @RepPerlmutter and I identified a critical flaw in the timeline that disbursements were being made effectively forcing small businesses to lose their eligibility for forgivable PPP loans. I was glad to see this resolved.  More here ⬇️ https://t.co/S8ZvIfVGjH",2020-04-30 18:05:30
"Glad POTUS has asked @USDA to take steps necessary to secure the meat supply chain! We are also requesting action &amp; info from USDA on we can work to overcome the challenges facing our meat &amp; poultry producers.
@SenCoryGardner @SenatorBennet @RepKenBuck 

https://t.co/Yxgqhdn05O",2020-04-29 15:12:22
"Thanks to the many organizations around Pueblo who put this great resource together! This is an important time for us to keep supporting local businesses!

https://t.co/MUO9FbDlPs",2020-04-29 14:37:07
"It was a busy week back in Washington, here's a few highlights:

🏦Replenished the PPP to keep Small Businesses afloat

🏥 Ensured rural healthcare professionals get paid

👨‍🌾Protected farmers from historic freezes on Western Slope

https://t.co/WbzAk2wEAE",2020-04-26 15:17:22
Our heroic rural healthcare workers should not have to worry about getting paid due to bureaucratic uncertainty. Thank you @USTreasury and @SBAJovita for working with me on this much-needed update to PPP guidance for rural hospitals!  https://t.co/wREL1zSae7,2020-04-24 17:07:07
"It should not have taken this long, but relief for small businesses through the #PaycheckProtectionProgram is on its way! https://t.co/mkuJbbYQmK",2020-04-23 22:18:15
"We are doing what we can to reopen Main Street as safe and soon as possible, and PPP will play a critical role to speed the recovery process. Glad to chat with @KRDONewsRadio to talk about the importance of the replenishing the #PaycheckProtectionProgram https://t.co/7JzUljhfQI",2020-04-23 16:10:13
"Hand sanitizer remains a hot commodity, but Pueblo businesses are stepping up to help their community! 

https://t.co/NwpXR1yTIK",2020-04-22 17:53:10
"For years, we have fought to restore long-standing states’ water rights and greater certainty for the Coloradans whose livelihoods depend on availability of water. Glad to see this revision published today! https://t.co/r91vQH01z4",2020-04-21 16:18:10
"Colorado Veterans: Under Secretary for Benefits, Dr. Paul R. Lawrence is hosting Veterans Tele-Townhall tomorrow @ 3pm MDT. The call will be focused on the #Covid_19 response and VBA program updates. To call-in: 844.227.7557",2020-04-20 18:05:37
Tens of thousands of Coloradans are sitting in limbo unsure of their futures while Democratic leadership continues to play politics. We need to fully (and cleanly) fund the #PaycheckProtectionProgram! https://t.co/PC6znutNAJ,2020-04-20 16:23:18
"Rumors that Gov. Polis plans to use money from the CARES Act to backfill state budget shortfalls are deeply concerning. This money is intended to help rural and underserved communities during the COVID-19 outbreak and should not be used for anything else!

https://t.co/0bsw1JNzg5",2020-04-17 19:53:03
"28,000 Colorado businesses have been approved for #PaycheckProtectionProgram loans. Now thousands of other businesses sit in limbo as Democrats continue to use a national crisis to pursue political goals instead of focusing on immediate needs of families. https://t.co/AhDVdFDYUB https://t.co/Yg8iUZJB5h",2020-04-17 15:12:40
"It's shameful to put politics ahead of struggling families and businesses. That's precisely what Speaker Pelosi and Sen. Schumer are doing. We need to act immediately, there is no time to waste. #PaycheckProtectionProgram 
https://t.co/BQlcTr4dpw",2020-04-16 17:24:57
"If you have been a victim of fraud, please report it! 

More information on @TheJusticeDept's Elder Justice Initiative here:  https://t.co/88qsCIgj4H https://t.co/zMJUm0DdCs",2020-04-16 15:34:49
"Hope everyone is staying safe! Glad to talk about fighting for rural communities during the COVID-19 outbreak this morning with XRock 105.3 in Durango 

https://t.co/BE9yRfJUx0",2020-04-16 14:58:16
"More than 28,000 Colorado businesses have already received loans through the PPP, but demand from impacted businesses is proving to outpace the availability of funds. House &amp; Senate R's along w/ the Administration continue to work together to bring targeted and immediate relief.",2020-04-15 13:21:20
Thanks Mike and Jamie for serving truck drivers passing through Grand Junction! We appreciate all the men and women putting in extra hours during this outbreak! https://t.co/V7XGubVFYI,2020-04-14 14:14:36
"Remember, the IRS WILL NOT call,  text you, email you or contact you on social media  asking for personal or bank account information – even related to the economic impact payments. Be cautious of scammers out there!
https://t.co/MIQgiTUpcb",2020-04-10 15:05:17
"Why is #SocialDistancing so important right now? Think of it like dandelions in the spring. Hit them early and hard, and you've got a better chance at managing them in the summer. Appreciated this take by Dr. France w/ @CDPHE during my COVID-19 town hall yesterday. https://t.co/Zs8j4GzmU8",2020-04-08 17:59:20
"Great to see the community efforts to protect small businesses. I am also working to provide relief for already stretched Critical Access Hospitals and rural Community Health Centers.

COVID-19 is temporary, we will get through this. #InItTogether

https://t.co/MyQnWhwYQ1",2020-04-07 14:46:22
"""It’s bad enough rural health care providers are still fighting to receive additional personal protective equipment so they can provide care to patients. Added fear that many employees won’t keep their jobs amid a public health crisis is unacceptable."" https://t.co/qmXaGrwOis",2020-04-03 19:33:58
"I've repeatedly asked for immediate attention to the critical and urgent needs of rural communities. This funding will help communities better prepare for the economic hurdles that lie ahead. 

Full statement here⬇️ https://t.co/3KFouJh2rV",2020-04-02 19:39:00
"Communities around Colorado's Third are stepping up to help those in need. Great to see such generosity everywhere! We are all in this together.

More uplifting stories from around the district amid the COVID-19 outbreak here: https://t.co/wzUQpkhjzt https://t.co/S9qJM8mPIY",2020-04-02 17:44:19
"A must read from the @ColoradoSun this morning👇
https://t.co/pIace8YjDh",2020-04-02 12:20:23
"""People all around the world including thousands of Americans are suffering greatly due to the deliberate deceit of the communist regime in China.""

I am glad to join my colleagues to hold this regime accountable.

https://t.co/cApCaq93O1 https://t.co/aUJPLl1qKn",2020-04-01 21:36:44
"There is no 'contest' between our governments. We are working to save lives of our citizens, they are working to save their regime from the world.

https://t.co/OqRG5w19xk",2020-04-01 20:24:57
We will hold the Communist Regime of China accountable! https://t.co/vLPFTzmmFB,2020-04-01 18:23:20
My staff and I continue to work around the clock on behalf of rural communities. Last week I chatted with over 150 small business owners to talk about relief options for them. Glad to see the guidance put out by @SBAgov and @USTreasury to provide immediate relief! @KREX5_Fox4 https://t.co/g0hTHAW53T,2020-04-01 17:11:53
We CANNOT FORGET rural America in our fight against COVID-19. Great to join @Varneyco this morning to talk about the efforts to stand up for underserved areas in Colorado. https://t.co/Z3qiCDq4z2,2020-04-01 16:19:51
It's #CensusDay! Take 10 minutes to fill out your questionnaire which plays a critical role in earning representation for your community! https://t.co/iYhHCbsKke https://t.co/vdbStTIS99,2020-04-01 13:11:13
"Nurses, however, should be focused on providing care to patients, not sewing masks. https://t.co/d23qyVOOVB https://t.co/invGLdE4RS",2020-03-31 19:51:28
There aren't enough words to describe our gratitude to healthcare workers around the country. I am in awe of the innovation by nurses in Glenwood Springs to address a critical shortage of N95 masks. I will keep fighting to expedite the federal response to rural needs. @KRDONC13 https://t.co/FE4JiO6ohx,2020-03-31 18:54:58
"It's not all doom and gloom. Communities across CO's 3rd District are coming together to support each other. In Pueblo, several internet providers are offering free or reduced priced services to allow kids to keep learning from home! This story and more: https://t.co/wzUQpkhjzt",2020-03-30 22:29:51
Thank you to all the doctors out there helping to save lives! Jean and I will keep praying for you and I will keep fighting to provide you with the resources needed to defeat this virus quickly! #NationalDoctorsDay https://t.co/WX4YR8EI69,2020-03-30 15:44:22
I will continue to fight to make sure rural and mountain communities are a part of every conversation at the federal level in hopes that we can defeat and move on from this terrible virus. https://t.co/d9LwWX2U6v,2020-03-28 20:25:43
"""I am obviously deeply cautious about the staggering cost, but the cost of inaction today means putting a price tag on lives tomorrow."" 

Full statement on the CARES Act here: https://t.co/0bJ1ArKird https://t.co/PUyBQEkX0G",2020-03-27 18:21:12
"Thank you!

https://t.co/eB5tnkdehb https://t.co/CKKDsaoXqP",2020-03-27 14:45:00
