tweet,dates
"AG Barr is corrosive to our rule of law. Dropping the case against Flynn is a decision made purely on the basis of politics - not justice.

But his weakness shouldn't reflect on the majority of DOJ employees. Their faithful service will save us from the damage Barr inflicts.",2020-05-09 17:42:23
"The #CARESAct took big steps to put workers first. 

But it's not enough

#CARES2 must include OSHA protections for workplace safety, family &amp; medical leave, COBRA funding and pension support.",2020-05-07 22:40:00
"The president may have abandoned his responsibility to lead, but local governments are on the frontlines.

McConnell needs to put #FamiliesFirst and let Congress give them the resources they need to keep up the fight.",2020-05-07 21:42:21
"Trump just told America he wants to ""terminate healthcare under Obamacare”

... during an unparalleled economic &amp; healthcare crisis, when over 9.2 mil workers have lost employer-sponsored insurance &amp; up to 35 mil people could lose coverage by the end of the crisis

That's hateful https://t.co/bHSaGNTuv1",2020-05-07 01:41:55
"If I had my way – &amp; I think most of the NY delegation would agree – the last bill we passed would have included billions, just for NY.

Congress needs to step up.

Otherwise, we’re going to see big cuts to the very services that are keeping us afloat right now. That can’t happen.",2020-05-06 23:19:00
Taking a leap of faith with Essie’s barbering skills 💈 🙏🏼 https://t.co/Fq95aQZuB0,2020-05-06 22:40:45
"If we get more testing, more rapid results - both virus and antibody - we can get visibility into who has immunity and who is putting folks at risk.

That’s the key to moving forward.

Right now, we’re moving sideways.

We’re not where we need to be to prevent a second spike.",2020-05-06 21:57:23
"We will get through this.

We will get through this slowly just like the light comes at the beginning of the day - almost imperceptibly at first and then all at once.

Don’t lose hope. Stay the course. #WednesdayWisdom",2020-05-06 16:40:00
"When state &amp; local governments have a budget problem, teachers suffer.

The same teachers who’ve been teaching 25+ of our kids in bedrooms &amp; kitchens for the last 2 months could be laid off or given even larger classes.

Making sure that doesn’t happen is a fight worth having.",2020-05-06 13:43:00
"The states that have been in the bullseye need help. We must come together on that.

This isn't a time to be small. It's a time to be big. It's a time to see our common vulnerability, to understand what matters in this life and to refocus on it.

It's not a time for Red vs. Blue.",2020-05-05 23:45:00
"Anyone who has kids at home right now knows that America's teachers are heroes.

#TeacherAppreciationWeek should be a reminder to us all that Congress needs to put its money where its mouth is – that starts with paying educators a living wage.",2020-05-05 23:05:11
"There’s got to be transparency here. The American public deserves to know what their leaders knew and when they knew it.

When you’re dealing with exponential growth in infection and death, days matter.

This isn't some partisan exercise. People deserve the truth. https://t.co/4QMeYoHSa4",2020-05-05 22:13:04
"Then release ALL of the intelligence reporting on this. And let the world see the facts. As they say, sunshine is the best disinfectant. (Still can’t inject it tho.) https://t.co/TVQpvfhqZH",2020-05-04 13:50:27
"Through all the darkness there is a terrific story here - about the human spirit and the resilience of New Yorkers.

It would be terrific if people in the national government stepped it up too.  https://t.co/KoTuwz82cZ",2020-05-01 22:28:28
"Being a dad is the greatest joy of my life - I know it will be for you too. Congratulations, @andersoncooper ♥️ https://t.co/8qPiWUrKHw",2020-05-01 02:32:11
"There's no such thing as a ""strong"" death total, Mr. President.

More than 61,000 Americans have died.

Behind that number are victims and families suffering from grief and heartbreak.

I don't think any of them would call this number strong. https://t.co/oG0ob0JUTz",2020-05-01 01:18:21
"Small businesses are being left in the dark - waiting weeks for updates on their applications.

@SBAgov needs to step it up, cut the government red tape, and get these folks what they need to keep their employees on the payroll and pay their bills.
https://t.co/PrPj9VuQJG",2020-04-30 18:45:15
"More excuses.

If the president invoked the DPA on day 1, we wouldn't be here. https://t.co/AwjCq5TOwN",2020-04-28 23:48:00
Every airline should require passengers to wear face coverings.,2020-04-28 21:50:00
This behavior undermines the office of the presidency. It isn't normal. It isn't acceptable. And it shouldn't be allowed to continue. https://t.co/CS8yxmgs1x,2020-04-28 20:49:54
.@MayoClinic has a policy requiring all visitors to wear a mask. Pence ignored it. That's not the sound judgment we want to see from the head of the coronavirus task force. https://t.co/pPxrioqvC6,2020-04-28 19:44:47
"We can't reopen schools until doctors, scientists, and educators agree it’s safe.

Anything less is shortsighted and unsafe. I'm not going to stand by while teachers and students are put in harm's way. https://t.co/1YHArfEkcI",2020-04-28 19:04:44
"More than half a million Americans - including 100,000 vets - are employed by @USPS. They're a dedicated workforce who've served America for 200+ years. Right now, they need our help to stay afloat. The president needs to do the right thing here. https://t.co/w2ePs6cNW2",2020-04-28 18:35:20
"To be clear: when it comes to reopening schools, we need to put our kids' safety first, not the president's political interests. https://t.co/Ktb2qXGAry",2020-04-28 17:28:42
🚨📢 RESCHEDULED FOR TONIGHT @ 7 PM call 888-886-6602 to join my live COVID-19 telephone town hall. https://t.co/BdTqGnxe1s,2020-04-27 22:03:44
"Millions of workers in the building trades are out of work.

Congress needs to act quickly to protect their healthcare, pensions, and wages.

We must safeguard America’s unionized workforce. https://t.co/QgDEIYS2QK",2020-04-27 13:56:00
SNAP has never been more important for families. It's a lifeline. And it's a lifeline that works - every $5 of SNAP benefits generates $9 in economic activity. Making sure it's got the funding needed to keep lifting families up is the right move. https://t.co/1u8XdvJwQb,2020-04-24 21:40:32
In case it doesn't go without saying... #DontDrinkBleach https://t.co/7M6lmxvFVW,2020-04-24 14:45:41
"Just passed another small business relief bill.

Last time, the big guys got in 1st &amp; local small businesses got nothing. Hopefully this will change that.

To be clear: there’s a lot that is NOT in this that should be – especially help for state &amp; local governments. More to come. https://t.co/XtWV5GFiCa",2020-04-23 22:25:44
Heading to vote. https://t.co/yIxrvOKT21,2020-04-23 22:08:46
