tweet,dates
If COVID-19 is causing more stress than normal you’re not alone. Now’s the time to learn the warning signs so you can help yourself or a loved one if you or they experience a mental health issue. #NotAlone #MentalHealthMonth https://t.co/M2pmd4QprZ,2020-05-09 16:46:48
"A belated 375th Happy Birthday to the town of Manchester! Glad to see the car parade was a success. Here’s to many more birthdays! 
https://t.co/IS51vThQI1",2020-05-07 21:17:59
"The EPA’s selection of Peabody for a brownfield grant is a testament to the team effort we marshaled with state and local officials to get these projects rolling. I’m excited to see this work happen and proud of the team that landed this grant.
https://t.co/DefKSCizeB",2020-05-07 17:19:41
Make sure to join @afspnational and @StampStigma this afternoon with your questions! https://t.co/8kgft03pZ6,2020-05-07 14:09:34
This great series about service is a great start to #APAHM. To all those who are serving on the frontlines of this pandemic: thank you for making our country safer and stronger. https://t.co/TnR5jbpRXz,2020-05-06 20:55:00
"Nonprofits employ more than 12M Americans, they serve our communities, &amp; fight for the things that make our country safer and stronger. They have always been there for us to lend a hand; now it’s our turn to help them. Congress--Pass the SOS America Act! 
https://t.co/pex8Ds9rqF",2020-05-06 17:12:22
"On this #nationalnursesday, be sure to thank the American heroes in your life. Nurses, thank you for risking your lives to save others👨‍⚕️👩‍⚕️ and for all of the hard work you do every day. #thankyounurses https://t.co/UhUCif8FEj",2020-05-06 14:51:47
"“A federal emergency hotline for people in emotional distress registered a more than 1,000% increase in April compared with the same time last year.” 

We must respond with action. 

Let’s make 9-8-8 the national number for mental health emergencies. 

https://t.co/UxLP4SoHxx",2020-05-05 21:19:06
"Despite the threat of coronavirus, many transportation workers are still showing up for work to keep us connected. Yet they lack the equipment to keep themselves safe. I joined @RepBobbyRush’s push to guarantee them access to PPE while on the job. https://t.co/gM1lmYIT8i",2020-05-05 18:08:35
"To all those who serve: thank you. Whether you’re on a deployment, at home, or a member of the Guard staffing a drive through testing center in your community, we’re thinking about you &amp; your family &amp; we’re thankful for the service you’ve volunteered for us #militaryappreciation https://t.co/fbxe0nWig5",2020-05-05 13:29:27
"Dreamers are American in every way except on paper. Those who attend college are facing the same tough time financially and they deserve the same student loan relief. I’m proud to join @RepLouCorrea, @RepRaulGrijalva, @RepJayapal in standing up for Dreamers. https://t.co/Ihu1WFAoXg",2020-05-04 20:28:27
