tweet,dates
"My mom is my hero. She's an Army veteran and former drill sergeant (I even have the push-ups to prove it), and she raised me and my brothers as a single mom.  

Sending virtual love to all the mothers, mother-figures, and those who might be having a hard time this Mother's Day.💙 https://t.co/Y6ZXySTrDe",2020-05-10 15:27:07
"NEW: I'm introducing a bill with my fellow @HouseSmallBiz committee member @RepAndyKimNJ that would require the Small Business Administration to publicly release the list of businesses that have received emergency loans. We need transparency. 
https://t.co/EAf1nCweof",2020-05-08 19:29:14
"As we continue to honor our nation's nurses this #NationalNursesWeek, please join me in thanking our #KS03 heroes on the frontline of this crisis. My office is collecting virtual thank you notes, learn more here --&gt;
https://t.co/YtVDIxuh0F https://t.co/EYlusag5eg",2020-05-08 14:42:12
Thanks for letting me join! A lot of future leaders in that virtual classroom. 📚 https://t.co/vz82Rd4YoL,2020-05-07 18:43:49
"Once operations for the #2020Census resume, we will need thousands of workers to fulfill the Constitutional duty of completing the census. Census data helps communities thrive. Help your community by applying for a Census job here: https://t.co/CbPMxHt9Mq. https://t.co/kOzKzLicm4",2020-05-07 18:10:17
"It shouldn't be a secret. I'm pushing for the release of all businesses that have received these tax-payer funded loans. 

Congress’s ability to conduct proper oversight of this program is critical and impossible without full transparency. 
https://t.co/zIA7OxXxin",2020-05-07 15:06:40
"TUNE IN: I'm hosting a virtual forum with former Kansas Governor Mark Parkinson, who serves as the President &amp; CEO of the @ahcancal, to discuss COVID-19 and assisted living facilities. 
https://t.co/KFyrUhSrHN",2020-05-07 14:32:32
"Nurses put their lives on the line every day to help others. We owe them a huge debt of gratitude, especially right now. And while we can never fully repay that debt, we can work to ensure they have the resources they need to stay safe &amp; save lives. #NationalNursesWeek https://t.co/51o7YVXdd9",2020-05-06 21:44:56
"If you’re an essential worker who requires child care, Kansas is offering financial assistance to help you and your family during the coronavirus pandemic. Learn more about the Kansas Hero Relief Program here: https://t.co/CjTJC5ot69",2020-05-06 16:39:39
"NEW: I'm introducing a bill to increase the supply of equipment like masks, ventilators, and test materials needed to fight COVID-19 and keep frontline workers safe. 

The SUPPLIES Act creates a grant program for small businesses to produce these items. https://t.co/uEYCURBPyd",2020-05-06 14:18:23
"I’m proud to work alongside my sister @RepDebHaaland to raise awareness about the silent crisis of #MMIW and put forward proactive solutions that will help keep Native women and girls safe.  
https://t.co/zVCyk3Lyvi",2020-05-05 16:52:40
"Even in virtual classrooms, #KS03 teachers continue to shape students' lives and provide a top notch education for our children. This #TeacherAppreciationWeek, we thank our teachers who have gone above and beyond during these difficult times. https://t.co/fKm07wwENo",2020-05-05 15:49:01
"TONIGHT: I'm hosting a Call with your Congresswoman to answer your COVID-19 questions with Wyandotte County public health officer Dr. Allen Greiner. 

Sign up to join here: https://t.co/klbTnit95C https://t.co/r0s0Clm543",2020-05-04 17:20:01
"My heart breaks for Officer Mike Mosher's family, friends, and the entire Overland Park Police Department as they mourn the loss of one of their own. Per @OPPD_Chief: “He was proud to be a police officer. He loved what he did and he was damn good at it."" https://t.co/arRBoasjgx",2020-05-04 15:14:10
"Reminder #KS03: Wyandotte and Johnson Counties have extended their stay-at-home orders until May 11. And no matter what, Kansans should continue to stay home when they can, practice social distancing and continue safety measures like hand washing and wearing masks in public.",2020-05-01 17:37:07
"May is Mental Health Month. Taking care of your mental and emotional well being is always important, but it's especially important during times of crisis. 

We've compiled local &amp; national mental health resources on our Coronavirus Resource Center ➡️ https://t.co/fDiBCgWzHW",2020-05-01 16:01:42
"NEW: I'm calling for the release of all the businesses that have received loans through the Paycheck Protection Program.

It's unacceptable that #KS03 small businesses can't access these loans while large corporations w/ deep pockets are having no problem. https://t.co/s2bbPJvDBV",2020-04-30 19:49:31
I'm hosting a virtual roundtable on how the coronavirus is impacting people experiencing homelessness in our community. Tune in here: https://t.co/jRV8mOkXcQ,2020-04-30 16:31:19
TUNE IN: I'm live with representatives from the Enterprise Center in Johnson County and Kansas City Women's Business Center to talk about support for our #KS03 small businesses. https://t.co/dZdf9wy0wG,2020-04-29 16:35:59
"These relief programs were designed to help small businesses that need it most - not big companies and the well-connected.

We must set clear guardrails for how this program is administered, so its benefits reach smaller and less advantaged businesses.  https://t.co/rOON5tm8IH",2020-04-28 18:13:35
Thanks for letting me drop in and meet our next generation of leaders &amp; public servants! https://t.co/E5nYkiXbm2,2020-04-28 16:40:55
"Kansas has just begun to recover from the Great Recession and Sam Brownback’s failed tax experiment - both of which caused massive cuts to our public schools, roads, and more. We can't go back to that. Congress must support our state &amp; local governments. 
https://t.co/ZkUlOXGRzr",2020-04-28 15:01:21
"This is not a joke: please don't ingest disinfectant. 
https://t.co/Ke4YgXVvjj",2020-04-27 21:23:18
