tweet,dates
Ramadan Mubarak. 🙏🏾 https://t.co/r4nc7rpyOS,2020-05-09 21:39:40
Day 2 happening at 10! #IDidMyPart — did you? https://t.co/z6b7vyMjLm,2020-05-09 14:05:33
"I am live at Cullen Middle School for the #IDidMyPart Testing Initiative with @BeyGood! 

Watch live here: https://t.co/w5jf2AyB9S",2020-05-08 15:16:05
Thanks to #nurses during #NursesAppreciationWeek &amp; especially during these challenging times of #COVID19. They have been the lifeline to COVID19 patients through providing testing to as many possible. #NurseAppreciation to nurses around the nation &amp; particularly in Houston &amp;Texas,2020-05-07 22:01:16
"This #TeacherAppreciationWeek, we honor our #teachers who prepare America for the future. They deserve honor and praise especially during these challenging times when most are still teaching classes online. Thank you to our teachers in Houston &amp; Texas for their dedicated service",2020-05-07 21:53:32
1/3 Today we remember the victory by the Mexican militia at the Battle of Puebla.  This day of celebration is an opportunity for all of us to honor the contributions of Mexican Americans and the entire Latino community.,2020-05-06 00:25:14
"Join Commissioner @RodneyEllis, @MattressMack, North Harris County Pastors, and I #Tomorrow 5.6.20 at 4 pm for a Grocery Give-Away and Mask Distribution. 
||
Forest Lawn M.B.C
5012 Weaver Road  
Houston, Texas https://t.co/bgBqF8Cexh",2020-05-05 19:45:00
"I Am Calling For Expedited Delivery of Federal Dollars Allocated in the CARES Act To Support College Students During the COVID-19 Crisis.
.
.
Watch Live Here: https://t.co/pAcaV9jqqp
.
.
@TexasSouthern",2020-05-05 19:27:16
"I am live right now on @TheBlackCaucus &amp; @TheRoot’s Instagram Pages. @Russian_Starr and I are talking #CriminalJustice and #COVID19 
Tune in now. https://t.co/zc10Yz7EwI",2020-05-05 18:39:01
"I will be on All In with @chrislhayes momentarily, tune in!",2020-05-05 00:04:24
I am excited to join you! https://t.co/AYR4O0ReBm,2020-05-02 16:08:24
"My deepest sympathy to the family of the @houstonpolice officer who lost his life in a tragic helicopter crash early this morning. During this very difficult time, may they be comforted by God's grace and mercy. Prayers are also requested from across this community...",2020-05-02 15:23:15
"Free COVID-19 Houston Area United Memorial Medical Center testing sites are open!
There is NO pre-registration required, and no-charge. You also don't need to have any pre-existing conditions to be tested! 
Let's end this epidemic, huge thank you to @theestallion!  #ForThePeople. https://t.co/L3znhgDz6U",2020-05-01 17:46:36
"7th #COVIDー19 testing site announcement. 

Watch Live Here: https://t.co/Oy3mEBgsOI",2020-05-01 15:41:09
"On behalf of My Constituents and the City of Houston. I want to sincerely thank Tina Knowles-Lawson for this life-saving and timely message. Like Tina says ""don't believe the hype that we can't get this disease""  Testing is the key to stopping #COVID19 — #ForThePeople https://t.co/NcJYxEClmF",2020-04-30 18:15:54
"1/2My friend our friend, State Representative Al Edwards has taken his wings to be a mighty warrior in heaven. Representative Edwards was a man of the people. Genuine, committed, compassionate and always standing on principle. He believed in the empowerment of the most vulnerable",2020-04-30 16:01:26
"I am still fighting for better job and payroll protection for the Nation's workers with an extra focus on women, rural workers, and minorities. That is why I was glad to participate in a hearing on the Paycheck Protection Act entitled: Stopping mass unemployment. #ForThePeople https://t.co/fVOknH18uO",2020-04-29 23:06:40
"Join me and @USProgressives for a virtual hearing.
Topic — Preventing Layoffs: Keeping People Employed through Worksharing and a National Paycheck Guarantee. 

Watch Live Here: https://t.co/zIjAoNpq4N",2020-04-29 18:07:34
Saddened by the loss of Pervaz Iqbal. A great leader in the Pakistani  community who showed great generosity. His leadership in the community is deserving of the respect and admiration of us all especially during Ramadan. To God we belong and to God we shall all return #Pakistan,2020-04-29 14:02:39
"Praying for Dave Ward, Ch. 13 Anchor Emeritus, and his recovery from his recent illness including his wife who recovered from her illness and their family. He is a treasure to us all. A man of faith and we are believing that our prayers will help him recover quickly #houstonnews",2020-04-29 13:38:49
"This #WorldImmunizationWeek, we stand with the health workers &amp; vaccinators who dedicate their lives to protecting children from infectious diseases. Funding @Gavi and global health partners will support their work and make #VaccinesWork for all.",2020-04-27 22:50:04
"I was so pleased to join @houmayor, @RobertGallegos_, @AlvaradoSenator, @RepMorales145,
@RepSylviaGarcia and others for the launch of the 6th #COVID19 testing site in the Houston area. #ForThePeople https://t.co/ArPiZ3hzjf",2020-04-27 16:35:11
"6th Free COVID-19 Testing Site at Barnett Sport Stadium. I am Demanding More Testing Protocols for Nursing Homes, Assisted Living Facilities, and Essential Workers.

Watch Live Here: https://t.co/HlAhWv1mQ7",2020-04-27 15:31:41
"Mickey Leland Statue Unveiling at Herman Park with Rev. Lawson, Commissioner @RodneyEllis , @RepAlGreen , and @houmayor 

Watch live:https://t.co/R0P7cYIfej",2020-04-25 16:41:47
"I am joining North East Houston Pastors warning against premature opening of non-essential businesses. 

Watch live here: https://t.co/BITXTCK9zw",2020-04-24 19:01:53
"I appreciate our #HometownHero @Beyonce for helping fight the devastation of #COVID19. The @BeyGood foundation has partnered with @Jack's #startsmall to support, among others, UMMC and Bread of Life two organizations in my Congressional District that are on the front lines. https://t.co/i1hkCxD44W",2020-04-24 01:25:17
".@housedemocrats worked hard to increase funding for very small businesses, hospitals, and expanded #COVID19 testing. I voted #YES for the #COVID19 Interim Funding Package. We still have work much work to do, but today was #ForThePeople. https://t.co/4npjJn9Ycj",2020-04-23 23:43:04
"I am presiding over the House Floor on the urgent #Coronavirus response to help very small businesses, hospitals, and expand massive testing efforts! #ForThePeople https://t.co/inqIGPrufr",2020-04-23 18:09:06
Asian Pacific Americans are still being impacted by racially charged Coronavírus epithets and physical attacks. DOJ must break the silence and ramp up their investigation. We must join together in opposition to this outrageous behavior. #AsianAmerican #AsiaNewsNetwork,2020-04-23 11:58:58
The @realdonaldtrump is once again using immigration as a distraction to his failed policies. This time it’s to coverup his failed COVID-19 response. There is already a defacto pause on immigration. This is abuse of power w/o Congress oversight &amp; smells like political showmanship,2020-04-23 11:55:47
I am in my D.C. office holding a teleconference with small businesses in Houston re: the new grants and loans they can access to help them survive and thrive! I also gave an update on testing and will be pushing for the passage of #HR266 tomorrow!  #ForThePeople https://t.co/AnqpizzI7O,2020-04-23 00:43:47
