tweet,dates
"Ahead of @blackrock’s annual meeting, I’m participating in a People’s Assembly calling on it to demand climate action from the fossil fuel companies in which it has a big ownership stake. Watch here: https://t.co/00MeuPb8Km",2020-05-20 17:51:24
"I passed a bill to help small businesses stay afloat in challenging times and preserve jobs. At the time, I didn’t know just how essential it would become.
https://t.co/Xh4sS00yrx",2020-05-20 16:06:46
"There were better ways to reduce emissions.   
But the fossil fuel industry wouldn’t have it.   
https://t.co/vAauyIpufh",2020-05-20 14:07:29
Wearing a mask can go a long way towards stopping the spread. @realDonaldTrump should lead by example. https://t.co/drtsXB0lKw,2020-05-19 22:07:20
"You may have noticed that @WSJopinion mentioned me no less than 5 times in 2 weeks. What the heck is going on? 

Turns out they don’t like it when someone starts pointing out all the dark money mischief surrounding our courts. https://t.co/kDqhy8jBBm",2020-05-19 18:36:37
"Fossil fuel and other industries have spent millions propping up anti-science, anti-government ideology, all to weaken science-based government regulations, so they can pollute and sell unsafe products with less oversight. https://t.co/zkWYtWvhYH",2020-05-19 15:35:07
"Remember, remember, remember:  this is not just cranks in the basement. 
https://t.co/OhpUii4B72",2020-05-19 15:34:43
".@realDonaldTrump’s just throwing stuff at the wall and seeing what sticks.
https://t.co/tnShJD239W",2020-05-19 13:36:09
".@universityofri President Dooley has done so much to build up the strengths of our flagship university and prepare RI's workforce. He has been a terrific champion for @URIGSO, particularly for a guy from Montana! Big shoes to fill. https://t.co/4yTw8IrxRE",2020-05-19 00:33:01
"As usual, foreign companies do better on climate than our U.S. ones. Ours know they are able to meddle in politics through all their front groups, so they behave less well. https://t.co/EsOJlEmN64",2020-05-18 19:55:45
"Adorable clip from @RWPZoo with Sheldon the armadillo snuffling up his lunch! Thank you for being such a great resource for Rhode Islanders and visitors. You’re the best!!
https://t.co/W8xfwHjnpc",2020-05-18 17:23:49
"To all of Rhode Island’s 2020 graduates, my sincere congratulations and best wishes. I know this might not be the graduation you hoped for, but it does not take away from your accomplishments. https://t.co/3aRYETPcJ6",2020-05-18 14:57:08
"Trump wreckage. 
https://t.co/U1ccC0Mj2t",2020-05-17 20:40:49
"Here’s the point: “only a little more than one percent of all major oil company investments globally go to clean energy,... despite industry television advertising that relentlessly promotes their small green expenditures.”  
https://t.co/nTeXupM82O",2020-05-17 19:08:13
"There are thousands of #ImmigrantHealthHeroes on the front lines battling #COVID19 across the country and in Rhode Island. Donald is a nurse in Providence working 16 hour shifts and living away from his wife, daughter, and two sons. https://t.co/7dq5kmUI8H",2020-05-17 15:33:57
"As usual with this scheme, it’s less the nonsense that he says than what he conspicuously leaves out: he doesn’t mention the anonymous “dark money” enmiring the Court, nor that he’s paid by one of the dark-money groups we are challenging.  
https://t.co/07udfGalPC",2020-05-16 21:33:26
"Another one bites the dust. The purge continues...
https://t.co/L18kVRp84P",2020-05-16 20:44:04
"The weakness of this guidance is what Republicans are trying to cover up with blanket amnesty for corporate wrongdoers.  
https://t.co/iR4m0yZil9",2020-05-16 16:58:13
"When Mitch accuses Democrats of pursuing other priorities during the pandemic, remember this multi-billion dollar “stealth bailout” of his fossil fuel cronies. 
https://t.co/jtre8OwSqH",2020-05-15 23:10:48
"If Mueller and his team thought they would dodge Trump’s revenge by ducking the hard part, they were sadly mistaken.  
https://t.co/1HlObpNenH",2020-05-15 21:10:29
All you need to know about @exxonmobil is the bogus climate report they created under pressure from @blackrock and other investors. https://t.co/UIXoQMYGCd,2020-05-15 19:18:33
"Congress used to have its own nonpartisan science watchdog to help prepare for crises like #COVID19. But that agency got shuttered for political reasons, opening the door for lobbyists &amp; special interests to fill the void. Let’s bring that watchdog back.  
https://t.co/jJuOLZg8s8",2020-05-15 18:50:22
"The Trump administration is trying to repeal health care for millions during a global pandemic. Now they’re trying to implement a rule that will take food assistance away from Americans during a global pandemic. Come on, guys. #HandsOffSNAP
https://t.co/aiNZU6OHrW",2020-05-15 16:37:56
This #NationalPoliceWeek join me in honoring our police force on the frontlines during these extremely challenging times. Thank you to those who serve and protect our community. https://t.co/1OxbatuBtW,2020-05-15 15:28:23
"Easy step: airlines must offer passengers ability to offset emissions. Up one notch, bake offsets in &amp; allow opt-out. Best case: airlines offset their own emissions. Airlines refused to take any steps to reduce their emissions during CARES negotiations.
https://t.co/KMrcCQFOOJ",2020-05-15 14:34:51
"“Lacks ambition.” What a polite way to say it. As someone who constantly faces off with @exxonmobil-funded front groups, I admire the restraint. Glad to see @LGIM take this stance.  
https://t.co/P4hnud022c",2020-05-14 19:34:16
"For “political headwinds” against continued renewable energy support, read: fossil fuel industry defending its massive subsidies from competition. https://t.co/tSJF6HvzbM",2020-05-14 16:07:54
"The mind simply boggles.  
https://t.co/2dgU3DUK4d",2020-05-14 14:17:48
"Tests are widely available, but only at the White House.
https://t.co/7nQK0vSp0Z",2020-05-14 00:48:23
"Judges are supposed to be non-partisan arbiters of justice. So they shouldn’t be members of partisan groups like @FedSoc, an organization seeking to reshape our judiciary in favor of big Republican donor interests. It’s that simple.  
https://t.co/hf9gKAMlfk",2020-05-13 22:30:14
