tweet,dates
"Being a mom and grandmother is the greatest joy of my life. Today, I’m thinking especially of my mother, Shelley Riley Moore. I miss her every day. #HappyMothersDay https://t.co/ZEtcTDLqBU",2020-05-10 11:56:30
Tag three friends and remind them to take the #2020census! It only takes 10 minutes! https://t.co/yzZ4uwo6Kf,2020-05-09 13:09:00
The Senate was back in session this week and there are plenty of updates: https://t.co/wyjS5J1Tir https://t.co/6tOpWyaThZ,2020-05-08 21:30:00
NEWS: West Virginia is receiving more than $9.8 million to expand #coronavirus testing in health centers across #WV! Details: https://t.co/QE9Be1ORPY https://t.co/r8FOJl4Uo3,2020-05-08 19:19:48
https://t.co/5mjgCsOZ18,2020-05-08 17:42:10
"WV is home to thousands of active duty service members and veterans. Today, on #MilitarySpouseAppreciationDay, we say thank you to their wives and husbands. Thank you for running the house, taking care of the kids, and holding everything together while your loved one was away. 🇺🇸 https://t.co/dOgeE6ghAT",2020-05-08 13:59:48
Learn more about the bills passed out of @EPWGOP yesterday and what they mean for West Virginia: https://t.co/l61bNwJ4Pe https://t.co/3zuWvQMxwH,2020-05-07 22:54:14
"Last night, I introduced a bipartisan bill with @SenDanSullivan and others from smaller states like #WV that would modify the #CARESAct to allow state and local governments to use relief fund dollars to replace lost revenues attributable to COVID-19. https://t.co/JnFcgWaxkX",2020-05-07 20:06:16
West Virginians have really pulled together during #coronavirus. Is there someone making a difference in your community? A person or a group really going above and beyond right now? Let me know: https://t.co/Ac8p1kDWp7,2020-05-07 19:16:40
.@CommerceGov just announced more #CARESAct funding is available for economic recovery. Check it out ⬇️ https://t.co/SfoARgSZOv,2020-05-07 18:25:54
"On this #NationalDayofPrayer, we pray for those on the front lines of this pandemic, medical personnel and essential workers. We pray for the sick and those grieving lost loved ones. We pray for @realDonaldTrump and @VP as they lead our country.",2020-05-07 15:36:50
I’m introducing the E-BRIDGE Act to remove some red tape that comes w/ @US_EDA dollars so communities can use them for broadband deployment. This bill gives communities more flexibility in complying w/ funding match requirements. More: https://t.co/84YgbkQMp3 #CapitoConnect https://t.co/3v9cn197cC,2020-05-07 14:49:25
"Happy birthday, Eliza! Can’t believe she’s already 5 today! 🥳❤️ https://t.co/yznrVZs8AQ",2020-05-07 14:13:45
Glad to see the brave men and women at #HSI are continuing to investigate #coronavirus scams. https://t.co/iaOZzQPSkr,2020-05-06 19:43:30
https://t.co/AgluoTFchX,2020-05-06 18:48:29
"There are thousands of essential workers back home in WV going to work every day to meet the challenges of this pandemic head-on, and the U.S. Senate is no exception. We’re back to work this week &amp; taking the necessary precautions: masks, social distancing, lots of hand washing. https://t.co/ksEax2xjnq",2020-05-06 17:50:45
"Nurses across the country and in West Virginia have gone above and beyond during #coronavirus. Today, I want to give a special thank you to them for all the love and care they give patients day in and day out. #NationalNursesDay #ThankYouNurses https://t.co/913GzqMYFU",2020-05-06 16:57:09
"Today in @EPWGOP, we passed water infrastructure bills. As chair of Transportation &amp; Infrastructure subcmte, I worked to ensure WV priorities were included, such as a new program that provides over $100M for water/wastewater infrastructure in Appalachia. https://t.co/2AO2rUvxk0 https://t.co/yPoOEwUHNN",2020-05-06 15:53:28
"We’ve provided significant coronavirus relief so far, &amp; it’s important we assess the impact so we can see where more help may be needed. Continuing to throw money at a problem will not solve it. Now we need to take a minute to evaluate what’s working, what’s not, &amp; go from there. https://t.co/0oVQRZILDR",2020-05-06 13:34:08
"#PPP is a success in West Virginia! Nearly 15,000 #PPP loans have been approved in our state, totaling more than $1.8 billion. https://t.co/p49rLwd0e6",2020-05-05 19:19:28
"Today I joined @WestVirginiaAG and @RepMcKinley in writing @SecAzar to help secure point-of-care testing machines for FCI Gilmer and FCI Hazelton, located respectively in Gilmer and Preston counties.",2020-05-05 15:09:24
"What’s going on in the Senate this week?                   @SenateCommerce is holding a hearing on the impact of #coronavirus on the aviation industry, marking up the 2020 water infrastructure bills in @EPWGOP committee,... https://t.co/3QkMyj0iLr",2020-05-05 14:08:54
"It’s #TeacherAppreciationWeek. West Virginia teachers have really stepped up to the plate during #coronavirus, making sure students aren’t falling behind on their studies. Take time today to #ThankATeacher. 🍎 https://t.co/P8YyKyv9bA",2020-05-04 20:54:04
".@fema has announced funding available through the Emergency Food and Shelter Program. As Chair of the Homeland Security Appropriations Subcommittee, I ensured funds were included in the CARES Act, including over $1,158,216 for organizations in WV. https://t.co/5uQEhEzwt7",2020-05-04 19:16:03
Read my column for @AARPWV about how I’m working to make sure West Virginia is equipped to fight COVID-19 head on ⬇️ https://t.co/5jgGzqKDxc,2020-05-04 18:05:09
Congrats to the eighth graders receiving the Knights of the Golden Horseshoe honor! https://t.co/A4WVdmqPDE,2020-05-02 16:27:46
"Have you taken your #2020census? It’s quick, easy, and could mean more federal dollars to #WV. Take it today: https://t.co/yzZ4uwo6Kf https://t.co/bqEcXKUpTl",2020-05-02 14:15:29
"This week, @WVGovernor unveiled a plan to re-open our state. This is a smart approach that will put #WV on a measured path to successfully reopen. Get more details on that and more in my weekly newsletter: https://t.co/gAr0H9Gd5a https://t.co/yLdd28R6nQ",2020-05-02 00:00:00
NEWS: West Virginia hospitals are getting additional funding from the #CARESAct. Glad our state’s hospitals are benefitting from part of the $10 billion being allocated for rural providers. https://t.co/xTt0RIp50r https://t.co/wdKoB6jE2R,2020-05-01 22:14:20
".@FCC released a new broadband report showing #broadband progress in WV, but we know the data isn’t perfect, which is why I’ve been working to improve our broadband data maps so we can effectively help those who need it the most. Learn more: https://t.co/gJ42PcCoTQ #CapitoConnect https://t.co/Azdkjtu0P5",2020-05-01 21:15:21
"Dozens of higher education institutions in West Virginia are receiving funding thanks to the #CARESAct. The faculty, staff, and students of our colleges and universities have faced unprecedented challenges in the face of COVID-19.",2020-05-01 18:33:56
Learn more about how I’m staying in touch with constituents with telephone townhalls in my interview with @amandamanganarc: https://t.co/KVGG3eRYTb,2020-05-01 17:39:39
UPDATE: @HHSGov and @CMSGov are making this change! This will help to ensure so many of our residents will continue to have access to the health care they need through audio-only #telehealth appointments over the phone. https://t.co/KEfRt4Bt1S,2020-04-30 20:55:37
.@WTRF7News shares more about how the #CARESAct works to improve connectivity in #WV. https://t.co/lyZQHYn1a2,2020-04-30 18:28:49
Had a good phone call with @SecWilkie this morning. I appreciate his willingness to work with @Sen_JoeManchin and me to allow mobile testing sites to be covered in the same manner as urgent and emergency care services so veterans can get tested for #coronavirus at mobile sites.,2020-04-30 17:15:48
https://t.co/49H3qnUChN,2020-04-30 17:06:29
"#Coronavirus has highlighted the need for #telehealth, but because many West Virginians do not have access to reliable broadband, it can be impossible to use video-sharing to receive telehealth services during the COVID-19 pandemic.",2020-04-29 22:30:05
NEWS: @FlyMGW is getting more than $7 million to support an extended runway project. This is a critical initial investment in a project that can bring long-term economic benefit to Monongalia County and the surrounding areas. Learn more: https://t.co/nKOTUY5UiA,2020-04-29 21:21:45
"Awesome info about how funding from the #CARESAct is being used for #WV. Thank you, @SecretaryCarson! https://t.co/BLyFUHKPQL",2020-04-29 20:11:00
"Read the letter @JohnCornyn and I sent @SBAJovita urging her to make several improvements to the Economic Injury Disaster Loan (EIDL) program, including that the administrator expedite the $10,000 advances to be received within three days. Learn more: https://t.co/pOr7XsyAIN https://t.co/qnPHSaJO7i",2020-04-29 17:38:21
