tweet,dates
"This crisis has laid bare the disparity in basic human rights that black and brown communities face every day.

Good for Franklin County for recognizing that. We must do more to include everyone in our country’s prosperity.

https://t.co/wEvCKpBgfv",2020-05-20 13:21:43
"Annie Glenn has made Ohio proud all her life – as an advocate, a philanthropist, a mother and partner and as a friend. 

She will be remembered for her work to lift others up, including those who shared her struggles with communicative disorders. 

https://t.co/KNkqqV1f3U",2020-05-19 21:53:35
"I don't know who Trump's economist Kevin Hassett has been speaking to, but none of the families I talk to everyday have the luxury to ""watch and see"" if Congress gets them the help they need.

We need to act now. 

https://t.co/vk0QZ5JvxI",2020-05-19 19:20:01
"WATCH: I asked Secretary Mnuchin directly -
 
How many workers should give their lives to increase our GDP by half a percent?
 
His response is exactly what’s wrong with this administration. https://t.co/7u1Y0w03eS",2020-05-19 15:16:22
"""I don't feel essential, I feel expendable."" 

You'd think that at a time when we're demanding more from workers than ever before to keep our society running, we'd finally recognize that all labor has dignity. 

But once again, workers are getting left behind. https://t.co/suAIXLypBm",2020-05-19 14:44:59
"The first word out of Sec. Mnuchin’s mouth at today's Banking Hearing?
 
Not workers, not families – liquidity.
 
Families don’t want to hear about liquidity and financial double-speak, they want to hear how this administration will keep them safe when they go to work.",2020-05-19 14:35:26
"45 days.
 
Five Inspector Generals removed - three on a Friday night to bury the news.
 
If President Trump's intentions weren't clear before, they  are now:
 
To get rid of anyone who tries to hold him accountable.
 
https://t.co/vD830VidgG",2020-05-18 15:38:14
"At food banks across the country, demand is up, inventory is short, and many are lacking volunteers.
 
Yet during this time of record unemployment, the Trump Administration is still trying to take food assistance away from families. #HandsOffSNAP 

https://t.co/NmicSjJsRH",2020-05-15 16:12:56
"Two years ago, Saudi activist Loujain Al-Hathloul was imprisoned for her activism on women's rights.
 
We cannot turn a blind eye to this injustice. Saudi authorities must release Loujain and other activists wrongfully detained.

https://t.co/ak8inE2Ui5",2020-05-15 13:17:54
Tune in to @MSNBC at 9:15AM to catch my live interview with @SRuhle  👇 https://t.co/ts5ge72s1e,2020-05-15 13:00:31
"Members of Congress serve the American people, not their stock portfolios.

Passing my bill with @SenJeffMerkley to stop Members from trading stocks has never been more urgent. https://t.co/REaguLRqOn",2020-05-14 23:56:51
"You mean our bill that bans all Members of Congress from trading stocks?

Jeff, it does seem like something Congress should get passed immediately. https://t.co/6sFvPSSO8s",2020-05-14 20:11:15
"Renters need help NOW. 
 
I'm introducing legislation that will help renters pay their rent and utility bills. 
 
RT this if you think Congress should get my emergency rental assistance bill passed in the next relief package. #RentReliefNow https://t.co/Vq8CrPEkHC",2020-05-14 19:37:06
"Do Mitch McConnell and Senate Republicans see the urgency yet?
 
Getting relief to our communities cannot wait.

https://t.co/iUAzjWTtqt",2020-05-14 18:15:21
"Press reports show that some lenders are reducing PPP funding to small businesses - I'm pressing @USTreasury and @SBAgov for answers. 

Small businesses need all the help they can get right now, especially when competing against larger, wealthier clients for banks’ attention. https://t.co/ICfuBwVErf",2020-05-13 22:58:26
"We cannot put voters at risk in November with long voting lines and wait times.
 
I joined @SenKamalaHarris in introducing a bill to make sure everyone can cast their ballot without risking their health and safety.

https://t.co/iSDhtBd5mA",2020-05-13 18:38:16
"Let this sink in, and then remember that Mitch McConnell’s response is for the Senate to sit on its hands and wait. https://t.co/9UioRUuFJZ",2020-05-13 17:40:43
".@senatemajldr - how out of touch can you be?
 
For Americans struggling to pay their bills and their rent, and communities going underwater due to lost revenue, this IS urgent.
 
They need our help. https://t.co/LZXVEEs4yL",2020-05-12 18:13:06
"Our financial watchdogs have two basic jobs:

➡️keeping our financial system safe and strong
➡️making sure the banking system actually gets money to the people who grow the economy

They're failing at both of those jobs. Watch my opening statement from today's Banking hearing: https://t.co/slrpuhhWB6",2020-05-12 14:58:34
"Notice the deficit isn't an issue when Republicans are giving out trillions in tax giveaways to their rich Wall Street friends.
 
But keeping workers and our local communities afloat during a pandemic? Suddenly, they have a problem. https://t.co/xjJnZoGYpr",2020-05-11 18:16:38
"This country used to be a leader in fighting global diseases.
 
We led the charge to eradicate smallpox.
 
Then we led the charge to eradicate polio.
 
Now we have a President who is systematically dismantling our entire public health system.",2020-05-11 16:38:36
"Happy #MothersDay to moms everywhere and across Ohio - who inspire us with the love they give, and the example they set. 

Thinking as well of the moms who are working today to support their families. Thank you for all that you do. https://t.co/WvAB2yQ7pX",2020-05-10 17:02:06
"NEW: @SenGaryPeters and I are urging Speaker Pelosi to include relief for multiemployer pension plans in her proposal for the next stimulus package.
 
We need to put people first in this crisis - including those who for decades paid into the promise of a secure retirement. https://t.co/ziyESUeoGN",2020-05-08 17:13:49
"Ahmaud Arbery - 25, killed while Black and jogging. 
 
Sean Reed – 21, Air Force veteran killed while Black and driving. 
 
Say their names and demand justice. 
 
#JusticeforAhmaud #JusticeforSeanReed",2020-05-08 15:36:30
"This #TeacherAppreciationWeek, we celebrate all the teachers who educate and inspire our children throughout their lives.
 
Who's your favorite teacher?
 
I'm highlighting my sister-in-law Toni Schultz, a veteran teacher of Ashtabula City Schools. https://t.co/yqx1zSsFhT",2020-05-07 19:44:26
"Families struggling to make ends meet need more than a one-time $1,200 payment.
 
Here's what I'm calling for to help #WorkingFamilies:
 
▶️$2,000 stimulus checks every quarter for adults
▶️Expanding the Earned Income Tax Credit and the Child Tax Credit
 
#FundFamilies https://t.co/5jCPsFLHeb",2020-05-07 17:09:05
"This is just nonsensical. 

The Trump Administration has effectively restricted our local communities from spending CARES Act relief aid on what they need most:

to make up for lost revenue.

Let our communities spend the money Congress already passed.

https://t.co/2St5MYiZcE",2020-05-07 15:22:31
"Time and again, President Trump has sided with Wall Street over workers.
 
This pandemic has put his priorities on full display.

He needs to develop a real national testing plan so people can go back to work without this staggering death toll.
https://t.co/pw3puaBrfr",2020-05-06 17:30:53
"Today on #NationalNursesDay, we honor the lifesaving work that nurses do when we need care.

It's time for us to have their backs.

We should be giving all nurses Pandemic Premium Pay and protective equipment as they put their lives on the line to work through this crisis. https://t.co/3ckPJia16i",2020-05-06 14:41:28
"President Trump has spent three and a half years systematically weakening our public health system and making us less prepared for this pandemic.
 
Now he’s removed Dr. Rick Bright for “prioritizing science and safety” – in other words, for doing his job.

https://t.co/Zxk5t22F1V",2020-05-05 23:36:37
"We need to hold the Trump Administration accountable to ensure the funding we passed in the CARES Act actually goes to support workers, small businesses, and communities.

Tune in to our Banking Committee Hearing here: 
https://t.co/ioQlfFkW25",2020-05-05 18:44:00
May 5th - still no national testing strategy from the President. https://t.co/587Z5jAJb9,2020-05-05 18:10:13
"Today marks the 50th anniversary of one of the darkest moments in Ohio’s history – when four innocent students were slain simply for doing what we encourage young people to do: 

Speak out and participate in our democracy. #KentStateMay4

https://t.co/YVV9BmewQk",2020-05-04 17:29:01
"We cannot leave behind the millions of Americans who could be facing eviction without #RentReliefNow.
 
I’m introducing a bill that provides $100 billion in emergency rental assistance to help people pay their rent during and after this pandemic.",2020-05-04 15:38:39
"Mitch McConnell’s decision to reconvene the Senate endangers not just my colleagues and their staff, but hundreds of other workers - construction, food service, and Capitol Police. 

His reason? To pack the courts with more right-wing judges.

https://t.co/40S59PNbEp",2020-05-02 18:25:43
"Reports that Trump political appointees may have exerted improper influence and overruled career staff show how far this Admin will go to protect payday lenders over consumers.

@CFPB must stop any new payday rules and restart the rulemaking process.
https://t.co/evDVFaiv0a",2020-05-01 22:46:11
"When we fail to protect our workers, they don't feel essential - they feel expendable.
 
I stand in solidarity with all of the frontline workers striking on #MayDay demanding better pay, paid sick leave, and access to PPE.

https://t.co/GEq1UPYJpE",2020-05-01 19:01:28
"The Earned Income Tax Credit and the Child Tax Credit are two of the most effective tools we have to put money in the pockets of working people.
 
@SenatorBennet @SenatorDurbin @RonWyden and I led our colleagues in calling for a temporary expansion of these programs. https://t.co/7EWbSH47ZL",2020-05-01 17:46:14
"For weeks I called on President Trump to use the DPA to ramp up production of PPE and medical supplies.
 
Instead, he’s taken the most anti-worker action possible:
 
Using the DPA to force meatpacking workers to reopen - without protections - in unsafe conditions.",2020-05-01 15:49:23
"Now isn’t the time to let up – please continue to wear a face mask if you can.
 
Connie and I will be wearing face masks whenever we go out in public to protect others and #SlowTheSpread. https://t.co/SjiPEsmGYy",2020-05-01 14:53:17
"When Mitch McConnell says he wants communities to cut services and go bankrupt, this is what happens.
 
We need more immediate relief for our local governments in the next coronavirus package.

https://t.co/a5Ul5J5ZGL",2020-04-30 17:26:04
"April is Child Abuse Prevention Month. This month, we recognized survivors of child abuse and the teams committed to preventing, treating, and responding to families in need. #CAPMonth",2020-04-30 13:24:35
"We should be putting more money straight into people’s pockets with another round of direct payments. 

$1,200 was a good start, but it's not enough when families are still struggling to survive. 

That’s why my original plan called for supporting families THROUGHOUT this crisis. https://t.co/v1J4ApYwGk",2020-04-28 21:12:49
