tweet,dates
"The arrest was not because they saw the video, it was because we saw it. 
Eyes wide open 
Don’t sleep #JusticeForAhmaud #saveoursons",2020-05-10 12:52:18
Join me and @AyannaPressley on Saturday morning for a chat of Facebook Live https://t.co/mYBBzH63nT,2020-05-07 18:02:03
"We once led the world. We can again
November vote! 
⁦@JoeBiden⁩ ⁦@HouseDemocrats⁩ #FlipTheSenateBlue #FlipTheSenate #TakebacktheWH https://t.co/UNuX7hMUHN",2020-05-06 10:07:49
"Social distancing   
St Croix, Virgin Islands
No place better #VIStrong #VINice #StayHomeSaveLives https://t.co/jyMSx589W8",2020-04-28 22:34:40
The most sisterly thing to do in these times is to keep our distance. #DSTDistances #DST #DeltaSigmaTheta https://t.co/ZNxmZFibA5,2020-04-28 16:54:12
We are at Ciboné in Frederiksted prepping for #NaturiFeedsSTX. An increased number of families are struggling with food security during these times a big shoutout to @naturinaughton for making a difference. https://t.co/F8VJ4YusQI,2020-04-27 14:35:38
Go @kwelkernbc dodge and run with the story! https://t.co/mE5qYUbOMx,2020-04-22 19:30:57
"From America’s Paradise, the Virgin Islands of the Unite States 
Happy #EarthDay2020 #EarthDay #SavethePlanet  #climate #VIStrong #VINice https://t.co/wn2uNC8NGQ",2020-04-22 15:12:38
"#PaidinFull #StayHomeSaveLives 

As read on FB
“For the record, I am not dying so this country's economy can improve. My ancestors already did that.""  
My debt is ""paid in full.”",2020-04-21 01:47:03
Coffee with Stacey &amp; @naturinaughton https://t.co/lfX84FwfCw,2020-04-18 14:30:10
Due to technical issues I’m on live on Instagram at bucksmall1,2020-04-18 14:15:47
Tomorrow I’m hosting a follow up small business webinar. We’ve received plenty of questions and our speakers have plenty of answers. https://t.co/BZF4SQeo5R https://t.co/CtIDNnyOrR,2020-04-16 18:57:51
"A story on the Distance Learning Webinar I did this week:

https://t.co/G3m2lksxWL",2020-04-16 15:34:59
This Saturday at 10am I’ll have a very POWERful surprise guest on Coffee with Stacey. https://t.co/H49XMO9Gwk,2020-04-16 14:55:38
"Back with more answers for your small business questions and more help. Join us for our next small business webinar. 
 https://t.co/BRSlkRet6y https://t.co/fTgbisd1rj",2020-04-15 02:01:52
"Public safety officers put their lives on the line every day to protect us from serious threats. Whether they are law enforcement officers, firefighters, or emergency medical technicians, public safety officers selflessly charge into danger zones when others are in need.",2020-04-14 21:34:34
"During #COVID19, public safety officers are bravely answering the call of duty. While our citizens are doing their best to engage in social distancing, public safety officers remain on the job, seeking to protect and heal us in ways that may lead them to be exposed to the virus.",2020-04-14 20:52:10
"We must do all we can to help public safety officers prevent exposure to COVID-19 while they are on duty. If they do contract this highly contagious and dangerous virus, we must fully support them and their families.  #ProtectFirstResponders",2020-04-14 20:49:58
"Plow to Plate aims to strengthen food security and the food economy in the US Virgin Islands by providing financial support through grants to farmers, fishers,  food producers, and food-related small businesses that purchase or distribute products locally. https://t.co/sC3Ztt5Gzs",2020-04-13 17:49:41
