tweet,dates
I’m honored to deliver the commencement address to the @UofMaryland Class of 2020 and I’m proud of each student for their academic achievements. Tune in on May 22 to watch the ceremony and cheer them on! https://t.co/uwYZOaGGLJ https://t.co/haPhBLInll,2020-05-09 12:29:29
"Seventy-five years ago, Americans called to extraordinary service rose to meet the greatest challenges with the greatest courage &amp; determination. As we mark the anniversary of #VEDay, let us remember their sacrifices &amp; be guided by their example. https://t.co/ckn0qVi6gP",2020-05-08 21:40:55
"Health care providers are quickly adapting to the COVID-19 emergency by expanding telehealth services, &amp; today the MD Delegation announced @GreaterBaden will receive more than $537k for telehealth services &amp; remote patient monitoring through the #CARESAct. https://t.co/mNtQmlVevt",2020-05-08 21:35:59
I encourage you to read the powerful testimony at yesterday’s @EdLaborCmte virtual briefing on remote learning. We must focus on the well being of all of our students during this crisis. https://t.co/GIDwe2bRky,2020-05-08 21:34:56
"Our committees continue to work tirelessly #ForThePeople. Today, I released a new website sharing information with the public about the work being performed by House Committee Chairs and Members to address the COVID-19 crisis. Take a look: https://t.co/rjpOhZGBC0",2020-05-08 21:25:03
"Today is World #RedCrossDay, &amp; I join in recognizing the volunteers &amp; staff who do life-saving work for those in need. Especially during this crisis, thanks @RedCross for ensuring the safety of donors at blood banks. I continue to encourage Americans to donate blood if they can. https://t.co/VxA6MMFsiE",2020-05-08 20:36:54
"During this pandemic, Latinos and other minorities must not be overlooked by the Administration and Republicans. We must ensure everyone receives access to testing, especially for communities disproportionately impacted by the virus. https://t.co/ITPG6K2jD3",2020-05-08 20:12:06
I applaud @ProbSolveCaucus for holding a mock virtual Floor debate to show Congress can legislate without putting public health at risk. I’m hopeful bipartisan agreement can be reached to change the rules to allow remote voting &amp; committee work. https://t.co/PwjLBNbnrN,2020-05-08 20:08:18
"Downplaying the seriousness of this pandemic, hiding the facts from the public, &amp; praising states for reopening before it is safe to do so will cost lives. In his rush to reopen the economy, Trump is putting public health &amp; our economic recovery at risk. https://t.co/zXoes9MlCv",2020-05-08 19:22:57
The #jobsreport reveals the extent to which measures necessary to combat the COVID-19 pandemic have affected the economic well being of Americans. Whether these job losses persist beyond this crisis will depend on how we react as a nation to confront it. https://t.co/XepBZC8bjk,2020-05-08 13:44:59
"Appreciated the opportunity to speak with @1199SEIU members last night &amp; thank them for the work they are doing on the frontlines to care for Marylanders. We must ensure they have the PPE &amp; other resources they need to safely do their jobs, &amp; I’ll keep fighting for them.",2020-05-08 13:00:34
"Michael Flynn twice pleaded guilty in court to serious criminal charges, yet his case is now being dropped by the Trump Admin Justice Dept. This is just the latest example of corruption of the DOJ under this presidency &amp; the erosion of the rule of law. https://t.co/1btjJftLIq",2020-05-07 23:20:33
"Whenever I visit the @MemPeaceJustice, as I did again in March, I am struck by the horrors of lynching and racial violence. The House passed the Emmett Till Antilynching Act to make lynching a federal hate crime. I urge @SenateMajLdr to take it up now and send it to POTUS's desk.",2020-05-07 20:43:57
The family and friends of Ahmaud Arbery deserve answers. It is inexcusable there have been no arrests made since this brutal attack occurred in February. Justice delayed is justice denied.,2020-05-07 20:43:13
".@AmeriCorps volunteers teach in our schools, help those experiencing homelessness, aid those struggling with addiction, and more. Today, the MD Delegation announced additional funding to place more than 1,200 volunteers into 10 organizations across MD. https://t.co/vOecmJcTzg",2020-05-07 20:01:59
"Wishing my friend @RepTedDeutch a happy birthday. Thank you for your leadership as @HouseForeign Chair of Middle East, North Africa, &amp; International Terrorism Subcmte, for your work strengthening the US-Israel relationship, &amp; for advocating for legislation to #EndGunViolence.",2020-05-07 19:56:57
House Democrats are working hard to ensure small businesses can stay afloat during this crisis. I thank @HouseSmallBiz for holding a virtual forum today with @SBAgov Resource Partners to hear from them about the implementation of the #CARESAct. https://t.co/qLUwlC62g7,2020-05-07 18:42:58
".@UofMaryland will receive funding to study how social distancing directives are affecting the well-being of Marylanders. Given the disparities that exist, it is important that this funding will be used to examine sociodemographic characteristics. https://t.co/wZyRSo4j25",2020-05-07 18:03:21
"House Democrats continue to call for more data on racial disparities in #coronavirus cases and deaths and action to address those disparities. I thank @HomelandDems for holding a virtual forum today on this issue, which will help inform our response. https://t.co/7wa4nQ8l1S",2020-05-07 17:49:58
"Our nation’s top public health experts wrote a step-by-step guide to inform Americans about how to safely begin to reopen. The public ought to see it. By leaving them in the dark, the President is putting lives at risk and prolonging our economic downturn. https://t.co/z097MkHHuw",2020-05-07 17:48:49
The SNAP program provides food assistance to thousands of at-risk families in MD. We must strengthen this assistance in the next coronavirus relief package. I joined a letter from MD Delegation Members on this issue; read it here: https://t.co/sNPp0uMnjm https://t.co/Q5yz7fppQe,2020-05-07 16:10:45
"The GOP blindly praises Trump for his coronavirus response and claims he is doing a good job. I remind my GOP colleagues: 
 
more than 70,000 Americans dead; 
more than 1.2 million confirmed cases; 
more than 33 million lost jobs. 
 
That is not success. https://t.co/5RUeFQrxMd",2020-05-07 15:30:48
People of color are losing their jobs at higher rates during this crisis. We cannot overlook how the pandemic has exacerbated racial disparities. Dems will continue to focus on inequities as we respond to the crisis &amp; work to eliminate them moving forward. https://t.co/ufYOI8ASUt,2020-05-07 15:17:13
Today’s unemployment claims report shows 33.5 million Americans – or 1 in 5 working Americans – have sought unemployment insurance in the last seven weeks. These figures reflect the economic burden this pandemic has had on our economy and working families.,2020-05-07 14:36:04
TONIGHT: I spoke w @FBCG Pastor @johnkjenkins &amp; @RepAnthonyBrown about the impact of the #coronavirus on our communities &amp; the work we’re doing in Congress to help families in MD. You can watch our conversation tonight at 7:00 P.M. here: https://t.co/lNkJZj6kKf https://t.co/bWiEeuFmmN,2020-05-07 13:55:12
"At my weekly Committee Chairs meeting, I appreciated hearing from Chairs about the virtual forums they have led; those events and today’s meeting over videoconference are further examples that remote work can be done successfully and securely. https://t.co/D9BUnQq8Nd https://t.co/n6OR2fT0TO",2020-05-07 00:45:10
Secretary Betsy DeVos and POTUS are finalizing a rule that would make it harder to protect students from sexual harassment and assault in schools &amp; on college campuses - a serious threat the federal govt should confront with all the tools at its disposal. https://t.co/g8JOTEJJr5,2020-05-07 00:06:48
"In the middle of a pandemic, POTUS &amp; the GOP want to:
❌ Kick Americans off their coverage
❌ Allow discrimination based on pre-existing conditions
❌ Bring back the age tax when we know COVID-19 is more deadly for seniors
This is beyond cruel and will cost lives. https://t.co/8pfNpYfvlL",2020-05-06 22:31:03
The President's repeated ousting of Inspectors General is a shameful attack on oversight and reflects his contempt for any accountability. These actions endanger our democracy and weaken our collective ability to defeat crises like the coronavirus. https://t.co/jypoUwy7nW,2020-05-06 21:23:28
Maryland public schools will be closed through the remainder of the school year. Online learning will continue and meals are still available for students to pick up. Click here to find a meal distribution site near you: https://t.co/6mkWf4IjpK,2020-05-06 21:20:07
I join in recognizing National Nurses Week and paying tribute to nurses across the county who have shown immense courage on the frontlines of this pandemic. I will continue fighting to ensure they have the protective equipment and supplies necessary to protect and save lives. https://t.co/c1v39pHsbY,2020-05-06 21:02:13
"The significant racial disparities in #coronavirus cases and death are unacceptable and must be addressed. House Democrats will continue to work to expand testing, improve access to care, and strengthen health care infrastructure in minority communities. https://t.co/GjKXBulbCB",2020-05-06 20:15:28
"During my weekly press conference today, I told reporters that House Democrats have been hard at work on CARES 2  legislation to respond to the #coronavirus pandemic. Members will return once a bill is ready to be voted on.",2020-05-06 18:16:26
"I join my MD colleagues in urging AG Barr to take action to stop the spread of COVID-19 in federal correctional facilities &amp; protect incarcerated individuals, employees, &amp; surrounding communities. Read our letter: https://t.co/oFaD8erzHb https://t.co/JESn2CJj8Z",2020-05-06 18:12:30
"We must keep teachers, first responders, and other essential workers on the job during this crisis. That’s why House Dems will continue to advocate for additional funding for state, local, and tribal governments as we respond to the coronavirus pandemic. https://t.co/b0I18hl4st",2020-05-06 01:18:47
"This informative @NewYorker article describes why @USPS  is so important while laying out the steep challenges it faces. From staying connected to receiving goods, it is an agency we trust during troubling times and it is vital that we ensure its survival. https://t.co/KZYzLem3p7",2020-05-06 01:17:29
"I stand with @GoIUPAT &amp; @iupat_dc51 in support of protecting construction workers during this crisis. We must not leave them behind as we respond to the pandemic, especially when it comes to health coverage. More must be done to meet their needs in the next coronavirus bill.",2020-05-05 23:29:03
"In 1862, Mexican forces defeated a French invasion at the pivotal Battle of Puebla. Ever since, Americans and Mexicans have joined together in celebrating #CincodeMayo and paying tribute to the courage displayed at Puebla and the ideals our nations share. https://t.co/o3vst4WhAT https://t.co/xqQRA4zehE",2020-05-05 23:27:24
"This week is #PSRW, and I am deeply appreciative of the federal, state, county, and local government employees who are working hard during the #coronavirus pandemic. I thank these working men and women serving our communities and will continue to advocate for them in Congress. https://t.co/cRaEXyD0ED",2020-05-05 22:51:40
It is unthinkable that POTUS would shut down the main task force established to coordinate our nation’s response to the COVID-19 pandemic. It is a shameful abdication of responsibility. https://t.co/5NZBbAyKpY,2020-05-05 22:37:01
MD HBCUs like @BowieState &amp; minority serving colleges will receive significant funding through #CARESAct to help students as they navigate this challenging time. Our Delegation will continue to advocate for students in MD. https://t.co/X7iwftTcFu,2020-05-05 21:28:09
"On #TeacherAppreciationDay, I thank all teachers who are working tirelessly to educate students &amp; adapt to distance learning during this crisis. Teachers are invaluable, &amp; Dems are pushing for increased funding for state &amp; local govts to ensure they can keep teachers on the job. https://t.co/Odk0QuVrK8",2020-05-05 18:37:20
"The proposal put forward by the GOP on the Virtual Congress Task Force falls woefully short. We need rules that allow the House to conduct oversight, mark up legislation, and take votes without putting countless Capitol Police, staff, &amp; press at risk. https://t.co/O9zkPEAdTf https://t.co/3zfx5M2vhs",2020-05-05 18:08:43
"As we continue to mourn the passing of Elijah Cummings, it is fitting that #MD07 sent Rep. Kweisi Mfume to continue their shared work to ensure that the promise of America is kept for all Americans equally. It was my honor to welcome him back to the House today. https://t.co/Eld7laBNtz",2020-05-05 16:28:07
I urge Americans still waiting on their economic impact payments to be cautious of attempts to steal personal information and payments. Please watch out for these common scam tactics. Find more information from the IRS here: https://t.co/60pC7WDJUf https://t.co/ek0aru3N25,2020-05-05 16:02:55
Spoke w @AFGENational to thank members for their work during Public Service Recognition Week. I provided an update on the work I’m doing in Congress to respond to this pandemic &amp; advocate for federal workers. I’ll keep fighting alongside AFGE to protect the federal workforce.,2020-05-05 02:10:02
