tweet,dates
https://t.co/jFjjMh3WBm,2020-05-10 16:00:00
"Yesterday, I visited with the staff of Four Paws Animal Hospital in @LebanonOhio. I stopped by to discuss how #COVID19 has affected their lives and to hear about how the Paycheck Protection Program has impacted them and the business. https://t.co/drudREKWaC",2020-05-10 00:44:54
"Yesterday, I dropped off meals from @ronsroost3853 to the Miami Township Fire Department and Officers from @hcso_org. 

Thank you for your service during this trying time. Special thanks to Ron’s Roost for the top-notch service. https://t.co/UEYtKnV7nM",2020-05-09 00:40:39
"Yesterday, I participated in a virtual forum with my colleagues on the House Small Business Committee and representatives from SBA resource partners. 

Resource partners provide mentoring and training to small business owners across the country.",2020-05-08 17:04:36
"ICYMI: ”Ranking Member Chabot and Committee Members Hear from SBA Resource Partners on COVID-19 Response”

https://t.co/cj3uLuebI1",2020-05-08 15:09:43
"The China Task Force will have many issues on its plate, hope that one of them will be China’s unsanitary, inhumane live wildlife markets.",2020-05-07 20:05:45
Congrats @RepLizCheney on your appointment to the China Task Force. Proud that @HouseGOP is standing up to hold the #CCP accountable for #COVID19 and moves at global dominance.,2020-05-07 20:04:20
𝐃𝐎𝐍'𝐓 𝐅𝐎𝐑𝐆𝐄𝐓 𝐓𝐎 watch @GovMikeDewine's #COVID19 press conference for the latest information about our #ResponsibleRestart. 𝐖𝐀𝐓𝐂𝐇 here: https://t.co/3ERaNMrcn3,2020-05-07 17:44:17
"News regarding the state and federal response to #COVID19 is continuously changing, and it's important to stay informed.  

Subscribe to my newsletter to get the latest developments from Washington and Ohio’s #ResponsibleRestart, directly to your inbox: https://t.co/QqLCF3Hlqb",2020-05-07 15:22:17
"Today, I sent a letter to SBA Administrator @SBAJovita requesting that @SBAgov focus additional efforts on underserved small businesses.",2020-05-06 20:50:44
"This morning, I went to the @CincyCAA in @bondhillcincy to donate essential household items for Head Start families. Thank you for helping our community during these tough times. #AllinThisTogetherOhio https://t.co/8b5xsJCH2e",2020-05-06 17:30:00
ICYMI: https://t.co/ONdFO6CqKw,2020-05-06 16:42:12
REMINDER: Watch @GovMikeDeWine's daily #COVID19 press conference at 2:00 PM EST here: https://t.co/fIGbx6X7cf,2020-05-05 17:25:00
"Yesterday, I spent some time in @cityofboroOH helping a wonderful group of @BoroPantherNews volunteers distribute food and other items to people impacted by #COVID19.

Thank you to everyone at the Springboro Community Assistance Center for your hard work! #AllinThisTogetherOhio https://t.co/Zm5uKSAdUz",2020-05-05 14:31:00
Determined to rise: https://t.co/E2JEPaRDI7,2020-05-04 22:17:33
"WATCH @GovMikeDewine today @ 2:00 PM EST for his daily press conference to discuss the next steps of the #ResponsibleRestartOhio #AllinThisTogetherOhio:
https://t.co/XirY54h879",2020-05-04 17:00:01
ICYMI: https://t.co/u53P55VfrH,2020-05-04 14:47:25
"As Co-Chair of the Congressional Caucus on U.S.-Turkey Relations and Turkish Americans, I thank Turkey for this week’s two donations of #PPE to protect our frontline medical professionals as they fight #COVID19.

Thank you, Turkey, for your generosity!",2020-05-02 15:13:11
Just called Deputy Chief Greg Chetwood to wish him a Happy Birthday!,2020-05-01 21:00:46
"Thank you Dave Moravec &amp; the @ColerainChambe1 for the great discussion about #COVID19, and the CARES Act.  Let's keep working together to get small businesses &amp; their employees the resources they need. #AllinThisTogetherOhio.",2020-05-01 18:28:48
"Yesterday, I dropped off much-needed food and personal care items to Joshua’s Place in @SoLebanonGov. They serve the local community and area school districts and briefed me on their #COVID19 efforts. #AllinThisTogetherOhio https://t.co/TnTvlyfszL",2020-05-01 13:00:01
"Today I had the honor of delivering lunch from Kelly's Meats &amp; Deli to the @LebanonPolice. They work around the clock to serve and protect the citizens of Lebanon, OH and @warrencoohio. #AllinThisTogetherOhio https://t.co/GpM3jUw7Ji",2020-04-30 21:25:37
"ICYMI, you can read my op-Ed on the Paycheck Protection Plan that was published in The Cincinnati Enquirer here: https://t.co/o6Z9jKQWix",2020-04-30 19:13:56
Tune in here for @GovMikeDeWine's 2:00 PM EST press briefing: https://t.co/XirY54h879,2020-04-30 17:31:56
ICYMI: https://t.co/lnzTbiT1yr,2020-04-29 20:43:04
"I stopped by @uc_health this morning with some Panera to show appreciation to the frontline workers for keeping our community safe. 

We owe all of them a great debt of gratitude. 

#AllinThisTogetherOhio https://t.co/N81a8hLUIp",2020-04-29 18:03:29
"This morning, I volunteered for the @FreestoreFB and helped the @OHNationalGuard @107th_Cavalry distribute emergency food boxes outside @ElderHighSchool in West Price Hill. 

Thank you @KurtReiber and team for all that you do for our community. https://t.co/7ewDW74Yhp",2020-04-28 22:50:12
"Today, I stopped by @DelhiTwpPolice &amp; @Delhi_fire Departments to drop off lunch from The Farm. Many of you know that The Farm has been a staple in our community for generations. 
 
I am glad they are still providing excellent food to our community (especially the Fried Chicken). https://t.co/S3JXBgi75Q",2020-04-28 20:53:49
Tune in here for @GovMikeDeWine's press briefing: https://t.co/i9LNGlPTSx,2020-04-27 18:05:00
"Supporting another of our great small businesses in the area, by picking up lunch at The Public House in Cheviot. https://t.co/PedAmNPuJ1",2020-04-27 17:27:49
‼ https://t.co/zZxh8FYWLF,2020-04-27 14:48:15
Apply TODAY! https://t.co/RpiHsRzHJs,2020-04-27 14:33:40
📣 https://t.co/skW2yI8611,2020-04-27 14:32:54
https://t.co/XkS0KEpqzc,2020-04-27 14:30:29
"TODAY AT 10:30AM EST @SBAgov will start accepting the next batch of #PaycheckProtectionProgram applications. 

Read more here: https://t.co/ezFpNy2snF",2020-04-27 14:29:58
ICYMI: https://t.co/nAqsH8jmGh,2020-04-26 18:28:03
"Yesterday, I visited the Lincoln Heights Police Department to drop off some @goldstarchili for the officers on duty. Thank you, @hcso_org for your service during this tough time. https://t.co/pFeF8QwIuy",2020-04-25 19:18:53
NEWS: https://t.co/cqhXWQHgHW,2020-04-25 13:18:00
"Princeton Closet in Sharonville, operated by Susan Wyder, is helping our community in this time of need. Earlier today, I stopped by and donated supplies. #AllinThisTogetherOhio https://t.co/FxEAp3iWXJ",2020-04-24 22:40:31
"I am hosting a Tele-Town Hall Meeting THIS AFTERNOON. 

We will focus on the Coronavirus crisis. 

Please send us questions and we will try to get to as many as possible during the meeting.",2020-04-24 19:14:11
NEWS: https://t.co/sKIgOQZXcy,2020-04-24 15:14:56
Here is the video of the speech I gave yesterday on the House Floor in support of small business relief in the Paycheck Protection Program and Health Care Enhancement Act: https://t.co/TxWoyU57BS,2020-04-24 13:57:50
"The House just passed a bill that will help small businesses keep workers on the payroll.  

To those who have yet to apply for relief like the Paycheck Protection Program: help is on the way.  

Here is my speech in support of this bill:

https://t.co/O0QYt1B0Tu",2020-04-23 22:49:52
It was an honor to hear from my colleagues on both sides of the aisle during today’s @HSBCgop Member Day hearing on COVID-19 response and recovery. Small businesses play a vital role in our communities and we must ensure they get the help they need. https://t.co/qICeVlXp6O,2020-04-23 19:11:14
"In the Small Business Committee, with Chairwoman Nydia Velazquez of New York (who tested positive for COVID-19 a few weeks ago).  Making sure America’s small businesses survive is critical to the economy and the wellbeing of all of us. https://t.co/GvYFy15OOP",2020-04-23 16:40:20
Heading to the House Floor to speak in favor of replenishing the PPP &amp; EIDL programs. We must produce more relief for our small businesses. Tune in here: https://t.co/S7281iBJTB,2020-04-23 14:29:31
