tweet,dates
Coronavirus News: Live Updates - The New York Times// Trump giving them a “one time“ pass to teleconference w #Senate which REALLY says they will not appear in any manner w the ⁦@HouseDemocrats⁩. Convenient. #TrumpDepression #TrumpLiesAmericansDie  https://t.co/8bFfuvCNYS,2020-05-10 04:42:23
"Little Richard broke into the consciousness of America in 1955 and has been at the vanguard of American music ever since. He was a combination of #Elvis and Jerry Lee Lewis. #RocknRoll royalty. #RIPLittleRichard #RIPLegend #Music 
https://t.co/EN50zm9MHG",2020-05-09 23:54:30
"Unemployment is the highest it’s been since the Great Depression. The Department of Labor says 20.5 million jobs were lost in April alone. The people need a stimulus bill. If we wait, they will suffer more. #TrumpDepression #Coronavirus
https://t.co/aYsuuxPHvC",2020-05-08 22:19:28
"I’m glad @FlyFrontier listened to our concerns and reversed this ill-advised policy. As states begin to re-open and #AirTravel increases, passengers need to feel confident that #airlines are doing everything they can to mitigate the spread of #COVIDー19. https://t.co/yqh4cXD0b8",2020-05-08 20:56:20
"Lady Justice after #BillBarr and #Trump folded, spindled, and mutilated her and the #RuleOfLaw on behalf of self admitted liar #mikeflynn  https://t.co/fRv03JCHMo",2020-05-07 21:30:52
This is a miscarriage of justice. #MichaelFlynn pled guilty. It’s clear that Trump is once again undermining our courts and interfering on behalf of his cohort. Bill Barr has enabled this behavior and allowed the rule of law to be replaced by the rule of Trump. #FlynnIsGuilty https://t.co/SJegKx4hrU,2020-05-07 20:52:27
"Thank you to all of the teachers in #Memphis and across the nation who are staying connected to their students during this challenging time. If you know any teachers, please let them know how much they’re appreciated. #TeacherAppreciationWeek #ThankATeacher https://t.co/L483wwUvh9",2020-05-07 20:16:00
".@NatanSharansky is a legendary Jewish leader and activist who has always prioritized the wellbeing of others. He embodies the values of the @GenesisPrize, and his decision to donate his $1 million award to organizations fighting #COVID19 reinforces that fact. #GenesisPrize https://t.co/GCHmoJaq8w",2020-05-06 23:09:10
"Today, @SenMarkey, @RepChuyGarcia &amp; I sent a letter to the CEO of @FlyFrontier asking him to reconsider this policy. We are facing a global #pandemic. The flying public should not be penalized for attempting to practice #SocialDistancing. Read more here: https://t.co/IBpgwh6ZZo https://t.co/Z409yH0HWJ",2020-05-06 20:30:06
"On #NationalNursesDay, I want to recognize all the dedicated &amp; compassionate #Nurses working on the front lines of the #CoronavirusPandemic. They risk their lives every day to keep us healthy and safe. We must ensure they have all the resources they need. #TheRealHeroes #PPE",2020-05-06 18:48:24
"Can’t get close to people 😢 so get close to the flora and fauna around you.lower right is a tulip poplar, #Tennessee state #tree .#NaturePhotography #arborday https://t.co/vHiGcWTxGh",2020-05-06 18:35:49
