tweet,dates
Happy #MothersDay  to all the moms out there.  A special shout out to my sweet wife Cindy for being the best mother to our four kids - our family is so blessed to have you 😊,2020-05-10 14:13:57
"This will get MT seniors and the disabled the resources they need to stay safe and healthy during this pandemic.  Glad to have gotten this done on their behalf.   
https://t.co/HPXDLM2O7J",2020-05-08 16:47:10
Extending this immigration ban will give American workers the advantage with open jobs.  This is about putting Montana and America workers first. https://t.co/gW8POoeT8e,2020-05-08 14:35:25
We must end our dependence on China for life-saving drugs &amp; PPE.  It’s time to bring these manufacturing jobs home to America. 🇺🇸 https://t.co/VLPKCsqkHy,2020-05-07 21:40:48
"Glad to work with @realDonaldTrump to put Montana workers and jobs first.  We need to extend this immigration ban until America is back on its feet!
https://t.co/Kx2cSwPcg0",2020-05-07 13:45:07
"Thank you to our nurses who are on the front lines of this pandemic.  Today, and every day, you save the lives of so many - thank you for your service and courage.  #NationalNursesDay #HealthcareHeroes",2020-05-07 01:51:11
"We must end our reliance on China.  That’s why I’m pushing a bill to strengthen our American medical supply chain, and bring drug manufacturing home. https://t.co/zs34dGi8MH",2020-05-06 13:33:22
"Today is #TeacherAppreciationDay - a day we take to celebrate the hardworking men and women who shape our next generation of Montanans and Americans. 

Thank you for everything you do, teachers!",2020-05-05 22:44:54
"Today, May 5th, we recognize the crisis of Missing and Murdered Indigenous Women plaguing our tribal communities.  I'll continue working to raise awareness and fight to put an end to this crisis.  May the victims and families of #MMIW never be forgotten.

https://t.co/xHqTspuZRY",2020-05-05 17:26:01
"We must end our dependence on China for drug manufacturing – it’s a national health AND a national security risk.

That’s why I’m pushing to strengthen our medical supply chain here in America. https://t.co/OOGO2Mvor2",2020-05-05 13:16:42
"China’s cover up of COVID-19 made this pandemic worse. Our economy shut down &amp; American lives have been lost.

Drug / PPE manufacturing jobs must be brought back to the U.S. We can't continue to depend on China.",2020-05-04 20:27:01
We need to be ready to rapidly manufacture treatments and vaccines on a massive scale—that’s why I fought so hard for funding to get that done. https://t.co/YyTlNz17DW,2020-05-04 14:01:23
ICYMI: Helena is receiving a 3D printer that will print swabs to help with Coronavirus testing.  This is a critical tool as we work to safely reopen Montana. https://t.co/67lnc3Jslp,2020-05-01 14:21:11
"Gallatin Gateway's 8th grade class couldn't make it to DC this year due to the pandemic, but I was glad to visit with this great group of young Montanans over video chat!  #MontanaProud https://t.co/9Trg06z2XO",2020-05-01 01:13:37
"Worked with @realDonaldTrump to secure critical PPE &amp; testing supplies to help keep Montanans safe. 

Learn more ⬇️ https://t.co/q8IE0KdZMT",2020-05-01 00:18:42
"Had a great call yesterday w/ @SecretarySonny about challenges facing Ag, including concerns raised by MT ranchers on the growing spread btwn beef on market shelves &amp; live cattle prices.  Discussed the need for USDA &amp; DOJ to look into potential price fixing in the market.",2020-04-30 17:27:31
This 3D printer is great news for expanding testing in MT as we begin to safely reopen the economy.  I'll continue working to ensure healthcare professionals have the tools they need to increase testing and prioritize public health. https://t.co/UoQdJAx3aj,2020-04-30 14:07:23
"Happy 7th birthday, Menny!  #Longfellowproud https://t.co/jrsS1l1TbA",2020-04-30 12:45:21
"Thank you @realDonaldTrump for acting on my request to cover Montana’s seasonal workers &amp; businesses through #PPP.  Our outfitters, guides, and more help drive our economy in MT, and I’m glad they’ll now be able to get the relief they need due to COVID-19. https://t.co/elJD2PqXfL",2020-04-29 13:27:20
"Glad to get this done for our Montana small businesses so they can keep their doors open and their employees paid. 

https://t.co/GWEC8mVRl3",2020-04-28 21:01:35
