tweet,dates
"🚨 Schiff has been exposed, again.

Newly released transcripts show every witness in his closed-door hearings said there was no collusion.

Yet he lied and said there was to fuel his phony investigations and sham impeachment of @realDonaldTrump.

We can't let the media bury this. https://t.co/wUU99zqjvF",2020-05-10 15:41:42
"Happy Mother’s Day to the mom of our two kids, my incredible wife Jennifer! https://t.co/ZuRF1rRs7W",2020-05-10 13:27:17
#GoodNewsOfTheDay → All across America neighbors are stepping up in big ways to help each other get through this crisis—like this local hero in Alaska who sails 7 hours to Costco once a week to supply groceries for his 450-person town. #InItTogether 🇺🇸 https://t.co/VWWpJkSEWg,2020-05-09 23:28:14
"It’s now clear: Comey's FBI baselessly destroyed Gen. Flynn's life to try to take down @realDonaldTrump.

This was a set up from the start. It was never about Russia or collusion.

Where's the media outrage? If they can do it to the President and a general, they can do it to you. https://t.co/iTTp7XfX0N",2020-05-09 18:35:30
"Bad week for Adam Schiff, the Deep State, and their partners in the media.

Their entire charade has completely collapsed.

– Phony case against Gen Flynn dropped
– Schiff's transcripts show zero evidence of collusion and no basis for impeachment

Time to hold people accountable. https://t.co/WbNzEZ6jCS",2020-05-09 14:25:32
"#GoodNewsOfTheDay: @CommerceGov announced $14.8 MILLION in CARES Act funding for the Louisiana fisheries industry. Huge for our fishermen hard hit by the Coronavirus crisis. 

Proud to fight alongside @realDonaldTrump to secure this money for our state. https://t.co/jGU4pvxyeM",2020-05-09 01:18:48
"We've seen this playbook before.

All Pelosi and House Democrats do is harass President Trump and try to rig 2020 against him.

If you thought they were going to let a global pandemic stop them, think again.

They're already using Coronavirus to harass @realDonaldTrump some more. https://t.co/TVV9eLQ997",2020-05-08 23:00:47
"Outrageous. → First action Coronavirus committee Dems took was sending harassing letters to companies that followed the PPP law to pay workers—a law they all voted for.

Dems spend more time shaming and investigating American workers and job creators than they do China. Telling.",2020-05-08 20:33:55
#GoodNewsOfTheDay → This New Jersey bakery with 400 workers was able to start calling laid-off employees back to work thanks to the Paycheck Protection Program. https://t.co/sV7jECewm7,2020-05-08 00:40:59
"🚨 Here we go again. Dems are gearing up for another witch hunt of @realDonaldTrump with the Coronavirus Subcommittee.

This virus attacked our nation. We must use this committee to fight back—not play politics with more pointless partisan investigations. https://t.co/FJ3g1IG8Dk",2020-05-07 22:22:21
"🚨 JUSTICE 🚨 The phony case against General Flynn was dropped!

RT if you agree → It’s time for the dirty cops in Comey’s FBI who started this whole thing to be held fully accountable. https://t.co/3GFytS15an",2020-05-07 19:19:32
"Dems want to turn Coronavirus into Impeachment 2.0 with their Select Subcommittee on the Coronavirus Crisis.

We won't let them do this again. I'm honored to be named the lead Republican on it—and will fight to stop it from turning into yet another witch hunt of @realDonaldTrump.",2020-05-07 14:18:22
"#GoodNewsOfTheDay → @Nike is sending 30,000 pairs of cushioned sneakers to healthcare workers serving on the front lines!

#InItTogether 🇺🇸👟 https://t.co/CbQASRZaw3",2020-05-07 00:08:17
"Our nurses are heroes. Day in and day out, they risk their own safety to save lives on the front lines of America's fight with COVID-19.

RT to THANK them for their dedication and courage! #NationalNursesDay",2020-05-06 15:42:21
#GoodNewsOfTheDay → Dairy farmers are able to use the Paycheck Protection Program to stay afloat and keep paying their employees during this crisis—critical for maintaining America’s food supply. 🇺🇸🐄 https://t.co/HPZpC1JsPZ,2020-05-06 00:05:54
"We've seen enough.

Comey's crooked cops:
• Spied on Trump's campaign
• Plotted to entrap Gen. Flynn
• Tried to take down @realDonaldTrump after the people elected him President

Now everyone who abused their power to push their own political agendas must be held accountable. https://t.co/cXtbzWxwBo",2020-05-05 22:18:44
"⚠️ Trump Derangement Syndrome: Schiff calls @realDonaldTrump holding China accountable a ""continuing disservice.""
 
No surprise that the man who wasted time on a sham impeachment &amp; the Russian collusion hoax instead of focusing on China is using Communist China's talking points. https://t.co/0ZoRcvlEYt",2020-05-05 18:33:58
"Congress should be working to:
– Help workers &amp; families
– Hold China accountable
– Get our economy up &amp; running
– Move our medical supply chain to America

But Pelosi's House Dems still won't show up to work—even as @realDonaldTrump &amp; the Senate are working in DC. Unacceptable.",2020-05-05 16:05:02
#GoodNewsOfTheDay → These 30 people are back on the job and getting paid again thanks to the Paycheck Protection Program. https://t.co/74ltKKvBWH,2020-05-04 23:04:23
"Let's be clear about what's happening:

→ America is facing the biggest crisis of our time.
→ Essential workers are showing up to their jobs.
→ @realDonaldTrump &amp; the Senate are in DC working.

But Pelosi’s House Dems are sitting at home.

RT to tell them to GET BACK TO WORK.",2020-05-04 18:34:54
"#GoodNewsOfTheDay: @SherwinWilliams donated 1,000 N-95 masks to New Orleans for frontline healthcare workers who remain dedicated to protecting our community. #InItTogether 🇺🇸 https://t.co/hoBrF4FRop",2020-05-03 23:02:57
"#GoodNewsOfTheDay → Plum Contracting was able to bring back a majority of their furloughed employees with a 100% forgivable PPP loan—and now they’re even hiring more people!

The Paycheck Protection Program is saving America’s small businesses. https://t.co/xmpLcRQWoD",2020-05-02 20:14:43
"Next week, @realDonaldTrump and the Republican-controlled Senate will be in Washington, DC working to get America through this crisis.

Meanwhile Nancy Pelosi and her House majority will be sitting at home.

Telling. https://t.co/ZZgfP1l8MJ",2020-05-02 14:15:06
".@DevinNunes &amp; @Jim_Jordan had it right from the start: Pro-Hillary agents in Comey's FBI abused their power to try to take down @realDonaldTrump.

This was never really about Russia or collusion—just attacking Trump.

RT if you agree → These dirty cops must be held accountable. https://t.co/hpO0vyy130",2020-05-01 22:37:45
"#GoodNewsOfTheDay → All across America community businesses are stepping up to support frontline healthcare workers—like @PJscoffee in New Orleans, who has donated coffee to doctors, nurses, and other medical staff all over southeast Louisiana. #InItTogether 🇺🇸☕️ https://t.co/eaBeS0o6WZ",2020-05-01 19:22:10
"Got goosebumps watching B-52 bombers and F-15s fly over Ochsner Medical Center in New Orleans to pay tribute to our frontline healthcare workers.

Thank you @realDonaldTrump and @AFGlobalStrike!

God Bless America!! 🇺🇸🇺🇸 https://t.co/E7cONRDpVh",2020-05-01 15:41:48
"🚨 Deep State Exposed → Evidence proves anti-Trump agents in Comey's FBI plotted to take down @realDonaldTrump and @GenFlynn using Russian disinformation.

That's the very definition of a dirty cop.

Now it's time for JUSTICE. We can't allow this to happen to anyone ever again. https://t.co/hqTZWOvF7e",2020-05-01 14:30:03
"#GoodNewsOfTheDay → Ford’s Fish Shack employees like Mark Underwood are back on the payroll thanks to the Paycheck Protection Program.

“I’m a husband, father of 5—my mother lives with me… PPP has now given life to my family, it has injected hope into our business,"" Mark said. https://t.co/MFwjQEPB5j",2020-04-30 17:33:18
"Turns out the only ones who colluded with Russians were Hillary Clinton’s campaign &amp; the DNC.

Time for Comey’s crooked cops who actively solicited information to falsely frame @realDonaldTrump &amp; destroy General Flynn—knowing it was Russian disinformation—to be held accountable. https://t.co/7Dia12qIXA",2020-04-30 02:06:22
#GoodNewsOfTheDay: @BP_America is donating 3 MILLION gallons of jet fuel to @FedEx and @AlaskaAir to support rapid delivery of essential supplies to areas across the country most impacted by COVID-19. #InItTogether 🇺🇸 https://t.co/HSynxshypS,2020-04-29 19:44:22
"People showing up to work next week:
– Healthcare professionals
– Grocery store clerks
– Scientists
– Farmers
– Truckers
– Police Officers
– Manufacturers
– @realDonaldTrump
– The Senate

People NOT showing up to work next week:
– House Democrats

Tells you all you need to know.",2020-04-29 14:13:22
"And there it is. Hillary Clinton admits Dems are using the Coronavirus crisis to try to advance their radical socialist agenda:

""This would be a terrible crisis to waste.”

With all the destruction this virus has caused, all Dems can think of is how they capitalize on it. Sick. https://t.co/RSnCwK9ybQ",2020-04-29 00:11:41
"#GoodNewsOfTheDay → This company hired everyone back with a PPP loan.

""I’ve never had to let go of anyone or not pay anyone so like the rest of the employers it was devastating. Now that I can hire them back it's an unbelievable feeling,"" the owner said. https://t.co/FMMb0LL5SP",2020-04-28 23:09:05
"Congress has a growing list to work on—but Pelosi would rather draft bills in secret than get back to work &amp; lead America.

Essential workers everywhere are doing their jobs. @realDonaldTrump is doing his. The Senate will be working in DC next week. Pelosi’s House should be too.",2020-04-28 21:55:47
"Communist China lied to the world about Coronavirus and refused to let our experts in early to help stop the spread. Their cover-up caused global suffering and destroyed the entire world economy.

China must be held accountable. https://t.co/T7tO3H8XNB",2020-04-28 18:20:48
"#GoodNewsOfTheDay → This small business in Massachusetts was saved by the Paycheck Protection Program.

“PPP was a huge lifeline for me,"" said owner Joe Rizzo, who was able to re-hire furloughed employees with his PPP loan. https://t.co/mWs0hnwzjz",2020-04-27 22:47:12
"Nearly 500 frustrated small biz owners wrote to me last week about Dems' job-killing delays.

WATCH → @PressSec @KayleighMcEnany slams Pelosi &amp; Schumer for their obstruction that hurt workers &amp; small businesses—like one in Alabama that told me they were on the brink of layoffs. https://t.co/OxJxw8jQOD",2020-04-27 16:55:19
"🚨 Attention Small Businesses 🚨

After weeks of needless obstruction by Democrats, @SBAgov now has the funds to start accepting applications for job-saving Paycheck Protection Program loans again.

Get started here ↓ https://t.co/DSiZBwbO7f",2020-04-27 14:31:41
"Great news. → This small biz received a Paycheck Protection Program loan that saved its employees from layoffs.

1st Time Applying: Denied because Dems blocked funding to play partisan games.

2nd Time: @RepByrne’s office reached out to help—loan secured! https://t.co/dbe7btBwpp",2020-04-27 13:26:47
"THIS is the American spirit in action.

These workers spent a month straight working, sleeping, and eating at the factory to produce materials for N95 masks.

Honored to chat with them. I’ll be sending them some Louisiana gumbo to say THANK YOU!! The entire nation is grateful. 🇺🇸 https://t.co/TPx3r1q0MB",2020-04-26 22:11:19
"#GoodNewsOfTheDay → The Paycheck Protection Program is saving American small businesses.

""The PPP loan approval is a huge relief... We are looking forward to bringing all 46 team members back to work,"" says Richard Kenny of Forest View Lanes in Michigan. https://t.co/xEN9jOeRPN",2020-04-26 19:28:53
"#GoodNewsOfTheDay → @McDonalds is providing free “Thank You Meals” to health care workers, police officers, firefighters, and paramedics through May 5th. 
#InItTogether 🇺🇸🍔 https://t.co/WYVH5JKxAj",2020-04-25 23:25:31
