tweet,dates
Happy Mother's Day to all the incredible moms out there. We're thankful for all you do. https://t.co/A6DWTQvlY5,2020-05-10 15:56:43
Don’t forget to check out @NASA Administrator Live Chat with @COSI for the #COSISciFest. Learn about space and more fun at home activities with your families for this free #Ohio digital event. https://t.co/knfFQqAkct,2020-05-08 18:09:49
"The best thing we can do for small businesses is to safely get the economy back up and running. As #SmallBizWeek continues, and as Ohio slowly begins to open, let’s all do our part to safely support #SmallBusiness - our nation’s main job creators and drivers of our economy. https://t.co/suLlRZwiNe",2020-05-08 16:01:57
"Our communities are coming together in creative ways to make sure the birthdays during the #StaySafeOhio orders are still memorable experiences. In Upper Arlington, Col. George Michael was surprised by a great drive-by parade. https://t.co/UzmEqesofS #EveryEffortMatters",2020-05-08 13:22:13
"As we move forward in making a difference for all affected by #COVID19, we need to help families secure a safe place to call home. I'll continue leading efforts to find pragmatic solutions as Ranking Member of the @FinancialCmte Housing Subcommittee. More: https://t.co/aSvmqQWWqv",2020-05-07 23:03:59
"ATTN Ohioans: Right now, if you are healthy and able to get back to work, there are over 25,000 job opportunities available for you. To find out more on the openings, visit: https://t.co/wxsYyRFbh7 https://t.co/ANoNdPbfnn",2020-05-07 21:07:44
"A strong fight, Don. Stories like this, about our #OH15 neighbors beating #COVID19, are an inspiration to us all. Let’s all continue to do our part to prevent the spread. https://t.co/52w5oMEmP1'",2020-05-07 00:11:57
"On #NationalNursesDay a big ‘thank you’ all nurses who devote their time to healing others. As our nation works to defeat #COVID19, you have been incredibly impressive, working on the front lines. Your commitment is vital more vital than ever. https://t.co/TWUSFQJ2AK",2020-05-06 20:42:50
"As #GivingTuesdayNow comes to a close, I want to recognize the foodbanks in #OH15 who are serving their communities. Faced with unprecedented need, food donations are more important than ever. If able, consider giving food to an organization like @Mid_OHFoodbank or @SE_Ohio_FB https://t.co/XHNawr4Sdo",2020-05-06 00:14:54
BY TODAY ➡️ SSI recipients with dependents under age 17 and who didn’t file 2018 or 2019 taxes must enter more information on the IRS's website to receive their full benefits.,2020-05-05 15:17:58
"#EveryEffortMatters, like this generous tip to support an #OH15 bakery. It's great to see people supporting small businesses, and small businesses working to keep their employees on payroll and serve us all through this pandemic. https://t.co/Td4Ex7eqmG",2020-05-01 22:32:50
"As #Ohio slowly begins to open today, it is important we all continue to exercise best practices to stay healthy and prevent the spread. More on Ohio’s #restart is available here: https://t.co/oOupFX7Efk",2020-05-01 18:44:07
