tweet,dates
"Happy #MothersDay to all the amazing Moms across #KS02.

#ksleg https://t.co/XVsdffftPl",2020-05-10 16:03:03
"Today marks 75 years since Kansas' favorite son Dwight D. Eisenhower lead the greatest country on earth to victory over Europe in WWII. 

I am looking forward to the Eisenhower Memorial (@IStillLikeIke) opening on the National Mall later this year.  

#KS02 #ksleg https://t.co/OOCnjQPdZH",2020-05-08 15:19:35
"🚨 𝗛𝗮𝗽𝗽𝗲𝗻𝗶𝗻𝗴 𝗦𝗼𝗼𝗻 🚨 Join me for a townhall today at 3:40pm CT to discuss the impact #COVID19 has had on veterans and the @DeptVetAffairs

https://t.co/TyTSJBIbyF
 
#KS02 #ksleg",2020-05-07 20:07:51
"Today – and every day – I am praying for the health and safety of all Kansans. 
 
#NationalDayOfPrayer  
 
#KS02 #ksleg https://t.co/u6vVA53H7c",2020-05-07 16:18:29
"Join me tomorrow at 3:40pm CT for a special Telephone Town Hall with a policy expert from @HouseVetAffairs and CEO and Chief of Communications and Public Relations of @VAEasternKansas to discuss the impact #COVID19 has had on veterans and the @DeptVetAffairs. 
 
#KS02 #ksleg https://t.co/aMhTUjwndk",2020-05-06 23:58:13
"Glad I could join KGGF of #SEKS to talk a host of topics from reopening our country to the federal response to the Coronavirus. 
 
I'm always fighting for you.
 
Listen to the full interview here: 
https://t.co/9onrociXKK
 
#KS02 #ksleg https://t.co/nK1Z0ASRxj",2020-05-06 22:17:36
"This week is #PublicServiceRecognitionWeek and my @HouseVetAffairs colleagues and I say thank you to all the workers at the @DeptVetAffairs in Kansas and all across the United States. 

#KS02 #ksleg https://t.co/FsfiaqVap3",2020-05-06 19:32:20
"Today on #NationalNursesDay, join me in thanking #TheRealHeroes on the front lines of this war. 

#ThankYouNurses 

#KS02 #ksleg #NationalNursesWeek https://t.co/C5ydoWKOQc",2020-05-06 14:40:02
"Glad I could join @KFRR_Official to discuss my thoughts on reopening the Kansas economy, @realDonaldTrump's executive order on meat packing plants, and all my work on behalf of our incredible farmers. 
 
Listen to the full interview ⬇️
 
#KS02 #ksleg https://t.co/6BzidEmiNP",2020-05-05 22:28:11
"My mom and sister are both teachers and I know how hard they work every day to inspire our children to become the best versions of themselves. 
 
Join me in thanking our hard-working educators on this #NationalTeachersDay  
 
#KS02 #ksleg https://t.co/6BowQGnzhh https://t.co/h7zZp485mX",2020-05-05 20:04:54
"Heads up, Vets! 
 
Today is the last day to claim your dependents and/or submit your Non-Filer form. 
 
More important info below ⬇️
 
#KS02 #ksleg https://t.co/EH32ZfoYdE",2020-05-05 17:25:05
"ICYMI: I spoke to the @WhiteHouse over the weekend about the new PPE heading to KS to help fight #COVID19. I'm proud to be working with @realDonaldTrump, @VP, and the Coronavirus Task Force to deliver this PPE to our frontline heroes. 
 
https://t.co/1eDZdYFdeu
 
#KS02 #ksleg",2020-05-05 14:42:59
