tweet,dates
"Great to see Steuart Walton, Chairman of the Arkansas Economic Recovery Task Force, join @PeteHegseth and share updates on Arkansas’s recovery plans, as well as yesterday’s flyover for frontline workers. AR is united in working together to reopen safely. https://t.co/qVcBrM3h6K",2020-05-10 17:23:46
Happy Mother's Day to all the wonderful and hardworking moms of the Third District. Thank you for all that you do! #HappyMothersDay https://t.co/zbEC4npTni,2020-05-10 14:03:47
"Right now, the “Arkansas: A United State” flyover is taking place to honor our frontline workers, patients, and those lost to this virus. A meaningful salute to the heroes who are working to keep our communities safe and healthy. Flight path: https://t.co/Z1wjWWgSaO #ARStrong https://t.co/EGSdDxWm8O",2020-05-09 14:35:32
"The votes are in! The winner of our People's Choice Award for #AR3's 2020 Congressional Art Competition is Cassie Jankowski of Flippin. Her piece, entitled ""What Love Looks Like?,"" was picked by #AR3 residents via online vote. Congratulations!! https://t.co/YoPUxxmCew",2020-05-08 18:07:03
"#VEDay75 Gen Eisenhower: “The mission of this Allied Force was fulfilled at 0241, local time, May 7, 1945.” The surrender took effect May 8. With the fate of the free world on the line, the #GreatestGeneration answered the call of duty &amp; completed their mission in Europe. #Heroes https://t.co/Myr66amHxj",2020-05-08 17:52:01
"Today, Little Rock Air Force Base aviators will perform a flyover to honor our frontline responders. The salute will start around 2 p.m. and go over different parts of Arkansas. Check out the flight path to see estimated times to watch in #AR3. https://t.co/35zmHOJJ6J #ARStrong https://t.co/lepfuWvAca",2020-05-08 15:16:00
"In both good and difficult times, our nation has always turned to prayer. On this National Day of Prayer, we reflect on the power of prayer and lift up our voices together. Let us pray for America, our frontline heroes, and for the health of our families. #NationalDayOfPrayer https://t.co/BVxwvH1kOK",2020-05-07 15:19:55
"Appreciated joining @TyeSportsRadio and @tommycraftespn on @HitThatLineAR to talk about the pandemic, CARES Act, budget issues, and more. Thanks for having me on the show! Listen to the segment by clicking the link: https://t.co/zOriQhr84M",2020-05-06 20:57:12
"ICYMI: Arkansas was awarded $8.1 million in Community Development Block Grant funding to support the prevention, preparation, and response to the coronavirus pandemic. These additional resources will help better serve Arkansans in need. @TimesRecord 
https://t.co/vsMTg3u0KZ",2020-05-06 19:40:03
"#ThankYouNurses: To our heroes behind masks, wearing scrubs, and working countless hours to care for patients across the nation - THANK YOU. Your hard work, compassion &amp; support does not go unnoticed. Today and every day, #AR3 is grateful for all that you do. #NationalNursesDay https://t.co/0MbFXT3iGd",2020-05-06 15:08:58
