tweet,dates
"Every May, we recognize our incredible mothers. We are indebted to their sacrifice, inspired by their wisdom and emboldened by their love.
 
This #MothersDay, let us remember to hold our loved ones extra close during this difficult time. https://t.co/ZMLHWAadwu",2020-05-10 15:34:12
"For years, #SiegfriedandRoy were synonymous with the spectacle and innovation of entertainment in Las Vegas. This weekend, my hometown is mourning the loss of Roy Horn — my prayers go out to Roy’s family and to Siegfried as they grieve his passing.  

https://t.co/OrFm8ioXsq",2020-05-09 17:37:36
"In the coming days, the Supreme Court will decide the future of #DACA. If you are a recipient, don’t wait. Reach out to @dreambignv and renew your DACA now.  
 
While the future is uncertain, I’ll always fight to #ProtectTheDream. https://t.co/h5FPPvwbei",2020-05-08 23:00:21
"Today marks the 75 year anniversary of #VEDay – the end of #WWII in Europe.

I am so thankful for the servicemembers – and the allies who fought alongside them – for their bravery. It is an honor every day to represent the 58,000 veterans of my district in Congress. #VEDay75 https://t.co/hPK9TKhlUK",2020-05-08 15:33:36
"Do you own a #smallbusiness in #Nevada? 

Join me, @SBA_Nevada, @UrbanChamber, @lvlcc, and @LasVegasACC for a tele-town hall on the assistance available to you during the #COVID19 pandemic.

📞➡️ (855)-731-4611 https://t.co/wTcknybf5N",2020-05-07 18:25:22
"For those who turn to faith during these challenging and uncertain times, please join me and several community faith leaders in Nevada for a virtual day of prayer.
 
Tune in TODAY at 4:30pm: https://t.co/xuGWcyOxAt https://t.co/ge637YWKGz",2020-05-07 18:07:02
"This is why I’m pushing for measures that help protect workers and their ability to have their wages restored, including the #PaycheckGuaranteeAct to pay workers, my Worker Health Protection Act to cover 100 percent of their #COBRA health care costs, and MORE #directpayments. https://t.co/YFl7UdSaqC",2020-05-07 14:33:19
"Jobs report indicate that 51.3% of the workers in the hospitality and leisure sector have lost their jobs. 

Historically, these hardworking people are some of the lowest paid—and the most impacted during the economic downturn of the #COVID19 pandemic.

https://t.co/XSk8XnlPdI",2020-05-07 14:20:14
"#TravelandTourismWeek may look different this year, but we must still honor Nevada’s workforce that has made our city so welcoming to visitors for decades.",2020-05-06 22:20:57
"If you are one of Nevada’s hardworking barbers or cosmetologists, join me, @SBA_Nevada, and @CDFI TODAY at 5:30 pm PST for a webinar on applying for PPP. 

RSVP now: https://t.co/jKDRhuiuK8 https://t.co/0ZKwakvBiJ",2020-05-06 15:46:55
"In times of crisis, true heroes rise to help those in need.
 
Happy #NationalNursesWeek to the dedicated Nevadans protecting our communities on the frontlines of the #COVID19 pandemic every day.
 
Thank you. 🏥 https://t.co/WgMqWh0kYD",2020-05-06 15:18:37
"La historia de #CincodeMayo es una de las victorias de una milicia mexicana mal equipada sobre el ejército imperial francés. 158 años después, aún celebramos este triunfo y reconocemos la comunidad latina fuerte y enérgica de nuestro país.",2020-05-05 19:15:30
"The story of #CincodeMayo is one of victory of an ill-equipped Mexican militia over the Imperial French Army. 158 years later, we still celebrate this triumph and recognize our country's strong, spirited Latino community.",2020-05-05 19:14:54
"This month, and every month, we pay tribute to our Jewish American communities across the country and continue our fight against the evils of anti-Semitism together. https://t.co/Ja4DcSeWhF",2020-05-05 15:14:53
"The month of May is Jewish American Heritage Month. With this month, we pay tribute to the millions of Jewish Americans who have worked to make our country stronger, safer, and more prosperous.",2020-05-05 15:14:48
"🚨 ATTN, #LasVegas! 🚨

Drive-thru #COVID19 testing is available today and tomorrow at the @orleanscasino between 8 a.m. and 4 p.m. 

Appointments can be made at https://t.co/Xm8rpgvpQM

https://t.co/qKZebbi6JS",2020-05-05 14:26:09
"I am proud to announce that #Nevada will be receiving more than $2.4 million for the Emergency Food and Shelter program coordinated through #FEMA to assist with the needs of Nevadans in the #coronavirus pandemic.

MORE INFO: https://t.co/9SQM2KIF6t https://t.co/03EkprlkPf",2020-05-04 21:38:50
"Today, I joined @RepSchneider, @NydiaVelazquez and @RepMikeQuigley to call on the @SBAgov to accept new EIDL applicants and provide current applicants with a loan status update.

I implore the SBA to safeguard access to these funds for small businesses in dire need of support. https://t.co/j3s9GPaFwH",2020-05-04 20:29:26
"Expanding testing is vital to preparing our country and our state to reopen businesses and navigate to a new normal. 

I am pleased to see that the Nevada National Guard is providing two additional testing sites for Nevadans to access in the coming days. https://t.co/f3IA7Hw1eJ",2020-05-04 20:15:17
"I am grateful for our amazing teachers who are providing students with high-quality education and a safe place to learn, especially during these challenging times.
 
Help me celebrate #TeacherAppreciationWeek and honor the hard work and dedication of our educators. https://t.co/TLqXRthYRC",2020-05-04 18:03:41
"Tomorrow at 2 p.m. ET I will be live on @FairCount’s Facebook page with @StaceyAbrams, @AyannaPressley, @RepMaxineWaters, and @RepKarenBass for an episode of Undercounted: Young, Black, &amp; Fed Up, a three-part Facebook series.
 
Sign up to join us: https://t.co/RCD7zCnu9q",2020-05-04 17:03:22
The Emergency Rental Assistance and Rental Market Act will ensure Nevadans can keep the roof over their families’ heads while we grapple with the global #COVID19 pandemic. I am proud to support this legislation. https://t.co/ZziuzI1yDk,2020-05-04 15:58:40
"59 years ago today, 13 courageous Americans started a dangerous journey through the segregated south, including my friend @RepJohnLewis.
 
To honor the #FreedomRiders, I commit myself every day to their fight for justice and equality, especially as we face a global crisis. https://t.co/QibfGNcZiS",2020-05-04 14:42:00
"I am so proud of my community and its local leaders for ensuring those that are the most vulnerable have access to the testing they need. This should set an example for the extensive testing our country needs to recover from this pandemic.

https://t.co/oGfuPmRoS1",2020-05-04 14:22:58
"The #2020Census will be the most critical count of our lifetime. Join me and my colleagues from @FairCount on May 5th on Facebook to find out why our Black community plays a key role in securing federal funds to support our schools, hospitals, and roads. https://t.co/6CLV5TGggP",2020-05-01 21:57:31
"Today marks the first day of #APAHM. We cannot share the history of the United States without mentioning the great contributions of our Asian American, Native Hawaii, and Pacific Islander (AANHPI) community and we must take time to celebrate. https://t.co/JyZDGDooIX",2020-05-01 20:16:13
"Roughly 400,000 Nevadans have already filed for unemployment insurance benefits, and many in our workforce may not have jobs to return to at the end of this pandemic. 

The Relaunching America’s Workforce Act is the solution our workforce needs.

FOR MORE: https://t.co/9W0HTmsskH https://t.co/wzeposCqNU",2020-05-01 19:02:01
"Responding to the #2020Census is one of  the most effective  ways you can help our community get the critical resources and funding it needs to prepare for future crises. 

There's still time to respond:
✉️By mail
📞By phone 
💻Online at https://t.co/uvGSm88k4P",2020-05-01 18:22:42
"Census Day was one month ago today and so far around 54% of #CD4 responded to the #2020Census. There’s still time to complete the 2020 Census by mail, phone, or at https://t.co/uvGSm7QIGf and help our community get the resources that it needs for hospitals and schools.",2020-05-01 18:22:28
"Frontline workers at our grocery stores, delivery services, restaurants, gas stations and corporations deserve PPE, paid leave and quality health care to keep themselves and their families safe during this time. I stand with our nation’s workers, on #MayDay and every day. https://t.co/7DcdM6yn0G",2020-05-01 18:07:03
"Now more than ever, we rely on the dedication and vigilance of the workers keeping our communities functioning in the face of the #COVID19 pandemic.",2020-05-01 18:06:54
"States like #Nevada, that have been the hardest hit, should not be penalized for helping to keep their families and small businesses afloat in the face of a global pandemic.

https://t.co/SUPQNaGJY9",2020-05-01 14:16:45
#COVID19 has made the health disparities that have long existed in America all the more apparent. That’s why I’m standing with @CAPAC @HispanicCaucus @TheBlackCaucus during #MinorityHealthMonth to take on the structural inequalities that contribute to these disparities. #NMHM2020,2020-04-30 21:03:27
"#HealthDisparities in communities of color are caused by:
- Lack of access to healthy food
- Inadequate medical care
- Pollution &amp; environmental factors
Now more than ever we must fight these systemic injustices. 
#MinorityHealthMonth #NMHM2020",2020-04-30 21:03:14
"Today, I am hosting my second weekly coronavirus community conversation for folks living in Mesquite! 

However, the information can be helpful for all Nevadans who may have questions. 

You can listen in here: https://t.co/7FuRVc45Ea",2020-04-30 19:05:40
