tweet,dates
"Wishing my mother, and all of the other great women who are also called mom, a Happy Mother’s Day! Thanks for everything you’ve done and continue to do! ⁣
⁣
Please be sure to keep everyone who is not able to be with their mother today on your heart. ⁣
⁣
Proverbs 31:25 https://t.co/QtdeDUn0fl",2020-05-10 14:55:24
"The @RedCross faces a severe blood shortage due to an unprecedented number of blood drive cancellations during this #coronavirus outbreak. Healthy individuals are urged to donate now to help patients counting on lifesaving blood. 

Make an appt: https://t.co/00geRtiTL5 #COVID19",2020-05-09 14:02:00
"Unfortunately, the 2020 hurricane season is predicted to be very active. Now is the time to review your flood insurance policy and ensure your family has a preparedness plan. 

https://t.co/Ma0P4dpjy7 https://t.co/EL5FBNiRcf",2020-05-09 13:15:00
"#GoodNewsOfTheDay members of @nationalguardMS cheered on our health care heroes at @ForrestGeneral as the day and night shift workers clocked in and out of work. We are all so thankful for our doctors, nurses, and many other health care workers. 🇺🇸

#HeroesSupportingHeroes https://t.co/xWZcGHWEyS",2020-05-08 21:07:42
REMINDER: The deadline to submit artwork into the MS-04 Congressional Art Competition is today at 5 p.m. Visit the link below for more information. https://t.co/HTTg9Ny7xr,2020-05-08 19:50:26
WATCH: Gov. Reeves discusses latest plans against COVID-19 as state continues to reopen https://t.co/LBVuvd2RCN,2020-05-08 19:32:54
"Today we celebrate the 75th anniversary of the heroic victory in Europe in WWII. Let us remember the sacrifices of those who gave their life to fight against tyranny. 

We are a free nation because of such brave individuals. #VEDay75 🇺🇸 https://t.co/cn9El1tDzz",2020-05-08 18:31:04
"Out in our community today supporting Mississippi’s small businesses! If you visit a local restaurant or business, please be sure to wear protective gear for your safety as well as those around you. #StaySafe #BuyLocal #SupportMississippi https://t.co/Vihw7unuJu",2020-05-08 16:29:54
"As a result of the #CARESAct Mississippi will receive $1.5M in fisheries assistance for being negatively impacted by COVID-19. 

The funds will funds to address direct or indirect fishery-related losses and support our Mississippi fishermen. 

MORE: https://t.co/9yjOdXsIk6",2020-05-08 13:24:54
"The seafood industry is currently facing an unprecedented collapse in demand because of the coronavirus. I am proud to co-lead a letter with my colleagues in Congress, urging for support of Mississippi's seafood industry in the next relief package.

MORE: https://t.co/P0qrPaeaCD https://t.co/UkypXD1Uk3",2020-05-07 22:11:04
"I join millions around America in recognizing #NationalDayofPrayer 

Today, I pray for the health and safety of our fellow Americans. I pray for the many brave and heroic individuals around our country who are battling this pandemic. 

We are stronger together &amp; in prayer. 🇺🇸 https://t.co/7olUILbV2q",2020-05-07 20:36:05
"Mississippians can now buy meat, produce directly from farms amid COVID-19. Here’s how. https://t.co/wn3pR3oWW4",2020-05-07 19:51:55
"LIVE with @MSyallpolitics @frankcorder talking about the coronavirus and how Mississippi and the rest of America will move forward in the wake of this virus. 

https://t.co/cIl6KKuQx8",2020-05-07 15:03:56
"The IRS's ""Get My Payment"" tool enables taxpayers to check on their Economic Impact Payment date and update direct deposit information.

The portal &amp; FAQs on these payments can be accessed here: https://t.co/3iiOt7CqgU",2020-05-07 14:59:00
"Mississippi has received: 

🔘1,873 coveralls 
🔘259,438 gloves (more coming)
🔘95,282 surgical gowns 
🔘321,711 surgical masks 
🔘59,983 face shields 
🔘346,665 N95 respirators 

We appreciate the support from @realDonaldTrump Administration! https://t.co/IKcgZo7c9Z",2020-05-07 14:11:54
"At 10 am today, I’ll be joining @MSyallpolitics for a Facebook Live interview discussing how Mississippi and the rest of America move forward in the wake of a global pandemic. 

TUNE IN: https://t.co/W2cKJrEEHb https://t.co/lVBqbDBkhg",2020-05-07 13:13:19
