tweet,dates
"Nearly $200,000 has been awarded to @unetweets to increase telehealth capabilities in response to COVID-19. This funding will help UNE reach seniors in rural communities by providing medical professionals with the telemedicine tools they need to safely care for their patients.",2020-05-20 16:26:01
COVID-19 has made it challenging for seniors &amp; low-income families to travel to purchase food. @SenAngusKing &amp; I joined a bipartisan group of our colleagues in calling on the USDA to further expand delivery &amp; curbside pickup options for SNAP participants during this pandemic. https://t.co/CkgmkKRaRn,2020-05-20 13:54:46
"The Senate passed a bill to ensure families of first responders who have lost their lives to COVID-19 can access survivor benefits without facing unnecessary hurdles. First responders are working selflessly to keep our communities safe, &amp; we must protect &amp; care for their families https://t.co/VfgPBy2ytF",2020-05-19 20:07:55
"May is Lyme Disease Awareness Month. With more people spending time outdoors due to COVID-19, I urge everyone to take precautions to protect against tick-borne diseases. The Tick Act, a new law I wrote, will help by providing $150 million to fight ticks.

https://t.co/TKmzv1nEdR",2020-05-19 17:14:41
"The Postal Service is the linchpin of the mailing industry &amp; the focal point of many rural communities. @SenFeinstein &amp; I led a bipartisan group calling for relief for USPS &amp; additional safety protections for employees in the next COVID-19 package.

https://t.co/ftq6xGJ7M6",2020-05-19 13:45:51
"Helping people with diabetes manage the disease &amp; avoid hospitalization is always a top priority, &amp; it is even more important during this pandemic. I joined a bipartisan group calling on CMS to expand access to tools that help Medicare beneficiaries with diabetes stay healthy. https://t.co/NeThG8oIbg",2020-05-19 11:40:55
"During the COVID-19 pandemic, there may be increased risk for elder abuse. To help protect seniors, @SenatorMenendez, @ChuckGrassley, &amp; I introduced a bill to help provide professionals with training for cases where the victim or a witness has Alzheimer’s. https://t.co/n8eYvSHKPd",2020-05-18 22:15:37
"On a Zoom conference call this morning, @GovJanetMills &amp; the Maine delegation discussed our ongoing joint efforts to combat COVID-19 &amp; the threat it poses to the health of our citizens &amp; communities. We will continue to work closely together to advocate on behalf of all Mainers.",2020-05-18 19:22:52
"Today, I'm joining a bipartisan group in introducing the SMART Act - a $500 billion rescue package for state &amp; local governments hurt by COVID-19. 

Under our bill, Maine would receive at least $2 billion, which builds on the $1.25 billion we received from the CARES Act.",2020-05-18 16:17:38
I have long been a strong advocate for the Inspectors General.  They are vital partners in Congress’s effort to identify inefficient or ineffective government programs and to root out fraud and other wrongdoing.,2020-05-17 02:13:38
"According to the @AP, a Census Bureau survey showed that nearly 2/3 of small businesses in Maine have received forgivable PPP loans, among the highest in the nation.",2020-05-16 15:28:44
The proliferation of scams exploiting older Americans’ anxiety about COVID-19 underscores the ruthlessness of con artists. @SenatorSinema &amp; I introduced a resolution for National Senior Fraud Awareness Day to emphasize the need to raise awareness about scams &amp; stop criminals. https://t.co/FNsQDaZCiq,2020-05-15 22:18:35
"#NationalPoliceWeek is a time to thank law enforcement officers &amp; reflect upon the sacrifices they make every day to keep our communities safe. 
 
https://t.co/AK0FIkysBB",2020-05-15 15:12:14
"As USDA implements the Coronavirus Food Assistance Program, @SenSherrodBrown, @SenStabenow, &amp; I led a bipartisan group urging them to adopt a plan that reaches all local producers, including new farmers, to help minimize the burden COVID-19 has placed on our agriculture sector. https://t.co/e9xFGCVEr0",2020-05-14 16:04:25
"#BREAKING: Maine is receiving $52,673,451 to purchase, administer, and expand capacity for COVID-19 testing.

https://t.co/RrpyUeQtuT",2020-05-13 17:35:04
"Tragically, COVID-19 has claimed the lives of a disproportionate number of nursing home residents. We must do more to protect vulnerable seniors. @SenatorSinema &amp; I outlined our recommendations for a new Commission that will help protect older adults in nursing homes. https://t.co/FrRjXceTdu",2020-05-13 13:24:00
"My experienced staff at my six constituent service centers are continuing to assist thousands of Mainers during this difficult time. If you need help with a federal agency or if you’re looking for information on the COVID-19 response, please visit https://t.co/GC3gCHb2fx. https://t.co/w5Bp0cuI1s",2020-05-12 23:26:50
"HHS must use an evidence-based approach to distribute medicines to treat COVID-19, such as the emergency drug Remdesivir. At a hearing today, I raised this issue with the FDA Commissioner to help ensure that patients at Maine hospitals are able to access these treatments. https://t.co/um8aUPWf99",2020-05-12 19:59:48
Bipartisan cooperation is needed now more than ever to confront the unprecedented crisis facing our nation. I am honored that my work to bring together people on both sides of the aisle was reflected in the Lugar Center and Georgetown University’s Bipartisan Index. https://t.co/mNCI1mKlyI,2020-05-12 13:22:41
