tweet,dates
Happy Mother’s Day to all of the moms holding it together through these difficult times in #PA07 — today is your day. Thank you for pushing through! 💐 https://t.co/i5qpLOns3J,2020-05-10 16:36:09
"Today is #MilitarySpouseAppreciationDay which makes me think of my mom, an Air Force wife who sacrificed so many years of her life for the good of the country, in support of my dad, who joined #USAF at age 17, and served until his 60th bday. It wasn’t easy, especially on mom.",2020-05-09 00:47:37
"We must act NOW!

Without action, federal cuts to the Children's Health Insurance Program will take effect in October –– at a time of crisis, when families need coverage most. That's why I'm leading a bipartisan bill with @RepBrianFitz to protect #CHIP and protect our kids. https://t.co/JklDlA84V3",2020-05-08 18:52:40
"MYTH: If you send a card, then it’s okay not to call your mom on Mother’s Day.

FACT: PA has no excuse needed mail-in ballots for the 1st time ever &amp; registering is easy.

Please, call your mom on Sunday AND register for a mail-in ballot before May 26. 
https://t.co/XRjKkHv4KG",2020-05-08 14:40:04
"Today, I was happy to join @PPLElectric as the keynote speaker for their Mental Health Lunch. 

#MoreThanEverBefore, our mental health deserves the same attention as our physical health. It’s okay to ask for help when you need it. We all do better when we see we are not alone.",2020-05-07 22:44:36
"Proud to join this effort w/ @RepKClark &amp; our colleagues who know that investing in child care is a down payment on our future economy. 

We need to provide desperately needed relief to our child care industry hard hit by #COVID19 &amp; support affordable child care long term. https://t.co/5dzKwRK6q8",2020-05-07 18:39:02
"Under the #CARESAct, we created a new temporary federal program called Pandemic Unemployment Assistance (PUA) which provides unemployment benefits to individuals not eligible for regular unemployment compensation. As of today, this system is up and running in PA! 

File⬇️ https://t.co/xPCIhqY7Te",2020-05-07 16:05:59
"Endangering the health care of millions in the middle of a pandemic is pure politics &gt; policy. Millions of Pennsylvanians rely on ACA protections &amp; in this extreme hour of need they cannot be ripped away. 

This lawsuit needs to be dropped.https://t.co/QBIumiq7Mk",2020-05-06 23:26:22
"In the face of this crisis, we turn to our health care heroes to get us through –– especially our nurses, who are working day in and day out, putting themselves at risk for OUR health and safety.

Happy #NationalNursesDay, #PA07. We are grateful for your service, now and always. https://t.co/u2DGVq7JBL",2020-05-06 20:05:41
".@BetsyDeVosED, a pandemic has turned students' lives upside-down. We should be spending our time ensuring students have the support they need to succeed in school, not rolling back the rights of survivors.

Now is not the time to release the #TitleIX rule.https://t.co/kxG8B5lC0R",2020-05-06 19:31:05
"In early April, the @CrisisTextLine reported a 47-116% increase in texts per day. 

This pandemic has made the mental health crisis even worse — especially among young people, whose futures have been upended. Let’s equip colleges to respond to this crisis.
https://t.co/zm1P0CeZKX",2020-05-06 18:17:36
"Even us dog people agree: no one should be able to profit off mistreating big cats. With everyone at home and watching #TigerKing, this is an issue we’ve heard about from MANY constituents – let’s finally pass the #BigCatPublicSafetyAct! https://t.co/xf5aRttAAh",2020-05-06 17:44:09
"I know firsthand how complex the FASFA completion process can be – &amp; how that financial assistance can be the difference between attending college &amp; not. To help you through this process, @PHEAAaid is offering FASFA completion support every Wed. in May from 9AM-4PM.
 
More info⬇ https://t.co/xJR48jVMcd",2020-05-06 14:52:23
"Reason number one million why I love being on the @EdLaborCmte: I get to advocate for our schools to receive the support they need (and deserve) to get through these unprecedented times. 

We're in this together. https://t.co/Tlz0RAldqg",2020-05-05 19:56:39
"Thanks to @RepJeffries for joining me yesterday to talk public health, the economy, &amp; priorities for the next federal #COVID19 relief package.

The only way we get through this crisis &amp; begin to rebuild is by listening to our communities &amp; working together.https://t.co/ZaYT1GtQ8U",2020-05-05 18:30:00
"My mask protects you, your mask protects me.😷

Making sure all workers have access to the PPE (masks, hand sanitizer, thermometers, etc.) they need to stay safe is critical.

Get connected with Pennsylvanians who can lend a hand (or in this case, a mask)⬇️https://t.co/NGdrWDmkDj",2020-05-05 17:15:00
"Our schools w/ the most need deserve the most support. I'm proud that through the CARES Act, @AllentownSD will receive $9.8M to help get their students through this crisis &amp; support their incredible staff as we plan for a new year of unforeseen challenges.https://t.co/bdMlfRokzx",2020-05-05 15:16:03
Looking forward to joining this afternoon! Link to join our conversation below ⬇️ https://t.co/NeHCnRVgDz,2020-05-05 14:25:04
"This #TeacherAppreciationWeek, I want to recognize all of the teachers going above and beyond in PA-07. 

Schools may be closed but our teachers are continuing to show up for our students during this hard time. #SendTeachersLove and let them know how much you appreciate them! https://t.co/vT6AeULret",2020-05-04 19:11:09
"Responding to the #2020Census is one of the most effective ways you can help our community get the critical resources and funding it needs to prepare for future crises.
 
There's still time to respond:
 
✉️By mail
📞By phone
💻Online at https://t.co/lAs0kSOyXX https://t.co/yaBuG7LqXX",2020-05-03 21:18:39
"Nearly half of Americans report that #COVID19 has negatively impacted their mental health. Just like washing our hands &amp; social distancing, caring for our mental health is absolutely essential.

Don’t be afraid to reach out for help. Your mental health matters. #MentalHealthMonth https://t.co/fUuAoU6Hkb",2020-05-01 20:46:25
"Our postal workers are on the frontlines of this #COVID19 crisis – working diligently to serve our communities in need. For all of them, I’m proud to support the Protect Our Post Offices Act and get these workers the immediate emergency relief they deserve and save the USPS. https://t.co/GcmWNTt4Vt",2020-05-01 19:06:45
"Throughout this #COVID19 crisis, I’ve heard from thousands of first responders, frontline medical professionals, teachers, small businesses owners, &amp; essential workers.
 
Today, I’m joining the @EdLaborCmte for a virtual forum to share your challenges, your stories, &amp; your needs.",2020-05-01 17:29:49
"DEADLINE: If you receive SSI AND have children under the age of 17, you’ll need to complete the IRS form below by MAY 5 to receive the $500 economic impact payment per eligible child. ⬇️ https://t.co/t0prWLbSUD",2020-04-30 18:46:42
"Absolutely no one should go hungry. There are food pantries, grab-and-go meals for families &amp; seniors, &amp; school districts providing meals for those in need throughout the #PA07 community. 

No one is in this alone. For all of your resources &amp; food options👇https://t.co/pmLyNu0jfc",2020-04-30 16:04:17
"To be clear – This funding is for SMALL businesses to pay employees *not* for massive corporations to pay executives. 

For small businesses this $$ is the difference between open doors &amp; closed doors. This is why we need oversight in the next aid package.
https://t.co/lyxxSHnng8",2020-04-30 14:30:02
Proud to join my colleagues in calling attention to this. I am deeply concerned about lack of resources for our smaller cities and municipalities –– we cannot leave them without direct access to support. https://t.co/jCFmEoe92f,2020-04-29 20:57:00
"On this #WorkersMemorialDay, against the backdrop of #COVID19, we honor those who have lost their lives on the job. We'll never be able to fully thank our workers for keeping our country moving through this crisis –– but we can start by prioritizing legislation to keep them safe. https://t.co/rkAfwGWRX0",2020-04-28 22:14:49
"A truly nonpartisan issue: ending the #SpottedLanternfly. 
 
These #badbugs could cost us $18 billion a year statewide – last October we even had to draft a Congressional letter to step up funding to fight against their impact on Pennsylvanians. 
 
If you see them, squash them! https://t.co/xclmfskha0",2020-04-28 21:23:52
"The top question I hear from folks right now is, “Where is my Economic Impact Payment?” 

That’s why I put together all the resources we currently have about where your payment is &amp; what next steps to take. I'll keep this page updated as new info comes in👇https://t.co/TXjKdyxETr",2020-04-27 19:57:26
"Lifesaving prescription drugs are useless if you can't afford them. Millions live w/ conditions worsened by COVID19, making temporary price caps on certain drugs vital for survival.

Big Pharma’s profits shouldn't dictate who lives &amp; dies. 

And that’s what I wrote in my letter👇 https://t.co/CGfyVZy0KX",2020-04-27 18:54:22
"I'm constantly uplifted by the strength of our community to pull each other through this. 

As Mister Rogers said, “When I would see scary things in the news, my mother would say to me, 'Look for the helpers. You will always find people who are helping.'""
https://t.co/CyuxzmvFC8",2020-04-27 17:52:27
"A fundamental federal constitutional right to an education that ensures basic literacy.  What a novel idea!  @BetsyDeVosED as a member of House Ed &amp; Labor, happy to work on this with you! https://t.co/7IvgS77D86",2020-04-27 10:11:39
"Our state's strategy is working - but only because Pennsylvanians are MAKING it work. Social distancing &amp; limiting ourselves to only essential trips has saved lives. 

Thank you for staying home &amp; protecting our grandparents, siblings, friends, &amp; neighbors.https://t.co/2PxMkKEgHW",2020-04-24 20:24:54
"The House just passed a funding package to help our small businesses and local hospitals get the resources they desperately need.

There is still so much left to be done, but our #PA07 community is resilient. Step by step, we’ll keep pushing and get through this crisis together. https://t.co/SyfEKoGOHj",2020-04-23 23:11:56
"Now more than ever it is so important to remember the power of faith, community, and the values of hope &amp; compassion. 
 
Wishing a blessed month to all observing #Ramadan in #PA07, finding new ways to come together while being apart. 
https://t.co/IOxQeEnVRQ",2020-04-23 21:31:19
"Today, I’m voting on a relief package that provides resources Pennsylvanians desperately need to protect their lives &amp; livelihoods. We're talking:

➡️$370B to support small businesses 
➡️$75B for our hospitals &amp; health care workers 
➡️$25B for testing https://t.co/USFzveUHoi",2020-04-23 19:23:17
Pennsylvanians stick together –– even when 6 ft apart! @RepMGS and I are in the House and ready to vote to support our small businesses and health care workers! https://t.co/tmnqy3Frlp,2020-04-23 18:42:57
"On this #EarthDay in the midst of a pandemic, we're reminded of the dire need to listen to scientists in order to protect our planet. As a co-chair of the @NewDemCoalition Climate Task Force, I'll always work to preserve our Earth for generations to come.https://t.co/eeg2gS79fK",2020-04-22 20:30:00
"Have questions about your stimulus check? Check out this discussion with the IRS regarding Economic Impact Payment open to all Americans.

Pre-registration is required. 👇👇 https://t.co/84hO6Btt7D",2020-04-22 19:46:25
"Every American deserves health care – especially during a public health crisis.

That’s why I’m co-leading ANOTHER effort to open the enrollment period during this pandemic — and I’ll keep working to ensure everyone who needs coverage can get it.https://t.co/hADsV0MMjg",2020-04-22 17:25:38
"As we remember the 6 million lives stolen during the Holocaust, may we #NeverForget one of history's darkest hours—never repeating it and always speaking out against hate &amp; anti-Semitism. #HolocaustRememberanceDay #YomHaShoah https://t.co/Zp3x7uL3jb",2020-04-21 23:59:53
"DEADLINE: If you do NOT normally file a tax return, you must register using the IRS non-filer tool by noon on April 22 (tomorrow!) in order to receive $500 per eligible child through the direct cash payment program. 

Register⬇️
https://t.co/p0xXGKXSeb",2020-04-21 20:31:12
"It's impossible for the 1.7M+ SNAP recipients in PA to order food &amp; have it delivered—putting those who rely on SNAP at higher risk of #COVID19.

That's why I cosponsored the SNAP Online Purchasing Flexibility Act, enabling SNAP recipients nationwide to make online purchases.⬇️ https://t.co/mR6gSvladU",2020-04-21 16:41:43
"Thrilled to see that our veterans and their families who did not file tax returns for 2018 or 2019 are eligible to receive their Economic Impact Payments automatically. 

More info on this &amp; how to ensure you get the full payment you qualify for ⬇️ https://t.co/Wrcplt2MOO",2020-04-20 20:54:42
"Throughout this pandemic, I've been deeply grateful to serve alongside these 3 women. Together, we are working to help get Pennsylvanians through this crisis. 

We’re going live on Facebook @4PM to share stories of strength from each of our communities &amp; give a #COVID19 update.👇 https://t.co/maxohV4ANE",2020-04-20 17:10:02
"Child care is a vital service for working families &amp; providers need relief to continue serving our communities.
 
I'm thrilled that PA will receive $106M+ in funding through the CARES Act to support our state's crucial child care providers during #COVID19.
https://t.co/2FAEGthWjR",2020-04-20 16:00:01
"The #COVID19 pandemic has affected every aspect of life in #PA07 – I know the uncertainty that this crisis presents is difficult for you and your loved ones. @GovernorTomWolf has released his plan for PA as we move forward. Read about it here ⬇️

https://t.co/TOSHJuQRPS",2020-04-20 15:07:12
"Our students are facing an unprecedented level of uncertainty about their education – continuing their education online, securing financial aid, paying for housing, food, or child care, &amp; staying mentally healthy. For resources to help navigate this time👇https://t.co/64XpliSlLL",2020-04-17 20:14:07
