tweet,dates
Lower income households are bearing the brunt of #COVID19 both in terms of their health and economically. We need to get resources to those who are most vulnerable. https://t.co/FQHEHZleV7,2020-05-09 20:02:37
"If you need food assistance or are interested in volunteering to help distribute food and supplies, check out this map of #WA food banks &amp; meal programs from @FoodLifeline: https://t.co/PgsgS4S2oU",2020-05-08 22:12:18
"Today, I introduced the JOBS Credit Act which will keep workers on payroll during #COVID19 by covering more of an employee’s salary for longer and provide relief to businesses by expanding the Employee Retention Tax Credit. https://t.co/euQ8dKC3dH",2020-05-08 18:00:59
"Today is the LAST DAY of @WAplanfinder’s Special Enrollment Period. If you need health insurance during #COVID19, please click the link below to check your eligibility ASAP. https://t.co/2grQFfrhPG",2020-05-08 17:53:23
Today’s jobs numbers show a clearer picture of the economic harm #COVID19 is having across the country. We need to do more to keep people on payroll. That’s why Congress should expand the Employee Retention Tax Credit so workers can stay employed and businesses can stay open. https://t.co/rfXh2FH61w,2020-05-08 14:07:37
"I have supported portable benefits with @MarkWarner for years. Especially during this #COVID19 pandemic, gig, contract, &amp; self-employed workers deserve full and flexible benefits. Read more about our proposal to create an emergency portable benefits fund: https://t.co/CtAJePd6SZ",2020-05-07 23:14:13
"With child poverty on the rise to the highest levels in decades, families need help. Expanding and improving the Child Tax Credit in the next #COVID19 package will provide meaningful support to families struggling from this outbreak. Read the letter @Rosa_DeLauro &amp; I sent today: https://t.co/gCVKbHWJ4o",2020-05-07 22:26:54
The deadline for #WA @WAplanfinder Special Enrollment Period is TOMORROW. Act quickly if you still need health coverage during this pandemic. You could qualify for reduced premiums! Check your eligibility here: https://t.co/oPRBBKnUWC,2020-05-07 19:41:21
Good news for #WA farmers! Our farmers need &amp; deserve the same assistance as other small businesses in other sectors. @SBAgov is making EIDL and advance grants available to farmers. https://t.co/Cq7q6Q6Kmt,2020-05-07 02:18:58
"Expanding the #ERTC is a practical, commonsense solution that will support hardworking Americans &amp; businesses struggling from #COVID19, here's why: https://t.co/t2qncvjr1H",2020-05-06 18:57:53
"It is #NationalNursesWeek - Our nation’s nurses are on the frontlines of the #COVID19 pandemic, and we could not get through this without them. To our nurses: thank you. We owe you a debt of gratitude.",2020-05-06 18:12:02
"Excited to join tonight's telephone town hall with the 45th District. For information on how to tune into, follow the link here: https://t.co/DAI15egftQ",2020-05-06 17:03:31
"To help spark the next gen of innovations &amp; get our economy on track after #COVID19, we need to invest in research &amp; development. That’s why I helped introduce the #FORWARDAct to make the R&amp;D Tax Credit more accessible to smaller businesses. https://t.co/iTkZOsEtXZ",2020-05-05 23:20:38
"During this unprecedented time, we must use the right tools to protect our economy. That's why I support expanding the Employee Retention Tax Credit. This will provide relief to businesses and keep workers on payroll during #COVID19.",2020-05-05 21:03:25
"#COVID19 is showing us what our children &amp; students already knew: the incredible dedication of our nation’s teachers. This #TeacherAppreciationWeek, thank the educators who are going above &amp; beyond to serve their students during these difficult times. #ThankATeacher https://t.co/PpK4T8PpUi",2020-05-05 19:17:12
"This week, #SCOTUS is hearing oral arguments in a case that could remove the ACA’s birth control benefit. Everyone deserves access to comprehensive reproductive health care &amp; that includes birth control. https://t.co/VslfgtHNKP",2020-05-05 18:09:52
"Native women &amp; girls face attacks, violence &amp; rape 10x higher than the national average. That’s why I stand with @RepHaaland and @RepDavids in raising awareness about #MMIW and making resources available to address this crisis. https://t.co/Ud3bMN50L8",2020-05-05 17:34:04
700 @Alcoa workers in my district are losing their jobs and livelihood. It’s long past time for President Trump to effectively deal with China’s aluminum excess capacity that depresses prices and hurts workers. https://t.co/zyTG41JFQz,2020-05-05 15:07:40
"In case you missed it, watch my discussion &amp; Q&amp;A on agriculture and #COVID19 with @WSDAgov Director Sandison here: https://t.co/nDAuj0LCpx",2020-05-05 01:37:59
