tweet,dates
Fisheries are an important part of our economy in NW Oregon. That's why I helped secure $300 million for fisheries disaster funding in the CARES Act. This week @NOAAFisheries announced that Oregon will receive nearly $16m and West Coast Tribes will receive more than $5m. https://t.co/YEv76Nb0Ep,2020-05-09 18:54:26
"Housing is a basic right and I’m fighting to make sure everyone can keep a roof over their head during this difficult time. I strongly support the Emergency Rental Assistance &amp; Rental Market Stability Act, which was introduced today to provide #RentReliefNow. https://t.co/dBe4AnmCuK",2020-05-08 22:12:43
"Today #AhmaudArbery would have been celebrating his birthday. Tragically he was murdered doing something millions of people do every day – he went out for a run. 
https://t.co/ploqJbz18G",2020-05-08 21:31:37
"The devastating April #JobsReport reveals the magnitude of the economic consequences of #COVID19. People in Oregon and across the country are hurting, and the scale of this crisis demands immediate action. https://t.co/2h2nIjYnk5",2020-05-08 20:37:44
We must do more to address the disproportionate effect of COVID-19 on Latinx communities. I'm leading members of our Oregon Congressional delegation in calling for the next coronavirus response package to include support for those who have been left behind https://t.co/srGEoJNSB3 https://t.co/Vm8mV6IeqN,2020-05-08 01:51:05
"The Senate has failed to act on many House-passed bills that could have prevented some of the damage from this pandemic. Senators, here is a to-do list #ForthePeople: https://t.co/sP1QlLyGLb https://t.co/DrOxfHo99B",2020-05-07 22:27:15
"LIVE NOW: Join my webinar with @ORDOJ and the Oregon Law Center on the protections that are available to you during COVID-19. We're talking about housing, direct payments, benefits, and more. https://t.co/jd5MgJPJCe",2020-05-07 20:04:00
"Don’t forget – today I’m hosting a webinar at 1 p.m. with @ORDOJ and the Oregon Law Center to answer your questions about the resources that are available to help with housing, direct payments, and more. There is still time to sign up here: https://t.co/wJGAVDWw8d https://t.co/kba0QgjolQ",2020-05-07 17:50:57
"This month will continue to be nerve-wracking for many as rent &amp; mortgages are due a second time during this pandemic. Families &amp; individuals were already struggling to cover housing costs before this crisis, and they now face painful decisions about how to pay for necessities.",2020-05-07 17:29:56
Outrageous. The Department of Education is continuing to garnish the wages of student loan borrowers during the pandemic even after the CARES Act banned them from doing so. https://t.co/m2brCU5e02,2020-05-07 03:44:21
"Please join @ORDOJ, the Oregon Law Center and me for a webinar tomorrow about the resources that are available to help protect consumers during COVID-19. We’ll talk about housing, direct payments, resources to address domestic violence, and more. https://t.co/wJGAVDWw8d https://t.co/wD2QCiS8k4",2020-05-07 00:57:51
"Sec. DeVos and @usedgov should be helping students, families, educators, &amp; schools deal with a pandemic of unprecedented proportion...",2020-05-06 22:07:03
"The coronavirus crisis has hit the child care system especially hard, causing widespread layoffs and mandatory closures. https://t.co/nbauRqHuYj",2020-05-06 20:39:25
"This EPA Brownfields grant will help Metro accelerate the clean-up &amp; redevelopment of the Tigard Triangle, an area w/ great potential for housing &amp; businesses that will benefit our growing community. I was proud to advocate for OR to receive this funding. https://t.co/bBlQqdZLyo",2020-05-06 19:22:22
"I want to express my gratitude to Oregon nurses for all you do in our communities each and every day, especially during these challenging times. I see you and I’m fighting in Congress to make sure you have all you need to stay safe. #NationalNursesWeek @OregonNurses https://t.co/DPfviWOyci",2020-05-06 17:27:48
"When families can go back to work, the economic crisis won’t end if they don’t have access to child care. I’m continuing to fight for $50 billion in next COVID-19 relief package to address the specific child care needs in Oregon and around the country.
 
https://t.co/JbGcYkERdz",2020-05-05 22:29:30
Please join me for a webinar this Thursday about the resources that are available to help protect consumers during COVID-19. https://t.co/bbGOMQmVEV,2020-05-05 19:48:04
"It’s the National Day of Awareness for Missing and Murdered Indigenous Women and Girls. 

Native women face tragically high rates of violence, sexual assault, and murder. We must strive to better understand the institutional racism &amp; systemic inequalities in Native communities.",2020-05-05 17:44:36
