tweet,dates
"Mothers are the heart of our families. Join me in wishing every mother in the Houston region and around the world a happy #MothersDay.

Las madres son el corazón de nuestras familias. Únase a mí para desearle a cada mamá en Houston y en todo el mundo un #FelizDíaDeLasMadres. https://t.co/XV7Vd4kiq4",2020-05-10 11:30:00
"Claudia and Chris from #TeamSylvia also joined Constable Silvia Trevino, State Rep. Ana Hernandez, and other community leaders for a face mask distribution event in Magnolia.

We’re making sure folks can stay safe out in public! #WearAFaceMask https://t.co/GIS2kh57I5",2020-05-09 18:19:18
"Chris and Claudia from #TeamSylvia joined State Senator Alvarado, Council member Willie Rios, and other community leaders for a free face mask distribution event in South Houston.

We’re working hard to make sure our communities have the resources they need to stay safe. https://t.co/iGWRlNupHm",2020-05-09 18:11:29
"Here's your weekly update! This week, I participated in food &amp; face mask distribution events in my district. No one should go hungry in #TX29 &amp; everyone should safe out in public. I also participated in two virtual forums &amp; continue to work on ways to help folks across the U.S. https://t.co/FmEvEQBVeP",2020-05-08 22:40:46
"This #TeacherAppreciationMonth, I thank all of the teachers in the Houston region and across the country that go above and beyond for their students. They're heroes responsible for educating our children and shaping the next generation of leaders in our society. #SendTeachersLove https://t.co/gVrweJJ6CB",2020-05-08 22:16:14
"Thank you @LeaderHoyer Your support in in valuable. Working together, we can beat this virus! https://t.co/CUYNpZPKXL",2020-05-08 20:49:55
"Today I had some great lunch from the Jacinto City Cafe. During this difficult time, it’s important that we continue to support our small businesses, which are the backbone of our economy and an important part of our community. https://t.co/6aKAV8LlwH",2020-05-08 19:54:25
"1/ This morning, I attended two food distribution events one at Navarro Middle School where many constituents shared their fears of not being able to put food on the table during this pandemic. https://t.co/rsD3JW4tAp",2020-05-08 18:37:32
"We had a great free #facemask distribution event in Jacinto City, TX with Mayor Ana Diaz, State Senator Carol Alvarado, and State Rep Ana Hernandez. We’re committed to serving the people of Jacinto City and the greater Houston region. https://t.co/Yka3HiY762",2020-05-08 18:21:39
"FREE #COVID19 testing at @WeAreHCCS Southeast at 6815 Rustic. You don't need to have symptoms or make an appointment!

Se están haciendo pruebas del #coronavirus en HCC Southeast en la 6815 Rustic y 45 sur. Es gratis y esta abierto a todos los residentes. No se requiere una cita. https://t.co/axed5gqT24",2020-05-08 15:41:41
"“The pandemic has exposed the life-and-death inequities faced by Latinos that have worsened the impacts on nuestra gente.”

Read the op-ed I wrote w/ my comadres @RepDMP &amp; @RepEscobar about how la comunidad Latina is being forgotten during this crisis.👇🏼
https://t.co/cfp9p61dfa",2020-05-08 15:26:59
"This week, I have volunteered at a number of food distribution sites across the @HoustonISD. 

That’s why on #ThankYouThursday I want to recognize all of the amazing school cafeteria workers who’re going above and beyond for our families. https://t.co/noa0SCtfH2",2020-05-07 23:30:04
"Tomorrow (5/8), join us for a free face mask distribution event in Jacinto City Town Center. We will be there from 11am thru 1pm Houston time.

Mañana únase a nosotros para un evento gratis de distribución de mascarillas en Jacinto City. Estaremos ahí desde las 11am hasta la 1pm. https://t.co/ZCqnX3rpGu",2020-05-07 21:52:29
"During this difficult time for many of our small businesses, I was proud to support Dona Maria Mexican Cafe today, one of my favorite restaurants in the East End.

Doña María is open for take-out for some amazing home-style Tex-Mex food. I recommend their delicious carne guisada! https://t.co/GhpE2aVn3K",2020-05-07 20:48:43
My heartfelt condolences go out to Sgt. Raymond Scholwinski’s loved ones and his @HCSOTexas colleagues who mourn his passing after a valiant fight against #COVID19. May he Rest In Peace. https://t.co/FNQj1kiN4A,2020-05-07 20:35:32
"This afternoon, I joined State Senator Carol Alvarado and several community leaders in Channelview for a free #facemask distribution event.

It is important for every person in our community to be safe if they have to go outside in public. https://t.co/tWOHwVnigY",2020-05-07 19:59:51
"This morning, I volunteered at the @HoustonISD Food Distribution site @Milby_HS.

I spoke to so many constituents who need help with putting food on the table now more than ever.

This is why I’m fighting for increased food assistance in #CARES2. https://t.co/sQNhqCjsEe",2020-05-07 19:50:27
"Ahmaud Arbery deserves justice.

https://t.co/6EXxwlXKti",2020-05-07 19:02:39
"Even in the middle of a pandemic, this administration is trying to take your healthcare away. Shameful.

https://t.co/TdI6qbiemW",2020-05-07 18:32:46
"As elected officials, we have a duty to take care of our constituents and the people of this nation. We need a strategic plan for nationwide testing, tracing, and treatment (the 3 Ts) to ensure that we minimize the death rate as we reopen the country.
https://t.co/06v5Pwno6E",2020-05-07 16:32:45
"In the middle of the #COVID19 pandemic, when @BetsyDeVosED and this administration should be prioritizing relief for students and schools, they decided to take actions that will make survivors of sexual assault on college campuses less safe.

#ShameOnDeVos
https://t.co/bW8yIYeYaC",2020-05-07 02:41:14
"Esto es inhumano! We should not be denying direct economic relief to 1.2 million Americans in need just because they’re married to an immigrant.

Vamos a seguir luchando para que todos reciban la ayuda económica que necesitan durante esta pandemic.

https://t.co/wmZJl5phF1",2020-05-07 00:57:42
"Tmrw at 11am I’m joining State Senator Alvarado and several local leaders for a free #facemask distribution event in Channelview.

Mañana a las 11am me uniré a la senadora estatal Alvarado y otros líderes de la comunidad para un evento gratuito de distribución de mascarillas.😷 https://t.co/8WPYKQQ8Vi",2020-05-06 23:58:50
"Mañana a las 9am comenzaremos a realizar pruebas para #COVID19 @WeAreHCCS en 6815 Rustic St, Houston, TX. Es gratis y estará abierto a todos hasta las 4pm. No se necesita cita.

No necesita tener síntomas o seguro médico. Todos son bienvenidos sin importar estatus de inmigración. https://t.co/SgHApHctJj",2020-05-06 23:47:02
"Tmrw at 9am we’ll begin testing for #COVID19 @WeAreHCCS Southeast at 6815 Rustic St, Houston TX. It’s free &amp; will be open to all residents until 4pm. No appointment is needed.

You don’t need to have symptoms or health insurance. All are welcome regardless of immigration status. https://t.co/xoIzrhcdMj",2020-05-06 23:43:40
"1/ Today was an incredible day of giving back to the #TX29 community in Houston. I started off my day at the @HoustonISD @northside_hs food distribution event, making sure folks in our community have what they need to put food on the table. https://t.co/y4kiDdCUfp",2020-05-06 22:34:57
"On this #NationalNursesDay, I want to recognize all of the amazing nurses in the Houston region and around the world for the incredible work they’re doing to save lives in the middle of the #COVID19 pandemic.👩🏾‍⚕️👨🏽‍⚕️🧑🏼‍⚕️ https://t.co/GBcOF1pPXp",2020-05-06 16:35:31
We cannot allow for @ICEgov facilities to be turned into Petri dishes for infection because this administration has not taken action. Migrants under U.S. custody deserve better. Their lives are worth saving. https://t.co/oHRCFHCrIS,2020-05-05 22:27:32
"Proud to be joining Commissioner Rodney Ellis tomorrow (5/6) at 10am Houston time for a community mask distribution event. 

All information is below. If you’re in need of a mask, make sure to stop by. https://t.co/gYlbGsiNXd",2020-05-05 22:19:48
Por favor tomen 10 minutos para completar el #Censo2020. El Censo determinará los fondos que recibirán muchos programas estatales como CHIP y SNAP por los próximos 10 años. Vaya a https://t.co/b3txdbbQzi y #HágaseContar. https://t.co/C90mlbat75,2020-05-05 22:12:58
