tweet,dates
Happy Mother’s Day to all our Central Valley Mothers! Thank you for everything you do to help our families stay safe especially during a time like this. https://t.co/bQH14hVXXS,2020-05-10 13:00:00
"Community partners have been putting in the hours to ensure that EVERYONE is counted in #Census2020. Now it’s your turn to do your part. Your census invitation has ready been sent in the mail - be sure to respond as soon as it arrives! 

https://t.co/jiNUpU28ZP",2020-05-09 16:00:01
"The census is critical for funding programs that help AAPI families and children thrive! This #APAHM, make sure to fill out the census today via phone, by mail or online at https://t.co/QSFo4221nd #RootedInCommunity #RisingTogether #AAPI2020 https://t.co/XToUnHl3Ap",2020-05-09 00:00:00
"75 years ago, Allied forces accepted Nazi Germany's unconditional surrender – ending #WWII in Europe.

We in the Central Valley are forever grateful to our service members who fought during this conflict.

Their bravery and their sacrifices will never be forgotten. #VEDay75 https://t.co/obiwT2FBop",2020-05-08 22:01:00
"Two years ago, some of my House colleagues voted to repeal our health care. If it had become law, it would have left 23 MILLION *more* Americans without coverage, raised premiums by 20 percent, and gutted protections for people with pre-existing conditions. #ProtectOurCare https://t.co/DDkixmY0vo",2020-05-08 19:00:00
"We must invest in our rural Central Valley communities to prepare our children for the future. That is why I am calling on Congressional Leadership to invest in STEM education. 

https://t.co/uobcpll2ZE",2020-05-08 17:55:25
"During these unprecedented times, our Central Valley teachers have gone above and beyond to provide the support our students need to continue to grow academically. Happy Teacher Appreciation Week to all of our dedicated Central Valley teachers! https://t.co/Eo31O5xVPA",2020-05-08 17:30:00
"La Oficina del Censo está obligada por ley a proteger toda su información personal y a mantenerla en estricta confidencialidad. Por ley, sus respuestas no pueden ser usadas de ninguna manera por ninguna agencia del gobierno. #HagaseContar

https://t.co/jiNUpU28ZP",2020-05-08 16:01:00
"Haven’t filled out the #Census2020 yet? Want to help your community access resources for hospitals 🏥, schools 📒, and infrastructure 🚅? 
You can respond to the 2020 Census now online, by phone, or by completing the paper form mailed to your address.

https://t.co/jiNUpU28ZP",2020-05-08 13:00:00
"Ahora que está en casa practicando el distanciamiento social, ¿por qué no llenar el censo? ✅ Puede completar el censo desde casa por correo 📩, por internet 💻 , o por teléfono 📲 1-844-468-2020.

https://t.co/GU34RDFwKr",2020-05-08 00:00:00
"I am proud to lead my colleagues to call on the SBA to make sure PPP funds go to the businesses that need them most during this crisis.

https://t.co/4sllSCpbbz",2020-05-07 19:05:51
"May is Mental Health Awareness Month. Together here in the Central Valley, we can make a difference by supporting all those affected by mental illness. https://t.co/XBkeorcY5J",2020-05-07 16:00:00
Thank you to Lupita Lomeli and Univision for your invitation. I was honored to be on @DVCUnivision to discuss the work I’ve done during the COVID-19 pandemic for the people of the Central Valley. Tune in below to watch my interview: https://t.co/Qnea9lzLYA,2020-05-07 14:38:07
Gracias a Lupita Lomeli y Univision por su invitación. Tuve el honor de estar en @DVCUnivision para hablar sobre el trabajo que he hecho durante la pandemia de COVID-19 para la gente del Valle Central. Vea a continuación mi entrevista: https://t.co/DiKBZyt3k7,2020-05-07 14:36:57
"Las pruebas son una de las herramientas más importantes que tenemos para combatir esta pandemia. Me enorgullece instar con mis colegas al gobernador Newsom y al director de NIH Collins...

https://t.co/DFps6nEgEb",2020-05-07 13:00:32
"Testing is one of the most important tools we have to combat this pandemic. I am proud to led my colleagues in urging Gov. Newsom and NIH Director Collins for more health research targeted at helping Ag farmworkers during this health crisis. 

https://t.co/pMFT464GpB",2020-05-06 23:04:07
"The protection of religious freedom is a key principle for peace both at home and abroad. As Vice Chair of the Sikh Caucus,...

https://t.co/3iIti03dtN",2020-05-06 19:32:24
"Failure to fight the pandemic and the accompanying economic fallout presents a more severe risk to our economy and our budget than the short-run deficits we must run to fight them. Learn more in a new report by the House Budget Committee:

 https://t.co/qtwOVqrgHY",2020-05-06 16:00:02
"Thank you to our Central Valley’s health care professionals, first responders, grocery store workers, caretakers, janitorial staff, postal workers, truck drivers and all the brave people who keep our community’s going. Your dedication to our communities will never be forgotten. https://t.co/qnt6OBfSjB",2020-05-06 13:00:01
"Si tiene alguna pregunta sobre el COVID-19, como los recursos disponibles para usted para poder mantener a usted y su familia a salvo por favor viste mi Centro de Información sobre el Coronavirus del Valle Central para obtener más información. 

https://t.co/h5PntOBqw9",2020-05-05 22:59:00
I will continue to work relentlessly &amp; in a bipartisan way to put Central Valley families first during this crisis. By working together we’ll eradicate this virus &amp; then begin to rebuild our economy in a way that truly reflects the greatness of our nation. https://t.co/xrtNa8JMDi,2020-05-05 20:36:07
"During Asian Pacific American Heritage Month, it’s more important than ever to stand in solidarity with the #AAPI community and denounce the alarming rise in anti-Asian bigotry we are seeing due to #COVID19. This is unacceptable and must end. #StopAAPIHate #APAHM2020 https://t.co/PYNJLHMvZ4",2020-05-05 19:00:00
"Happy National Teacher Appreciation Day to all of the amazing Central Valley teachers! Now more than ever we celebrate your dedication, creativity, and love of teaching. You empower and inspire our students to live out their dreams each and every day! https://t.co/DR7VNvKk1l",2020-05-05 16:00:00
"59 years ago, 13 courageous Americans started a dangerous journey through the segregated south.

As we honor the #FreedomRiders, we must recommit ourselves to their fight for justice and equality for all, especially as we face a global crisis. https://t.co/KBu3PCWhqa",2020-05-04 20:58:09
