tweet,dates
I worked to secure federal funds for Wisconsin in the bipartisan #CARESAct and today I am announcing over $16 million in Community Development Block Grant #CDBG funding for the State of Wisconsin. https://t.co/e5jL4z2aae,2020-05-08 22:00:01
"I am working to make sure Congress and @POTUS provide additional support and resources for Wisconsin counties, cities, and towns to respond to COVID-19 and cover budgetary shortfalls that have resulted from the public health emergency and economic downturn. https://t.co/nV6ZrAK3gO",2020-05-08 21:26:49
"Brave health care workers are on the frontlines every day fighting this pandemic and we have a very real, immediate need for more workers throughout our nation. That’s why I support the Health Heroes 2020 Act. #ThankYouNurses https://t.co/BYovAe5C3N",2020-05-08 20:45:00
"This #NationalNursesWeek I am supporting the Health Heroes 2020 Act from @SenatorDurbin and @janschakowsky. Our legislation will scale up our health care workforce so we can boost hospital capacity, address health disparities in underserved communities, &amp; save more lives. https://t.co/MTe6Y4QlQM",2020-05-08 20:19:43
"Hey @realDonaldTrump, I want you to know the story of George Matthews. https://t.co/QmKPPkIWQV",2020-05-08 19:35:00
"With the highest unemployment rate since the Great Depression, we need a bold federal investment in state and local transitional jobs programs in order to put people back to work and recover from this economic crisis. https://t.co/QzomGw3PR6",2020-05-08 19:09:53
"Now more than ever, we must quickly get federal @SBAgov support to the Wisconsin family farmers who need it. https://t.co/cFOsfY4iBc",2020-05-07 22:30:00
"I warned @SenFitzgerald and @repvos about this over a month ago.

They didn't listen, but they should have. https://t.co/wzO3tLL9Qp https://t.co/7HgSXYpZTX",2020-05-07 20:58:38
Workers should be protected and meatpacking plant CEOs should be responsible for protecting them with enforceable standards. https://t.co/5RrxEQLb0Z,2020-05-07 17:10:22
"The economy has been open for the workers in the meatpacking industry who have been infected by the coronavirus or died from it. How about we start protecting workers?
https://t.co/Lj5xwGAAMl",2020-05-07 16:28:16
"We cannot order workers back to work if they have to risk their lives, their health, and their families' lives and health by doing so. https://t.co/LTLmkB1veR",2020-05-07 15:57:54
This would be me. https://t.co/RaM501sp43,2020-05-07 15:17:53
"I have called on Tyson, Smithfield and JBS to answer questions on how these large meat packing facilities are protecting workers. https://t.co/S8yNL0by75",2020-05-07 14:37:10
"Wisconsin has a work ethic second to none and workers should be protected.
https://t.co/SxmFmSy6Bh",2020-05-07 13:41:12
"Workers at meat processing plants deserve to be protected, and yes I am calling out meatpacking CEOs for not doing enough to protect workers in Wisconsin. https://t.co/7PkyDFupDN",2020-05-06 21:29:22
"More than 700 ""regular folks"" who work at Wisconsin food processing plants have tested positive for coronavirus. 

The Trump Administration must put in place an enforceable standard that protects workers. 
https://t.co/e30ExCD8TL",2020-05-06 21:09:19
"Trump wants to take away your health care during a deadly pandemic. And he's lying about protecting people with pre-existing health conditions.

That’s it. That’s the tweet. https://t.co/ac8vjK4F0w",2020-05-06 20:06:26
"As we face historic economic and social disruption during this pandemic, I am working with @RepGwenMoore @RepRonKind and @repmarkpocan to bolster the #SNAP program and ensure access for those Wisconsinites who need food assistance. https://t.co/RBUTQ0bOwf",2020-05-06 18:24:00
"I’ve recently heard from struggling family farmers that have been blocked from accessing loans provided by the @SBAgov Paycheck Protection Program.

Now more than ever, we must get federal support to the Wisconsin family farmers who need it.

I’m working to do just that. https://t.co/EFQQzkItb7",2020-05-06 17:16:36
"Small farms are small businesses, and they must qualify for the Paycheck Protection Program so they can get the relief they need.
 
I’m calling on the Trump administration to take action for our family farms now, so they can keep their farms and get through this economic crisis. https://t.co/XgJBg4V970",2020-05-06 16:25:00
It’s #NationalNursesDay. Thank you for working every day to save lives during this public health crisis. You are all heroes.,2020-05-06 15:45:02
"In Wisconsin and nationwide, COVID-19 outbreaks at meat processing plants are endangering workers and our communities. 

I want answers from JBS, Smithfield &amp; Tyson Foods about what they’re doing to protect frontline workers and prevent further outbreaks. https://t.co/8VcrXQDzCP",2020-05-06 14:00:22
"It was great talking to @PFFW today. I am working to include additional funding for states and local governments in the next legislative package to help deal with budgets and lost revenue, keep firefighters on payroll, and provide essential public services for the community. https://t.co/cihz5ofOjO",2020-05-05 21:32:26
"Last week, I called for an HHS Inspector General investigation after Dr. Bright was removed from his position. Now, this. https://t.co/7t0EcSlbvq",2020-05-05 20:54:51
"My new legislation, the Medical Supply Transparency and Delivery Act, requires a national testing plan from @realDonaldTrump and requires @POTUS to unlock the full authority of the DPA so we increase national production of testing supplies to do widespread testing. https://t.co/WLaMvjsesI",2020-05-05 20:29:35
"37 Wisconsin hospitals have less than a week's supply of N95 masks &amp; limited paper medical masks. 42 hospitals have a limited supply of gowns. My new bill, the Medical Supply Transparency &amp; Delivery Act, will increase production of the #PPE our frontline health care workers need. https://t.co/GHtRjXfq2e",2020-05-05 15:14:57
"The Trump Administration has not provided our frontline health care workers with the #PPE they need to protect themselves and treat patients.
https://t.co/tqoyhWSqV0",2020-05-05 13:53:03
.@USDOL and @OSHA_DOL must issue an Emergency Temporary Standard requiring employers to develop and implement a comprehensive plan to protect all workers who continue to go to work during this pandemic. Workers need standards in place to keep themselves safe. https://t.co/BJPagEmto5,2020-05-04 19:55:43
"I take great pride in representing our #MadeinWI shipbuilding industry because our workers have helped sustain America’s security for generations, boasting a successful history of building ships for our nation’s defense. Congratulations to the workers at Marinette Marine. https://t.co/drTdc3nKsV",2020-05-04 18:03:38
I’ve joined a bipartisan group of senators in urging @USDA to target COVID-19 relief provisions to reach local Wisconsin farmers. https://t.co/HhMy7AIv52,2020-05-04 16:33:24
"I strongly support efforts to develop a treatment for COVID-19 that is safe, effective and approved by the FDA, however, I am incredibly concerned that the actions of @realdonaldtrump on hydroxychloroquine has distracted us from this effort and jeopardized the health of people. https://t.co/cGbYgEOxXz",2020-05-01 17:21:47
The supply chain chaos created by the Trump Administration has left frontline health care workers at hospitals and long term care facilities with shortages and rationing of personal protective equipment. https://t.co/0u4uKJsL4T,2020-05-01 16:45:00
"C’mon @stevenmnuchin1, can you please get Henry and other Wisconsinites on Social Security their stimulus payments? They need them now. https://t.co/g7HZnOIWuz",2020-05-01 15:23:18
"My new legislation calls on President Trump to use the Defense Production Act for medical supplies and equipment. 
https://t.co/L9d1AgwMM0",2020-05-01 14:42:00
"I had the privilege of speaking with a true hero today.
 
Wisconsin takes great pride in calling Nurse Buffy one of our own.
 
Check out her story below. ⬇️ https://t.co/CDUMAUWOvO",2020-04-30 22:02:39
"Wisconsin has been selected by the U.S. Navy to build new ships. This is a big win for our #MadeinWI economy right now and it will support thousands of skilled workers at the Marinette Marine shipyard and bring an additional 1,000 jobs.",2020-04-30 21:33:41
"Trump has promoted hydroxychloroquine as a treatment for COVID-19 despite the fact it is not an approved treatment. He has sent 335,800 tabs to Milwaukee and I want to know why, where they went and who has them. https://t.co/wVRxmU9nID",2020-04-30 19:27:54
"My new legislation with @ChrisMurphyCT requires a national testing plan and unlocks the full authority of the DPA so we increase production of #PPE and testing supplies to do widespread testing. Trump's broken medical supply chain needs to be fixed.
https://t.co/HzKH1zrecq",2020-04-30 18:49:10
RIGHT NOW: I’m LIVE with @ChrisMurphyCT and emergency physician @DrValGriffeth talking about our plan to get #PPE and medical supplies to our frontline health care workers now. Tune in! https://t.co/QzUhSo0g4r,2020-04-30 15:35:48
TODAY: I’m going LIVE at 11:30am ET/10:30am CT with @ChrisMurphyCT and emergency physician @DrValGriffeth to talk about our plan to get #PPE and medical supplies to our frontline health care workers now. Stay tuned! https://t.co/UfWtQLg2gm,2020-04-30 13:49:53
Thank you @NationalNurses and @NNUBonnie for your support and all you do to #ProtectNurses https://t.co/JmGRWYGGyQ,2020-04-29 22:29:04
