tweet,dates
"Wishing my wife Heidi, my mom Eleanor, and all the moms a Happy Mother’s Day! #HappyMothersDay https://t.co/eTPh5FeoXU",2020-05-10 16:58:07
"To continue the 10 days of remembrance for the victims of the Santa Fe High School shooting, please join me in remembering the life of Shana Fisher. Shana was a promising young woman, who was not afraid to stand up for what she believed in. #SantaFeStrong
https://t.co/ITXB2Rj3ai",2020-05-10 02:03:50
MAP: Where to watch Lone Star Flight Museum’s Fight to the Finish Flyover in Houston https://t.co/nyeOqcD4yC,2020-05-10 01:10:40
"As #TX continues to safely re-open, I joined @seanhannity yesterday to discuss the need to strike the right balance between keeping people safe and allowing people to earn a living and provide for their families again. https://t.co/zO3ayhHC6Z",2020-05-09 23:17:18
"Elected officials in the US don’t have the right to demand apologies from their citizens. Shelley Luther refused to apologize for trying to earn a living and feed her family, and I was proud to support her yesterday when she re-opened her salon in accordance with #TX law. https://t.co/HRLnu8UppO",2020-05-09 19:04:27
"WATCH 📺: Tonight at ~8:25 pm CT, I will be joining @seanhannity on @FoxNews to talk about my support for #TX #SmallBiz owners like Shelley Luther who are working to safely re-open their businesses and help Americans get back to work. https://t.co/wqz8VXl3Ar",2020-05-09 00:46:59
"May 18 will mark 2 years since the tragic shooting at Santa Fe HS. For the next 10 days I invite Texans to take time to honor the memories of the lives lost that day. Today we remember Ann Perkins, who was a kind-hearted &amp; dedicated teacher. #SantaFeStrong https://t.co/IEw7a7aJEa",2020-05-09 00:08:21
Thank you to Shelley Luther and the team at Salon a la Mode for giving me my first haircut in 3 months &amp; more importantly for standing up for liberty and common sense. Your courage helped pave the way for more #TX businesses to re-open &amp; for more people to get back to work today. https://t.co/R66rZsqxFN,2020-05-08 23:36:02
Shelley Luther was wrongly imprisoned when she refused to apologize for trying to earn a living and provide for her family during the #CoronavirusPandemic. I was proud to show my support for Shelley and other #TX salons and barbershops reopening today. https://t.co/BQ7FeUjzk3,2020-05-08 22:37:50
"ICYMI on @KPRC2: As salons and barbershops safely reopened in Texas today, I flew to #Dallas to show my support for Shelley Luther – and get a much – needed haircut. https://t.co/gLVy5OsGF9",2020-05-08 21:46:28
"With the highest unemployment rate since the Great Depression and more than 33 million Americans out of work, we’ve got to strike the right balance between taking reasonable steps to stop #COVID19 and allowing people to safely begin earning a living again. https://t.co/VDaaTeYUIm",2020-05-08 21:00:03
American taxpayers SHOULD NOT be forced to bail out states for irresponsibility and fiscally reckless policies that long preceded the #CoronavirusPandemic. #NoStateBailouts https://t.co/oK5rPv2H96,2020-05-08 20:38:28
.@FoxNews: Sen. Ted Cruz gets haircut at Dallas salon where owner was jailed https://t.co/OPbAMM4zsL,2020-05-08 18:00:20
"Shelley Luther was wrongly imprisoned when she refused to apologize for trying to make a living. Today, I went to get my hair cut at Shelley’s salon to show my support for her, her small business, and all business owners trying to safely help Texans get back to work. https://t.co/oUjdLmM4Ax",2020-05-08 17:41:12
".@startelegram: U.S. Sen. Ted Cruz decided to get a haircut Friday at Salon à la Mode in Dallas....“I’m proud to stand with Shelley Luther,” Cruz said after his hair cut. “What happened to her was wrong.” https://t.co/w0jP6wGisx",2020-05-08 17:14:28
"Today I traveled to #Dallas to get a haircut at Salon A la Mode, owned by Shelley Luther. Thanks in large part to Shelley’s courage, hair salons are allowed to open in #Texas today. Shelley stood up for liberty and common sense and I am proud to stand with her. https://t.co/mFYwBmjhjj",2020-05-08 16:56:14
Great to see another #CombatCOVID19Challenge completed! https://t.co/BUhqWBh1pW,2020-05-08 01:11:00
"Thank you to @Arkema_Inc for helping Texas #CombatCOVID19.
https://t.co/p2ksmxJK4n",2020-05-08 01:04:51
Earlier this week I joined @tabletmag’s @liel to talk about the disturbing rise of #antisemitism in NYC and my calls for AG Barr to investigate Mayor de Blasio &amp; other officials who target and discriminate against religious communities under the guise of protecting public health. https://t.co/yiaCp6JuLF,2020-05-08 00:29:27
