tweet,dates
"Thank you @realDonaldTrump and @SecretarySonny for your commitment to our American producers. 

This purchase of produce, dairy, and meat products will go far to help our farmers, ranchers, and consumers in Florida. 

This is huge! https://t.co/04pHLyhG3B",2020-05-09 21:40:31
"75 yrs ago today, Allied forces defeated the Nazi war machine to achieve #VictoryinEurope. On this historic day we honor the #GreatestGeneration for their service and selfless sacrifice to protect the freedoms we enjoy today. #VEDay75 https://t.co/LHykUdrsvB",2020-05-08 22:42:50
"Throughout this crisis, #Taiwan has repeatedly demonstrated the value of transparency &amp; responsible democratic governance in the face of a sweeping #pandemic. @HouseGOP @HouseForeignGOP",2020-05-08 20:40:00
"Grateful for the millions of nurses across the country tirelessly caring for the sick and saving lives. Thank you all for your selfless sacrifice, empathy, and heroic work in the fight to defeat #Covid_19.   #NationalNursesDay #NursesWeek https://t.co/GlR8ctqiAI",2020-05-06 23:14:27
Today I introduced the House companion to @SenRickScott bill calling for the IOC to rebid the 2022 #WinterOlympics in #Beijing. The global community should not reward a country with a horrendous #HumanRights record with the honor of hosting major world sporting events. @iocmedia,2020-05-05 15:57:35
#DHS intel report confirms “#China held off informing [WHO] the #coronavirus was a contagion most of January” so it could hoard medical supplies from abroad. Then they send faulty &amp; broken medical supply shipments to countries in need in a so-called “politics of generosity”,2020-05-04 19:28:55
"I have asked that the #WhiteHouse invoke a 'force majeure'  motion to stop the import of all Mexican, Central American, &amp; South American food products during this pandemic to support our nation’s #farmers &amp; #ranchers. Read my letter here:  https://t.co/3TQzc8oW7V #agchat",2020-04-29 19:10:26
China’s appointment to the @UN_HRC given its own horrible record on #HumanRights is beyond ridiculous. Proud to cosponsor @repSteube bill H.Res.919 calling out the #UN for this misguided decision &amp; expect that they recognize the millions of oppressed people in #China.,2020-04-29 14:40:18
Honored to join my colleague @RepBera in leading a bipartisan virtual Special Order to highlight the importance of U.S. global leadership in the fight against #COVID19. #USGlobalResponse https://t.co/SHjOLrsrc7,2020-04-28 17:46:54
Today I introduced the Enforcing Accountability &amp; Transparency in International Trade Act. https://t.co/jlUpYKFSNV @HouseForeignGOP @HouseGOP @StateDept @realDonaldTrump  #China #WTO,2020-04-24 21:01:41
"#Ag producers are eligible for the #EIDL program under the coronavirus relief bill being considered in Congress. EIDL will provide relief for FL farmers, but there is more to be done. I'll cont. to work w/ my colleagues &amp; the Admin to assist FL producers during this pandemic. https://t.co/WrjyjgmmcX",2020-04-22 03:16:17
"Use of #drones has spread exponentially across many industries. Accepting drones made in #China, who is known for spying on its people &amp; tech #espionage, is dangerous. We must support our domestic production of all national security technology. https://t.co/dUpgr5lLyY",2020-04-20 14:36:27
"Congress must provide more funds for the #PPP immediately. Additionally, we must help our #farmers by allowing wages paid to H-2A workers by #agricultural employers to be included in the PPP.  @HouseAgGOP @USDA @HouseGOP",2020-04-17 19:53:59
The people of #HongKong spoke loudly in favor of liberty. Govt should not be using #pandemic as an opportunity to restrict more freedoms &amp; harass local businesses supporting the democracy movement. https://t.co/wt6MxCsiga,2020-04-17 15:39:11
The #WHO has chosen to follow the #CCP line &amp; repeat propaganda during a pandemic caused in part by secrecy &amp; negligence. We should demand better from our multilateral institutions. Especially those to which we contribute almost as much as the next three countries combined. https://t.co/YAJreVcobe,2020-04-16 19:54:33
