tweet,dates
"In these trying times, it's important to celebrate the heroes who make our lives better each day. Happy Mother's Day to all the wonderful, and strong, mothers out there, including my mom, mother-in-law, my wife Susan, and my daughter Lindsay. #MothersDay https://t.co/Dyz0Aki82u",2020-05-10 13:17:45
"I often get asked during my telephone town halls by North Carolinians about the status of their Economic Impact Payment. @IRSnews created a page that provides helpful information and answers to frequently asked questions. 
https://t.co/ArNW0EublV",2020-05-09 22:30:00
"In these unprecedented times, it's important to focus on both your physical and mental health.

Read my latest newsletter for information on caring for your mental health during the coronavirus pandemic. #MentalHealthMonth #COVID19NC 
https://t.co/8KwKAYll7q",2020-05-09 17:30:00
"I applaud President @realDonaldTrump for granting Governor Cooper’s disaster declaration for Western North Carolina to assist recovery efforts in the areas affected by severe storms, tornadoes, and flooding from February 6 to February 19, 2020. https://t.co/eod9ILBgMT",2020-05-09 13:00:01
"Proud to announce @HHSGov will award more than $12 million to 39 NC HRSA funded health care centers to provide facilities across the state with expanded testing capabilities which is key in our efforts to protect the health of North Carolinians. #COVID19NC
https://t.co/iS5BBlva2z",2020-05-08 22:00:00
North Carolina has a proud and rich military history. Join me in thanking the brave men and women who swear the oath to defend and protect our nation and thank their families who are an important part of them being capable and ready to do their job. #MilitaryAppreciationMonth https://t.co/cvTzHbAhUe,2020-05-08 18:30:00
"It’s vital that rural communities in our state have improved access to broadband services. That’s why I’m pushing to improve access at the federal level and urged @USDA to expedite approval of rural broadband grants to help communities across NC.
https://t.co/CIkMBrInl3",2020-05-08 14:09:49
Great to see the @NFL release its schedule with fan friendly protections for ticket holders. Looking forward to cheering on the @Panthers this fall! #KeepPounding,2020-05-07 23:45:00
"I joined my colleagues in sending a bipartisan letter to @senatemajldr and @SenSchumer to request that they do not overlook nonprofits, charities, and houses of worship in the fourth-phase relief proposal for the coronavirus pandemic. #COVID19
https://t.co/EJcRfT3Xxq",2020-05-07 22:04:39
"My interview with @ericbolling on America This Week to discuss the federal response to #COVID19 and the need to hold China accountable for its initial handling of the coronavirus.
https://t.co/Usg0fO3lyz",2020-05-07 18:36:04
"TODAY at 11:30 am
Telephone Town Hall
Topic: Coronavirus Pandemic

Listen Live: https://t.co/EjMmqNjrwu https://t.co/rB4LOgGb7L",2020-05-07 13:45:00
"Join the NC Air National Guard TODAY, May 7 to honor North Carolina’s hardworking essential workers. #AirForceSalutes #COVID19NC https://t.co/EaFo026aJg",2020-05-07 12:50:20
"This week, during a @BankingGOP hearing, I urged #COVID19 response Inspector General nominee Brian D. Miller to be a strong and independent voice that goes after fraud and bad actors. https://t.co/S5fbBHiN9S",2020-05-06 22:56:13
"As North Carolinians continue staying inside to keep safe from #COVID19, our brave first responders simply do not have that option. I'm proud to co-sponsor a bipartisan bill to help the families of first responders lost to COVID-19. https://t.co/MNvP7DiDHH",2020-05-06 16:23:02
"Thank you to nurses for everything you do. I’m the proud father of a nurse and have a great appreciation for each of you, particularly in these tough times as we fight the coronavirus. Please stay safe and God Bless our #HealthCareHeroes. #NationalNursesDay #NationalNursesWeek https://t.co/IgiS75kenq",2020-05-06 13:00:00
"I called on the @FBI and @ATFHQ to respect Second Amendment rights while protecting public safety during the coronavirus pandemic. #COVID19 
https://t.co/PjQF0n4JUD",2020-05-06 00:00:00
I want to offer a special thanks to all of the teachers that we trust to educate our children. I know that these are tough times as we fight the coronavirus but you’re always in our thoughts and prayers and I thank you for what you do. #ThankATeacher #NationalTeachersDay #NCed https://t.co/mPgN2ci69D,2020-05-05 20:16:57
"I joined Senators @JohnCornyn and @MarshaBlackburn to urge the Administration to prosecute Chinese firms selling counterfeit PPE. Alarmingly, counterfeits of masks are making their way into the hands of dedicated first responders. #COVID19
https://t.co/DexXz8pByF",2020-05-05 17:32:47
