tweet,dates
"Tragically, the U.S. Dept. of Agriculture’s @USDA main roll in the meat/farm crisis is shaping up to be helping farmers efficiently destroy their animals while supermarket shelves go empty and prices go up.

There are alternatives to this Orwellian dystopia. 

Pass the #PRIME Act https://t.co/UshT4XDzAI",2020-05-10 13:11:10
"In response to meat shortages, empty suits are saying “we have a demand problem, not a supply problem.”  

I’m telling the same suits to get ready for TAR AND FEATHERS if they’re going to blame consumers for the brittle food supply politicians created at the request of lobbyists.",2020-05-10 12:48:30
"“With COVID-19 battering food supply chains, 10,000 hogs are being euthanized daily in Minnesota. Millions of healthy chickens also have been killed...”

Ask your legislators to pass the PRIME Act to help put an end this madness!

https://t.co/7AbnbZBJu0",2020-05-10 12:41:21
"I joined @farmbuilder1 Jordan Green to talk about the need for the PRIME Act and how farmers and activists can help get it passed. Here’s the interview:

https://t.co/5vopgn9UTY",2020-05-10 11:02:05
"That’s great, but lots more people will be at the soup kitchens and food pantries if @SecretarySonny doesn’t start honestly explaining problems with our meat supply to @realDonaldTrump.

It’s been monopolized by Chinese and Brazilian companies, while USDA chokes USA competition. https://t.co/nWs5NG4mxD",2020-05-09 19:29:45
"If only there were bipartisan bills sitting in the House and Senate that would solve this tragic problem.

Oh wait, there is a bill called the PRIME Act! Call and ask your congressman to join the 45 current cosponsors of the PRIME Act!

@holliesmckay 

https://t.co/DXNY4RSfYi",2020-05-09 19:02:02
"Hell to the No!
https://t.co/tN4zM71BwQ",2020-05-09 14:53:44
ICYMI: I joined @EWTN earlier this week to discuss my bipartisan PRIME Act. We need to make America great again not by giving relief to the multinational meat packers that have a monopoly on our food supply but by empowering Americans to raise our own food. https://t.co/kEJlOz5Q4m,2020-05-09 13:17:11
"Thank you @TedYoho for becoming the 40th sponsor of the PRIME Act in the House! Counting Senators, we have sponsors from 24 states &amp; 4 political affiliations in Congress.(R, D, I, L)

The PRIME Act empowers farmers to sell healthy food to local consumers!

https://t.co/m5nAW6UY6b",2020-05-09 11:31:37
"Governor 👑 Beshear 👑 never had the authority to shut down churches in the first place.
https://t.co/yM9zKZdjRX",2020-05-09 10:44:45
#sassywithmassie https://t.co/xmpIXpDWhD,2020-05-08 21:09:23
"Just found out that in order to keep a supply of food to serve (takeout), a resourceful restaurant in our district is sending several of its employees to Sam’s club one at a time, because each customer can only buy two packages of meat.

Pass the PRIME Act and stop the craziness!",2020-05-08 19:34:57
"The hog carcasses delivered to the Nobles County site will be run through the chipper simultaneously with the wood material — a new concept in the hog industry.

Call your elected official and ask them to cosponsor the PRIME Act to prevent this insanity!

https://t.co/gLoVKagsVa",2020-05-08 18:45:04
"“Let small meat processors fill in the gaps so we don’t have the dangerous situation where we’re euthanizing animals instead of providing them as food”

Did you know 4 multinational corporations control 80% of US meat processing? 

Pass the PRIME Act!
https://t.co/ksOQT5vCFU",2020-05-08 18:30:59
"""And the burden is going to be on the middle class, the productive members of society who go out to work every day, pay the bulk of the taxes and that's who it's going to come down on,"" Massie said. @NicholasBallasy 

https://t.co/kurIwBilf5",2020-05-08 17:35:23
"""U.S. beef and pork processing capacity is down 40% from last year and several meat packing facilities have closed in the last two weeks due to the coronavirus. Thomas Massie tells me it's time to revive the local mom- and-pop meat processors."" 

Thanks for having me on @EWTN. https://t.co/V8q7gM0rWG",2020-05-08 15:01:24
"If we get called back to Congress when the next bill is ready to vote on, 

who is writing the bill? 🤨",2020-05-08 12:58:34
"Thomas Massie says congressional leaders won’t ultimately permit remote voting or ""virtual voting"" because it would block them from being able to “twist arms” and practice other “intimidation"" tactics before lawmakers cast their votes.
@NicholasBallasy 
https://t.co/9uqAmhQWUF",2020-05-08 00:45:29
"Maybe when the Congressmen sitting at home eating ice cream out of their $24,000 refrigerators can't get ice cream anymore they'll reconvene Congress &amp; say ""instead of throwing money at the problem let's solve it.""

Thanks for having me on @lfs6b. 

https://t.co/u1Kjehl4Qf",2020-05-07 22:50:56
