tweet,dates
"In northwest Indianapolis, Hoosier Justin Riggins painted a 10,686-square-foot American flag to honor our service members and frontline health care workers that are keeping us safe and healthy. Learn more about this inspiring show of support here: https://t.co/Q6vq8ZnOAR",2020-05-10 17:30:00
"Wishing a happy #MothersDay to my wife Jenny, my mom, and all Hoosier mothers. We are thankful for your loving guidance and support today and every day. https://t.co/3VMlMvrU1Q",2020-05-10 13:00:00
"#ICYMI: In response to China’s gross mishandling of #coronavirus, I joined my colleagues on the @SenateForeign seeking a review of U.S. participation in @WHO and other international institutions. More here: https://t.co/E8eDwSzDPk",2020-05-09 17:30:00
Greenwood’s @PleasantGroveEl Principal has walked over 160 miles in 13 different neighborhoods to check-in on his students from a safe distance. I commend Hoosier educators like Trael Kelly who go above and beyond for students. https://t.co/PvyclrMwdP,2020-05-09 13:30:00
Joined a conference call with the Association of Indiana counties this afternoon for feedback on #coronavirus relief efforts and how we plan on safely and securely re-opening our economy.,2020-05-08 20:30:00
"Despite the challenging situation we are currently facing, teachers in Indiana remain dedicated to their students &amp; staying connected during #coronavirus. I joined a resolution to honor the efforts of our teachers &amp; their devotion to our young people: https://t.co/itaoHGGBBX",2020-05-08 19:05:47
"80% of America’s RVs are manufactured in #Indiana supporting thousands of Hoosier jobs. Yesterday, I checked in with Indiana representatives of the @RV_Industry to discuss pandemic relief efforts for this critical industry.",2020-05-08 18:30:00
".@Kroger has announced that they will be working with dairy farmers across the Midwest to donate 200,000 gallons of milk to food banks throughout the summer so no products go to waste. https://t.co/7GuKIgJk4H",2020-05-08 16:30:31
"Fiscally irresponsible states can’t be bailed out for reckless spending prior to the pandemic. Today, I joined @IndianaAFP for a discussion on ensuring we have a targeted approach to #coronavirus relief that doesn’t pass the burden to future generations. https://t.co/GQkDZLHMTG",2020-05-08 14:31:12
"Wrote a letter to express unwavering support for @AusintheUS after recent backlash from Chinese Ambassador Cheng Jingye. No matter the external pressure or coercion, we will always have Australia’s back, just as Australia has always had ours. #Mateship https://t.co/3f2q5qzAbs",2020-05-07 21:36:38
"NOW OPEN: Registration is now available at 20 #coronavirus testing sites free of charge in locations across the state. 
 
Further questions can be addressed by @StateHealthIN COVID-19 Call Center: 877-826-0011 from 8 am to midnight. 
 
Register here: https://t.co/4GiVnX4lxO",2020-05-07 20:00:00
Nursing homes &amp; residential care facilities have been adversely effected by #coronavirus. I joined Hoosier members of @AARP for an update on this &amp; more. https://t.co/A8ZzSY2QNB,2020-05-07 18:00:27
