tweet,dates
Very interesting... https://t.co/y31S28UWqC,2020-05-09 13:47:17
Beijing’s efforts to exclude Taiwan from the global health community have literally had deadly consequences. It’s past time to let Taiwan return to the @WHO and share their knowledge with the world.  https://t.co/LOZ2AG2WX7,2020-05-09 12:58:31
ICYMI: I joined @TeamCavuto today to discuss holding China accountable for unleashing this pandemic on the world. https://t.co/eWgd0G2A4u,2020-05-08 20:59:56
"This isn’t a competition. Congress expressly designed the CARES Act so churches and other charities could get relief too. These organizations employ countless Americans and play an indispensable role in their communities, just like small businesses. https://t.co/fGpRMT68fU",2020-05-08 19:41:22
Arkansas: sure to take a minute to step outside and watch the America Strong flyovers today! https://t.co/6ILVEy7nnG,2020-05-08 16:13:48
"75 years ago, Allied forces reclaimed a continent from Nazi tyranny. 

Today, communities across America and Europe remember the troops who achieved that victory at great cost so we can live in freedom.",2020-05-08 13:25:25
The CCP wouldn’t need a PR campaign if they’d simply been transparent about this virus from the beginning. The only headline right now should be “China is a pariah state.” https://t.co/z0yjm8zK3Q,2020-05-08 11:17:38
"The CCP wants the world to forget Dr. Li Wenliang, who tried to warn his colleagues about the Wuhan virus. We can ensure his name is never forgotten by placing it permanently outside the embassy of the regime responsible for his persecution and death. https://t.co/FPqZtZyvzr",2020-05-08 10:15:41
"U.S. Marshals face the same risks as their FBI or DEA counterparts when serving abroad, but they aren’t eligible for the same pay. 

Our bill would ensure that USMS employees receive appropriate compensation for the dangers they face serving our nation.

 https://t.co/Ec8EPDn9AM",2020-05-07 21:02:55
"Today, no one is more worthy of our prayers than the doctors, nurses, and essential workers helping us weather this terrible storm. 

On this National Day of Prayer, I hope you’ll join me in giving thanks for these brave men and women.",2020-05-07 18:46:26
Attacking the troops or the @deptofdefense won’t make you VP or Attorney General. That’s a lesson some of my colleagues need to learn. I’m grateful for our military working long hours to keep us safe from the China virus.,2020-05-07 17:06:52
"The CCP wants the world to forget Dr. Li Wenliang, who tried to warn his colleagues about the Wuhan virus. 

We can ensure his name is never forgotten by placing it permanently outside the embassy of the regime responsible for his persecution and death. 

https://t.co/XtsXNlYNVv",2020-05-07 16:18:58
More than 33 million Americans have filed for unemployment since mid-March because of the China virus pandemic. The U.S. admits more than one million nonimmigrant guest workers each year. Why do that when our unemployment is so high? https://t.co/cXcnkUIIgJ,2020-05-07 12:19:10
If the Chinese Communist Party is confident about the origin of this virus then I'm sure they would welcome an investigation into those origins... https://t.co/ZEcKBy0dvH,2020-05-07 11:13:38
"The Supreme Court heard oral arguments in the Little Sisters’ case today. Please pray that the Court delivers a just verdict for the Little Sisters so they can serve in peace. They are surely praying for you and for our country.
https://t.co/TkeH12Ahpu",2020-05-06 20:44:49
"One of the most important principles of our founding is that, in the United States, the government will protect religious freedom instead of attacking it.",2020-05-06 17:10:23
"I filed a brief in the Supreme Court, siding with the Little Sisters of the Poor and arguing for their right to live their sincere religious beliefs:
https://t.co/UWAD92LnkM",2020-05-06 16:27:45
"The Little Sisters of the Poor are pouring themselves out w/ Christ-like love in the middle of a pandemic.
 
But today, these nuns were back at the Supreme Court to fend off another attack from liberal lawyers demanding they pay for birth control.
 
https://t.co/miu1lSBQ11",2020-05-06 15:47:28
"Arkansans are grateful for the donation of 100k medical masks from the people of Taiwan, a true friend of the United States. Thank you! 

https://t.co/sEsPBYZwRS",2020-05-06 00:24:19
"Everyone knows the Chinese Internet is censored and unrepresentative of the Chinese people—but the media can’t pass up an opportunity to “roast” the president, even if it means publishing CCP propaganda. Shameful. https://t.co/19ce4KUYcY",2020-05-05 17:51:05
"The pandemic has laid bare our dependence on a hostile power, Communist China, for even basic supplies like respirator masks and medicine. 

We must earn our independence, just like our Founding Fathers did before us. Read:

https://t.co/3LIS0Bts3X",2020-05-05 14:37:29
"If the ⁦@WHO⁩ doesn't commit itself to more transparency and accountability, then the U.S. should lead the world's leading countries to create a new organization that will be a world health organization and not a world politics organization. https://t.co/pVyqZUz6nM",2020-05-05 13:28:07
"The Chinese people are the first, and worst, victims of the Chinese Communist Party both in this pandemic and going back 70+ years. ICYMI: I joined @marthamaccallum earlier tonight: https://t.co/rxjCDcJEgn",2020-05-05 00:03:53
"The United States must prepare for competition with Communist China as fierce as our contest with the Soviet Union. We’ll need strategic investment and private enterprise to win, just as we did in the past. My essay for @AmerCompass:
https://t.co/3LIS0Bts3X",2020-05-04 23:44:51
"China unleashed this plague in the first place, but don’t expect the media to hold it accountable. It’s too busy repackaging CCP propaganda.

https://t.co/zL9DbJLBQe",2020-05-04 22:31:03
"The CCP censors, persecutes, and even disappears those who deviate from the Party line. It scares its subjects into silence. But please, go on about this “broad verdict” among the Chinese people. https://t.co/19ce4KUYcY",2020-05-04 21:17:19
"For Arkansans with questions about the CARES Act, here’s a helpful list of resources. 

Arkansans should contact my office if they have questions about China virus relief. https://t.co/V6HmZMj9cG",2020-05-04 19:00:19
"This week @crampell used her @washingtonpost column to naively attack comments I made about the potential national-security risk posed by some Chinese nationals studying in the U.S. Today, I responded: https://t.co/6UpMd0shli",2020-05-02 15:43:59
"Yet another article by the @washingtonpost that claims there’s “no evidence” China virus came from a lab in Wuhan.

https://t.co/7pp54ZtWVx",2020-05-01 18:56:09
"The circumstantial evidence about the virus all points to a breach at the Wuhan labs. China covers up or destroys any direct evidence. Asking intelligence agencies to collect more information is exactly what should be done, not the scandal suggested here. https://t.co/3hyGK6GHgJ",2020-04-30 18:09:14
ICYMI: I joined @seanhannity last night to discuss corruption at the @WHO https://t.co/Sq9F1zKylo,2020-04-29 18:21:05
The CCP’s Military-Civil Fusion strategy blurs the distinction between Chinese military &amp; civilian end-users. I commend the Administration for tightening U.S. export-control regs to prevent American technology from being diverted to the Chinese military. https://t.co/L4U4YehdRp,2020-04-28 13:25:18
"Senator Jones and I urged the Treasury to consider debit cards as a faster, easier method to get Americans China virus relief. 

Grateful that @stevenmnuchin1 will now be issuing debit cards for some relief payments. 

https://t.co/hOXWQTvVJf",2020-04-27 20:21:13
"The Chinese Communist Party is arming itself with technology acquired from our labs and research universities. We need to reconsider granting Chinese nationals visas to study dual-use science and technology, especially STEM students at the graduate level. https://t.co/nUCGPb98EZ",2020-04-27 15:58:31
The Chinese Communist leadership did not want to see their relative power and standing in the world decline because this virus was contained within China so they deliberately hid it from the world. MORE: https://t.co/GGLdmJaFT6,2020-04-26 15:15:18
".@AjitPaiFCC has rightly identified the magnitude of the Chinese telecom contamination, and the FCC is taking strong steps towards eliminating it.

https://t.co/1VZWqww2jy",2020-04-24 18:43:09
"Coronavirus has destroyed countless lives – Here's how to make China pay cc: @RepDanCrenshaw 

https://t.co/UGxNtroHBg",2020-04-24 12:53:48
America will triumph over the China virus thanks to these dedicated workers. They deserve our thanks.  https://t.co/ss8ggDO4uU,2020-04-24 12:47:34
"""Sen. Tom Cotton of the @SASCMajority will also propose major legislation to beef up U.S. forces in the Pacific.

Sen. Cotton wants his $43 billion legislation, first reported here, included in Congress’s phase four coronavirus relief package.""

https://t.co/eCK73fDvsh",2020-04-24 11:59:24
".@USTreasury released guidance for State, Local, and Tribal Governments regarding the Coronavirus Relief Fund in the CARES Act. 

You can find that guidance document here: 

https://t.co/YzE9UlcWig",2020-04-23 15:01:25
"Medical resources—especially during a pandemic—should be used to preserve life, not end it. 

Today the 8th Circuit Court upheld the rule of law, rightly supporting Arkansas’s decision to dedicate its healthcare system to saving the lives of Arkansans. 

https://t.co/OaRgkiEGdy",2020-04-22 21:32:51
"China will try to exploit the world’s weakness in the wake of a virus it unleashed. 

We cannot allow it to succeed. 

The FORCE Act will greatly strengthen the U.S. position in the Indo-Pacific, allowing us to block China’s goals of regional dominance.

 https://t.co/bAy4cOkEGg",2020-04-22 17:22:14
"China continues to lie and spread disinformation to the civilized world to coverup its own incompetence, corruption, and dishonesty. https://t.co/5hvWQKNrWd",2020-04-22 14:05:38
Great to join @guypbenson today. Thanks for having me! https://t.co/rvDebVDlnJ,2020-04-21 23:07:21
"We all want clean water, but the Obama-era WOTUS rule drastically expanded federal control over private land owners and ag producers. The Navigable Water Protection Rule will secure our nation’s clean water supply without overextending federal power. 

https://t.co/wh7e0A2nfH",2020-04-21 22:28:24
"No matter what the Chinese Communist Party says, given the mounting evidence, the most likely origins for the China virus are the Wuhan labs studying bats and coronavirus. 

https://t.co/nWMKiO2190",2020-04-21 16:58:10
"Great to join @seanhannity with @RepDanCrenshaw to discuss our bill that would allow Americans to sue China in federal court to recover damages for death, injury, and economic harm caused by the China Virus. https://t.co/hDpf7cJRUe",2020-04-21 12:50:40
"More spin from the China apologists at @WHO. 

We know the Wuhan labs researched animals &amp; coronaviruses. A lab breach is the most plausible explanation of the virus origin. 

@WHO misdirection purports to but doesn’t address that scenario.

https://t.co/KBcEpsEbHD",2020-04-21 12:07:10
22 million Americans have lost their jobs in the last month because of the China virus. Let’s help them get back to work before we import more foreigners to compete for their jobs. https://t.co/0a03nncxeC,2020-04-21 02:31:36
Thanks to Pat Robertson for having me on the @700club this morning. https://t.co/f88lhQXj8Q,2020-04-20 18:20:25
"From their handling of the Wuhan virus to arresting Hong Kong’s pro-democracy leaders, the Chinese Communist Party remains—and should be treated as—a threat to free people everywhere.

https://t.co/mHrV2Uc4jT",2020-04-20 14:12:20
Steuart Walton knows Arkansas and he’ll work hard to ensure our state recovers from the China Virus pandemic. https://t.co/JptONCzZK5,2020-04-18 20:28:15
"Congratulations to Teresa Parker, the Executive Director of MARVA in Russellville, on her retirement! For 41 years she’s worked tirelessly on behalf of those with intellectual disabilities. Arkansas is lucky to have her and we’re so grateful for her service. https://t.co/Q5qyuB9FUd",2020-04-17 17:33:48
.@TuckerCarlson's monologue from last night shouldn't be missed.  https://t.co/DYBFSkT4lF,2020-04-17 12:40:28
We’re forever grateful for the assistance from our friends in Vietnam. Thank you! https://t.co/1hxjBGuefw,2020-04-16 23:05:41
Even its most reliable partners are turning their backs on China. https://t.co/GemAU7axpB,2020-04-16 22:47:55
"I’m saddened to hear of the passing of Chief Petty Officer Charles Thacker, Jr. His service to the country has earned my utmost gratitude, and my deepest condolences go to his family, friends, and crewmates. https://t.co/g5vtc9g2hr",2020-04-16 22:27:57
"Chairman Xi is right to be worried.

 It’s time to boycott the CCP and build factories in America again. 
 
https://t.co/ulHL8YjSFC",2020-04-16 17:42:59
"The Chinese Communist Party's decision to cover up the virus led to thousands of needless deaths and untold economic harm. 

It’s only appropriate that we hold the Chinese government accountable for the damage it has caused. 

https://t.co/vVhT3uksqF",2020-04-16 17:03:46
"China is withholding vital medical supplies from us—supplies made by *American companies* in China. In the middle of a pandemic unleashed on the world by China.

China must pay. https://t.co/AhOaQ1TniE",2020-04-16 12:12:57
"The Chinese Communist Party is responsible for every single death, every job lost, every retirement nest egg lost, from this coronavirus. And Xi Jinping must be made to pay the price. https://t.co/OLCj5Z5rrp",2020-04-16 01:46:24
"Yes, and he must pay. https://t.co/eoarITEPm4",2020-04-16 00:09:51
China is a pariah state. https://t.co/cJSK24eCex,2020-04-15 23:38:49
The Chinese Communist Party's conducting covert nuclear tests is yet another reason to unsign the Comprehensive Nuclear-Test-Ban Treaty. https://t.co/xH7SAedwn7,2020-04-15 20:40:27
"The Chinese Communist Party’s lack of transparency caused this pandemic, and now they’re holding important medical supplies hostage to extort praise. 

Criminal. 

https://t.co/4GxD1L7z3u",2020-04-15 13:10:47
I think I’ve heard something like this before 🤔 https://t.co/OcqoW72pxJ,2020-04-14 23:46:00
"Beijing claims a small Vietnamese fishing boat rammed one of its coast-guard ships in the South China Sea, rather than the other way around. It’s hard to imagine a more ludicrous story. The U.S. stands with Vietnam as it defends its citizens and sovereignty from CCP aggression.",2020-04-11 17:00:54
"Allowing Chinese firms to access our telecom network is a threat to Americans’ ability to communicate freely and securely. 

I urge the FCC to heed the recommendation of six U.S. agencies that China Telecom be banned from operating in the United States.

 https://t.co/DDixbPiiYU",2020-04-10 14:10:40
Very pleased that our support helped bring this facility to the city of Little Rock. The new Amazon center will create jobs for Arkansans and will increase the Little Rock port's reputation as a center for the flow of goods around the nation and the world. https://t.co/uChpCjRpTm,2020-04-09 17:57:22
Very grateful for the people of Vietnam and their generosity during this time. Thank you! https://t.co/MbNyZfmMhE,2020-04-09 15:09:04
There will be more—much more—of this as the world turns against China. https://t.co/VKo5bHj5fQ,2020-04-09 13:20:43
"Storms in Poinsett County are testing the resolve of Arkansas families still reeling from last week’s damage in the Jonesboro area. 

My thoughts are with those Arkansans in NEA tonight, and I remain ready to help at the federal level if the need arises.

https://t.co/N8VolsoMkt",2020-04-09 02:59:15
"The WHO’s politics-above-safety approach to the China virus shouldn’t go unquestioned. 

The US ought to withhold its generous funding pending serious changes at the organization. 

https://t.co/XHobjMqwoM",2020-04-09 02:37:34
.@Max_Fisher claims—without evidence—that I believe the China virus was “produced by a Chinese weapons lab.” He should have done his homework. https://t.co/smzBE7ypdd,2020-04-08 21:20:18
